,Concept_ID,is,ga
0,Auge::N,auga,súil
1,Ohr::N,eyra,cluas
2,Nase::N,nef,soc
3,Mund::N,munnur,béal
4,Zahn::N,tönn,fiacail
5,Zunge::N,tunga,teanga
6,Lippe::N,vör,liopa
7,Wange::N,kinn,grua
8,Wange::N,kinn,leiceann
9,Wange::N,vangi,grua
10,Wange::N,vangi,leiceann
11,Gesicht::N,andlit,éadan
12,Gesicht::N,andlit,aghaidh
13,Stirn::N,enni,baithis
14,Stirn::N,enni,clár éadain
15,Haar::N,hár,gruaig
16,Schnurrbart::N,yfirskegg,croiméal
17,Bart::N,skegg,féasóg
18,Kinn::N,haka,smig
19,Kiefer[Anatomie]::N,kjálki,giall
20,Kiefer[Anatomie]::N,skoltur,giall
21,Kehle::N,kverk,scornach
22,Hals::N,háls,muinéal
23,Genick::N,hnakki,baic
24,Kopf::N,höfuð,ceann
25,Rücken::N,hryggur,droim
26,Bauch::N,kviður,bolg
27,Nabel::N,nafli,imleacán
28,Busen::N,barmur,cíoch
29,Brust::N,brjóst,brollach
30,Schulter::N,öxl,gualainn
31,Arm::N,armur,lámh
32,Ellenbogen::N,olnbogi,uillinn
33,Hand::N,hönd,lámh
34,Handfläche::N,lófi,bos
35,Finger::N,fingur,méar
36,Fingernagel::N,fingurnögl,ionga
37,Nagel[Anatomie]::N,nögl,ionga
38,Zeh::N,tá,ladhar
39,Fuß::N,fótur,cos
40,Fuß::N,fótur,troigh
41,Ferse::N,hæll,sáil
42,Knie::N,kné,glúin
43,Oberschenkel::N,læri,ceathrú
44,Bein::N,fótleggur,cos
45,Körper::N,búkur,corp
46,Körper::N,búkur,colainn
47,Körper::N,líkami,corp
48,Körper::N,líkami,colainn
49,Haut::N,húð,cneas
50,Haut::N,húð,craiceann
51,Haut::N,skinn,cneas
52,Haut::N,skinn,craiceann
53,Blut::N,blóð,fuil
54,Ader::N,æð,
55,Sehne::N,sin,teannán
56,Sehne::N,sin,féitheog
57,Knochen::N,bein,cnámh
58,Gehirn::N,heili,inchinn
59,Herz::N,hjarta,croí
60,Magen::N,magi,bolg
61,Magen::N,magi,goile
62,Leber::N,lifur,ae
63,Atem::N,andi,anáil
64,Atem::N,andardráttur,anáil
65,Hunger::N,hungur,ocras
66,Träne::N,tár,deoir
67,Geschmack::N,smekkur,blas
68,Geruch::N,lykt,boladh
69,Schlaf::N,svefn,suan
70,Schlaf::N,svefn,codladh
71,Traum::N,draumur,taibhreamh
72,Himmel::N,himinn,spéir
73,Sonne::N,sól,grian
74,Mond::N,tungl,ré
75,Mond::N,tungl,gealach
76,Stern::N,stjarna,rinn
77,Stern::N,stjarna,réalta
78,Luft::N,loft,aer
79,Wind::N,vindur,gaoth
80,Welle::N,alda,tonn
81,Welle::N,bylgja,tonn
82,Wasser::N,vatn,uisce
83,Stein::N,steinn,cloch
84,Boden::N,botn,talamh
85,Erde::N,jörð,cré
86,Erde::N,jörð,ithir
87,Staub::N,ryk,dusta
88,Staub::N,ryk,deannach
89,Staub::N,duft,dusta
90,Staub::N,duft,deannach
91,Rauch::N,reykur,toit
92,Rauch::N,reykur,deatach
93,Funke::N,neisti,drithle
94,Feuer::N,eldur,tine
95,Licht::N,ljós,solas
96,Schatten::N,skuggi,scáth
97,Wetter::N,veður,aimsir
98,Nebel::N,þoka,ceo
99,Wolke::N,ský,néal
100,Wolke::N,ský,scamall
101,Regen::N,regn,báisteach
102,Regen::N,regn,fearthainn
103,Schnee::N,snjór,sneachta
104,Eis::N,ís,oighear
105,Frost::N,frost,sioc
106,Kälte::N,kuldi,fuacht
107,Hitze::N,hiti,teas
108,Hitze::N,hiti,teocht
109,Raureif::N,hrím,sioc bán
110,Regenbogen::N,regnbogi,stua ceatha
111,Regenbogen::N,regnbogi,bogha báistí
112,Donner::N,þruma,toirneach
113,Strömung::N,straumur,sruth
114,Tropfen::N,dropi,deoir
115,Schaum::N,froða,cúr
116,Schmutz::N,óhreinindi,salachar
117,See::N,stöðuvatn,loch
118,Sumpf::N,fen,portach
119,Moor::N,mýri,caorán
120,Moor::N,mýri,móinteán
121,Wiese::N,engi,cluain
122,Wiese::N,engi,móinéar
123,Wald::N,skógur,coill
124,Wald::N,skógur,foraois
125,Hügel::N,hæð,ard
126,Hügel::N,hóll,ard
127,Anhöhe::N,hæð,ard
128,Anhöhe::N,hæð,ardán
129,Anhöhe::N,hóll,ard
130,Anhöhe::N,hóll,ardán
131,Berg::N,fell,sliabh
132,Berg::N,fjall,sliabh
133,Gipfel::N,tindur,barr
134,Gipfel::N,tindur,mullach
135,Höhle::N,hellir,uaimh
136,Höhle::N,hellir,pluais
137,Abhang::N,hlíð,fána
138,Abhang::N,brekka,fána
139,Quelle::N,lind,foinse
140,Quelle::N,uppspretta,foinse
141,Bach::N,lækur,sruthán
142,Fluss::N,á,abhainn
143,Fluss::N,fljót,abhainn
144,Ufer::N,árbakki,bruach
145,Ufer::N,sjávarbakki,bruach
146,Küste::N,strönd,cósta
147,Küste::N,strönd,cladach
148,Festland::N,meginland,míntír
149,Meer::N,haf,muir
150,Meer::N,haf,farraige
151,Meer::N,sjór,muir
152,Meer::N,sjór,farraige
153,Bucht::N,vík,bá
154,Bucht::N,vík,cuan
155,Insel::N,eyja,inis
156,Insel::N,eyja,oileán
157,Blume::N,blóm,bláth
158,Gras::N,gras,féar
159,Wurzel::N,rót,rúta
160,Wurzel::N,rót,fréamh
161,Baum::N,tré,crann
162,Stamm::N,stofn,stoc
163,Stamm::N,stofn,tamhan
164,Rinde::N,börkur,coirt
165,Rinde::N,börkur,craiceann
166,Ast::N,grein,géag
167,Zweig::N,angi,géag
168,Zweig::N,angi,craobh
169,Zweig::N,kvistur,géag
170,Zweig::N,kvistur,craobh
171,Blatt::N,blað,duille
172,Blatt::N,blað,duilleog
173,Birke::N,birki,beith
174,Birke::N,birki,crann beithe
175,Kiefer[Baum]::N,fura,péine
176,Weide[Baum]::N,víðir,saileach
177,Tanne::N,greni,giúis
178,Horn::N,horn,adharc
179,Feder::N,fjöður,cleite
180,Fell::N,skinn,clúmh
181,Flügel::N,vængur,eite
182,Flügel::N,vængur,sciathán
183,Klaue::N,kló,crúb
184,Klaue::N,kló,crobh
185,Kralle::N,kló,crobh
186,Schwanz::N,rófa,eireaball
187,Schwanz::N,skott,eireaball
188,Ei::N,egg,ubh
189,Nest::N,hreiður,nead
190,Bau::N,greni,brocais
191,Bau::N,bæli,brocais
192,Tier::N,dýr,ainmhí
193,Tier::N,dýr,beithíoch
194,Herde::N,hjörð,tréad
195,Kuh::N,kýr,bó
196,Bulle::N,boli,tarbh
197,Pferd::N,hestur,each
198,Pferd::N,hestur,capall
199,Schaf::N,kind,caora
200,Schwein::N,svín,muc
201,Hund::N,hundur,madra
202,Katze::N,köttur,cat
203,Bär::N,björn,béar
204,Eichhörnchen::N,íkorni,iora
205,Elch::N,elgur,eilc
206,Fuchs::N,refur,sionnach
207,Fuchs::N,refur,madra rua
208,Hase::N,héri,giorria
209,Maus::N,mús,luch
210,Wolf::N,úlfur,mac tíre
211,Vogel::N,fugl,éan
212,Schwarm::N,sægur,saithe
213,Huhn::N,hæna,cearc
214,Hahn::N,hani,coileach
215,Gans::N,gæs,gé
216,Adler::N,örn,iolar
217,Ente::N,önd,lacha
218,Eule::N,uggla,ulchabhán
219,Kranich::N,trana,grús
220,Krähe::N,kráka,caróg
221,Krähe::N,kráka,préachán
222,Kuckuck::N,gaukur,cuach
