,Concept_ID,ady,xal
0,Auge::N,нэ,нүдн
1,Ohr::N,тхьакӏу́м,чикн
2,Nase::N,пэ,хамр
3,Mund::N,жэ,амн
4,Zahn::N,цэ,шүдн
5,Zunge::N,бзэгу,келн
6,Lippe::N,ӏупшӏэ́,урл
7,Wange::N,нэкӏу́шъу,халх
8,Gesicht::N,нэ́гу,нүр
9,Stirn::N,натӏэ́,маңна
10,Haar::N,шъхьацы́,үсн
11,Bart::N,жакӏэ́,сахл
12,Bart::N,жакӏэ́,өргнә сахл
13,Kinn::N,жэкӏэпэпкъ,өргн
14,Kiefer[Anatomie]::N,жэпкъы́,өргн
15,Kehle::N,чый,хол
16,Hals::N,пшъэ,күзүн
17,Genick::N,шъхьэпхэтыку,гиҗг
18,Kopf::N,шъхьэ́,толһа
19,Rücken::N,кӏыбы́,нурһн
20,Bauch::N,ныбэ́,гесн
21,Busen::N,бгъэ́,көкн
22,Brust::N,бгъэ́,чееҗ
23,Schulter::N,блыпкъ,ээм
24,Arm::N,ӏэ,һар
25,Ellenbogen::N,ӏэнтэ́гъу,тоха
26,Hand::N,ӏэтхьэцу,баһлцг
27,Handfläche::N,ӏэ́гу,альхн
28,Finger::N,ӏэхъуа́мб,хурһн
29,Finger::N,ӏэхъуа́мб,һарин хурһн
30,Fingernagel::N,ӏэбжъа́н,хумсн
31,Nagel[Anatomie]::N,ӏэбжъа́н,хумсн
32,Zeh::N,ӏэхъуа́мб,хурһн
33,Zeh::N,ӏэхъуа́мб,көлин хурһн
34,Fuß::N,лъэгу,тавг
35,Ferse::N,лъэдакъэ,өскә
36,Knie::N,лъагуа́ндж,өвдг
37,Oberschenkel::N,ко,һуй
38,Bein::N,лъакъо́,көл
39,Körper::N,пкъышъол,махмуд
40,Haut::N,кӏы́шъу,арсн
41,Blut::N,лъы,цусн
42,Ader::N,льытф,судцн
43,Sehne::N,фэ,шүрүсн
44,Knochen::N,къупшъхьэ́,ясн
45,Gehirn::N,куцӏы,экн
46,Herz::N,гу,зүркн
47,Magen::N,мышкӏу,гесн
48,Leber::N,шӏу,элкн
49,Atem::N,къэщэныр,әмсхл
50,Hunger::N,гъаблэ́,харһнлһн
51,Träne::N,нэпсы,нульмсн
52,Geschmack::N,ӏэшӏугъа́кӏ,амтн
53,Geruch::N,мэ,үнр
54,Schlaf::N,пчыхьы́пӏ,нөр
55,Traum::N,пчыхьы́пӏ,зүүдн
56,Himmel::N,уашъо́,теңгр
57,Sonne::N,тыгъэ,нарн
58,Mond::N,мазэ,сар
59,Stern::N,жъуагъо́,одн
60,Luft::N,жьы,аһар
61,Wind::N,жьыбгъэ́,салькн
62,Welle::N,ор,дольган
63,Welle::N,оры,дольган
64,Wasser::N,псы,усн
65,Stein::N,мыжъо́,чолун
66,Boden::N,чӏ́ыгу,Һазр
67,Erde::N,чӏ́ыгу,Һазр
68,Staub::N,сап,тоосн
69,Rauch::N,ӏугъо́,утан
70,Funke::N,мэшӏуа́ч,очн
71,Feuer::N,машӏо́,һал
72,Licht::N,нэфы,герл
73,Licht::N,нэфын,герл
74,Schatten::N,жьау́,сүүдр
75,Schatten::N,ныбжьыкъу,сүүдр
76,Nebel::N,пща́гъу,будн
77,Wolke::N,ошъуапщэ,үүлн
78,Regen::N,ощхы,хур
79,Schnee::N,осы́,цасн
80,Eis::N,мылы,мөсн
81,Kälte::N,чъыӏэ́,киитн
82,Hitze::N,фэба́е,халун
83,Regenbogen::N, лэгъупэкъо́пс,солңһ
84,Donner::N,шыблэ́,оһтрһун дун
85,Strömung::N,ток,урсхл
86,Tropfen::N,ткӏопс,дусал
87,Tropfen::N,гъуаткӏу,дусал
88,Schaum::N,тхъурбэ,көөсн
89,Schmutz::N,псынжъы,кир
90,See::N,хыку́м,нур
91,See::N,псыхъура́й,нур
92,Sumpf::N,орыжъ,унул
93,Moor::N,орыжъ,улм
94,Wiese::N,хъупӏэ́,хадлһн
95,Wiese::N,мэкъупӏ,хадлһн
96,Wald::N,мэзы́,ө-модн
97,Hügel::N,ӏуашъхь,толһа
98,Anhöhe::N,чӏыӏэтыгъ,хамр
99,Berg::N,къушъхьэ́,уул
100,Gipfel::N,шыгу,ора
101,Höhle::N,гъочӏэгъ,хадин көндә
102,Abhang::N,чапэ,ташу
103,Quelle::N,псынэчэ́чъ,булг
104,Bach::N,псышкуашку,һооҗур
105,Fluss::N,псыхъо́,һол
106,Ufer::N,нэпкъы,көвә
107,Küste::N,ӏушъо,көвә
108,Küste::N,ӏушъо,теңгсин көвә
109,Festland::N,чӏл́ыгу,хүүрә һазр
110,Meer::N,хы,теңгс
