,Concept_ID,,sl
0,Auge::N,,okó
1,Ohr::N,,uhó
2,Nase::N,,nós
3,Mund::N,,ústa
4,Zahn::N,,zób
5,Zunge::N,,jêzik
6,Lippe::N,,ústnica
7,Wange::N,,líce
8,Gesicht::N,,oblíčje
9,Stirn::N,,čêlo
10,Haar::N,,lás
11,Schnurrbart::N,,bŕki
12,Bart::N,,bráda
13,Kinn::N,,bráda
14,Kiefer[Anatomie]::N,,čeljúst
15,Kehle::N,,gŕlo
16,Hals::N,,vrát
17,Genick::N,,zatílnik
18,Kopf::N,,gláva
19,Rücken::N,,hrbèt
20,Bauch::N,,trébuh
21,Nabel::N,,pópek
22,Busen::N,,nédrja
23,Brust::N,,pŕsi
24,Schulter::N,,ráma
25,Schulter::N,,plêče
26,Arm::N,,rôka
27,Ellenbogen::N,,komólec
28,Hand::N,,rôka
29,Handfläche::N,,dlán
30,Finger::N,,pŕst
31,Fingernagel::N,,nóht na rôki
32,Nagel[Anatomie]::N,,nóht
33,Zeh::N,,pŕst na nôgi
34,Fuß::N,,nôga
35,Ferse::N,,pêta
36,Knie::N,,koléno
37,Oberschenkel::N,,stêgno
38,Bein::N,,nôga
39,Körper::N,,teló
40,Haut::N,,kóža
41,Blut::N,,krí
42,Ader::N,,žíla
43,Sehne::N,,kíta
44,Knochen::N,,kóst
45,Gehirn::N,,možgáni
46,Herz::N,,srcé
47,Magen::N,,želódec
48,Leber::N,,jétra
49,Atem::N,,díh
50,Hunger::N,,glád
51,Träne::N,,sólza
52,Geschmack::N,,okús
53,Geruch::N,,vónj
54,Schlaf::N,,sèn
55,Schlaf::N,,spánec
56,Traum::N,,sánje
57,Himmel::N,,nebó
58,Sonne::N,,sónce
59,Mond::N,,lúna
60,Mond::N,,mésec
61,Stern::N,,zvézda
62,Luft::N,,zràk
63,Wind::N,,véter
64,Welle::N,,vál
65,Wasser::N,,vôda
66,Stein::N,,kámen
67,Boden::N,,tlà
68,Erde::N,,pŕst
69,Erde::N,,zêmlja
70,Staub::N,,práh
71,Rauch::N,,dìm
72,Funke::N,,ískra
73,Feuer::N,,ôgenj
74,Licht::N,,lúč
75,Schatten::N,,sénca
76,Wetter::N,,vrême
77,Nebel::N,,meglà
78,Wolke::N,,oblák
79,Regen::N,,dèž
80,Schnee::N,,snég
81,Eis::N,,léd
82,Frost::N,,zmrzál
83,Kälte::N,,mràz
84,Hitze::N,,pripéka
85,Raureif::N,,ívje
86,Raureif::N,,slána
87,Regenbogen::N,,mávrica
88,Donner::N,,gròm
89,Strömung::N,,strúja
90,Tropfen::N,,káplja
91,Schaum::N,,péna
92,Schmutz::N,,nesnága
93,See::N,,jézero
94,Sumpf::N,,močvírje
95,Moor::N,,bárje
96,Wiese::N,,trávnik
97,Wald::N,,lés
98,Wald::N,,gòzd
99,Hügel::N,,brég
100,Hügel::N,,goríca
101,Anhöhe::N,,gríč
102,Anhöhe::N,,višína
103,Berg::N,,gôra
104,Berg::N,,planína
105,Gipfel::N,,vŕh
106,Höhle::N,,jáma
107,Höhle::N,,votlína
