,Concept_ID,mn,uz
0,Auge::N,нүд,ko'z
1,Ohr::N,чих,quloq
2,Nase::N,хамар,burun
3,Mund::N,ам,og'iz
4,Zahn::N,шүд,tish
5,Zunge::N,хэл,til
6,Lippe::N,уруул,dudoq
7,Wange::N,хацар,bet
8,Gesicht::N,царай,yuz
9,Gesicht::N,нүүр,yuz
10,Stirn::N,дух,manglay
11,Haar::N,үс,soch
12,Schnurrbart::N,дээд сахал,mo'ylov
13,Schnurrbart::N,живэр сахал,mo'ylov
14,Bart::N,сахал,soqol
15,Kinn::N,эрүү,ängak
16,Kiefer[Anatomie]::N,эрүү,iyak
17,Kehle::N,хоолой,bo'g'iz
18,Hals::N,хүзүү,bo'yin
19,Genick::N,шил,gardan
20,Genick::N,хүзүү,gardan
21,Kopf::N,толгой,bosh
22,Rücken::N,ар,orqa
23,Rücken::N,нуруу,orqa
24,Bauch::N,хэвлий,qorin
25,Bauch::N,гэдэс,qorin
26,Nabel::N,хүйс,kindik
27,Busen::N,хөх,ämchak
28,Brust::N,цээж,ko'krak
29,Schulter::N,мөр,elka
30,Schulter::N,бугалга,elka
31,Arm::N,гар,bilak
32,Ellenbogen::N,тохой,tirsak
33,Hand::N,гар,qo'l
34,Hand::N,алга,qo'l
35,Handfläche::N,алга,kaft
36,Finger::N,хуруу,barmoq
37,Fingernagel::N,хурууны хумс,tirnoq
38,Nagel[Anatomie]::N,хумс,tirnoq
39,Zeh::N,хуруу,oyoq barmog'i
40,Fuß::N,хөл,oyoq
41,Ferse::N,өсгий,tovon
42,Knie::N,өвдөг,tiz
43,Oberschenkel::N,гуя,son
44,Bein::N,хөл,oyoq
45,Körper::N,бие,badna
46,Haut::N,арьс,teri
47,Blut::N,цус,qon
48,Ader::N,судас,qon tomir
49,Sehne::N,бүлх,tomir
50,Sehne::N,шандас,tomir
51,Knochen::N,яс,suyak
52,Gehirn::N,тархи,miya
53,Herz::N,зүрх,qalb
54,Magen::N,ходоод,oshqozon
55,Leber::N,элэг,bag'ir
56,Atem::N,амьсгаа,dam
57,Hunger::N,өлсгөлөн,ochlik
58,Träne::N,нулимс,yosh
59,Geschmack::N,амт,tam
60,Geruch::N,үнэр,jid
61,Schlaf::N,нойр,uyqu
62,Traum::N,зүүд,tush
63,Himmel::N,тэнгэр,osmon
64,Himmel::N,огторгуй,osmon
65,Sonne::N,нар,quyosh
66,Mond::N,сар,oy
67,Stern::N,од,yulduz
68,Luft::N,агаар,havo
69,Wind::N,салхи,el
70,Welle::N,долгио,to'lqin
71,Welle::N,давалгаа,to'lqin
72,Wasser::N,ус,suv
73,Stein::N,чулуу,tosh
74,Boden::N,хөрс,tuproq
75,Erde::N,газар,er
76,Erde::N,шороо,er
77,Staub::N,тоос,chang
78,Rauch::N,утаа,tutun
79,Funke::N,оч,yalt
80,Feuer::N,гал,o't
81,Licht::N,гэрэл,yorug'
82,Licht::N,гэгээ,yorug'
83,Schatten::N,сүүдэр,soya
84,Wetter::N,тэнгэр,havo
85,Wetter::N,цаг уур,havo
86,Nebel::N,будан,tuman
87,Wolke::N,үүл,bulut
88,Regen::N,бороо,yomg'ir
89,Schnee::N,цас,qor
90,Eis::N,мөс,muz
91,Frost::N,хүйт,ajoz
92,Kälte::N,хүйт,ajoz
93,Hitze::N,халуун,issiq
94,Raureif::N,цан,qirov
95,Raureif::N,хяруу,qirov
96,Regenbogen::N,солонго,kamalak
97,Donner::N,тэнгэрийн дуу,guldur
98,Strömung::N,урсгал,oqim
99,Tropfen::N,дусал,tomchi
100,Schaum::N,хөөс,ko'pik
101,Schmutz::N,хир,gard
102,Schmutz::N,шавхай,gard
103,See::N,нуур,ko'l
104,Sumpf::N,намаг,botqoq
105,Sumpf::N,балчиг,botqoq
106,Moor::N,хүлрийн намаг,qir-adir
107,Wiese::N,нуга,o'tzor
108,Wald::N,ой,o'rmon
109,Hügel::N,болдог,tepa
110,Anhöhe::N,гүвээ,adir
111,Berg::N,уул,tog'
112,Gipfel::N,орой,cho'qqi
113,Gipfel::N,оргил,cho'qqi
114,Höhle::N,агуй,kavak
115,Abhang::N,хүр,to'sh
116,Quelle::N,булаг,buloq
117,Bach::N,горхи,o'zan
118,Fluss::N,гол,daryo
119,Fluss::N,мөрөн,daryo
120,Ufer::N,эрэг,sohil
121,Küste::N,эрэг,qirg'oq
122,Festland::N,хуурай газар,materik
123,Meer::N,далай,dengiz
124,Meer::N,тэнгис,dengiz
125,Bucht::N,булан,qo'ltiq
126,Bucht::N,далайн тохой,qo'ltiq
127,Insel::N,арал,orol
128,Blume::N,цэцэг,gul
129,Gras::N,өвс,sabza
130,Gras::N,ногоо,sabza
131,Wurzel::N,үндэс,tub
132,Wurzel::N,үндэс,tomir
133,Baum::N,мод,daraxt
134,Stamm::N,иш,o'simta
135,Stamm::N,гуалин,o'simta
136,Rinde::N,холтос,qobiq
137,Ast::N,гишүү,shox
138,Zweig::N,салаа,butoq
139,Blatt::N,навч,barg
140,Birke::N,хус,qayin
141,Kiefer[Baum]::N,нарс,qarag'ay
142,Weide[Baum]::N,уд,shum
143,Weide[Baum]::N,бургас,shum
144,Tanne::N,гачуур,archa
145,Horn::N,эвэр,mugiz
146,Feder::N,өд,par
147,Fell::N,арьс,mo'yna
148,Flügel::N,жигүүр,qanot
149,Flügel::N,далавч,qanot
150,Klaue::N,савар,tirnoq
151,Klaue::N,хумс,tirnoq
152,Kralle::N,савар,tirnoq
153,Schwanz::N,сүүл,quyruq
154,Ei::N,өндөг,tuxum
155,Nest::N,үүр,oshyon
156,Bau::N,нүх,o'pqon
157,Bau::N,элүү,o'pqon
158,Tier::N,амьтан,hayvon
159,Tier::N,адгуус,hayvon
160,Herde::N,сүрэг,gala
161,Kuh::N,үнээ,inak
162,Bulle::N,бух,ho'kiz
163,Pferd::N,морь,ot
164,Pferd::N,адуу,ot
165,Schaf::N,хонь,qo'y
166,Schwein::N,гахай,cho'chqa
167,Hund::N,нохой,it
168,Katze::N,муур,mushuk
169,Katze::N,мигуй,mushuk
170,Bär::N,баавгай,ayiq
171,Eichhörnchen::N,хэрэм,tiyin
172,Elch::N,хандгай,los
173,Fuchs::N,үнэг,tulki
174,Hase::N,туулай,kuyon
175,Maus::N,хулгана,sichqon
176,Wolf::N,чоно,bo'ri
177,Vogel::N,шувуу,qush
178,Schwarm::N,сүрэг,to'da
179,Huhn::N,тахиа,tovuq
180,Hahn::N,эр тахиа,xo'roz
181,Gans::N,галуу,g'oz
182,Adler::N,бүргэд,burgut
183,Ente::N,нугас,o'rdak
184,Eule::N,ууль,boyo'g'li
185,Kranich::N,тогоруу,turna
186,Krähe::N,хэрээ,qarg'a
187,Kuckuck::N,хөхөө,kakku
188,Schwan::N,хун,oqkush
189,Fisch::N,загас,baliq
190,Barsch::N,алгана,olabug'a
191,Hecht::N,цурхай,cho'rtan
192,Schlange[Tier]::N,могой,ilon
193,Wurm::N,өт,qurt
194,Wurm::N,хорхой,qurt
195,Spinne::N,аалз,o'rgimchak
196,Ameise::N,шоргоолж,chumoli
197,Laus::N,бөөс,bit
198,Mücke::N,шумуул,chivin
199,Fliege::N,ялаа,pashsha
200,Schmetterling::N,эрвээхэй,kapalak
201,Beere::N,жимсгэнэ,meva
202,Apfel::N,алим,olma
203,Pilz::N,мөөг,qo'ziqorin
204,Zwiebel::N,сонгино,piyoz
205,Saat::N,тариа,äkin
206,Korn::N,үр,zarra
207,Korn::N,мөхлөг,zarra
208,Heu::N,өвс,xashak
209,Schale::N,хальс,po'choq
210,Grube::N,алам,co'ra
211,Grube::N,нүх,co'ra
212,Falle::N,хавх,qopqon
213,Falle::N,занга,qopqon
214,Schlinge::N,урхи,sirtmoq
