,Concept_ID,da,hi
0,Auge::N,øje,आँख
1,Auge::N,øje,चक्षु
2,Ohr::N,øre,कान
3,Ohr::N,øre,कर्ण
4,Nase::N,næse,नाक
5,Nase::N,næse,नासा
6,Mund::N,mund,मुख
7,Mund::N,mund,मुँह
8,Zahn::N,tand,दंत
9,Zahn::N,tand,दाँत
10,Zunge::N,tunge,जीभ
11,Zunge::N,tunge,ज़बान
12,Zunge::N,tunge,जिह्वा
13,Lippe::N,læbe,ओंठ
14,Lippe::N,læbe,होंठ
15,Wange::N,kind,गाल
16,Wange::N,kind,कपोल
17,Gesicht::N,ansigt,मुँह
18,Gesicht::N,ansigt,चेहरा
19,Stirn::N,pande,माथा
20,Stirn::N,pande,मस्तक
21,Haar::N,hår,बाल
22,Schnurrbart::N,overskæg,मूँछें
23,Bart::N,skæg,दाढ़ी
24,Kinn::N,hage,चिबुक
25,Kiefer[Anatomie]::N,kæbe,जबड़ा
26,Kehle::N,strube,गला
27,Hals::N,hals,गला
28,Hals::N,hals,गरदन
29,Genick::N,nakke,गरदन
30,Genick::N,nakke,ग्रीवा
31,Kopf::N,hoved,सिर
32,Kopf::N,hoved,शीर्ष
33,Rücken::N,ryg,पीठ
34,Bauch::N,mave,उदर
35,Nabel::N,navle,नाभि
36,Nabel::N,navle,ढोंढी
37,Busen::N,barm,कुच
38,Busen::N,barm,स्तन
39,Brust::N,bryst,वक्ष
40,Schulter::N,skulder,कंधा
41,Schulter::N,skulder,स्कंध
42,Arm::N,arm,बाँह
43,Arm::N,arm,बाज़ू
44,Ellenbogen::N,albue,कुहनी
45,Hand::N,hånd,हाथ
46,Hand::N,hånd,हस्त
47,Handfläche::N,håndflade,हथेली
48,Finger::N,finger,उँगली
49,Finger::N,finger,अँगुली
50,Fingernagel::N,fingernegl,नख
51,Fingernagel::N,fingernegl,नाख़ून
52,Nagel[Anatomie]::N,negl,नख
53,Nagel[Anatomie]::N,negl,नाख़ून
54,Zeh::N,tå,उँगली
55,Zeh::N,tå,पाँव की उँगली
56,Fuß::N,fod,चरण
57,Fuß::N,fod,पाँव
58,Ferse::N,hæl,एड़ी
59,Knie::N,knæ,जानु
60,Knie::N,knæ,घुटना
61,Oberschenkel::N,lår,उरु
62,Bein::N,ben,टाँग
63,Körper::N,krop,तन
64,Körper::N,krop,देह
65,Körper::N,krop,शरीर
66,Körper::N,legeme,तन
67,Körper::N,legeme,देह
68,Körper::N,legeme,शरीर
69,Haut::N,hud,चर्म
70,Haut::N,hud,त्वचा
71,Blut::N,blod,लहू
72,Blut::N,blod,ख़ून
73,Ader::N,åre,रग
74,Ader::N,åre,शिरा
75,Sehne::N,sene,कंडरा
76,Sehne::N,sene,स्नायु
77,Knochen::N,ben,अस्थि
78,Gehirn::N,hjerne,दिमाग़
79,Gehirn::N,hjerne,मस्तिष्क
80,Herz::N,hjerte,दिल
81,Herz::N,hjerte,हृदय
82,Magen::N,mave,मेदा
83,Magen::N,mave,अमाशय
84,Leber::N,lever,जिगर
85,Leber::N,lever,यकृत्
86,Atem::N,ånde,दम
87,Atem::N,ånde,साँस
88,Atem::N,ånde,श्वास
89,Hunger::N,sult,भूख
90,Hunger::N,sult,क्षुधा
91,Träne::N,tåre,आँसू
92,Träne::N,tåre,अश्रु
93,Geschmack::N,smag,स्वाद
94,Geschmack::N,smag,ज़ायक़ा
95,Geruch::N,lugt,बू
96,Geruch::N,lugt,गंध
97,Schlaf::N,søvn,नींद
98,Schlaf::N,søvn,निद्रा
99,Traum::N,drøm,सपना
100,Traum::N,drøm,स्वप्न
101,Himmel::N,himmel,आकाश
102,Himmel::N,himmel,आसमान
103,Sonne::N,sol,रवि
104,Sonne::N,sol,सूरज
105,Sonne::N,sol,सूर्य
106,Mond::N,måne,चाँद
107,Mond::N,måne,चंद्र
108,Stern::N,stjerne,तारा
109,Stern::N,stjerne,सितारा
110,Luft::N,luft,हवा
111,Luft::N,luft,वायु
112,Wind::N,vind,पाद
113,Welle::N,bølge,लहर
114,Welle::N,bølge,तरंग
115,Wasser::N,vand,जल
116,Wasser::N,vand,पानी
117,Stein::N,sten,पत्थर
118,Boden::N,jord,मिट्टी
119,Erde::N,jord,भूमि
120,Erde::N,jord,ज़मीन
121,Staub::N,støv,धूल
122,Rauch::N,røg,धूआँ
123,Rauch::N,røg,धुम्र
124,Funke::N,gnist,चिनगारी
125,Funke::N,gnist,स्फुलिंग
126,Feuer::N,ild,आग
127,Feuer::N,ild,आतिश
128,Feuer::N,ild,अग्नि
129,Licht::N,lys,रोशनी
130,Licht::N,lys,प्रकाश
131,Schatten::N,skygge,छाया
132,Schatten::N,skygge,परछाई
133,Wetter::N,vejr,ऋतु
134,Wetter::N,vejr,मौसम
135,Nebel::N,tåge,धुँध
136,Nebel::N,tåge,कुहरा
137,Wolke::N,sky,मेघ
138,Wolke::N,sky,अभ्र
139,Regen::N,regn,मेंह
140,Regen::N,regn,बारिश
141,Schnee::N,sne,हिम
142,Schnee::N,sne,बर्फ़
143,Eis::N,is,हिम
144,Eis::N,is,बर्फ़
145,Frost::N,frost,ठंड
146,Kälte::N,kulde,सर्दी
147,Kälte::N,kulde,शीतलता
148,Hitze::N,hede,ताप
149,Hitze::N,hede,गरमी
150,Raureif::N,rimfrost,पाला
151,Regenbogen::N,regnbue,इंद्र-धनुष
152,Donner::N,torden,गरज
153,Donner::N,torden,मेघ-गर्जन
154,Strömung::N,strømning,बहाव
155,Strömung::N,strømning,प्रवाह
156,Tropfen::N,dråbe,बूँद
157,Schaum::N,skum,झाग
158,Schmutz::N,snavs,गंद
159,Schmutz::N,snavs,कीचड़
160,See::N,sø,झील
161,See::N,sø,सरोवर
162,Sumpf::N,sump,दलदल
163,Sumpf::N,sump,धँसान
164,Moor::N,mose,झाबर
165,Moor::N,mose,धँसान
166,Wiese::N,eng,घास-स्थल
167,Wald::N,skov,जंगल
168,Hügel::N,høj,टीला
169,Hügel::N,høj,पहाड़
170,Hügel::N,bakke,टीला
171,Hügel::N,bakke,पहाड़
172,Anhöhe::N,høj,टीला
173,Anhöhe::N,høj,पहाड़ी
174,Anhöhe::N,bakke,टीला
175,Anhöhe::N,bakke,पहाड़ी
176,Berg::N,bjerg,पहाड़
177,Gipfel::N,top,शिखर
178,Höhle::N,hule,गुहा
179,Höhle::N,hule,गुफ़ा
180,Abhang::N,skrænt,ढाल
181,Abhang::N,skrænt,ढलान
182,Abhang::N,skråning,ढाल
183,Abhang::N,skråning,ढलान
184,Quelle::N,kilde,चश्मा
185,Bach::N,bæk,सोता
186,Bach::N,bæk,नदिका
187,Fluss::N,flod,नदी
188,Fluss::N,flod,सरिता
189,Ufer::N,bred,तट
190,Ufer::N,bred,किनारा
191,Küste::N,kyst,समुद्र-तट
192,Festland::N,fastland,महाद्वीप
193,Meer::N,hav,सागर
194,Meer::N,hav,समुद्र
195,Bucht::N,bugt,खाड़ी
196,Insel::N,ø,टापू
197,Insel::N,ø,द्वीप
198,Blume::N,blomst,फूल
199,Blume::N,blomst,पुष्प
200,Gras::N,græs,घास
201,Wurzel::N,rod,मूल
202,Baum::N,træ,पेड़
203,Baum::N,træ,वृक्ष
204,Stamm::N,stamme,धड़
205,Rinde::N,bark,छाल
206,Rinde::N,bark,वल्कल
207,Ast::N,gren,डाल
208,Ast::N,gren,शाखा
209,Zweig::N,kvist,टहनी
210,Blatt::N,blad,पत्र
211,Blatt::N,blad,पत्ता
212,Birke::N,birk,भूर्ज
213,Kiefer[Baum]::N,fyrretræ,पाइन-वृक्ष
214,Weide[Baum]::N,piletræ,बेंत
215,Tanne::N,gran,फ़र
216,Horn::N,horn,सींग
217,Horn::N,horn,विषाण
218,Feder::N,fjer,पर
219,Feder::N,fjer,पंख
220,Fell::N,skind,खाल
221,Fell::N,skind,पशु-चर्म
222,Flügel::N,vinge,पंख
223,Flügel::N,vinge,डैना
224,Klaue::N,klov,पंजा
225,Kralle::N,klo,पंजा
226,Kralle::N,klo,नाख़ून
227,Schwanz::N,hale,पूँछ
228,Ei::N,æg,अंडा
229,Nest::N,rede,नीड़
230,Nest::N,rede,घोंसला
231,Bau::N,bo,बिल
232,Bau::N,bo,माँद
233,Tier::N,dyr,पशु
234,Tier::N,dyr,जानवर
235,Herde::N,flok,गल्ला
236,Kuh::N,ko,गौ
237,Kuh::N,ko,गाय
238,Bulle::N,tyr,साँड़
239,Pferd::N,hest,अश्व
240,Pferd::N,hest,घोड़ा
241,Schaf::N,får,भेड़
242,Schwein::N,gris,शूकर
243,Hund::N,hund,श्वान
244,Hund::N,hund,कुत्ता
245,Katze::N,kat,बिल्ली
246,Bär::N,bjørn,रीछ
247,Bär::N,bjørn,भालू
248,Eichhörnchen::N,egern,गिलहरी
249,Elch::N,elg,एल्क
250,Fuchs::N,ræv,लोमड़ी
251,Hase::N,hare,खरहा
252,Hase::N,hare,ख़रगोश
253,Maus::N,mus,मूष
254,Maus::N,mus,चूहा
255,Wolf::N,ulv,वृक
256,Wolf::N,ulv,भेड़िया
257,Vogel::N,fugl,पक्षी
258,Vogel::N,fugl,चिड़िया
259,Schwarm::N,sværm,झुंड
260,Huhn::N,høne,मुर्ग़ी
261,Hahn::N,hane,मुर्ग़ा
262,Gans::N,gås,हंस
263,Gans::N,gås,हंसिनी
264,Adler::N,ørn,उक़ाब
265,Ente::N,and,बतख़
266,Ente::N,and,बत्तक
267,Eule::N,ugle,उल्लू
268,Kranich::N,trane,सारस
269,Kranich::N,trane,क्रौंंच
270,Krähe::N,krage,काक
271,Kuckuck::N,gøg,कोयल
272,Kuckuck::N,gøg,कोकिल
273,Schwan::N,svane,हंस
274,Schwan::N,svane,मराल
275,Fisch::N,fisk,मछली
276,Fisch::N,fisk,मत्स्य
277,Barsch::N,aborre,पर्च
278,Hecht::N,gedde,पाइक
279,Schlange[Tier]::N,slange,सर्प
280,Wurm::N,orm,कृमि
281,Wurm::N,orm,कीड़ा
282,Spinne::N,edderkop,लूता
283,Spinne::N,edderkop,मकड़ी
284,Ameise::N,myre,चींटी
285,Laus::N,lus,जूँ
286,Mücke::N,myg,डाँस
287,Fliege::N,flue,मक्खी
288,Fliege::N,flue,मक्षिका
289,Schmetterling::N,sommerfugl,तितली
290,Beere::N,bær,बेरी
291,Apfel::N,æble,सेब
292,Pilz::N,svamp,खुंबी
293,Zwiebel::N,løg,प्याज़
294,Saat::N,sæd,बीज
295,Korn::N,korn,दाना
296,Heu::N,hø,मूखी घास
297,Schale::N,skræl,बकला
298,Schale::N,skræl,छिलका
299,Grube::N,grav,गड्ढा
300,Falle::N,fælde,जाल
301,Falle::N,fælde,फँदा
302,Schlinge::N,snare,फँदा
303,Spur::N,spor,सुराग़
304,Spur::N,spor,पद-चिह्न
305,Asche::N,aske,राख
306,Dreck::N,snavs,मैल
307,Dreck::N,snavs,गंदगी
308,Eisen::N,jern,लोहा
309,Gold::N,guld,सोना
310,Gold::N,guld,स्वर्ण
311,Silber::N,sølv,रजत
312,Silber::N,sølv,चाँदी
313,Kohle::N,kul,कोयला
314,Glas::N,glas,काँच
315,Lehm::N,ler,चिकनी मिट्टी
316,Sand::N,sand,रेत
317,Sand::N,sand,बालू
318,Mensch::N,mennesge,मानव
319,Mensch::N,mennesge,इनसान
320,Mensch::N,mennesge,मनुष्य
321,Mann::N,mand,आदमी
322,Mann::N,mand,पुरुष
323,Frau::N,kvinde,औरत
324,Frau::N,kvinde,महिला
325,Frau::N,kvinde,स्त्री
326,Kind::N,barn,बाल
327,Kind::N,barn,बच्चा
328,Junge::N,dreng,लड़का
329,Mädchen::N,pige,लड़की
330,Mädchen::N,pige,कुमारी
331,Familie::N,familie,परिवार
332,Großvater::N,bedstefar,दादा
333,Großmutter::N,bedstemor,नानी
334,Eltern::N,forældre,माँ-बाप
335,Eltern::N,forældre,माता-पिता
336,Vater::N,far,बाप
337,Vater::N,far,पिता
338,Mutter::N,mor,माँ
339,Mutter::N,mor,माता
340,Sohn::N,søn,बेटा
341,Sohn::N,søn,पुत्र
342,Tochter::N,datter,बेटी
343,Tochter::N,datter,पुत्री
344,Bruder::N,bror,भाई
345,Bruder::N,bror,भ्राता
346,Schwester::N,søster,बहन
347,Schwester::N,søster,भगिनी
348,Onkel::N,onkel,ताऊ
349,Onkel::N,onkel,काका
350,Tante::N,tante,बूआ
351,Tante::N,tante,फूफी
352,Tante::N,tante,ख़ाला
353,Ehemann::N,ægtemand,पति
354,Ehemann::N,ægtemand,शौहर
355,Ehefrau::N,hustru,बीवी
356,Freude::N,glæde,आनंद
357,Freude::N,glæde,प्रसन्नता
358,Gelächter::N,latter,हँसी
359,Gelächter::N,latter,क़हक़हा
360,Glück::N,lykke,आनंद
361,Glück::N,lykke,ख़ुशी
362,Kummer::N,sorg,शोक
363,Kummer::N,sorg,दुःख
364,Wunsch::N,ønske,इच्छा
365,Wunsch::N,ønske,अभिलाषा
366,Lust::N,lyst,चाह
367,Lust::N,lyst,कामना
368,Geist::N,ånd,जान
369,Geist::N,ånd,प्राण
370,Gedanke::N,tanke,विचार
371,Gedächtnis::N,hukommelse,याददाश्त
372,Gedächtnis::N,hukommelse,स्मरण-शक्ति
373,Verstand::N,forstand,समझ
374,Verstand::N,forstand,अक़्ल
375,Verstand::N,forstand,बुद्धि
376,Sinn::N,mening,अर्थ
377,Sinn::N,betydning,अर्थ
378,Grund::N,grund,वजह
