,Concept_ID,ps,lbe
0,Auge::N,سترګه,я
1,Ohr::N,غوږ,вичӏи
2,Nase::N,پوزه,май
3,Mund::N,خوله,кьацӏ
4,Zahn::N,غاښ,ккарччи
5,Zunge::N,جبه,маз
6,Lippe::N,شونډه,мурччи
7,Wange::N,باړخو,чӏав
8,Gesicht::N,مخ,лажин
9,Stirn::N,تندی,ненттабакӏ
10,Stirn::N,وچولی,ненттабакӏ
11,Haar::N,وېښته,чӏара
12,Schnurrbart::N,برېت,ссирссилтту
13,Bart::N,ږیره,чӏири
14,Kinn::N,زنه,лунттубакӏ
15,Kiefer[Anatomie]::N,جامه,ххинчулул
16,Kehle::N,غاړه,кьакьари
17,Hals::N,غاړه,ссурссу
18,Genick::N,ورمېږ,махъабакӏ
19,Kopf::N,سر,бакӏ
20,Rücken::N,شا,ттиликӏ
21,Bauch::N,نس,лякьа
22,Bauch::N,ګېډه,лякьа
23,Nabel::N,نوم,цӏумуккутӏ
24,Busen::N,تی,ккукку
25,Brust::N,سینه,хъазам
26,Schulter::N,اوږه,хъачӏ
27,Arm::N,لاس,ка
28,Ellenbogen::N,څنګل,ссюрхъ
29,Hand::N,لاس,бартка
30,Handfläche::N,ورغوی,хъат
31,Handfläche::N,ورغوی,битӏянхъ
32,Finger::N,ګوته,кӏисса
33,Fingernagel::N,نوک,михь
34,Nagel[Anatomie]::N,نوک,михь
35,Zeh::N,ګوته,кӏисса
36,Fuß::N,پښه,чӏанччан
37,Ferse::N,پونده,никъа
38,Knie::N,زنګون,ник
39,Oberschenkel::N,پتون,жира
40,Bein::N,پښه,ччан
41,Körper::N,ځان,чурх
42,Haut::N,پوټکی,бурчу
43,Blut::N,وینه,оь
44,Ader::N,رګ,тунну
45,Sehne::N,پله,хьхьа
46,Knochen::N,هډوکی,ттаркӏ
47,Gehirn::N,ماغزه,ня
48,Herz::N,زړه,дакӏ
49,Herz::N,زړه,къюкӏ
50,Magen::N,معده,лякьа
51,Leber::N,ينه,
52,Leber::N,ځیګر,
53,Atem::N,نفس,ссихӏ ласаву
54,Atem::N,نفس,ссихӏ бигьаву
55,Hunger::N,ولږه,ккаши
56,Träne::N,اوښکه,макь
57,Geschmack::N,مزه,тӏин
58,Geschmack::N,مزه,тӏааьн
59,Geschmack::N,خوند,тӏин
60,Geschmack::N,خوند,тӏааьн
61,Geruch::N,بوی,кьанкь
62,Schlaf::N,خوب,шану
63,Traum::N,خوب,макӏру
64,Himmel::N,اسمان,ссав
65,Sonne::N,لمر,баргъ
66,Mond::N,سپوږمۍ,барз
67,Stern::N,ستوری,цӏуку
68,Luft::N,هوا,гьава
69,Wind::N,ورښ,марч
70,Welle::N,موج,щатӏи
71,Wasser::N,اوبه,щин
72,Stein::N,ډبره,чару
73,Boden::N,مځکه,аьрщи
74,Erde::N,خاوره,аьрщи
75,Staub::N,ګرد,ххит
76,Staub::N,خاوره,ххит
77,Rauch::N,دود,пуркӏу
78,Rauch::N,لوګی,пуркӏу
79,Funke::N,سپرغۍ,пиягь
80,Feuer::N,اور,цӏу
81,Licht::N,رڼا,чани
82,Schatten::N,سیوری,ххют
83,Wetter::N,هوا,гьава
84,Nebel::N,لړه,шархь ттурлу
85,Wolke::N,ورېځ,ттурлу
86,Regen::N,وریا,гъарал
87,Regen::N,باران,гъарал
88,Schnee::N,واوره,марххала
89,Eis::N,یخ,микӏ
90,Eis::N,کنګل,микӏ
91,Frost::N,یخ,дяркъу
92,Frost::N,یخ,замгьар
93,Kälte::N,ساړه,дяркъу
94,Hitze::N,تودوخي,кӏиришиву
95,Raureif::N,سپینه پرخه,сил
96,Raureif::N,سپینه پرخه,бурса
97,Regenbogen::N,بوډۍ ټال,ссурул ккуртта
98,Regenbogen::N,سره زرغونه,ссурул ккуртта
99,Donner::N,تالنده,къув
100,Strömung::N,بهېدنه,экьинанаву
101,Tropfen::N,قطره,кӏунтӏ
102,Tropfen::N,څاڅکی,кӏунтӏ
103,Schaum::N,ځګ,хьама
104,Schmutz::N,ناپاکي,кьяркьи
105,See::N,جهیل,бяр
106,Sumpf::N,جبه,кунцӏа
107,Moor::N,جبه,
108,Wiese::N,چمن,кьан
109,Wiese::N,شنېلی,кьан
110,Wald::N,ځنګل,вацӏа
111,Hügel::N,تپه,бакӏу
112,Anhöhe::N,غونډۍ,
113,Berg::N,غ‍‍‍‍‍ر,зунтту
114,Gipfel::N,څوکه,мицӏ
115,Höhle::N,کاز,нух
116,Abhang::N,لمن,сун
117,Quelle::N,چینه,дайдихьу
118,Quelle::N,چینه,бакӏ
119,Bach::N,واله,чӏрир нех
120,Fluss::N,سیند,нех
121,Ufer::N,غاړه,зума
122,Küste::N,ساحل,зумаинхалу
123,Küste::N,ساحل,зуманицӏалу
124,Festland::N,وچه,кьири
125,Meer::N,بحر,хьхьири
126,Meer::N,سمندر,хьхьири
127,Bucht::N,کارۍ,
128,Insel::N,ټاپو,жазира
