,Concept_ID,os,uk
0,Auge::N,цӕст,око
1,Ohr::N,хъус,вухо
2,Nase::N,фындз,ніс
3,Mund::N,дзых,рот
4,Zahn::N,дӕндаг,зуб
5,Zunge::N,ӕвзаг,язик
6,Lippe::N,был,губа
7,Wange::N,рус,щока
8,Wange::N,уадул,щока
9,Wange::N,ӕхсӕрфарс,щока
10,Gesicht::N,цӕсгом,обличчя
11,Stirn::N,ных,лоб
12,Haar::N,хил,волосся
13,Schnurrbart::N,рихи,вуса
14,Bart::N,зачъе,борода
15,Kinn::N,роцъо,підборіддя
16,Kiefer[Anatomie]::N,ӕфсӕр,щелепа
17,Kehle::N,хъуыр,горло
18,Hals::N,къубал,шия
19,Genick::N,къӕбут,потилиця
20,Kopf::N,сӕр,голова
21,Rücken::N,фӕсонтӕ,спина
22,Bauch::N,гуыбын,живіт
23,Nabel::N,бикъ,пупок
24,Busen::N,дзидзи,груди
25,Brust::N,риу,груди
26,Schulter::N,уӕхск,плече
27,Arm::N,цонг,рука
28,Ellenbogen::N,рæмбын,лікоть
29,Hand::N,къух,рука
30,Handfläche::N,армытъӕпӕн,долоня
31,Finger::N,ӕнруылдз,палець
32,Fingernagel::N,ных,ніготь
33,Nagel[Anatomie]::N,ных,ніготь
34,Zeh::N,къух,палець на нозі
35,Fuß::N,фад,нога
36,Ferse::N,зӕвӕт,п’ятка
37,Knie::N,уӕраг,коліно
38,Oberschenkel::N,агъд,стегно
39,Bein::N,зӕнг,нога
40,Körper::N,буар,тіло
41,Haut::N,царм,шкіра
42,Blut::N,туг,кров
43,Ader::N,дадзин,вена
44,Ader::N,тугдадзин,вена
45,Sehne::N,хъиутæ,сухожилля
46,Sehne::N,нуар,сухожилля
47,Knochen::N,стӕг,кістка
48,Gehirn::N,магъз,мозок
49,Herz::N,зӕрдӕ,серце
50,Magen::N,ахсӕн,шлунок
51,Leber::N,игæр,печінка
52,Atem::N,улӕфт,дихання
53,Hunger::N,стонг,голод
54,Träne::N,цæссыг,сльоза
55,Geschmack::N,ад,смак
56,Geruch::N,смаг,запах
57,Schlaf::N,хуыссӕг,сон
58,Schlaf::N,хуыссӕг,сплячка
59,Traum::N,фын,сон
60,Himmel::N,арв,небо
61,Himmel::N,уӕларв,небо
62,Sonne::N,хур,сонце
63,Mond::N,мӕй,місяць
64,Stern::N,стъалы,зірка
65,Luft::N,уӕлдӕф,повітря
66,Wind::N,дымгӕ,вітер
67,Welle::N,уылӕн,хвиля
68,Wasser::N,дон,вода
69,Stein::N,дур,камінь
70,Boden::N,зӕхх,ґрунт
71,Erde::N,сыджыт,земля
72,Staub::N,рыг,пил
73,Rauch::N,фӕздӕг,дим
74,Funke::N,цӕхӕр,іскра
75,Feuer::N,зынг,вогонь
76,Licht::N,рухс,світло
77,Schatten::N,аууон,тінь
78,Wetter::N,боныхъӕд,погода
79,Nebel::N,мигъ,туман
80,Wolke::N,ӕврагъ,хмара
81,Regen::N,уарын,дощ
82,Schnee::N,мит,сніг
83,Eis::N,их,лід
84,Frost::N,ихæн,мороз
85,Kälte::N,уазал,холод
86,Hitze::N,ӕнтӕф,жар
87,Raureif::N,халас,іній
88,Regenbogen::N,арвырон,райдуга
89,Regenbogen::N,арвырдын,райдуга
90,Donner::N,æрвнæрын,грім
91,Strömung::N,цыд,струмина
92,Tropfen::N,æртах,крапля
93,Schaum::N,фынк,піна
94,Schmutz::N,цъыф,бруд
95,See::N,цад,озеро
96,Sumpf::N,цъыфдзаст,драговина
97,Moor::N,цъыфдзаст,болото
98,Wiese::N,уыгӕрдӕн,луг
99,Wiese::N,уыгӕрдӕн,лука
100,Wald::N,хъӕд,ліс
101,Hügel::N,обау,горб
102,Hügel::N,къуыбыр,горб
103,Anhöhe::N,уæлвæз,височина
104,Anhöhe::N,уæлхох,височина
105,Berg::N,хох,гора
106,Gipfel::N,цъупп,вершина
107,Höhle::N,лӕгӕт,печера
108,Abhang::N,къул,схил
109,Quelle::N,суадон,джерело
110,Bach::N,мӕсчъыдон,струмок
111,Fluss::N,дон,річка
112,Fluss::N,цӕугӕдон,річка
113,Ufer::N,был,берег
114,Küste::N,донбыл,узбережжя
115,Festland::N,сурзæхх,суша
116,Meer::N,денджыз,море
117,Bucht::N,донбакæлæн,бухта
118,Bucht::N,донбакæлæн,затока
119,Insel::N,сакъадах,острів
120,Blume::N,дидинӕг,квітка
121,Gras::N,кӕрдӕг,трава
122,Wurzel::N,уидаг,корінь
123,Baum::N,бӕлас,дерево
124,Stamm::N,хӕтӕл,стовбур
125,Rinde::N,цъар,кора
126,Ast::N,арх,гілка
127,Zweig::N,къалиу,галузь
128,Blatt::N,сыф,лист
129,Birke::N,бæрз,береза
130,Kiefer[Baum]::N,нӕзы,сосна
131,Weide[Baum]::N,хӕрис,верба
132,Tanne::N,наз,ялиця
133,Horn::N,сыкъа,ріг
134,Feder::N,сис,перо
135,Fell::N,царм,хутро
136,Flügel::N,базыр,крило
137,Klaue::N,ных,кіготь
138,Kralle::N,дзӕмбы,лапа
139,Schwanz::N,къӕдзил,хвіст
140,Ei::N,айк,яйце
141,Nest::N,ахстон,гніздо
142,Bau::N,хуынкъ,лігво
143,Tier::N,сырд,тварина
144,Tier::N,цӕрӕгой,тварина
145,Herde::N,дзуг,стадо
146,Herde::N,рӕгъау,стадо
147,Kuh::N,хъуг,корова
148,Bulle::N,гал,бик
149,Bulle::N,гал,бугай
150,Pferd::N,бӕх,кінь
151,Schaf::N,фыс,вівця
152,Schwein::N,хуы,свиня
153,Hund::N,куыдз,собака
154,Katze::N,гӕды,кішка
155,Bär::N,арс,ведмідь
156,Eichhörnchen::N,æхсæрæг,білка
157,Elch::N,цæгатаг саг,лось
158,Fuchs::N,рувас,лисиця
159,Hase::N,тæрхъус,заєць
160,Maus::N,мыст,миша
161,Wolf::N,бирӕгъ,вовк
162,Vogel::N,цъиу,птах
163,Vogel::N,маргъ,птах
164,Schwarm::N,бал,зграя
165,Huhn::N,карк,курка
166,Hahn::N,уасӕг,півень
167,Gans::N,хъаз,гуска
168,Adler::N,цӕргӕс,орел
169,Ente::N,ацц,качка
170,Eule::N, уыг,сова
171,Eule::N,сидахъ,сова
172,Kranich::N,зырнæг,журавель
173,Kranich::N,хърихъупп,журавель
174,Krähe::N,халон,ворона
175,Kuckuck::N,гаккук,зозуля
176,Schwan::N,доныхъаз,лебідь
177,Fisch::N,кӕсаг,риба
178,Barsch::N,окунь,окунь
179,Hecht::N,хихор кӕсаг,щука
180,Schlange[Tier]::N,калм,змія
181,Wurm::N,зулкъ,черв’як
182,Wurm::N,къуыдыргалм,черв’як
183,Spinne::N,хӕлуарӕг,павук
184,Ameise::N,мæлдзыг,мурашка
185,Laus::N,сыст,воша
186,Mücke::N,къогъо,комар
187,Fliege::N,бындз,муха
188,Schmetterling::N,гæлæбу,метелик
189,Beere::N,гагадыргъ,ягода
190,Apfel::N,фӕткъуы,яблуко
191,Pilz::N,зокъо,гриб
192,Pilz::N,къозо,гриб
193,Zwiebel::N,хъӕдындз,цибуля
194,Saat::N,тауинаг,сім’я
195,Saat::N,мыггаг,сім’я
196,Korn::N,мыггаг,зерно
197,Korn::N,тауинаг,зерно
198,Heu::N,хос,сіно
199,Schale::N,цъар,шкірка
200,Grube::N,урм,яма
201,Grube::N,къахт,яма
202,Grube::N,дзыхъхъ,яма
203,Falle::N,цъысым,пастка
204,Falle::N,къӕппӕг,пастка
205,Schlinge::N,цасм,петля
206,Spur::N,фæд,слід
207,Asche::N,фӕнык,зола
208,Asche::N,фӕнык,попіл
209,Asche::N,ӕртхутӕг,зола
210,Asche::N,ӕртхутӕг,попіл
211,Dreck::N,цъыф,бруд
212,Eisen::N,ӕфсӕйнаг,залізо
213,Gold::N,сыгъзӕрин,золото
214,Silber::N,ӕвзист,срібло
215,Kohle::N,ӕвзалы,вугілля
216,Glas::N,авг,скло
217,Lehm::N,ӕлыг,глина
218,Sand::N,змис,пісок
219,Mensch::N,лӕг,людина
220,Mensch::N,адӕймаг,людина
221,Mensch::N,удгоймаг,людина
222,Mann::N,лӕг,чоловік
223,Mann::N,нӕлгоймаг,чоловік
224,Frau::N,сылгоймаг,жінка
225,Kind::N,сывӕллон,дитина
226,Junge::N,лӕппу,хлопець
227,Mädchen::N,чызг,дівчина
228,Familie::N,бинонтæ,сім’я
229,Familie::N,бинонтæ,родина
230,Großvater::N,фыдыфыд,дідусь
231,Großvater::N,мадыфыд,дідусь
232,Großmutter::N,фыды мад,бабуся
233,Großmutter::N,мады мад,бабуся
234,Eltern::N,ныййарджытæ,батьки
235,Vater::N,фыд,батько
236,Mutter::N,мад,мати
237,Sohn::N,фырт,син
238,Tochter::N,чызг,дочка
239,Bruder::N,ӕфсымӕр,брат
240,Schwester::N,хо,сестра
241,Onkel::N,фыдыфсымӕр,дядько
242,Tante::N,мадыхо,тітка
243,Ehemann::N,мой,чоловік
244,Ehefrau::N,ус,жінка
