,Concept_ID,it,ga
0,Auge::N,occhio,súil
1,Ohr::N,orecchio,cluas
2,Nase::N,naso,soc
3,Mund::N,bocca,béal
4,Zahn::N,dente,fiacail
5,Zunge::N,lingua,teanga
6,Lippe::N,labbro,liopa
7,Wange::N,guancia,grua
8,Wange::N,guancia,leiceann
9,Gesicht::N,viso,éadan
10,Gesicht::N,viso,aghaidh
11,Gesicht::N,faccia,éadan
12,Gesicht::N,faccia,aghaidh
13,Stirn::N,fronte,baithis
14,Stirn::N,fronte,clár éadain
15,Haar::N,capello,gruaig
16,Schnurrbart::N,baffi,croiméal
17,Schnurrbart::N,mustacchi,croiméal
18,Bart::N,barba,féasóg
19,Kinn::N,mento,smig
20,Kiefer[Anatomie]::N,mascella,giall
21,Kehle::N,gola,scornach
22,Hals::N,collo,muinéal
23,Genick::N,nuca,baic
24,Kopf::N,capo,ceann
25,Kopf::N,testa,ceann
26,Rücken::N,dorso,droim
27,Rücken::N,schiena,droim
28,Bauch::N,ventre,bolg
29,Nabel::N,ombelico,imleacán
30,Busen::N,seno,cíoch
31,Brust::N,petto,brollach
32,Schulter::N,spalla,gualainn
33,Arm::N,braccio,lámh
34,Ellenbogen::N,gomito,uillinn
35,Hand::N,mano,lámh
36,Handfläche::N,palma,bos
37,Finger::N,dito,méar
38,Fingernagel::N,unghia,ionga
39,Nagel[Anatomie]::N,unghia,ionga
40,Zeh::N,dito del piede,ladhar
41,Fuß::N,piede,cos
42,Fuß::N,piede,troigh
43,Ferse::N,tallone,sáil
44,Ferse::N,calcagno,sáil
45,Knie::N,ginocchio,glúin
46,Oberschenkel::N,fèmore,ceathrú
47,Bein::N,gamba,cos
48,Körper::N,corpo,corp
49,Körper::N,corpo,colainn
50,Haut::N,pelle,cneas
51,Haut::N,pelle,craiceann
52,Blut::N,sangue,fuil
53,Ader::N,vena,
54,Sehne::N,tèndine,teannán
55,Sehne::N,tèndine,féitheog
56,Knochen::N,osso,cnámh
57,Gehirn::N,cervello,inchinn
58,Herz::N,cuore,croí
59,Magen::N,stòmaco,bolg
60,Magen::N,stòmaco,goile
61,Leber::N,fegato,ae
62,Atem::N,fiato,anáil
63,Atem::N,respiro,anáil
64,Hunger::N,fame,ocras
65,Träne::N,làcrima,deoir
