,Concept_ID,bg,ku
0,Auge::N,око,çav
1,Ohr::N,ухо,guh
2,Nase::N,нос,bêvil
3,Mund::N,уста,dev
4,Zahn::N,зъб,didan
5,Zunge::N,език,ziman
6,Lippe::N,устна,lêv
7,Wange::N,буза,dêm
8,Wange::N,буза,hinarik
9,Gesicht::N,лице,rû
10,Gesicht::N,образ,rû
11,Stirn::N,чело,enî
12,Haar::N,коса,por
13,Haar::N,косъм,por
14,Schnurrbart::N,мустаци,simbêl
15,Bart::N,брада,rih
16,Kinn::N,брада,zenî
17,Kinn::N,брадичка,zenî
18,Kiefer[Anatomie]::N,челюст,arguşk
19,Kehle::N,гърло,qirik
20,Hals::N,врат,stû
21,Hals::N,врат,qirik
22,Genick::N,тил,stû
23,Kopf::N,глава,serî
24,Rücken::N,гръб,pişt
25,Bauch::N,корем,ûr
26,Bauch::N,корем,zik
27,Nabel::N,пъп,navik
28,Busen::N,бозка,sîng
29,Brust::N,гръд,sîng
30,Schulter::N,рамо,mil
31,Schulter::N,плещи,mil
32,Arm::N,ръка,çepil
33,Ellenbogen::N,лакът,enîşk
34,Hand::N,ръка,dest
35,Hand::N,китка,dest
36,Handfläche::N,длан,kefadest
37,Finger::N,пръст,tilî
38,Fingernagel::N,нокът,neynuk
39,Nagel[Anatomie]::N,нокът,bizmar
40,Zeh::N,пръст на крак,tilî linga
41,Fuß::N,крак,ling
42,Fuß::N,нога,ling
43,Ferse::N,пета,pahnî
44,Knie::N,коляно,kabok
45,Oberschenkel::N,бедро,rahn
46,Bein::N,крак,çip
47,Bein::N,нога,çip
48,Körper::N,тяло,laş
49,Körper::N,тяло,gowde
50,Haut::N,кожа,çerm
51,Blut::N,кръв,xwîn
52,Ader::N,вена,reh
53,Ader::N,артерия,reh
54,Sehne::N,жила,reh
55,Sehne::N,сухожилие,reh
56,Knochen::N,кост,hestî
57,Gehirn::N,мозък,mêjî
58,Herz::N,сърце,dil
59,Magen::N,стомах,navêş
60,Leber::N,черен дроб,kezeb
61,Atem::N,дишане,hilm
62,Hunger::N,глад,birçîtî
63,Träne::N,сълза,hêstir
64,Geschmack::N,вкус,tam
65,Geruch::N,миризма,bêhn
66,Schlaf::N,сън,xew
67,Traum::N,сън,xewn
68,Himmel::N,небе,ezman
69,Sonne::N,слънце,roj
70,Mond::N,луна,heyv
71,Mond::N,месец,heyv
72,Stern::N,звезда,stêrk
73,Luft::N,въздух,ba
74,Wind::N,вятър,ba
75,Welle::N,вълна,şewl
76,Wasser::N,вода,av
77,Stein::N,камък,kevir
78,Boden::N,земя,herd
79,Boden::N,почва,herd
