,Concept_ID,lv,ady
0,Auge::N,син,нэ
1,Auge::N,acs,нэ
2,Ohr::N,пель,тхьакӏу́м
3,Ohr::N,auss,тхьакӏу́м
4,Nase::N,ныр,пэ
5,Nase::N,deguns,пэ
6,Mund::N,вом,жэ
7,Mund::N,mute,жэ
8,Zahn::N,пинь,цэ
9,Zahn::N,zobs,цэ
10,Zunge::N,кыв,бзэгу
11,Zunge::N,mēle,бзэгу
12,Lippe::N,вом дор,ӏупшӏэ́
13,Lippe::N,lūpa,ӏупшӏэ́
14,Wange::N,бан,нэкӏу́шъу
15,Wange::N,vaigs,нэкӏу́шъу
16,Gesicht::N,чужӧм,нэ́гу
17,Gesicht::N,seja,нэ́гу
18,Gesicht::N,ģīmis,нэ́гу
19,Stirn::N,плеш,натӏэ́
20,Stirn::N,кымӧс,натӏэ́
21,Stirn::N,piere,натӏэ́
22,Haar::N,си,шъхьацы́
23,Haar::N,юрси,шъхьацы́
24,Haar::N,mats,шъхьацы́
25,Schnurrbart::N,ус,
26,Schnurrbart::N,пыртсим,
27,Schnurrbart::N,ūsas,
28,Bart::N,тош,жакӏэ́
29,Bart::N,bārda,жакӏэ́
30,Kinn::N,тшӧка,жэкӏэпэпкъ
31,Kinn::N,zods,жэкӏэпэпкъ
32,Kinn::N,smakrs,жэкӏэпэпкъ
33,Kiefer[Anatomie]::N,черлы,жэпкъы́
34,Kiefer[Anatomie]::N,алака лы,жэпкъы́
35,Kiefer[Anatomie]::N,вомкӧтш лы,жэпкъы́
36,Kiefer[Anatomie]::N,žoklis,жэпкъы́
37,Kehle::N,голя,чый
38,Kehle::N,rīkle,чый
39,Hals::N,сьылі,пшъэ
40,Hals::N,kakls,пшъэ
41,Genick::N,юрбӧр,шъхьэпхэтыку
42,Genick::N,балябӧж,шъхьэпхэтыку
43,Genick::N,sprands,шъхьэпхэтыку
44,Kopf::N,юр,шъхьэ́
45,Kopf::N,galva,шъхьэ́
46,Rücken::N,мыш,кӏыбы́
47,Rücken::N,mugura,кӏыбы́
48,Bauch::N,рушку,ныбэ́
49,Bauch::N,vēders,ныбэ́
50,Nabel::N,гӧг,
51,Nabel::N,naba,
52,Busen::N,морӧс,бгъэ́
53,Busen::N,krūts,бгъэ́
54,Brust::N,морӧс,бгъэ́
55,Brust::N,krūts,бгъэ́
56,Schulter::N,пельпом,блыпкъ
57,Schulter::N,plecs,блыпкъ
58,Arm::N,ки,ӏэ
59,Arm::N,roka,ӏэ
60,Arm::N,delms,ӏэ
61,Ellenbogen::N,гырддза,ӏэнтэ́гъу
62,Ellenbogen::N,elkonis,ӏэнтэ́гъу
63,Hand::N,ки,ӏэтхьэцу
64,Hand::N,roka,ӏэтхьэцу
65,Hand::N,plauksta,ӏэтхьэцу
66,Handfläche::N,ки пыдӧс,ӏэ́гу
67,Handfläche::N,delna,ӏэ́гу
68,Handfläche::N,plauksta,ӏэ́гу
69,Finger::N,чунь,ӏэхъуа́мб
70,Finger::N,pirksts,ӏэхъуа́мб
71,Fingernagel::N,гыж,ӏэбжъа́н
72,Fingernagel::N,nags,ӏэбжъа́н
73,Nagel[Anatomie]::N,гыж,ӏэбжъа́н
74,Nagel[Anatomie]::N,nags,ӏэбжъа́н
75,Zeh::N,кок чунь,ӏэхъуа́мб
76,Zeh::N,pirksts,ӏэхъуа́мб
77,Fuß::N,кок,лъэгу
78,Fuß::N,kāja,лъэгу
79,Ferse::N,кокбӧр,лъэдакъэ
80,Ferse::N,papēdis,лъэдакъэ
81,Knie::N,пидзӧс,лъагуа́ндж
82,Knie::N,celis,лъагуа́ндж
83,Oberschenkel::N,лядьвей,ко
84,Oberschenkel::N,бек,ко
85,Oberschenkel::N,ciska,ко
86,Oberschenkel::N,augšstilbs,ко
87,Bein::N,кок,лъакъо́
88,Bein::N,kāja,лъакъо́
89,Körper::N,туша,пкъышъол
90,Körper::N,вывтыр,пкъышъол
91,Körper::N,miesa,пкъышъол
92,Körper::N,ķermenis,пкъышъол
93,Haut::N,ку,кӏы́шъу
94,Haut::N,āda,кӏы́шъу
95,Blut::N,вир,лъы
96,Blut::N,asins,лъы
97,Ader::N,сӧн,льытф
98,Ader::N,asinsvads,льытф
99,Sehne::N,вез,фэ
100,Sehne::N,dzīsla,фэ
101,Knochen::N,лы,къупшъхьэ́
102,Knochen::N,kauls,къупшъхьэ́
103,Gehirn::N,вем,куцӏы
104,Gehirn::N,smadzenes,куцӏы
105,Herz::N,сьӧлӧм,гу
106,Herz::N,sirds,гу
107,Magen::N,кынӧм,мышкӏу
108,Magen::N,kuņģis,мышкӏу
109,Leber::N,мус,шӏу
110,Leber::N,aknas,шӏу
111,Atem::N,лов,къэщэныр
112,Atem::N,elpa,къэщэныр
113,Hunger::N,тшыг,гъаблэ́
114,Hunger::N,bads,гъаблэ́
115,Hunger::N,izsalkums,гъаблэ́
116,Träne::N,синва,нэпсы
117,Träne::N,asara,нэпсы
118,Geschmack::N,кӧр,ӏэшӏугъа́кӏ
119,Geschmack::N,чӧсмӧс,ӏэшӏугъа́кӏ
120,Geschmack::N,garša,ӏэшӏугъа́кӏ
121,Geruch::N,зын,мэ
122,Geruch::N,дук,мэ
123,Geruch::N,smaka,мэ
124,Schlaf::N,узьӧм,пчыхьы́пӏ
125,Schlaf::N,miegs,пчыхьы́пӏ
126,Traum::N,вӧт,пчыхьы́пӏ
127,Traum::N,вӧтасьӧм,пчыхьы́пӏ
128,Traum::N,sapnis,пчыхьы́пӏ
129,Himmel::N,енэж,уашъо́
130,Himmel::N,debess,уашъо́
131,Sonne::N,шонді,тыгъэ
132,Sonne::N,saule,тыгъэ
133,Mond::N,тӧлысь,мазэ
134,Mond::N,mēness,мазэ
135,Stern::N,кодзув,жъуагъо́
136,Stern::N,zvaigzne,жъуагъо́
137,Luft::N,сынӧд,жьы
138,Luft::N,gaiss,жьы
139,Wind::N,тӧв,жьыбгъэ́
140,Wind::N,vējš,жьыбгъэ́
141,Welle::N,гы,ор
142,Welle::N,гы,оры
143,Welle::N,vilnis,ор
144,Welle::N,vilnis,оры
145,Wasser::N,ва,псы
146,Wasser::N,ūdens,псы
147,Stein::N,из,мыжъо́
148,Stein::N,akmens,мыжъо́
149,Boden::N,му,чӏ́ыгу
150,Boden::N,augsne,чӏ́ыгу
151,Erde::N,му,чӏ́ыгу
152,Erde::N,му-ва,чӏ́ыгу
153,Erde::N,zeme,чӏ́ыгу
154,Staub::N,бус,сап
155,Staub::N,putekļi,сап
156,Rauch::N,тшын,ӏугъо́
157,Rauch::N,dūmi,ӏугъо́
158,Funke::N,кинь,мэшӏуа́ч
159,Funke::N,би кинь,мэшӏуа́ч
160,Funke::N,dzirkstele,мэшӏуа́ч
161,Feuer::N,би,машӏо́
162,Feuer::N,uguns,машӏо́
163,Licht::N,югӧр,нэфы
164,Licht::N,югӧр,нэфын
165,Licht::N,gaisma,нэфы
166,Licht::N,gaisma,нэфын
167,Schatten::N,вуджӧр,жьау́
168,Schatten::N,вуджӧр,ныбжьыкъу
169,Schatten::N,ēna,жьау́
170,Schatten::N,ēna,ныбжьыкъу
171,Wetter::N,поводдя,
172,Wetter::N,laiks,
173,Nebel::N,ру,пща́гъу
174,Nebel::N,онь,пща́гъу
175,Nebel::N,migla,пща́гъу
176,Wolke::N,кымӧр,ошъуапщэ
177,Wolke::N,mākonis,ошъуапщэ
178,Regen::N,зэр,ощхы
179,Regen::N,lietus,ощхы
180,Schnee::N,лым,осы́
181,Schnee::N,sniegs,осы́
182,Eis::N,йи,мылы
183,Eis::N,ledus,мылы
184,Frost::N,кӧдзыд,
185,Frost::N,sals,
186,Kälte::N,кӧдзыд,чъыӏэ́
187,Kälte::N,saltums,чъыӏэ́
188,Kälte::N,aukstums,чъыӏэ́
189,Hitze::N,пӧсь,фэба́е
190,Hitze::N,гожӧд,фэба́е
191,Hitze::N,karstums,фэба́е
192,Raureif::N,пуж,
193,Raureif::N,гыӧр,
194,Raureif::N,sarma,
195,Regenbogen::N,ӧшкамӧшка, лэгъупэкъо́пс
196,Regenbogen::N,varavīksne, лэгъупэкъо́пс
197,Donner::N,гым,шыблэ́
198,Donner::N,pērkons,шыблэ́
199,Strömung::N,ва ныр,ток
200,Strömung::N,визувтӧм,ток
201,Strömung::N,straume,ток
202,Strömung::N,strāvojums,ток
203,Tropfen::N,войт,ткӏопс
204,Tropfen::N,войт,гъуаткӏу
205,Tropfen::N,lāse,ткӏопс
206,Tropfen::N,lāse,гъуаткӏу
207,Schaum::N,быг,тхъурбэ
208,Schaum::N,быгзьӧм,тхъурбэ
209,Schaum::N,putas,тхъурбэ
210,Schmutz::N,няйт,псынжъы
211,Schmutz::N,dubļi,псынжъы
212,See::N,ты,хыку́м
213,See::N,ты,псыхъура́й
214,See::N,ezers,хыку́м
215,See::N,ezers,псыхъура́й
216,Sumpf::N,гыбад,орыжъ
217,Sumpf::N,кад,орыжъ
218,Sumpf::N,dumbrājs,орыжъ
219,Sumpf::N,staignājs,орыжъ
220,Moor::N,нюр,орыжъ
221,Moor::N,purvs,орыжъ
222,Moor::N,muklājs,орыжъ
223,Wiese::N,видз,хъупӏэ́
224,Wiese::N,видз,мэкъупӏ
225,Wiese::N,pļava,хъупӏэ́
226,Wiese::N,pļava,мэкъупӏ
227,Wald::N,вӧр,мэзы́
228,Wald::N,mežs,мэзы́
229,Hügel::N,дзиб,ӏуашъхь
230,Hügel::N,мыльк,ӏуашъхь
231,Hügel::N,нӧрыс,ӏуашъхь
232,Hügel::N,paugurs,ӏуашъхь
233,Anhöhe::N,мыльк,чӏыӏэтыгъ
234,Anhöhe::N,нӧрыс,чӏыӏэтыгъ
235,Anhöhe::N,paugurs,чӏыӏэтыгъ
236,Berg::N,чой,къушъхьэ́
237,Berg::N,керӧс,къушъхьэ́
238,Berg::N,kalns,къушъхьэ́
239,Gipfel::N,чук,шыгу
240,Gipfel::N,virsotne,шыгу
241,Höhle::N,рудӧг,гъочӏэгъ
242,Höhle::N,ala,гъочӏэгъ
243,Abhang::N,ньывк,чапэ
244,Abhang::N,бокша,чапэ
245,Abhang::N,nogāze,чапэ
246,Quelle::N,ӧшмӧс,псынэчэ́чъ
247,Quelle::N,avots,псынэчэ́чъ
248,Bach::N,шор,псышкуашку
249,Bach::N,urga,псышкуашку
250,Bach::N,strauts,псышкуашку
251,Fluss::N,ю,псыхъо́
252,Fluss::N,upe,псыхъо́
253,Ufer::N,вадор,нэпкъы
254,Ufer::N,krasts,нэпкъы
255,Küste::N,вадор,ӏушъо
256,Küste::N,piekraste,ӏушъо
257,Festland::N,му,чӏл́ыгу
258,Festland::N,sauszeme,чӏл́ыгу
259,Meer::N,саридз,хы
260,Meer::N,jūra,хы
261,Bucht::N,куръя,хыблыгу
262,Bucht::N,līcis,хыблыгу
263,Insel::N,ді,хыгъэхъу́н
264,Insel::N,sala,хыгъэхъу́н
265,Blume::N,дзоридз,къэгъа́гь
266,Blume::N,puķe,къэгъа́гь
267,Blume::N,zieds,къэгъа́гь
268,Gras::N,турун,уцы́
269,Gras::N,zāle,уцы́
270,Wurzel::N,вуж,лъапсэ́
271,Wurzel::N,sakne,лъапсэ́
272,Baum::N,пу,чъыгы́
273,Baum::N,koks,чъыгы́
274,Stamm::N,пучер,пкъы
275,Stamm::N,stumbrs,пкъы
276,Rinde::N,кырсь,пхъашъо́
277,Rinde::N,miza,пхъашъо́
278,Ast::N,ув,куамэ
279,Ast::N,zars,куамэ
280,Zweig::N,вож,къутамэ́
281,Zweig::N,nozare,къутамэ́
282,Blatt::N,кор,тхьап
283,Blatt::N,lapa,тхьап
284,Birke::N,кыдз,пчэн
285,Birke::N,bērzs,пчэн
286,Kiefer[Baum]::N,пожӧм,сэснэй
287,Kiefer[Baum]::N,priede,сэснэй
288,Weide[Baum]::N,бадь,пце́л
289,Weide[Baum]::N,kārkls,пце́л
290,Tanne::N,коз,ель
291,Tanne::N,egle,ель
292,Horn::N,сюр,бжъэ
293,Horn::N,rags,бжъэ
294,Feder::N,гӧн,къамӏы́й
295,Feder::N,тывборд,къамӏы́й
296,Feder::N,spalva,къамӏы́й
297,Fell::N,ку,шъо
298,Fell::N,āda,шъо
299,Flügel::N,борд,тамэ́
300,Flügel::N,spārns,тамэ́
301,Klaue::N,гыж,лъэбжъа́н
302,Klaue::N,nags,лъэбжъа́н
303,Kralle::N,гыж,лъакъо
304,Kralle::N,nags,лъакъо
305,Schwanz::N,бӧж,кӏэ
306,Schwanz::N,ļipa,кӏэ
307,Ei::N,кольк,кӏэнкӏэ́
308,Ei::N,ola,кӏэнкӏэ́
309,Nest::N,поз,набгъо́
310,Nest::N,ligzda,набгъо́
311,Bau::N,горс,гъу
312,Bau::N,горс,бы
313,Bau::N,пырмӧс,гъу
314,Bau::N,пырмӧс,бы
315,Bau::N,гу,гъу
316,Bau::N,гу,бы
317,Bau::N,ala,гъу
318,Bau::N,ala,бы
319,Tier::N,пемӧс,псэу́шъхь
320,Tier::N,dzīvnieks,псэу́шъхь
321,Herde::N,стада,ӏэхъогъу
322,Herde::N,кельӧб,ӏэхъогъу
323,Herde::N,ganāmpulks,ӏэхъогъу
324,Kuh::N,мӧс,чэмы́
325,Kuh::N,govs,чэмы́
326,Bulle::N,ӧш,цу
327,Bulle::N,bullis,цу
328,Pferd::N,вӧв,шы
329,Pferd::N,zirgs,шы
330,Schaf::N,ыж,мэлы́
331,Schaf::N,aita,мэлы́
332,Schwein::N,порсь,къо
333,Schwein::N,cūka,къо
334,Hund::N,пон,бьэ
