,Concept_ID,ba,se
0,Auge::N,күҙ,tjelmie
1,Auge::N,күҙ,tjalmme
2,Auge::N,күҙ,čalbmi
3,Auge::N,күҙ,čalme
4,Auge::N,күҙ,čâ´lmm
5,Auge::N,күҙ,ча̄лльм
6,Ohr::N,ҡолаҡ,bieljie
7,Ohr::N,ҡолаҡ,biellje
8,Ohr::N,ҡолаҡ,beallji
9,Ohr::N,ҡолаҡ,pelji
10,Ohr::N,ҡолаҡ,pe´llj
11,Ohr::N,ҡолаҡ,пе̄лльй
12,Nase::N,танау,njuenie
13,Nase::N,танау,njunnje
14,Nase::N,танау,njunni
15,Nase::N,танау,njuṇe
16,Nase::N,танау,njuu´nn
17,Nase::N,танау,нюннҍ
18,Mund::N,ауыҙ,njaelmie
19,Mund::N,ауыҙ,njálmme
20,Mund::N,ауыҙ,njálbmi
21,Mund::N,ауыҙ,njälmi
22,Mund::N,ауыҙ,njä´lmm
23,Mund::N,ауыҙ,ня̄лльм
24,Zahn::N,теш,baenie
25,Zahn::N,теш,bádne
26,Zahn::N,теш,bátni
27,Zahn::N,теш,pääṇi
28,Zahn::N,теш,pää´nn
29,Zahn::N,теш,па̄ннҍ
30,Zunge::N,тел,njoektjeme
31,Zunge::N,тел,njuovtjav
32,Zunge::N,тел,njuovčča
33,Zunge::N,тел,njuovčâ
34,Zunge::N,тел,njuhččâm
35,Zunge::N,тел,нюхчем
36,Lippe::N,ирен,bangseme
37,Lippe::N,ирен,njálmmerabdda
38,Lippe::N,ирен,bavssa
39,Lippe::N,ирен,poovsâ
40,Lippe::N,ирен,põõus
41,Lippe::N,ирен,пэ̄кс
42,Wange::N,яцаҡтар,skiehrie
43,Wange::N,яцаҡтар,nierra
44,Wange::N,яцаҡтар,muohtu
45,Wange::N,яцаҡтар,nieṛâ
46,Wange::N,яцаҡтар,njiõrr
47,Wange::N,яцаҡтар,нӣрр
48,Gesicht::N,бит,ååredæjja
49,Gesicht::N,бит,muohto
50,Gesicht::N,бит,muođut
51,Gesicht::N,бит,ámadadju
52,Gesicht::N,бит,muáđuh
53,Gesicht::N,бит,muâđ
54,Gesicht::N,бит,ка̄ссв
55,Stirn::N,маңлай,gaalloe
56,Stirn::N,маңлай,gállo
57,Stirn::N,маңлай,gállu
58,Stirn::N,маңлай,kállu
59,Stirn::N,маңлай,käll
60,Stirn::N,маңлай,вуэххьц
61,Haar::N,сәс,voepte
