,Concept_ID,kv,be
0,Auge::N,син,вока
1,Ohr::N,пель,вуха
2,Nase::N,ныр,нос
3,Mund::N,ӧм,рот
4,Zahn::N,пинь,зуб
5,Zunge::N,кыв,язык
6,Lippe::N,тырп,губа
7,Wange::N,рожабан,шчака
8,Gesicht::N,бан,твар
9,Stirn::N,кымӧс,лоб
10,Haar::N,юрси,волас
11,Haar::N,юрси,валасы
12,Schnurrbart::N,уссэз,вус
13,Schnurrbart::N,уссэз,вусы
14,Bart::N,тош,барада
15,Kinn::N,тшӧка,падбародак
16,Kiefer[Anatomie]::N,ан,сківіца
17,Kehle::N,юан,горла
18,Hals::N,юан,шыя
19,Genick::N,юр бӧр,патыліца
20,Kopf::N,юр,галава
21,Rücken::N,мышк,спіна
22,Bauch::N,кынӧм,жывот
23,Nabel::N,гӧг,пупок
24,Busen::N,морос,грудзі
25,Brust::N,морос,грудзі
26,Schulter::N,пельпон,плячо
27,Arm::N,ки,рука
28,Ellenbogen::N,гырдзза,локаць
29,Hand::N,кикар,кісць
30,Handfläche::N,ки пыдӧс,далонь
31,Finger::N,чунь,палец
32,Fingernagel::N,гыж,ногаць
33,Nagel[Anatomie]::N,гыж,ногаць
34,Zeh::N,чунь,палец
35,Fuß::N,кокпыдӧс,нага
36,Ferse::N,кокдзир,пята
37,Ferse::N,кокдзир,пятка
38,Knie::N,пидзӧс,калена
39,Oberschenkel::N,лядьбей,бядро
40,Oberschenkel::N,лядьбей,сцягно
41,Bein::N,кок,нага
42,Körper::N,вывтыр,цела
43,Haut::N,кучик,скура
44,Blut::N,вир,кроў
45,Ader::N,сӧн,вена
46,Ader::N,сӧн,сасуд
47,Sehne::N,жила,жыла
48,Sehne::N,жила,цеціва
49,Sehne::N,жила,сухажылле
50,Knochen::N,коска,косць
51,Gehirn::N,вем,мозг
52,Herz::N,сьӧлӧм,сэрца
53,Magen::N,жӧвдӧк,страўнік
54,Leber::N,мус,печань
55,Atem::N,лолалӧм,дыханне
56,Hunger::N,тшыг,голад
57,Träne::N,синва,сляза
58,Geschmack::N,кӧр,смак
59,Geruch::N,дук,пах
60,Schlaf::N,он,сон
61,Traum::N,вӧт,сон
62,Himmel::N,небо,неба
