,Concept_ID,ja,myv
0,Auge::N,目,сельме
1,Ohr::N,耳,пиле
2,Nase::N,鼻,судо
3,Mund::N,口,курго
4,Zahn::N,歯,пей
5,Zunge::N,舌,кель
6,Lippe::N,唇,турва
7,Wange::N,頬,чамабока
8,Wange::N,頬,чамаумарь
9,Gesicht::N,顔,чама
10,Stirn::N,額,коня
11,Haar::N,髪,черь
12,Schnurrbart::N,口髭,ус
13,Schnurrbart::N,口髭,муюк
14,Bart::N,髭,сакал
15,Kinn::N,顎,уло
16,Kiefer[Anatomie]::N,顎,пейпакар
17,Kiefer[Anatomie]::N,顎,пейловажа
18,Kehle::N,喉,кирьгапарь
19,Hals::N,首,кирьга
20,Genick::N,首,човонь
21,Kopf::N,頭,пря
22,Rücken::N,背中,копорь
23,Bauch::N,腹,пеке
24,Bauch::N,お腹,пеке
25,Nabel::N,へそ,почо
26,Busen::N,乳房,поте
27,Brust::N,胸,меште
28,Schulter::N,肩,лавтов
29,Arm::N,腕,кедь
30,Ellenbogen::N,肘,кенерепакарь
31,Hand::N,手,кедь
32,Handfläche::N,手のひら,кедькуншка
33,Handfläche::N,手のひら,кедьлапушка
34,Finger::N,指,сур
35,Fingernagel::N,爪,кенже
36,Nagel[Anatomie]::N,爪,кенже
37,Zeh::N,足の指,пильге сур
38,Fuß::N,足,пильге
39,Ferse::N,かかと,кочкаря
40,Knie::N,膝,эле
41,Knie::N,膝,эзне
42,Knie::N,膝,кумажа
43,Oberschenkel::N,上腿,качо
44,Bein::N,足,пильге
45,Körper::N,体,рунго
46,Haut::N,皮膚,киське
47,Blut::N,血,верь
48,Ader::N,血管,сан
49,Sehne::N,腱,коське сан
50,Knochen::N,骨,пакарь
51,Gehirn::N,脳,удем
52,Herz::N,心,седей
53,Herz::N,心臓,седей
54,Magen::N,胃,пеке
55,Leber::N,肝臓,максо
56,Atem::N,息,лексема
57,Atem::N,息,оймень таргсема
58,Atem::N,呼吸,лексема
59,Atem::N,呼吸,оймень таргсема
60,Hunger::N,空腹,вачочи
61,Träne::N,涙,селведь
62,Geschmack::N,味,тансть
63,Geruch::N,匂い,чине
64,Schlaf::N,睡眠,удома
65,Traum::N,夢,он
66,Himmel::N,空,менель
67,Sonne::N,太陽,чи
68,Mond::N,月,ков
69,Stern::N,星,теште
70,Luft::N,空気,кошт
71,Wind::N,風,варма
72,Welle::N,波,толкун
73,Wasser::N,水,ведь
74,Stein::N,石,кев
75,Boden::N,土地,мода
