,Concept_ID,myv,la
190,Krähe::N,варака,cornix
191,Kuckuck::N,куко,cuculus
192,Schwan::N,локсей,olor
193,Schwan::N,локсей,cycnus
194,Fisch::N,кал,piscis
195,Barsch::N,окунь,perca
196,Hecht::N,щука,esox
197,Schlange[Tier]::N,гуй,serpens
198,Wurm::N,сукс,vermis
199,Spinne::N,шанжав,aranea
200,Ameise::N,коткудав,formica
201,Laus::N,сий,pediculus
202,Mücke::N,сеське,culex
203,Fliege::N,карво,musca
204,Schmetterling::N,нимиляв,papilio
205,Beere::N,умарь,baca
206,Apfel::N,умарь,malum
207,Pilz::N,панго,fungus
208,Zwiebel::N,чурька,cepa
209,Saat::N,видьметь,seges
210,Korn::N,сюро,granum
211,Heu::N,тикше,faenum
212,Schale::N,кедь,putamen
213,Schale::N,ваткавкс,putamen
214,Grube::N,латко,fovea
215,Falle::N,тувор,pedica
216,Falle::N,кундамка,pedica
217,Schlinge::N,килькш,laqueus
218,Spur::N,челькс,vestigium
219,Spur::N,пильгеки,vestigium
220,Asche::N,кулов,cinis
221,Dreck::N,рудаз,lutum
222,Eisen::N,кшни,ferrum
223,Gold::N,сырне,aurum
224,Silber::N,сия,argentum
225,Kohle::N,сэдь,carbo
226,Kohle::N,уголия,carbo
227,Glas::N,сулика,vitrum
228,Lehm::N,сёвонь,lutum
229,Sand::N,човар,arena
230,Mensch::N,ломань,homo
231,Mann::N,аля,vir
232,Mann::N,цёраломань,vir
233,Frau::N,ава,mulier
234,Kind::N,эйкакш,puer
235,Kind::N,эйкакш,infans
236,Junge::N,цёрыне,puer
237,Mädchen::N,тейтерне,puella
238,Familie::N,семия,familia
239,Großvater::N,покштя,avus
240,Großmutter::N,баба,avia
241,Eltern::N,тетят-ават,parentes
242,Vater::N,тетя,pater
243,Mutter::N,ава,mater
244,Sohn::N,цёра,filius
245,Tochter::N,тейтерь,filia
246,Bruder::N,леля,frater
247,Bruder::N,ялакс,frater
248,Schwester::N,сазор,soror
249,Onkel::N,леля,patruus
250,Onkel::N,леля,avunculus
251,Tante::N,патя,amita
252,Ehemann::N,мирде,maritus
253,Ehefrau::N,ни,uxor
254,Freude::N,кеняркс,gaudium
255,Freude::N,кеняркс,laetitia
256,Gelächter::N,ракамо,risus
257,Gelächter::N,пейдема,risus
258,Glück::N,уцяска,felicitas
259,Kummer::N,рискс,aegritudo
260,Kummer::N,мелявкс,aegritudo
261,Wunsch::N,мель,voluntas
262,Wunsch::N,мель,desiderium
263,Wunsch::N,бажамо,voluntas
264,Wunsch::N,бажамо,desiderium
265,Lust::N,бажамо,libido
266,Lust::N,бажамо,voluptas
267,Geist::N,ойме,mens
268,Geist::N,ойме,animus
269,Gedanke::N,мель,sententia
270,Gedächtnis::N,мель,memoria
271,Verstand::N,прев,ratio
272,Verstand::N,прев,ingenium
273,Sinn::N,толк,sensus
274,Sinn::N,смысла,sensus
275,Grund::N,тувтал,causa
276,Wahrheit::N,видечи,veritas
277,Gespräch::N,кортнема,sermo
278,Märchen::N,ёвкс,fabula
279,Erzählung::N,ёвтнема,fabula
280,Erzählung::N,ёвтнема,narratio
281,Nachricht::N,куля,nuntius
282,Neuigkeit::N,куля,novitas
283,Name::N,лем,nomen
284,Rätsel::N,содамоёвкс,aenigma
285,Rede::N,кортамо,oratio
286,Sprache::N,кель,lingua
287,Stimme::N,ваигель,vox
288,Wort::N,вал,verbum
289,Wort::N,вал,vocabulum
290,Zeichen::N,теште,signum
291,Ruf::N,тердема,clamor
292,Lärm::N,шалнома,strepitus
293,Laut::N,вайгель,sonus
294,Ton::N,гайнема,sonus
295,Lied::N,моро,carmen
296,Ruhe::N,оймамо,quies
297,Leute::N,ломанть,homines
298,Volk::N,народ,populus
299,Arbeit::N,тев,labor
300,Gast::N,инже,hospes
301,Gast::N,инже,conviva
302,Geschenk::N,казне,munus
303,Spiel::N,налксема,ludus
304,Gesellschaft::N,община,societas
305,Hilfe::N,лездамо,auxilium
306,Hilfe::N,лездамо,subsidium
307,Freund::N,оя,amicus
308,Freund::N,ялга,amicus
309,Kamerad::N,оя,socius
310,Kamerad::N,ялга,socius
311,Angelegenheit::N,тев,res
312,Anzahl::N,ламоксчи,numerus
313,Art::N,вид,genus
314,Stück::N,пакш,frustum
315,Stück::N,пакш,fragmentum
316,Stück::N,пелькс,frustum
317,Stück::N,пелькс,fragmentum
318,Teil::N,часть,pars
319,Teil::N,пелькс,pars
320,Hälfte::N,пель,dimidium
321,Hälfte::N,пелькс,dimidium
322,Kreis::N,кирькс,orbis
323,Kreis::N,кирькс,circus
324,Kreuz::N,крёст,crux
325,Linie::N,кикс,linea
326,Strich::N,межа,lineamentum
327,Abstand::N,ютко,intervallum
328,Entfernung::N,ютко,spatium
329,Gegend::N,тарка,loca
330,Gegend::N,тарка,regio
331,Gegend::N,пертьпелькс,loca
332,Gegend::N,пертьпелькс,regio
333,Platz::N,васолкс,locus
334,Ort::N,тарка,locus
335,Seite::N,ён,latus
336,Seite::N,чире,latus
337,Mitte::N,куншка,medium
338,Gegenstand::N,предмет,res
339,Sache::N,тев,res
340,Sache::N,веща,res
341,Rand::N,пе,margo
342,Rand::N,чире,margo
343,Kante::N,ирдез,angulus
344,Ecke::N,ужо,angulus
345,Spitze::N,пряне,cacumen
346,Spitze::N,пе,cacumen
347,Ende::N,пе,caput
348,Loch::N,варя,foramen
349,Winkel::N,ужо,angulus
350,Muster::N,сёрма,exemplum
