,Concept_ID,tt,sah
0,Auge::N,күз,харах
1,Ohr::N,колак,кулгаах
2,Nase::N,борын,мурун
3,Mund::N,авыз,айах
4,Mund::N,тамак,айах
5,Zahn::N,теш,тиис
6,Zunge::N,тел,тыл
7,Lippe::N,ирен,уос
8,Wange::N,яңак,иэдэс
9,Gesicht::N,йөз,сирэй
10,Stirn::N,маңгай,сүүс
11,Haar::N,чәч,баттах
12,Schnurrbart::N,мыек,уос бытыга
13,Bart::N,сакал,сэҥийэ бытыга
14,Kinn::N,ияк,сэҥийэ
15,Kiefer[Anatomie]::N,казналык,сыҥаах
16,Kehle::N,тамак,тамах
17,Kehle::N,тамак,күөмэй
18,Hals::N,бугаз,моой
19,Genick::N,җилкә,кэтэх
20,Kopf::N,баш,бас
21,Rücken::N,сырт,көҕүс
22,Bauch::N,корсак,ис
23,Nabel::N,кендек,киин
24,Busen::N,түш,эмиий
25,Brust::N,имчәк,түөс
26,Brust::N,күкрәк,түөс
27,Schulter::N,иңбаш,сарын
28,Schulter::N,кулбаш,сарын
29,Arm::N,кул,илии
30,Ellenbogen::N,терсәк,тоҕонох
31,Hand::N,кул,илии
32,Handfläche::N,уч,ытыс
33,Finger::N,бармак,тарбах
34,Fingernagel::N,тырнак,тыҥырах
35,Nagel[Anatomie]::N,тырнак,тыҥырах
36,Zeh::N,бармак,тарбах
37,Fuß::N,табан,уллуҥах
38,Ferse::N,үкчә,тилэх
39,Knie::N,тез,тобук
40,Knie::N,тез,дьилбэк
41,Oberschenkel::N,бот,уллук
42,Oberschenkel::N,бот,өттүк
43,Bein::N,аяк,атах
44,Körper::N,тән,бэйэ
45,Körper::N,җисем,бэйэ
46,Haut::N,тире,тирии
47,Blut::N,кан,хаан
48,Ader::N,тамыр,вена
49,Ader::N,тамыр,күөх_тымыр
50,Sehne::N,сеңер,иҥиир
51,Knochen::N,сөяк,уҥуох
52,Knochen::N,сөяк,уҥгуох
53,Gehirn::N,ми,мэйии
54,Herz::N,йөрәк,сүрэх
55,Magen::N,ашказаны,куртах
56,Leber::N,бавыр,быар
57,Atem::N,сулыш,тыын
58,Hunger::N,ачлык,аас
59,Träne::N,яшь,харах уута
60,Geschmack::N,тәм,амтан
61,Geschmack::N,зәвык,амтан
62,Geruch::N,ис,сыт
63,Schlaf::N,йокы,утуйуу
64,Traum::N,төш,түүл
65,Himmel::N,күк,халлаан
66,Sonne::N,кояш,күн
67,Mond::N,ай,ый
68,Stern::N,йолдыз,сулус
69,Luft::N,һава,салгын
70,Wind::N,җил,тыал
71,Welle::N,дулкын,долгун
72,Welle::N,дулкын,балхаан
73,Wasser::N,су,уу
74,Stein::N,таш,таас
75,Boden::N,туфрак,сир
76,Erde::N,җир,буор
77,Staub::N,тузан,быыл
78,Rauch::N,төтен,буруо
79,Funke::N,очкын,кыым
80,Feuer::N,ут,уот
81,Licht::N,якты,уот
82,Schatten::N,күләгә,күлүк
83,Wetter::N,һава,күн-дьыл
84,Nebel::N,томан,туман
85,Wolke::N,болыт,былыт
86,Regen::N,яңгыр,самыыр
87,Schnee::N,кар,хаар
88,Eis::N,боз,муус
89,Frost::N,суык,тымныы
90,Frost::N,салкын,тымныы
91,Kälte::N,суык,тымныы
92,Kälte::N,салкын,тымныы
93,Hitze::N,эсселек,куйаас
94,Raureif::N,бәс,кырыа
95,Raureif::N,сыкы,кырыа
96,Regenbogen::N,салават күпере,кустук
97,Donner::N,күкрәү,этиҥ
98,Strömung::N,агыш'агым,сүүрүк
99,Tropfen::N,тамчы,таммах
100,Tropfen::N,тамчы,хааппыла
101,Schaum::N,күбек,күүгэн
102,Schmutz::N,пычрак,кир
103,See::N,күл,күөл
104,Sumpf::N,саз,бадараан
105,Moor::N,торфлык,дьэбэрэ
106,Wiese::N,болын,ходуһа
107,Wald::N,урман,ойуур
108,Hügel::N,калку,булгунньах
109,Anhöhe::N,үр,үрдэл
110,Berg::N,тау,хайа
111,Gipfel::N,оч,чыпчаал
112,Höhle::N,мәгарә,хайа_хаспаҕа
113,Höhle::N,мәгарә,көҥүс
114,Abhang::N,кабырга,эниэ
115,Quelle::N,чишмә,дьүүктэ
116,Bach::N,елга,үрүйэ
117,Fluss::N,дәрья,өрүс
118,Ufer::N,су кырые,биэрэк
119,Küste::N,яр буе,кытыл
120,Festland::N,коры җир,кураанах сир
121,Meer::N,диңгез,муора
122,Bucht::N,бухта,хомо
123,Bucht::N,бухта,бухта
124,Bucht::N,култык,хомо
125,Bucht::N,култык,бухта
126,Insel::N,атау,арыы
127,Insel::N,утрау,арыы
128,Blume::N,чәчкә,сибэкки
129,Gras::N,үлән,от
130,Wurzel::N,тамыр,силис
131,Baum::N,агач,мас
132,Stamm::N,кәүсә,умнас
133,Rinde::N,кабык,хатырык
134,Ast::N,ботак,мутук
135,Zweig::N,ботак,лабаа
136,Zweig::N,тармак,лабаа
137,Blatt::N,яфрак,сэбирдэх
138,Birke::N,каен,хатыҥ
139,Kiefer[Baum]::N,нарат,бэс
140,Weide[Baum]::N,тал,үөт
141,Weide[Baum]::N,тал,талах
142,Tanne::N,чыршы,харыйа
143,Horn::N,мөгез,муос
144,Feder::N,йон,куорсун
145,Fell::N,тире,тирии
146,Flügel::N,канат,кынат
147,Klaue::N,тырнак,тыҥырах
148,Kralle::N,тырнак,баппаҕай
149,Schwanz::N,койрык,кутурук
150,Ei::N,күкәй,сымыыт
151,Ei::N,йомырка,сымыыт
152,Nest::N,оя,уйа
153,Bau::N,өн,хороон
154,Tier::N,хайван,кыыл
155,Tier::N,хайван,харамай
156,Herde::N,көтү,үөр
157,Kuh::N,сыер,ынах
158,Bulle::N,үгез,оҕус
159,Pferd::N,ат,сылгы
160,Schaf::N,сарык,овца
161,Schwein::N,дуңгыз,сибиинньэ
162,Hund::N,эт,ыт
163,Katze::N,песи,куоска
164,Bär::N,аю,эһэ
165,Eichhörnchen::N,тиен,тииҥ
166,Elch::N,поши,тайах
167,Fuchs::N,төлке,саһыл
168,Hase::N,куян,куобах
169,Maus::N,тычкан,кутуйах
170,Wolf::N,бүре,бөрө
171,Vogel::N,кош,көтөр
172,Schwarm::N,көтү,бөлөх
173,Huhn::N,тавык,куурусса
174,Hahn::N,әтәч,бөтүүк
175,Gans::N,каз,хаас
176,Adler::N,каракош,хотой
177,Ente::N,үрдәк,кус
178,Eule::N,ябалак,мэкчиргэ
179,Kranich::N,торна,туруйа
180,Krähe::N,карга,тураах
181,Kuckuck::N,күке,кэҕэ
182,Kuckuck::N,кәккүк,кэҕэ
183,Schwan::N,аккош,куба
184,Fisch::N,балык,балык
185,Barsch::N,алабуга,алыһар
186,Hecht::N,чуртан,сордон
187,Schlange[Tier]::N,елан,моҕой
188,Schlange[Tier]::N,елан,эриэн үөн
189,Wurm::N,корт,үөн
190,Spinne::N,үрмәкүч,ооҕуй
191,Ameise::N,кырмыска,кымырдаҕас
192,Laus::N,бет,быт
193,Mücke::N,черки,кумаар
194,Mücke::N,озынборын,кумаар
195,Fliege::N,чебен,сахсырҕа
196,Schmetterling::N,күбәләк,лыах
197,Schmetterling::N,күбәләк,үрүмэччи
198,Beere::N,җиләк,отон
199,Apfel::N,алма,яблоко
200,Pilz::N,гөмбә,тэллэй
201,Zwiebel::N,суган,луук
202,Zwiebel::N,суганбаш,луук
203,Saat::N,орлык,сиэмэ
204,Korn::N,иген,сиэмэ
205,Korn::N,орлык,сиэмэ
206,Heu::N,печән,от
207,Schale::N,кабык,хах
