,Concept_ID,ps,br
0,Auge::N,سترګه,lagad
1,Ohr::N,غوږ,skouarn
2,Nase::N,پوزه,fri
3,Mund::N,خوله,genoù
4,Zahn::N,غاښ,dant
5,Zunge::N,جبه,teod
6,Lippe::N,شونډه,muzell
7,Wange::N,باړخو,chot
8,Gesicht::N,مخ,dremm
9,Stirn::N,تندی,tal
10,Stirn::N,وچولی,tal
11,Haar::N,وېښته,blev
12,Schnurrbart::N,برېت,mourenn
13,Bart::N,ږیره,barv
14,Kinn::N,زنه,groñj
15,Kiefer[Anatomie]::N,جامه,javed
16,Kehle::N,غاړه,gouzoug
17,Hals::N,غاړه,gouzoug
18,Genick::N,ورمېږ,choug
19,Kopf::N,سر,penn
20,Rücken::N,شا,kein
21,Bauch::N,نس,kof
22,Bauch::N,ګېډه,kof
23,Nabel::N,نوم,begel
24,Busen::N,تی,bronn
25,Brust::N,سینه,bruched
26,Schulter::N,اوږه,skoaz
27,Arm::N,لاس,brec'h
28,Ellenbogen::N,څنګل,ilin
29,Hand::N,لاس,dorn
30,Handfläche::N,ورغوی,palv
31,Finger::N,ګوته,biz
32,Fingernagel::N,نوک,ivin
33,Nagel[Anatomie]::N,نوک,ivin
34,Zeh::N,ګوته,biz-troad
35,Fuß::N,پښه,troad
36,Ferse::N,پونده,seul
37,Knie::N,زنګون,glin
38,Oberschenkel::N,پتون,morzhed
39,Bein::N,پښه,gar
40,Körper::N,ځان,korf
41,Haut::N,پوټکی,kroc'hen
42,Blut::N,وینه,gwad
43,Ader::N,رګ,gwazhi
44,Sehne::N,پله,stir
45,Knochen::N,هډوکی,askorn
46,Gehirn::N,ماغزه,empenn
47,Herz::N,زړه,kalon
48,Magen::N,معده,stomog
49,Leber::N,ينه,avu
50,Leber::N,ځیګر,avu
51,Atem::N,نفس,anal
52,Hunger::N,ولږه,naon
53,Träne::N,اوښکه,daer
54,Geschmack::N,مزه,blaz
55,Geschmack::N,خوند,blaz
56,Geruch::N,بوی,c'hwezh
57,Schlaf::N,خوب,kousked
58,Traum::N,خوب,hune
59,Himmel::N,اسمان,oabl
60,Sonne::N,لمر,heol
61,Mond::N,سپوږمۍ,loar
62,Stern::N,ستوری,steredenn
63,Luft::N,هوا,aer
64,Wind::N,ورښ,avel
65,Welle::N,موج,houlenn
66,Wasser::N,اوبه,dour
67,Stein::N,ډبره,maen
68,Boden::N,مځکه,tachenn
69,Erde::N,خاوره,douar
70,Staub::N,ګرد,poultr
71,Staub::N,خاوره,poultr
72,Rauch::N,دود,moged
73,Rauch::N,لوګی,moged
74,Funke::N,سپرغۍ,ful
75,Feuer::N,اور,tan
76,Licht::N,رڼا,gouloù
77,Schatten::N,سیوری,disheol
78,Wetter::N,هوا,amzer
79,Nebel::N,لړه,brumenn
80,Wolke::N,ورېځ,koumoulenn
81,Regen::N,وریا,glav
82,Regen::N,باران,glav
83,Schnee::N,واوره,erc'h
84,Eis::N,یخ,skorn
85,Eis::N,کنګل,skorn
86,Frost::N,یخ,rev
87,Kälte::N,ساړه,yen
88,Hitze::N,تودوخي,tommder
89,Raureif::N,سپینه پرخه,frim
90,Regenbogen::N,بوډۍ ټال,gwareg-ar-glav
91,Regenbogen::N,سره زرغونه,gwareg-ar-glav
92,Donner::N,تالنده,kurun
93,Strömung::N,بهېدنه,red
94,Tropfen::N,قطره,bannac'h
95,Tropfen::N,قطره,takenn
96,Tropfen::N,څاڅکی,bannac'h
97,Tropfen::N,څاڅکی,takenn
98,Schaum::N,ځګ,spoum
99,Schmutz::N,ناپاکي,fank
100,See::N,جهیل,lenn
101,Sumpf::N,جبه,gwern
102,Moor::N,جبه,taouarc'heg
103,Wiese::N,چمن,prad
104,Wiese::N,شنېلی,prad
105,Wald::N,ځنګل,koad
106,Hügel::N,تپه,torgenn
107,Anhöhe::N,غونډۍ,run
108,Berg::N,غ‍‍‍‍‍ر,menez
109,Gipfel::N,څوکه,barr
110,Höhle::N,کاز,kav
111,Abhang::N,لمن,naou
112,Quelle::N,چینه,feunteun
113,Bach::N,واله,gwazh
114,Fluss::N,سیند,stêr
115,Ufer::N,غاړه,ribl
116,Küste::N,ساحل,aod
117,Festland::N,وچه,douar
118,Meer::N,بحر,mor
119,Meer::N,سمندر,mor
120,Bucht::N,کارۍ,mor-bihan
121,Insel::N,ټاپو,enez
122,Insel::N,جزيره,enez
123,Blume::N,ګل,bleunienn
124,Gras::N,واښه,geot
125,Wurzel::N,ریښه,gwrizienn
126,Baum::N,ونه,gwezenn
127,Stamm::N,ډډ,kef
128,Rinde::N,پوستکی,rusk
129,Ast::N,ښاخ,barr
130,Zweig::N,څانګه,bod
131,Blatt::N,پاڼه,delienn
132,Birke::N,توس,bezvenn
133,Kiefer[Baum]::N,نښتر,pinenn
134,Weide[Baum]::N,وله,halegenn
135,Tanne::N,ناجو,sapenn
136,Horn::N,ښکر,korn
137,Feder::N,بڼکه,pluñv
138,Fell::N,پوستکی,kreoñ
139,Flügel::N,وزر,askell
140,Klaue::N,پنجه,skilf
141,Klaue::N,منګول,skilf
142,Kralle::N,پنجه,skilf
143,Kralle::N,منګول,skilf
144,Schwanz::N,لکۍ,lost
145,Ei::N,وۍ,vi
146,Ei::N,هګۍ,vi
147,Nest::N,جاله,neizh
148,Bau::N,کاز,douarenn
149,Tier::N,ژوی,loen
150,Tier::N,حیوان,loen
151,Herde::N,رمه,tropell
152,Herde::N,غېله,tropell
153,Kuh::N,غوا,buoc'h
154,Bulle::N,غوئی,tarv
155,Pferd::N,آس,marc'h
156,Schaf::N,پسه,dañvad
157,Schwein::N,سرکوزی,pemoc'h
158,Hund::N,سپی,ki
159,Katze::N,پشه,kazh
160,Bär::N,خرس,arzh
161,Eichhörnchen::N,خړ لمی,gwiñver
162,Elch::N,ګوزن,karv-dour
163,Fuchs::N,سپلم,louarn
164,Hase::N,سوی,gad
165,Maus::N,مږک,logodenn
166,Wolf::N,لېوه,bleiz
167,Vogel::N,مرغه,labous
168,Schwarm::N,سېل,nijad
169,Huhn::N,چرګه,yar
170,Hahn::N,چرګ,kilhog
171,Gans::N,بته,gwazenn
172,Adler::N,عقاب,erer
173,Ente::N,ایلۍ,houad
174,Eule::N,ګونګی,toud
175,Kranich::N,کلنګ,garan
176,Krähe::N,کارغه,bran
177,Kuckuck::N,فاخته,koukoug
178,Schwan::N,قو,alarc'h
179,Fisch::N,کب,pesk
180,Fisch::N,ماهی,pesk
181,Schlange[Tier]::N,مار,naer
182,Wurm::N,چینجی,preñv
183,Spinne::N,غڼه,kevnidenn
184,Spinne::N,تارکښ,kevnidenn
185,Ameise::N,مېږی,merion
186,Laus::N,سپږه,laouenn
187,Mücke::N,ماشی,moustik
188,Fliege::N,مچ,kelienenn
189,Schmetterling::N,پتنګ,balafenn
190,Beere::N,مېوۍ,hog
191,Apfel::N,مڼه,aval
192,Pilz::N,خرېړی,kabell-touseg
193,Zwiebel::N,پیاز,ognonenn
194,Saat::N,تخم,had
195,Korn::N,تخم,ed
196,Korn::N,دانه,ed
197,Heu::N,بوس,foenn
198,Heu::N,پروړه,foenn
199,Schale::N,پوستکی,peliadur
200,Grube::N,کنده,
201,Falle::N,دام,pech
202,Falle::N,لومه,pech
203,Schlinge::N,کړۍ,krouglas
204,Spur::N,نښه,
205,Asche::N,آس,ludu
