,Concept_ID,bg,en
0,Auge::N,око,eye
1,Ohr::N,ухо,ear
2,Nase::N,нос,nose
3,Mund::N,уста,mouth
4,Zahn::N,зъб,tooth
5,Zunge::N,език,tongue
6,Lippe::N,устна,lip
7,Wange::N,буза,cheek
8,Gesicht::N,лице,face
9,Gesicht::N,образ,face
10,Stirn::N,чело,forehead
11,Haar::N,коса,hair
12,Haar::N,косъм,hair
13,Schnurrbart::N,мустаци,moustache
14,Bart::N,брада,beard
15,Kinn::N,брада,chin
16,Kinn::N,брадичка,chin
17,Kiefer[Anatomie]::N,челюст,jaw
18,Kehle::N,гърло,throat
19,Hals::N,врат,neck
20,Genick::N,тил,nape
21,Kopf::N,глава,head
22,Rücken::N,гръб,back
23,Rücken::N,гръб,spine
24,Bauch::N,корем,belly
25,Nabel::N,пъп,navel
26,Busen::N,бозка,bosom
27,Brust::N,гръд,chest
28,Brust::N,гръд,breast
29,Schulter::N,рамо,shoulder
30,Schulter::N,плещи,shoulder
31,Arm::N,ръка,arm
32,Ellenbogen::N,лакът,elbow
33,Hand::N,ръка,hand
34,Hand::N,китка,hand
35,Handfläche::N,длан,palm
36,Finger::N,пръст,finger
37,Fingernagel::N,нокът,fingernail
38,Nagel[Anatomie]::N,нокът,nail
39,Zeh::N,пръст на крак,toe
40,Fuß::N,крак,foot
41,Fuß::N,нога,foot
42,Ferse::N,пета,heel
43,Knie::N,коляно,knee
44,Oberschenkel::N,бедро,thigh
45,Bein::N,крак,leg
46,Bein::N,нога,leg
47,Körper::N,тяло,body
48,Haut::N,кожа,skin
49,Blut::N,кръв,blood
50,Ader::N,вена,vein
51,Ader::N,артерия,vein
52,Sehne::N,жила,sinew
53,Sehne::N,сухожилие,sinew
54,Knochen::N,кост,bone
55,Gehirn::N,мозък,brain
56,Herz::N,сърце,heart
57,Magen::N,стомах,stomach
58,Leber::N,черен дроб,liver
59,Atem::N,дишане,breath
60,Hunger::N,глад,hunger
61,Träne::N,сълза,tear
62,Geschmack::N,вкус,flavour
63,Geschmack::N,вкус,flavor
64,Geruch::N,миризма,odour
65,Geruch::N,миризма,odor
66,Schlaf::N,сън,sleep
67,Traum::N,сън,dream
68,Himmel::N,небе,sky
69,Sonne::N,слънце,sun
70,Mond::N,луна,moon
71,Mond::N,месец,moon
72,Stern::N,звезда,star
73,Luft::N,въздух,air
74,Wind::N,вятър,wind
75,Welle::N,вълна,wave
76,Wasser::N,вода,water
77,Stein::N,камък,stone
78,Boden::N,земя,soil
79,Boden::N,земя,ground
80,Boden::N,почва,soil
81,Boden::N,почва,ground
82,Erde::N,земя,earth
83,Erde::N,почва,earth
84,Staub::N,прах,dust
85,Rauch::N,дим,smoke
86,Rauch::N,пушек,smoke
87,Funke::N,искра,spark
88,Feuer::N,огън,fire
89,Licht::N,светлина,light
90,Schatten::N,сянка,shadow
91,Wetter::N,време,weather
92,Nebel::N,мъгла,fog
93,Wolke::N,облак,cloud
94,Regen::N,дъжд,rain
95,Schnee::N,сняг,snow
96,Eis::N,лед,ice
97,Frost::N,мраз,frost
98,Kälte::N,студ,chill
99,Hitze::N,жега,heat
100,Hitze::N,горещина,heat
101,Raureif::N,скреж,hoarfrost
102,Raureif::N,слана,hoarfrost
103,Regenbogen::N,дъга,rainbow
104,Donner::N,гръм,thunder
105,Strömung::N,течение,current
106,Tropfen::N,капка,drop
107,Schaum::N,пяна,foam
108,Schmutz::N,кал,dirt
109,Schmutz::N,мръсотия,dirt
110,See::N,езеро,lake
111,Sumpf::N,блато,swamp
112,Moor::N,мочурище,moor
113,Wiese::N,ливада,meadow
114,Wald::N,гора,forest
115,Hügel::N,рид,hill
116,Hügel::N,хълм,hill
117,Anhöhe::N,могила,elevation
118,Anhöhe::N,възвишение,elevation
