,Concept_ID,,vep
0,Auge::N,,sil'm
1,Ohr::N,,korv
2,Nase::N,,nena
3,Mund::N,,su
4,Zahn::N,,pi
5,Zahn::N,,hambaz
6,Zunge::N,,kel'
7,Lippe::N,,hul'
8,Wange::N,,modpolišk
9,Gesicht::N,,mod
10,Stirn::N,,oc
11,Haar::N,,tuk
12,Haar::N,,hibuz
13,Schnurrbart::N,,habinod
14,Bart::N,,bard
15,Kinn::N,,löug
16,Kiefer[Anatomie]::N,,hambazlu
17,Kehle::N,,kurk
18,Hals::N,,kagl
19,Genick::N,,tagarai
20,Kopf::N,,pä
21,Rücken::N,,sel'g
22,Bauch::N,,vac
23,Bauch::N,,koht
24,Nabel::N,,naba
25,Busen::N,,niža
26,Brust::N,,rind
27,Schulter::N,,oug
28,Arm::N,,käzi
29,Ellenbogen::N,,künambruz
30,Hand::N,,käzi
31,Hand::N,,käzitera
32,Handfläche::N,,kämen
33,Finger::N,,sor'm
34,Fingernagel::N,,künz'
35,Nagel[Anatomie]::N,,künz'
36,Zeh::N,,barbaz
37,Fuß::N,,jaug
38,Ferse::N,,kand
39,Knie::N,,komb
40,Knie::N,,pol'v
41,Oberschenkel::N,,riiže
42,Bein::N,,jaug
43,Körper::N,,hibj
44,Haut::N,,nahk
45,Blut::N,,čak
46,Blut::N,,veri
47,Ader::N,,son'
48,Sehne::N,,jände
49,Knochen::N,,lu
50,Gehirn::N,,aivod
51,Herz::N,,südäin
52,Magen::N,,südäikoht
53,Leber::N,,maks
54,Atem::N,,hengaiduz
55,Hunger::N,,näl'g
56,Träne::N,,kündal'
57,Geschmack::N,,magu
58,Geruch::N,,haju
59,Schlaf::N,,uni
60,Traum::N,,unikuva
61,Himmel::N,,taivaz
62,Sonne::N,,päiväine
63,Mond::N,,kudmaine
64,Stern::N,,tähtaz
65,Luft::N,,il'm
66,Wind::N,,döl
67,Wind::N,,tullei
68,Welle::N,,ald
69,Welle::N,,laineh
70,Wasser::N,,vezi
71,Stein::N,,kivi
72,Boden::N,,ma
73,Boden::N,,pohj
74,Erde::N,,ma
75,Staub::N,,pölü
76,Rauch::N,,savu
77,Funke::N,,kibin
78,Feuer::N,,lämoi
79,Licht::N,,vauktuz
80,Schatten::N,,pil'vez
81,Schatten::N,,kuvahaine
82,Wetter::N,,sä
