,Concept_ID,lt,cs
0,Auge::N,akis,oko
1,Ohr::N,ausis,ucho
2,Nase::N,nosis,nos
3,Mund::N,burna,pusa
4,Zahn::N,dantis,zub
5,Zunge::N,liežuvis,jazyk
6,Lippe::N,lūpa,ret
7,Wange::N,žandas,tvář
8,Wange::N,skruostas,tvář
9,Gesicht::N,veidas,obličej
10,Stirn::N,kakta,čelo
11,Haar::N,plaukai,vlas
12,Haar::N,plaukai,vlasy
13,Schnurrbart::N,ūsai,kníry
14,Bart::N,barzda,vousy
15,Kinn::N,smakras,brada
16,Kiefer[Anatomie]::N,žandikaulis,čelist
17,Kehle::N,gerklė,hrdlo
18,Hals::N,kaklas,krk
19,Genick::N,sprandas,týl
20,Kopf::N,galva,hlava
21,Rücken::N,nugara,záda
22,Rücken::N,nugara,hřbet
23,Bauch::N,pilvas,břicho
24,Nabel::N,bamba,pupek
25,Busen::N,krūtinė,ňadra
26,Brust::N,krūtis,prsa
27,Schulter::N,petys,plece
28,Schulter::N,petys,rameno
29,Arm::N,ranka,ruka
30,Ellenbogen::N,alkūnė,loket
31,Hand::N,ranka,ruka
32,Hand::N,plaštaka,ruka
33,Handfläche::N,delnas,dlaň
34,Handfläche::N,plaštaka,dlaň
35,Finger::N,pirštas,prst
36,Fingernagel::N,nagas,nehet
37,Nagel[Anatomie]::N,nagas,nehet
38,Zeh::N,pirštas,prst u nohy
39,Fuß::N,pėda,noha
40,Ferse::N,kulnas,pata
41,Knie::N,kelis,koleno
42,Oberschenkel::N,kulšis,stehno
43,Oberschenkel::N,šlaunis,stehno
44,Bein::N,koja,noha
45,Körper::N,kūnas,tělo
46,Haut::N,oda,kůže
47,Blut::N,kraujas,krev
48,Ader::N,kraujagyslė,céva
49,Sehne::N,sausgyslė,šlacha
50,Knochen::N,kaulas,kost
51,Gehirn::N,smegenys,mozek
52,Herz::N,širdis,srdce
53,Magen::N,skrandis,žaludek
54,Leber::N,kepenys,játra
55,Atem::N,kvapas,dech
56,Hunger::N,badas,hlad
57,Hunger::N,alkis,hlad
58,Träne::N,ašara,slza
59,Geschmack::N,skonis,vkus
60,Geruch::N,kvapas,vůně
61,Geruch::N,kvapas,zápach
62,Schlaf::N,miegas,spánek
63,Traum::N,sapnas,sen
64,Himmel::N,dangus,nebe
65,Sonne::N,saulė,slunce
66,Mond::N,mėnulis,měsíc
67,Stern::N,žvaigždė,hvězda
68,Luft::N,oras,vzduch
69,Wind::N,vėjas,vítr
70,Welle::N,banga,vlna
71,Welle::N,vilnis,vlna
72,Wasser::N,vanduo,voda
73,Stein::N,akmuo,kámen
74,Boden::N,žemė,půda
75,Boden::N,dugnas,půda
76,Erde::N,žemė,země
77,Staub::N,dulkės,prach
78,Rauch::N,dūmai,dým
79,Rauch::N,dūmai,kouř
80,Funke::N,kibirkštis,jiskra
81,Feuer::N,ugnis,oheň
82,Licht::N,šviesa,světlo
83,Schatten::N,paūksmė,stín
84,Wetter::N,oras,počasí
85,Nebel::N,migla,mlha
86,Nebel::N,rūkas,mlha
87,Wolke::N,debesis,mrak
