,Concept_ID,pt,ga
0,Auge::N,olho,súil
1,Ohr::N,orelha,cluas
2,Nase::N,nariz,soc
3,Mund::N,boca,béal
4,Zahn::N,dente,fiacail
5,Zunge::N,língua,teanga
6,Lippe::N,lábio,liopa
7,Wange::N,face,grua
8,Wange::N,face,leiceann
9,Gesicht::N,cara,éadan
10,Gesicht::N,cara,aghaidh
11,Gesicht::N,rosto,éadan
12,Gesicht::N,rosto,aghaidh
13,Stirn::N,testa,baithis
14,Stirn::N,testa,clár éadain
15,Haar::N,cabelo,gruaig
16,Schnurrbart::N,bigode,croiméal
17,Bart::N,barba,féasóg
18,Kinn::N,queixo,smig
19,Kiefer[Anatomie]::N,maxila,giall
20,Kiefer[Anatomie]::N,mandíbula,giall
21,Kehle::N,garganta,scornach
22,Hals::N,colo,muinéal
23,Hals::N,pescoço,muinéal
24,Genick::N,nuca,baic
25,Kopf::N,cabeça,ceann
26,Rücken::N,dorso,droim
27,Rücken::N,costas,droim
28,Bauch::N,ventre,bolg
29,Bauch::N,barriga,bolg
30,Nabel::N,umbigo,imleacán
31,Busen::N,seio,cíoch
32,Brust::N,peito,brollach
33,Schulter::N,ombro,gualainn
34,Arm::N,braço,lámh
35,Ellenbogen::N,cotovelo,uillinn
36,Hand::N,mão,lámh
37,Handfläche::N,palma,bos
38,Handfläche::N,palma da mão,bos
39,Finger::N,dedo,méar
40,Fingernagel::N,unha,ionga
41,Nagel[Anatomie]::N,unha,ionga
42,Zeh::N,dedo do pé,ladhar
43,Fuß::N,pé,cos
44,Fuß::N,pé,troigh
45,Ferse::N,calcanhar,sáil
46,Knie::N,joelho,glúin
47,Oberschenkel::N,coxa,ceathrú
48,Bein::N,perna,cos
49,Körper::N,corpo,corp
50,Körper::N,corpo,colainn
51,Haut::N,pele,cneas
52,Haut::N,pele,craiceann
53,Blut::N,sangue,fuil
54,Ader::N,veia,
55,Sehne::N,tendão,teannán
56,Sehne::N,tendão,féitheog
57,Knochen::N,osso,cnámh
58,Gehirn::N,cérebro,inchinn
59,Herz::N,coração,croí
60,Magen::N,estômago,bolg
61,Magen::N,estômago,goile
62,Leber::N,fígado,ae
63,Atem::N,fôlego,anáil
64,Hunger::N,fome,ocras
65,Träne::N,lágrima,deoir
66,Geschmack::N,gosto,blas
