,Concept_ID,sah,el
0,Auge::N,харах,μάτι
1,Auge::N,харах,οφθαλμός
2,Ohr::N,кулгаах,αυτί
3,Nase::N,мурун,μύτη
4,Mund::N,айах,στόμα
5,Zahn::N,тиис,δόντι
6,Zunge::N,тыл,γλώσσα
7,Lippe::N,уос,χείλος
8,Wange::N,иэдэс,παρειά
9,Wange::N,иэдэс,μάγουλο
10,Gesicht::N,сирэй,πρόσωπο
11,Stirn::N,сүүс,μέτωπο
12,Haar::N,баттах,μαλλιά
13,Schnurrbart::N,уос бытыга,μουστάκι
14,Bart::N,сэҥийэ бытыга,γένια
15,Kinn::N,сэҥийэ,πιγούνι
16,Kiefer[Anatomie]::N,сыҥаах,σαγόνι
17,Kehle::N,тамах,λαρύγγι
18,Kehle::N,күөмэй,λαρύγγι
19,Hals::N,моой,λαιμός
20,Genick::N,кэтэх,σβέρκος
21,Kopf::N,бас,κεφάλι
22,Rücken::N,көҕүс,ράχη
23,Bauch::N,ис,κοιλιά
24,Nabel::N,киин,αφαλός
25,Busen::N,эмиий,στήθος
26,Brust::N,түөс,στήθος
27,Schulter::N,сарын,ώμος
28,Arm::N,илии,χέρι
29,Arm::N,илии,μπράτςο
30,Ellenbogen::N,тоҕонох,αγκώνας
31,Hand::N,илии,χέρι
32,Handfläche::N,ытыс,παλάμη
33,Finger::N,тарбах,δάχτυλο
34,Fingernagel::N,тыҥырах,νύχι
35,Nagel[Anatomie]::N,тыҥырах,νύχι
36,Zeh::N,тарбах,δάχτυλο του ποδιού
37,Fuß::N,уллуҥах,πόδι
38,Ferse::N,тилэх,φτέρνα
39,Knie::N,тобук,γόνατο
40,Knie::N,дьилбэк,γόνατο
41,Oberschenkel::N,уллук,μηρός
42,Oberschenkel::N,өттүк,μηρός
43,Bein::N,атах,πόδι
44,Körper::N,бэйэ,σώμα
45,Körper::N,бэйэ,κορμί
46,Haut::N,тирии,πετσί
47,Blut::N,хаан,αίμα
48,Ader::N,вена,φλέβα
49,Ader::N,күөх_тымыр,φλέβα
50,Sehne::N,иҥиир,νεύρο
51,Sehne::N,иҥиир,τένοντας
52,Knochen::N,уҥуох,οστό
53,Knochen::N,уҥуох,κόκκαλο
54,Knochen::N,уҥгуох,οστό
55,Knochen::N,уҥгуох,κόκκαλο
56,Gehirn::N,мэйии,μυαλό
57,Gehirn::N,мэйии,εγκέφαλος
58,Herz::N,сүрэх,καρδιά
59,Magen::N,куртах,στομάχι
60,Leber::N,быар,ήπαρ
61,Leber::N,быар,συκωτί
62,Atem::N,тыын,αναπνοή
63,Hunger::N,аас,πείνα
64,Träne::N,харах уута,δάκρυ
65,Geschmack::N,амтан,γεύση
66,Geruch::N,сыт,οσμή
67,Geruch::N,сыт,μυρωδία
68,Schlaf::N,утуйуу,ύπνος
69,Traum::N,түүл,όνειρο
70,Himmel::N,халлаан,ουρανός
71,Sonne::N,күн,ήλιος
72,Mond::N,ый,σελήνη
73,Mond::N,ый,φεγγάρι
74,Stern::N,сулус,άστρο
75,Stern::N,сулус,αστέρι
76,Luft::N,салгын,αέρας
77,Wind::N,тыал,αέρας
78,Wind::N,тыал,άνεμος
79,Welle::N,долгун,κύμα
80,Welle::N,балхаан,κύμα
81,Wasser::N,уу,νερό
82,Stein::N,таас,πέτρα
83,Boden::N,сир,χώμα
84,Erde::N,буор,γη
85,Staub::N,быыл,σκόνη
86,Rauch::N,буруо,καπνός
87,Funke::N,кыым,σπίθα
88,Funke::N,кыым,σπινθήρας
89,Feuer::N,уот,φωτιά
90,Licht::N,уот,φως
91,Schatten::N,күлүк,σκιά
92,Schatten::N,күлүк,ίσκιος
93,Wetter::N,күн-дьыл,καιρός
94,Nebel::N,туман,ομίχλη
95,Wolke::N,былыт,σύννεφο
96,Regen::N,самыыр,βροχή
97,Schnee::N,хаар,χιόνι
98,Eis::N,муус,πάγος
99,Frost::N,тымныы,παγωνία
100,Kälte::N,тымныы,κρύο
101,Kälte::N,тымныы,ψύχος
102,Hitze::N,куйаас,ζέστη
103,Raureif::N,кырыа,πάχνη
104,Regenbogen::N,кустук,ουράνιο τόξο
105,Donner::N,этиҥ,βροντή
106,Strömung::N,сүүрүк,ρεύμα
107,Tropfen::N,таммах,στάλα
108,Tropfen::N,хааппыла,στάλα
109,Schaum::N,күүгэн,αφρός
110,Schmutz::N,кир,βρωμιά
111,See::N,күөл,λίμνη
112,Sumpf::N,бадараан,βάλτος
113,Moor::N,дьэбэрэ,έλος
114,Wiese::N,ходуһа,λιβάδι
115,Wald::N,ойуур,δάσος
116,Hügel::N,булгунньах,λόφος
117,Anhöhe::N,үрдэл,ύψωμα
118,Berg::N,хайа,όρος
119,Berg::N,хайа,βουνό
120,Gipfel::N,чыпчаал,κορυφή
121,Höhle::N,хайа_хаспаҕа,σπηλιά
122,Höhle::N,көҥүс,σπηλιά
123,Abhang::N,эниэ,πλαγιά
124,Quelle::N,дьүүктэ,πηγή
125,Quelle::N,дьүүктэ,βρύση
126,Bach::N,үрүйэ,ρυάκι
127,Fluss::N,өрүс,ποτάμι
128,Fluss::N,өрүс,ποταμός
129,Ufer::N,биэрэк,όχθη
130,Küste::N,кытыл,ακτή
