,Concept_ID,tr,zh
0,Auge::N,göz,眼睛
1,Ohr::N,kulak,耳朵
2,Nase::N,burun,鼻子
3,Mund::N,ağız,嘴
4,Zahn::N,diş,牙齿
5,Zunge::N,dil,舌头
6,Lippe::N,dudak,嘴唇
7,Wange::N,yanak,面颊
8,Gesicht::N,yüz,脸
9,Stirn::N,alın,额
10,Haar::N,saç,头发
11,Schnurrbart::N,bıyık,髭须
12,Bart::N,sakal,胡子
13,Kinn::N,çene,下巴
14,Kiefer[Anatomie]::N,çene,颌
15,Kehle::N,boğaz,嗓子
16,Hals::N,boyun,颈
17,Hals::N,gerdan,颈
18,Genick::N,ense,后颈
19,Kopf::N,baş,头
20,Kopf::N,kafa,头
21,Rücken::N,arka,背
22,Bauch::N,karın,肚子
23,Nabel::N,göbek,肚脐
24,Busen::N,koyun,胸脯
25,Brust::N,göğüs,胸
26,Schulter::N,omuz,肩膀
27,Arm::N,kol,臂膀
28,Ellenbogen::N,dirsek,肘
29,Hand::N,el,手
30,Handfläche::N,avuç,手掌
31,Handfläche::N,el ayası,手掌
32,Finger::N,parmak,手指
33,Fingernagel::N,el tırnağı,指甲
34,Nagel[Anatomie]::N,tırnak,指甲
35,Zeh::N,ayak parmağı,脚趾
36,Fuß::N,ayak,脚
37,Ferse::N,topuk,后跟
38,Knie::N,diz,膝
39,Oberschenkel::N,uyluk,大腿
40,Bein::N,bacak,腿
41,Körper::N,vücut,身体
42,Haut::N,cilt,皮肤
43,Blut::N,kan,血
44,Ader::N,damar,血管
45,Sehne::N,kiriş,腱
46,Knochen::N,kemik,骨
47,Gehirn::N,beyin,脑
48,Herz::N,kalp,心
49,Herz::N,yürek,心
50,Magen::N,mide,胃
51,Leber::N,karaciğer,肝
52,Atem::N,nefes,呼吸
53,Hunger::N,açlık,饿
54,Träne::N,gözyaşı,眼泪
55,Geschmack::N,tat,味道
56,Geschmack::N,lezzet,味道
57,Geruch::N,koku,气味
58,Schlaf::N,uyku,睡眠
59,Traum::N,düş,梦
60,Traum::N,rüya,梦
61,Himmel::N,gök,天空
62,Sonne::N,güneş,太阳
63,Mond::N,ay,月亮
64,Stern::N,yıldız,星
65,Luft::N,hava,空气
66,Wind::N,yel,风
67,Wind::N,rüzgâr,风
68,Welle::N,dalga,波
69,Wasser::N,su,水
70,Stein::N,taş,石头
71,Boden::N,yer,地面
72,Boden::N,zemin,地面
73,Erde::N,toprak,地
74,Staub::N,toz,灰尘
75,Rauch::N,duman,烟
76,Funke::N,kıvılcım,火花
77,Feuer::N,ateş,火
78,Licht::N,ışık,光
79,Schatten::N,gölge,影子
80,Wetter::N,hava,天气
81,Nebel::N,pus,雾
82,Wolke::N,bulut,云
83,Regen::N,yağmur,雨
84,Schnee::N,kar,雪
85,Eis::N,buz,冰
86,Frost::N,don,霜冻
87,Kälte::N,soğukluk,寒冷
88,Hitze::N,sıcaklık,炎热
89,Raureif::N,kırç,霜
90,Regenbogen::N,gökkuşağı,虹
91,Donner::N,gök gürlemesi,雷
92,Strömung::N,akıntı,水流
93,Strömung::N,cereyan,水流
94,Tropfen::N,damla,滴
95,Schaum::N,köpük,泡沫
96,Schmutz::N,çamur,赃物
97,Schmutz::N,pislik,赃物
98,See::N,göl,湖
99,Sumpf::N,batak,沼泽
100,Moor::N,cılgıt,沼泽
101,Wiese::N,çimen,草地
102,Wald::N,koru,森林
103,Wald::N,orman,森林
104,Hügel::N,tepe,丘陵
105,Anhöhe::N,tümsek,山丘
106,Anhöhe::N,yükseklik,山丘
107,Berg::N,dağ,山
108,Gipfel::N,zirve,峰
109,Höhle::N,in,洞穴
110,Höhle::N,mağara,洞穴
111,Abhang::N,bayır,斜坡
112,Quelle::N,pınar,泉
113,Quelle::N,kaynak,泉
114,Bach::N,çay,溪
115,Bach::N,dere,溪
116,Fluss::N,nehir,河流
117,Ufer::N,kıyı,岸
118,Ufer::N,sahil,岸
119,Küste::N,kıyı,海岸
120,Küste::N,sahil,海岸
121,Festland::N,kara,大陆
122,Meer::N,deniz,海
123,Bucht::N,koy,海湾
124,Bucht::N,körfez,海湾
125,Insel::N,ada,岛
126,Blume::N,çiçek,花
127,Gras::N,ot,草
128,Gras::N,çim,草
129,Wurzel::N,kök,根
130,Baum::N,ağaç,树
131,Stamm::N,gövde,树干
132,Rinde::N,kabuk,树皮
133,Ast::N,dal,树枝
134,Ast::N,budak,树枝
135,Zweig::N,dal,树枝
136,Blatt::N,yaprak,叶子
137,Birke::N,huş,桦木
138,Kiefer[Baum]::N,çam,松树
139,Weide[Baum]::N,söğüt,柳树
140,Tanne::N,çam,冷杉
141,Tanne::N,köknar,冷杉
142,Horn::N,boynuz,角
143,Feder::N,tüy,羽毛
144,Fell::N,post,皮毛
145,Flügel::N,kanat,翅膀
146,Klaue::N,pençe,爪子
147,Kralle::N,tırnak,爪子
148,Schwanz::N,kuyruk,尾巴
149,Ei::N,yumurta,蛋
150,Nest::N,yuva,巢
151,Bau::N,in,穴
152,Tier::N,hayvan,动物
153,Herde::N,sürü,群
154,Kuh::N,inek,母牛
155,Bulle::N,boğa,公牛
156,Pferd::N,at,马
157,Pferd::N,beygir,马
158,Schaf::N,koyun,羊
159,Schwein::N,domuz,猪
160,Hund::N,it,狗
161,Hund::N,köpek,狗
162,Katze::N,kedi,猫
163,Bär::N,ayı,熊
164,Eichhörnchen::N,sincap,松鼠
165,Elch::N,büyük kuzey geyiği,麋鹿
166,Fuchs::N,tilki,狐狸
167,Hase::N,tavşan,兔子
168,Maus::N,fare,老鼠
169,Maus::N,sıçan,老鼠
170,Wolf::N,kurt,狼
171,Vogel::N,kuş,鸟
172,Schwarm::N,sürü,群
173,Huhn::N,tavuk,鸡
174,Hahn::N,horoz,公鸡
175,Gans::N,kaz,鹅
176,Adler::N,kartal,鹰
177,Adler::N,karakuş,鹰
178,Ente::N,ördek,鸭
179,Eule::N,baykuş,猫头鹰
180,Kranich::N,turna,鹤
181,Krähe::N,karga,乌鸦
182,Kuckuck::N,guguk,布谷鸟
183,Schwan::N,kuğu,天鹅
184,Fisch::N,balık,鱼
185,Barsch::N,hani,鲈鱼
186,Barsch::N,levrek,鲈鱼
187,Hecht::N,turnabalığı,狗鱼
188,Schlange[Tier]::N,yılan,蛇
189,Wurm::N,kurt,蠕虫
190,Wurm::N,solucan,蠕虫
191,Spinne::N,örümcek,蜘蛛
192,Ameise::N,karınca,蚂蚁
193,Laus::N,bit,虱子
194,Mücke::N,sivrisinek,蚊子
195,Fliege::N,sinek,苍蝇
196,Schmetterling::N,kelebek,蝴蝶
197,Beere::N,tane,将果
198,Apfel::N,elma,苹果
199,Pilz::N,mantar,蘑菇
200,Zwiebel::N,soğan,洋葱
201,Saat::N,ekin,种子
202,Korn::N,tane,谷粒
203,Heu::N,kuru ot,干草
204,Schale::N,kabuk,壳
205,Grube::N,çukur,坑
206,Falle::N,tuzak,圈套
207,Schlinge::N,ilmik,活扣
208,Spur::N,iz,踪迹
209,Asche::N,kül,灰烬
210,Dreck::N,pislik,污垢
211,Eisen::N,demir,铁
212,Gold::N,altın,金子
213,Silber::N,gümüş,银
214,Kohle::N,kömür,煤
215,Glas::N,cam,玻璃
216,Lehm::N,balçık,粘土
217,Sand::N,kum,沙
218,Mensch::N,insan,人
219,Mann::N,adam,男子
220,Mann::N,erkek,男子
221,Frau::N,bayan,妇女
222,Kind::N,çocuk,小孩
223,Junge::N,erkek çocuk,男孩
224,Mädchen::N,kız,女孩
225,Familie::N,aile,家庭
226,Großvater::N,dede,祖父
227,Großvater::N,büyükbaba,祖父
228,Großmutter::N,nine,祖母
229,Großmutter::N,büyükanne,祖母
230,Eltern::N,ebeveyn,父母
231,Eltern::N,ana baba,父母
232,Vater::N,ata,父亲
233,Vater::N,baba,父亲
234,Mutter::N,ana,母亲
235,Mutter::N,anne,母亲
236,Sohn::N,oğul,儿子
237,Tochter::N,kız,女儿
238,Tochter::N,kız evlât,女儿
239,Bruder::N,abi,兄弟
240,Bruder::N,erkek kardeş,兄弟
241,Schwester::N,abla,姐妹
242,Schwester::N,kız kardeş,姐妹
243,Onkel::N,dayı,伯父
244,Tante::N,hala,阿姨
245,Tante::N,teyze,阿姨
246,Ehemann::N,koca,丈夫
247,Ehefrau::N,karı,妻子
248,Freude::N,neşe,愉快
249,Freude::N,sevinç,愉快
250,Gelächter::N,gülme,大笑
251,Gelächter::N,kahkaha,大笑
252,Glück::N,mutluluk,运气
253,Kummer::N,dert,苦恼
254,Kummer::N,keder,苦恼
255,Wunsch::N,arzu,愿望
256,Wunsch::N,istek,愿望
257,Lust::N,arzu,乐趣
258,Lust::N,heves,乐趣
259,Geist::N,tin,精神
260,Gedanke::N,fikir,思想
261,Gedanke::N,düşünce,思想
262,Gedächtnis::N,bellek,记性
263,Verstand::N,zekâ,理智
264,Sinn::N,anlam,感觉
265,Grund::N,sebep,理由
266,Wahrheit::N,doğruluk,真理
267,Wahrheit::N,gerçeklik,真理
268,Gespräch::N,görüşme,谈话
269,Märchen::N,masal,童话
270,Erzählung::N,öykü,故事
271,Erzählung::N,hikâye,故事
272,Nachricht::N,haber,消息
273,Neuigkeit::N,haber,新闻
274,Name::N,ad,名字
275,Name::N,isim,名字
276,Rätsel::N,bilmece,谜语
277,Rede::N,söylev,讲话
278,Rede::N,konuşma,讲话
279,Sprache::N,dil,语言
280,Sprache::N,lisan,语言
281,Stimme::N,ses,声音
282,Wort::N,kelime,词
283,Zeichen::N,işaret,标记
284,Ruf::N,çağırma,呼喊
285,Lärm::N,şamata,噪音
286,Lärm::N,gürültü,噪音
287,Laut::N,ses,响声
288,Ton::N,ses,声音
289,Lied::N,türkü,歌曲
290,Ruhe::N,sakinlik,安静
291,Leute::N,halk,人们
292,Leute::N,insanlar,人们
293,Volk::N,ulus,人民
294,Volk::N,millet,人民
295,Arbeit::N,iş,劳动
296,Arbeit::N,çalışma,劳动
297,Gast::N,konuk,客人
298,Gast::N,misafir,客人
299,Geschenk::N,hediye,礼物
300,Geschenk::N,armağan,礼物
301,Spiel::N,oyun,游戏
302,Gesellschaft::N,çevre,陪同
303,Gesellschaft::N,arkadaşlık,陪同
304,Hilfe::N,yardım,帮助
305,Freund::N,dost,朋友
306,Freund::N,arkadaş,朋友
307,Kamerad::N,arkadaş,同志
308,Angelegenheit::N,iş,事情
309,Angelegenheit::N,husus,事情
310,Anzahl::N,sayı,数目
311,Art::N,çeşit,种类
312,Stück::N,tane,块
313,Stück::N,parça,块
314,Teil::N,kısım,部分
315,Hälfte::N,yarı,一半
316,Kreis::N,daire,圆
317,Kreuz::N,haç,十字架
318,Linie::N,hat,线条
319,Linie::N,çizgi,线条
320,Strich::N,çizgi,划
321,Abstand::N,aralık,距离
322,Entfernung::N,mesafe,距离
323,Entfernung::N,uzaklık,距离
324,Gegend::N,yöre,地区
325,Platz::N,yer,场所
326,Ort::N,yer,地点
327,Seite::N,yan,面
328,Seite::N,taraf,面
329,Mitte::N,orta,中间
330,Mitte::N,merkez,中间
331,Gegenstand::N,şey,物品
332,Sache::N,iş,物
333,Sache::N,şey,物
334,Rand::N,kenar,边
335,Kante::N,kenar,棱
336,Ecke::N,köşe,角
337,Spitze::N,uç,尖
338,Spitze::N,baş,尖
339,Ende::N,uç,结尾
340,Loch::N,oyuk,洞
341,Loch::N,delik,洞
342,Winkel::N,köşe,角度
343,Muster::N,örnek,模型
344,Größe::N,büyüklük,大小
345,Länge::N,uzunluk,长度
346,Höhe::N,yükseklik,高度
347,Gewicht::N,ağırlık,重量
348,Menge::N,miktar,数量
349,Haufen::N,küme,堆
350,Haufen::N,yığın,堆
351,Reihe::N,sıra,行
352,Boot::N,kayık,小船
353,Boot::N,sandal,小船
354,Ruder::N,kürek,奖
355,Schlitten::N,kızak,雪橇
356,Ski::N,kayak,雪板
357,Lagerfeuer::N,kamp ateşi,营火
358,Last::N,yük,负担
359,Gang::N,gidiş,行走
360,Gang::N,yürüyüş,行走
361,Schritt::N,adım,步伐
362,Norden::N,kuzey,北
363,Süden::N,güney,南
364,Westen::N,batı,西
365,Osten::N,doğu,东
366,Holz::N,ağaç,木材
367,Holz::N,tahta,木材
368,Brett::N,tahta,木板
369,Platte::N,levha,平板
370,Stütze::N,dayak,支架
371,Stütze::N,destek,支架
372,Stange::N,çubuk,杆
373,Stock::N,sopa,棒
374,Stock::N,değnek,棒
375,Stab::N,sırık,棍
376,Stab::N,baston,棍
377,Rohr::N,boru,管子
378,Haus::N,ev,房屋
379,Heim::N,ev,家
380,Heim::N,yurt,家
381,Ofen::N,soba,炉子
382,Fußboden::N,taban,地板
383,Fußboden::N,döşeme,地板
384,Tisch::N,masa,桌子
385,Stuhl::N,iskemle,椅子
386,Stuhl::N,sandalye,椅子
387,Wiege::N,beşik,摇蓝
388,Bett::N,yatak,床
389,Regal::N,raf,架子
390,Kiste::N,sandık,箱子
391,Fenster::N,pencere,窗户
392,Tür::N,kapı,门
393,Tor::N,kapı,大门
394,Zaun::N,çit,篱笆
395,Dach::N,dam,屋顶
396,Dach::N,çatı,屋顶
397,Leiter::N,merdiven,梯子
398,Besen::N,süpürge,扫帚
399,Spaten::N,bel,铁锹
400,Schaufel::N,kürek,铁锹
401,Gabel::N,çatal,叉
402,Löffel::N,kaşık,食匙
403,Messer::N,bıçak,刀
404,Nagel::N,çivi,钉子
405,Netz::N,ağ,网
406,Haken::N,çengel,钩子
407,Griff::N,kulp,把柄
408,Griff::N,tutamak,把柄
409,Schloss::N,kilit,锁
410,Bild::N,imaj,图画
411,Bild::N,resim,图画
412,Figur::N,şekil,人像
413,Figur::N,heykel,人像
414,Puppe::N,kukla,娃娃
415,Beutel::N,kese,袋子
416,Beutel::N,torba,袋子
417,Bündel::N,deste,捆
418,Tasche::N,çanta,手提包
419,Eimer::N,kova,桶
420,Deckel::N,kapak,盖子
421,Geschirr::N,kap kacak,餐具
422,Sack::N,torba,袋子
423,Tasse::N,fincan,杯子
424,Topf::N,tencere,锅
425,Kessel::N,kazan,水壶
426,Essen::N,yemek,进餐
427,Nahrung::N,gıda,食物
428,Nahrung::N,besin,食物
429,Speise::N,yemek,菜肴
430,Fleisch::N,et,肉
431,Getreide::N,tahıl,谷物
432,Getreide::N,hububat,谷物
433,Brei::N,ezme,粥
434,Brot::N,ekmek,面包
435,Scheibe::N,dilim,片
436,Fett::N,yağ,脂肪
437,Butter::N,tereyağı,黄油
438,Öl::N,yağ,油
439,Öl::N,akar yağ,油
440,Salz::N,tuz,盐
441,Suppe::N,çorba,汤
442,Honig::N,bal,蜂蜜
443,Milch::N,süt,奶
444,Tee::N,çay,茶
445,Leder::N,deri,皮革
446,Leder::N,meşin,皮革
447,Wolle::N,yün,毛线
448,Stoff::N,kumaş,织物
449,Nadel::N,iğne,针
450,Faden::N,tire,线
451,Faden::N,iplik,线
452,Knopf::N,düğme,纽扣
453,Knoten::N,düğüm,结
454,Farbe::N,boya,颜色
455,Kleidung::N,giyim,衣服
456,Hemd::N,gömlek,衬衫
457,Kragen::N,yaka,领子
458,Ärmel::N,yen,袖子
459,Ärmel::N,elbise kolu,袖子
460,Hose::N,pantolon,裤子
461,Gürtel::N,kuşak,腰带
462,Mütze::N,bere,帽子
463,Mütze::N,kasket,帽子
464,Schuh::N,kundura,鞋
465,Schuh::N,ayakkabı,鞋
466,Stiefel::N,çizme,靴子
467,Ring::N,yüzük,戒指
468,Band::N,bağ,带子
469,Band::N,şerit,带子
470,Kamm::N,tarak,梳子
471,Spiegel::N,ayna,镜子
472,Riemen::N,kayış,皮带
473,Schnur::N,ip,绳子
474,Schnur::N,sicim,绳子
475,Leine::N,kayış,皮带
476,Decke::N,örtü,被子
477,Decke::N,yorgan,被子
478,Kissen::N,yastık,软垫
479,Tuch::N,bez,巾
480,Handtuch::N,havlu,手巾
481,Kraft::N,güç,力
482,Kraft::N,kuvvet,力
483,Stärke::N,kuvvet,力量
484,Gesundheit::N,sağlık,健康
485,Krankheit::N,hastalık,病
