,Concept_ID,da,la
0,Auge::N,øje,oculus
1,Ohr::N,øre,auris
2,Nase::N,næse,nasus
3,Mund::N,mund,os
4,Zahn::N,tand,dens
5,Zunge::N,tunge,lingua
6,Lippe::N,læbe,labrum
7,Wange::N,kind,gena
8,Gesicht::N,ansigt,vultus
9,Stirn::N,pande,frons
10,Haar::N,hår,capillus
11,Schnurrbart::N,overskæg,barba labri superioris
12,Bart::N,skæg,barba
13,Kinn::N,hage,mentum
14,Kiefer[Anatomie]::N,kæbe,mala
15,Kehle::N,strube,iugulums
16,Hals::N,hals,collum
17,Genick::N,nakke,cervices
18,Kopf::N,hoved,caput
19,Rücken::N,ryg,tergum
20,Bauch::N,mave,venter
21,Nabel::N,navle,umbilicus
22,Busen::N,barm,sinus
23,Brust::N,bryst,pectus
24,Schulter::N,skulder,umerus
25,Arm::N,arm,bracchium
26,Ellenbogen::N,albue,cubitum
27,Hand::N,hånd,manus
28,Handfläche::N,håndflade,palma
29,Finger::N,finger,digitus
30,Fingernagel::N,fingernegl,unguiculus
31,Nagel[Anatomie]::N,negl,unguis
32,Zeh::N,tå,digitus
33,Fuß::N,fod,pes
34,Ferse::N,hæl,calx
35,Knie::N,knæ,genu
36,Oberschenkel::N,lår,femur
37,Bein::N,ben,crus
38,Körper::N,krop,corpus
39,Körper::N,legeme,corpus
40,Haut::N,hud,cutis
41,Haut::N,hud,pellis
42,Blut::N,blod,sanguis
43,Ader::N,åre,vena
44,Sehne::N,sene,nervus
45,Knochen::N,ben,os
46,Gehirn::N,hjerne,cerebrum
47,Herz::N,hjerte,cor
48,Herz::N,hjerte,animus
49,Magen::N,mave,stomachus
50,Leber::N,lever,iecur
51,Atem::N,ånde,spiritus
52,Hunger::N,sult,fames
53,Träne::N,tåre,lacrima
54,Geschmack::N,smag,sapor
55,Geschmack::N,smag,gustus
56,Geruch::N,lugt,odor
57,Schlaf::N,søvn,somnus
58,Traum::N,drøm,somnium
59,Himmel::N,himmel,caelum
60,Sonne::N,sol,sol
61,Mond::N,måne,luna
62,Stern::N,stjerne,sidus
63,Stern::N,stjerne,stella
64,Luft::N,luft,aer
65,Wind::N,vind,ventus
66,Welle::N,bølge,unda
67,Wasser::N,vand,aqua
68,Stein::N,sten,lapis
69,Boden::N,jord,solum
70,Erde::N,jord,terra
71,Staub::N,støv,pulvis
72,Rauch::N,røg,fumus
73,Funke::N,gnist,scintilla
74,Feuer::N,ild,ignis
75,Licht::N,lys,lux
76,Licht::N,lys,lumen
77,Schatten::N,skygge,umbra
78,Wetter::N,vejr,caelum
79,Wetter::N,vejr,tempestas
80,Nebel::N,tåge,nebula
81,Wolke::N,sky,nubes
82,Regen::N,regn,imber
83,Regen::N,regn,pluvia
84,Schnee::N,sne,nix
85,Eis::N,is,glacies
86,Frost::N,frost,gelu
87,Kälte::N,kulde,frigus
88,Hitze::N,hede,calor
89,Hitze::N,hede,aestus
90,Raureif::N,rimfrost,pruina
91,Regenbogen::N,regnbue,arcus
92,Donner::N,torden,tonitrus
93,Strömung::N,strømning,fluctus
94,Tropfen::N,dråbe,gutta
95,Schaum::N,skum,spuma
96,Schmutz::N,snavs,sordes
97,Schmutz::N,snavs,squalor
98,See::N,sø,lacus
