,Concept_ID,ce,kv
0,Auge::N,бӏаьрг,син
1,Ohr::N,лерг,пель
2,Nase::N,мара,ныр
3,Mund::N,бага,ӧм
4,Zahn::N,церг,пинь
5,Zunge::N,мотт,кыв
6,Lippe::N,балда,тырп
7,Wange::N,бесни,рожабан
8,Gesicht::N,юьхь,бан
9,Stirn::N,хьаж,кымӧс
10,Haar::N,мас,юрси
11,Schnurrbart::N,мекх,уссэз
12,Bart::N,маж,тош
13,Kinn::N,чӏениг,тшӧка
14,Kiefer[Anatomie]::N,мочхал,ан
15,Kehle::N,къамкъарг,юан
16,Hals::N,ворта,юан
17,Genick::N,кӏесаркӏаг,юр бӧр
18,Kopf::N,корта,юр
19,Rücken::N,букъ,мышк
20,Bauch::N,кийра,кынӧм
21,Nabel::N,цӏонга,гӧг
22,Busen::N,зударийн накха,морос
23,Brust::N,накха,морос
24,Schulter::N,белш,пельпон
25,Arm::N,пхьарс,ки
26,Ellenbogen::N,пхьаьрсан гола,гырдзза
27,Hand::N,куьг,кикар
28,Handfläche::N,кераюкъ,ки пыдӧс
29,Finger::N,пӏелг,чунь
30,Fingernagel::N,мӏара,гыж
31,Nagel[Anatomie]::N,мӏара,гыж
32,Zeh::N,кога пӏелг,чунь
33,Fuß::N,ког,кокпыдӧс
34,Ferse::N,кӏажа,кокдзир
35,Knie::N,гола,пидзӧс
36,Oberschenkel::N,варе,лядьбей
37,Bein::N,ког,кок
38,Körper::N,хӏума,вывтыр
39,Haut::N,чкъор,кучик
40,Blut::N,цӏий,вир
41,Ader::N,пха,сӧн
42,Sehne::N,хьорзам,жила
43,Knochen::N,даьӏахк,коска
44,Gehirn::N,хье,вем
45,Herz::N,дог,сьӧлӧм
46,Magen::N,зорх,жӧвдӧк
47,Leber::N,доӏах,мус
48,Atem::N,садеӏар,лолалӧм
49,Hunger::N,мацалла,тшыг
50,Träne::N,бӏаьрхи,синва
51,Geschmack::N,чам,кӧр
52,Geruch::N,хьожа,дук
53,Schlaf::N,наб,он
54,Traum::N,гӏан,вӧт
55,Himmel::N,стигал,небо
56,Sonne::N,малх,шондi
57,Mond::N,бутт,тӧлiсь
58,Stern::N,седа,кӧдзыв
59,Luft::N,xӏаваъ,ру
60,Wind::N,мох,тӧв
61,Welle::N,тулгӏе,гы
62,Wasser::N,хи,ва
63,Stein::N,тӏулг,из
64,Boden::N,цӏенкъа,му
65,Erde::N,латта,му
66,Staub::N,чан,бус
67,Rauch::N,кӏур,тшын
68,Funke::N,суй,бичир
69,Feuer::N,цӏе,би
70,Licht::N,серло,би
71,Schatten::N,ӏиндагӏ,вуджӧр
72,Wetter::N,хенан хӏоттам,погоддя
73,Nebel::N,дохк,туман
74,Wolke::N,марха,кымӧр
75,Regen::N,догӏа,зэр
76,Schnee::N,ло,лым
77,Eis::N,ша,йы
78,Frost::N,шело,мороз
79,Kälte::N,шело,кӧдзыт
80,Hitze::N,йовхо,ӧд
81,Raureif::N,йис,кижа
82,Regenbogen::N,стелаӏад,енӧшка
83,Donner::N,ткъес,гым
84,Strömung::N,дӏаэхар,визывтӧм
85,Strömung::N,дӏасалелар,визывтӧм
86,Tropfen::N,тӏадам,тёп
87,Schaum::N,чопа,быг
88,Schmutz::N,хатт,нять
89,See::N,ӏам,ты
90,Sumpf::N,уьшал,арай
91,Moor::N,уьшал,нюр
92,Wiese::N,бай,видз
93,Wald::N,хьун,вӧр
94,Hügel::N,гу,мыльк
95,Hügel::N,шу,мыльк
96,Hügel::N,барз,мыльк
97,Anhöhe::N,акъари,вывтас
98,Anhöhe::N,акъари,вылынін
99,Berg::N,лам,керӧс
100,Gipfel::N,бохь,йыв
101,Höhle::N,хьех,нора
102,Abhang::N,басе,покат
103,Quelle::N,шовда,больган
104,Bach::N,татол,шор
105,Fluss::N,хи,ю
106,Ufer::N,хийист,берег
107,Küste::N,йист,берег
108,Festland::N,латта,му
109,Meer::N,xӏорд,море
110,Bucht::N,чож,курья
111,Insel::N,гӏайре,
112,Blume::N,зезаг,цветок
113,Gras::N,буц,турун
114,Wurzel::N,орам,вуж
115,Baum::N,дитт,пу
116,Stamm::N,гӏад,мыр
117,Stamm::N,гӏад,кер
118,Stamm::N,тайпа,мыр
119,Stamm::N,тайпа,кер
120,Rinde::N,кевстиг,кач
121,Ast::N,га,ув
122,Zweig::N,га,ув
123,Blatt::N,гӏа,лист
124,Birke::N,дакх,кыдз
125,Kiefer[Baum]::N,бага,пожум
126,Weide[Baum]::N,дак,бадь
127,Tanne::N,база,кӧз
128,Horn::N,маӏа,сюр
129,Feder::N,пелаг,гӧн
130,Fell::N,цӏока,кучик
131,Flügel::N,тӏам,борд
132,Klaue::N,мӏара,гыж
133,Kralle::N,тlод,кабыр
134,Schwanz::N,цӏога,бӧж
135,Ei::N,xӏoa,кольть
136,Nest::N,бен,поз
137,Bau::N,lуьрг,осьта
138,Bau::N,lуьрг,нора
139,Tier::N,дийнат,зверь
140,Herde::N,жа,гурт
141,Kuh::N,етт,мӧс
142,Bulle::N,сту,ӧшка
143,Pferd::N,говр,вӧв
144,Schaf::N,жий,баля
145,Schaf::N,уьстагӏ,баля
146,Schwein::N,хьакха,порсь
147,Hund::N,жӏаьла,пон
148,Katze::N,цициг,кань
149,Bär::N,ча,ош
150,Eichhörnchen::N,тарсал,ур
151,Elch::N,сай,вӧр мӧс
152,Fuchs::N,цхьогал,руч
153,Hase::N,пхьагал,кӧч
154,Maus::N,дахка,шыр
155,Wolf::N,борз,кӧин
156,Vogel::N,олхазар,кай
157,Huhn::N,котам,курӧг
158,Hahn::N,нӏаьна,петух
159,Hahn::N,нӏаьна,ай курӧг
160,Hahn::N,боргӏал,петух
161,Hahn::N,боргӏал,ай курӧг
162,Gans::N,гӏаз,дзодзог
163,Adler::N,aьрзу,куч
164,Adler::N,aьрзу,кутш
165,Ente::N,бад,утка
166,Eule::N,бухӏа,тупка
167,Kranich::N,гӏаргӏули,тури
168,Krähe::N,къиг,рака
169,Kuckuck::N,aттйокх,кӧк
170,Schwan::N,гӏургӏаз,юсь
171,Fisch::N,чӏара,чери
172,Barsch::N,окунь,ёкыш
173,Hecht::N,гӏазкхийн чӏара,сирпинь
174,Schlange[Tier]::N,лаьхьа,змей
175,Wurm::N,нӏаьна,номыр
176,Spinne::N,гезг,черань
177,Ameise::N,зингат,кӧдзывкар
178,Laus::N,меза,ляпа той
179,Laus::N,гӏениг,ляпа той
180,Mücke::N,чуьрк,ном
181,Fliege::N,моза,гут
182,Schmetterling::N,полла,бабыв
183,Beere::N,цӏазам,ягӧд
184,Apfel::N,ӏаж,яблоко
185,Pilz::N,жӏаьлин нускал,тшак
186,Zwiebel::N,xох,грез
187,Saat::N,чlу,кӧдзыс
188,Korn::N,буьртиг,сю
189,Heu::N,йол,турун
190,Schale::N,пардо,кыш
191,Schale::N,пардо,киль
192,Grube::N,ор,яма
193,Falle::N,кӏело,нальк
194,Falle::N,кӏело,кляпча
195,Spur::N,лар,туй
196,Asche::N,чим,пӧим
197,Dreck::N,мода,нять
