,Concept_ID,da,pl
0,Auge::N,øje,oko
1,Ohr::N,øre,ucho
2,Nase::N,næse,nos
3,Mund::N,mund,usta
4,Zahn::N,tand,ząb
5,Zunge::N,tunge,język
6,Lippe::N,læbe,warga
7,Wange::N,kind,policzek
8,Gesicht::N,ansigt,twarz
9,Stirn::N,pande,czoło
10,Haar::N,hår,włos
11,Haar::N,hår,włosy
12,Schnurrbart::N,overskæg,wąsy
13,Bart::N,skæg,broda
14,Kinn::N,hage,podbródek
15,Kiefer[Anatomie]::N,kæbe,czeluść
16,Kehle::N,strube,gardło
17,Hals::N,hals,szyja
18,Genick::N,nakke,kark
19,Kopf::N,hoved,głowa
20,Rücken::N,ryg,plecy
21,Rücken::N,ryg,grzbiet
22,Bauch::N,mave,brzuch
23,Nabel::N,navle,pępek
24,Busen::N,barm,biust
25,Brust::N,bryst,pierś
26,Schulter::N,skulder,bark
27,Schulter::N,skulder,ramię
28,Arm::N,arm,ręka
29,Arm::N,arm,ramię
30,Ellenbogen::N,albue,łokieć
31,Hand::N,hånd,dłoń
32,Handfläche::N,håndflade,dłoń
33,Finger::N,finger,palec
34,Fingernagel::N,fingernegl,paznokieć
35,Nagel[Anatomie]::N,negl,paznokieć
36,Zeh::N,tå,palec
37,Fuß::N,fod,stopa
38,Ferse::N,hæl,pięta
39,Knie::N,knæ,kolano
40,Oberschenkel::N,lår,udo
41,Bein::N,ben,noga
42,Körper::N,krop,ciało
43,Körper::N,legeme,ciało
44,Haut::N,hud,skóra
45,Blut::N,blod,krew
46,Ader::N,åre,żyła
47,Sehne::N,sene,ścięgno
48,Knochen::N,ben,kość
49,Gehirn::N,hjerne,mózg
50,Herz::N,hjerte,serce
51,Magen::N,mave,żołądek
52,Leber::N,lever,wątroba
53,Atem::N,ånde,dech
54,Atem::N,ånde,oddech
55,Hunger::N,sult,głód
56,Träne::N,tåre,łza
57,Geschmack::N,smag,smak
58,Geruch::N,lugt,woń
59,Geruch::N,lugt,zapach
60,Schlaf::N,søvn,sen
61,Traum::N,drøm,sen
62,Himmel::N,himmel,niebo
63,Sonne::N,sol,słońce
64,Mond::N,måne,księżyc
65,Stern::N,stjerne,gwiazda
66,Luft::N,luft,powietrze
67,Wind::N,vind,wiatr
68,Welle::N,bølge,fala
69,Wasser::N,vand,woda
70,Stein::N,sten,kamień
71,Boden::N,jord,grunt
72,Erde::N,jord,ziemia
73,Staub::N,støv,pył
74,Staub::N,støv,kurz
75,Rauch::N,røg,dym
76,Funke::N,gnist,iskra
77,Feuer::N,ild,ogień
78,Licht::N,lys,światło
79,Schatten::N,skygge,cień
80,Wetter::N,vejr,pogoda
81,Nebel::N,tåge,mgła
82,Wolke::N,sky,obłok
83,Wolke::N,sky,chmura
84,Regen::N,regn,deszcz
85,Schnee::N,sne,śnieg
86,Eis::N,is,lód
87,Frost::N,frost,mróz
88,Kälte::N,kulde,chłód
89,Hitze::N,hede,gorąco
90,Raureif::N,rimfrost,szron
91,Regenbogen::N,regnbue,tęcza
