,Concept_ID,te,sah
0,Auge::N,కన్ను,харах
1,Ohr::N,చెవి,кулгаах
2,Nase::N,ముక్కు,мурун
3,Mund::N,నోరు,айах
4,Zahn::N,పల్లు,тиис
5,Zunge::N,నాలుక,тыл
6,Lippe::N,పెదవి,уос
7,Wange::N,చెంప,иэдэс
8,Gesicht::N,ముఖము,сирэй
9,Stirn::N,నుదురు,сүүс
10,Haar::N,వెండ్రుక,баттах
11,Schnurrbart::N,మీసము,уос бытыга
12,Bart::N,గడ్డము,сэҥийэ бытыга
13,Kinn::N,గడ్డము,сэҥийэ
14,Kiefer[Anatomie]::N,దౌడ,сыҥаах
15,Kehle::N,గొంతు,тамах
16,Kehle::N,గొంతు,күөмэй
17,Hals::N,మెడ,моой
18,Genick::N,మూపు,кэтэх
19,Kopf::N,తల,бас
20,Rücken::N,వెన్ను,көҕүс
21,Bauch::N,కడుపు,ис
22,Nabel::N,బొడ్డు,киин
23,Busen::N,స్తనము,эмиий
24,Brust::N,ఱొమ్ము,түөс
25,Schulter::N,భుజము,сарын
26,Arm::N,చేయి,илии
27,Ellenbogen::N,మోచేయి,тоҕонох
28,Hand::N,చేయి,илии
29,Handfläche::N,అరచేయు,ытыс
30,Finger::N,చేతిప్రేలు,тарбах
31,Fingernagel::N,గోరు,тыҥырах
32,Nagel[Anatomie]::N,గోరు,тыҥырах
33,Zeh::N,కాలిప్రేలు,тарбах
34,Fuß::N,అడుగు,уллуҥах
35,Ferse::N,మడమ,тилэх
36,Knie::N,మోకాలు,тобук
37,Knie::N,మోకాలు,дьилбэк
38,Oberschenkel::N,తొడ,уллук
39,Oberschenkel::N,తొడ,өттүк
40,Bein::N,కాలు,атах
41,Körper::N,కాయము,бэйэ
42,Haut::N,చర్మము,тирии
43,Blut::N,రక్తము,хаан
44,Ader::N,సిర,вена
45,Ader::N,సిర,күөх_тымыр
46,Sehne::N,స్నాయువు,иҥиир
47,Knochen::N,ఎముక,уҥуох
48,Knochen::N,ఎముక,уҥгуох
49,Gehirn::N,మెదడు,мэйии
50,Herz::N,హృదయము,сүрэх
51,Magen::N,కడుపు,куртах
52,Leber::N,కాలేయము,быар
53,Atem::N,ఉపిరి,тыын
54,Hunger::N,ఆకలి,аас
55,Träne::N,కన్నీటిచుక్క,харах уута
56,Geschmack::N,రుచి,амтан
57,Geruch::N,వాసన,сыт
58,Schlaf::N,నిద్ర,утуйуу
59,Traum::N,కల,түүл
60,Himmel::N,ఆకాశము,халлаан
61,Sonne::N,సూర్యుడు,күн
62,Mond::N,చంద్రుడు,ый
63,Stern::N,నక్షత్రము,сулус
64,Luft::N,గాలి,салгын
65,Wind::N,వీచుచున్నగాలి,тыал
66,Welle::N,అల,долгун
67,Welle::N,అల,балхаан
68,Wasser::N,నీరు,уу
69,Stein::N,ఱాయి,таас
70,Boden::N,నేల,сир
71,Erde::N,మన్ను,буор
72,Staub::N,దుమ్ము,быыл
73,Rauch::N,పొగ,буруо
74,Funke::N,అగ్నికణము,кыым
75,Feuer::N,అగ్ని,уот
76,Licht::N,కాంతి,уот
77,Schatten::N,నీడ,күлүк
78,Wetter::N,వాతావరణ స్థితి,күн-дьыл
79,Nebel::N,పొగమంచు,туман
80,Wolke::N,మేఘము,былыт
81,Regen::N,వాన,самыыр
82,Schnee::N,హిమము,хаар
83,Eis::N,మంచుగడ్డ,муус
84,Frost::N,పేరిన మంచు,тымныы
85,Kälte::N,చలి,тымныы
86,Hitze::N,వేడిమి,куйаас
87,Raureif::N,మంచు,кырыа
88,Regenbogen::N,ఇంద్రధనుస్సు,кустук
89,Donner::N,ఉరుము,этиҥ
90,Strömung::N,ప్రవాహము,сүүрүк
91,Tropfen::N,చుక్క,таммах
92,Tropfen::N,చుక్క,хааппыла
93,Schaum::N,నురుగు,күүгэн
94,Schmutz::N,మైల,кир
95,See::N,సరస్సు,күөл
96,Sumpf::N,చిత్తడినేల,бадараан
97,Moor::N,చిత్తడినేల,дьэбэрэ
98,Wiese::N,పచ్చిక బయలు,ходуһа
99,Wald::N,అడవి,ойуур
100,Hügel::N,చివ్నకొండ,булгунньах
101,Anhöhe::N,కొండ,үрдэл
102,Berg::N,పర్వతము,хайа
103,Gipfel::N,శిఖరము,чыпчаал
104,Höhle::N,గుహ,хайа_хаспаҕа
105,Höhle::N,గుహ,көҥүс
106,Abhang::N,ఏటవాలు,эниэ
107,Quelle::N,మూలము,дьүүктэ
108,Bach::N,కాలువ,үрүйэ
109,Fluss::N,నది,өрүс
110,Ufer::N,తీరము,биэрэк
111,Küste::N,తీరము,кытыл
112,Festland::N,భూమి,кураанах сир
113,Meer::N,సముద్రము,муора
114,Bucht::N,మరుగు,хомо
115,Bucht::N,మరుగు,бухта
116,Insel::N,దీవి,арыы
117,Blume::N,పుష్పము,сибэкки
118,Gras::N,పచ్చగడ్డి,от
119,Wurzel::N,వేరు,силис
120,Baum::N,చెట్టు,мас
121,Stamm::N,చెట్టుబోదె,умнас
122,Rinde::N,చెట్టుపట్ట,хатырык
123,Ast::N,కొమ్మ,мутук
124,Zweig::N,చివుకు,лабаа
125,Blatt::N,ఆకు,сэбирдэх
126,Birke::N,తరహా చెట్టు,хатыҥ
127,Kiefer[Baum]::N,దేవదారు చెట్టు,бэс
128,Weide[Baum]::N,జాతిచెట్టు,үөт
129,Weide[Baum]::N,జాతిచెట్టు,талах
130,Tanne::N,దేవదారుచెట్టు,харыйа
131,Horn::N,కొమ్ము,муос
132,Feder::N,ఈక,куорсун
133,Fell::N,తోలు,тирии
134,Flügel::N,ఱెక్క,кынат
135,Klaue::N,వంకరగోరు,тыҥырах
136,Kralle::N,వంకరగోరు,баппаҕай
137,Schwanz::N,తోక,кутурук
138,Ei::N,గ్రుడ్డు,сымыыт
139,Nest::N,పక్షిగూడు,уйа
140,Bau::N,గుహ,хороон
141,Tier::N,జంతువు,кыыл
142,Tier::N,జంతువు,харамай
143,Herde::N,మంద,үөр
144,Kuh::N,ఆవు,ынах
145,Bulle::N,గిత్త,оҕус
146,Pferd::N,గుఱ్ఱము,сылгы
147,Schaf::N,గొఱ్ఱె,овца
148,Schwein::N,పంది,сибиинньэ
149,Hund::N,కుక్క,ыт
150,Katze::N,పిల్లి,куоска
151,Bär::N,ఎలుగుబంటి,эһэ
152,Eichhörnchen::N,ఉడుత,тииҥ
153,Elch::N,కణంజు,тайах
154,Fuchs::N,గుంటనక్క,саһыл
155,Hase::N,కుందేలు,куобах
156,Maus::N,చిట్టెలుక,кутуйах
157,Wolf::N,తోడేలు,бөрө
158,Vogel::N,పక్షి,көтөр
159,Schwarm::N,గుంపు,бөлөх
160,Huhn::N,కోడిపిల్ల,куурусса
161,Hahn::N,కోడివుంజు,бөтүүк
162,Gans::N,ఆడుబాతు,хаас
163,Adler::N,గ్రద్ద,хотой
164,Ente::N,పాట్టిబాతు,кус
165,Eule::N,గ్రుడ్లగూబ,мэкчиргэ
166,Kranich::N,కొంగ,туруйа
167,Krähe::N,కాకి,тураах
168,Kuckuck::N,కోయల,кэҕэ
169,Schwan::N,హంస,куба
170,Fisch::N,చేప,балык
171,Barsch::N,ఒకచేఁప,алыһар
172,Hecht::N,గండుమీను,сордон
173,Schlange[Tier]::N,పాము,моҕой
174,Schlange[Tier]::N,పాము,эриэн үөн
175,Wurm::N,పురుగు,үөн
176,Spinne::N,సాలె పురుగు,ооҕуй
177,Ameise::N,చీమ,кымырдаҕас
178,Laus::N,పేను,быт
179,Mücke::N,చీకటీగ,кумаар
180,Fliege::N,ఈగ,сахсырҕа
181,Schmetterling::N,సీతాకోకచిలుక,лыах
182,Schmetterling::N,సీతాకోకచిలుక,үрүмэччи
183,Beere::N,కాయ,отон
184,Apfel::N,ఆపిల్ పండు,яблоко
185,Pilz::N,కుక్కగొడుగు,тэллэй
186,Zwiebel::N,నీరుల్లి,луук
187,Saat::N,విత్తనము,сиэмэ
188,Korn::N,గింజ,сиэмэ
189,Heu::N,ఎండుగడ్డి,от
190,Schale::N,పొట్టు,хах
191,Grube::N,గొయ్యి,дьаама
192,Falle::N,బోను,сохсо
193,Schlinge::N,ఉరి,уктаа
194,Spur::N,జాడ,суол
195,Asche::N,బూడిద,күл
196,Dreck::N,ముఱికి,бадараан
197,Eisen::N,ఇనుము,тимир
198,Gold::N,బంగారము,көмүс
199,Gold::N,బంగారము,кыһыл көмүс
200,Silber::N,వెండి,көмүс
201,Silber::N,వెండి,үрүҥ көмүс
202,Kohle::N,నేలబొగ్గు,чох
203,Glas::N,గాజు,өстүөкүлэ
204,Lehm::N,బంకమన్ను,туой
205,Sand::N,ఇసుక,кумах
206,Mensch::N,నరుడు,киһи
207,Mann::N,పురుమడు,эр
208,Frau::N,ఆడుది,дьахтар
209,Kind::N,బిడ్డ,оҕо
210,Junge::N,బాలుడు,уол
211,Mädchen::N,బాలిక,кыыс оҕо
212,Familie::N,కుటుంబము,кэргэн
213,Großvater::N,తాత,эһэ
214,Großmutter::N,అయ్యమ్మ,эбэ
215,Eltern::N,తల్లితండ్రులు,аҕа-ийэ
216,Vater::N,తండ్రి,аҕа
217,Mutter::N,తల్లి,ийэ
218,Sohn::N,కొడుకు,уол
219,Tochter::N,కూతురు,кыыс
220,Bruder::N,పోదరుడు,убай
221,Bruder::N,పోదరుడు,быраат
222,Schwester::N,సోదరి,аҕас
223,Schwester::N,సోదరి,балыс
224,Onkel::N,మేనమామ,таай
225,Onkel::N,మేనమామ,абаҕа
226,Tante::N,మేనత్త,эдьиий
227,Tante::N,పినతల్లి,эдьиий
228,Ehemann::N,భర్త,эр
229,Ehefrau::N,భార్య,ойох
230,Freude::N,సంతోషము,үөрүү
231,Gelächter::N,నవ్వు,күлүү
232,Glück::N,సంతోషము,дьол
233,Glück::N,సంతోషము,соргу
234,Kummer::N,దుఃఖము,кутурҕан
235,Wunsch::N,కోరిక,баҕарыы
236,Lust::N,కోరిక,баҕа
237,Geist::N,ఆత్మ,тыын
238,Gedanke::N,ఆలోచన,санаа
239,Gedächtnis::N,జ్ఞాపకము,өй
240,Verstand::N,మనస్సు,өй
241,Sinn::N,అర్థము,суолта
242,Grund::N,కారణము,төрүөт
243,Wahrheit::N,సత్యము,кырдьык
244,Gespräch::N,పంభాషణ,бэсиэдэ
245,Gespräch::N,పంభాషణ,кэпсэтии
246,Märchen::N,అద్భుతకథ,остуоруйа
247,Erzählung::N,కథ,кэпсээн
248,Nachricht::N,వార్త,биллэриллии
249,Neuigkeit::N,వార్త,сонун
250,Name::N,పేరు,аат
251,Rätsel::N,చిక్కు,таабырын
252,Rede::N,ఉపన్యాసము,этии
253,Sprache::N,భాష,тыл
254,Stimme::N,కంరథ్సని,куолас
255,Wort::N,మాట,тыл
256,Zeichen::N,గుర్తు,бэлиэ
257,Ruf::N,పిలువు,ыҥырыы
258,Lärm::N,సందడి,айдаан
259,Laut::N,ధ్వని,тыас
260,Ton::N,స్వరము,дорҕоон
261,Lied::N,పాట,ырыа
262,Ruhe::N,గాలిలేమి,уу чуумпу
263,Leute::N,జనులు,дьон
264,Volk::N,జాతి,дьон
265,Volk::N,జాతి,норуот
266,Arbeit::N,పని,үлэ
267,Gast::N,అతిధి,ыалдьыт
268,Geschenk::N,దానము,бэлэх
269,Spiel::N,ఆట,оонньуу
270,Gesellschaft::N,జట్టు,общество
271,Hilfe::N,సాహాయ్యము,көмө
272,Freund::N,స్నేహితుడు,доҕор
273,Kamerad::N,చెలికాడు,атас
274,Angelegenheit::N,విషయము,дьыала
275,Anzahl::N,లెక్క,ахсаан
276,Art::N,జాతి,биис
277,Stück::N,తునుక,кырбас
278,Teil::N,భాగము,ирээт
279,Hälfte::N,సగము,аҥар
280,Kreis::N,వృత్తము,төгүрүк
281,Kreis::N,వృత్తము,төгүрүмтэ
282,Kreuz::N,సిలువ,кириэс
283,Linie::N,గీత,сурааһын
284,Strich::N,గీత,сурааһын
285,Abstand::N,సందు,арыт
286,Entfernung::N,దూరము,ыраах
287,Gegend::N,విస్తీర్ణము,сир
288,Platz::N,ఎడము,арыт
289,Ort::N,స్థలము,сир
290,Seite::N,ప్రక్క,өрүт
291,Seite::N,ప్రక్క,сирэй
292,Mitte::N,నడిమి,орто
293,Gegenstand::N,పద్దు,предмет
294,Sache::N,వస్తువు,мал
295,Rand::N,అంచు,кытыы
296,Rand::N,అంచు,ойоҕос
297,Kante::N,అంచు,кырыы
298,Ecke::N,మూల,муннук
299,Spitze::N,మొన,чыпчаал
300,Ende::N,కొన,төбө
301,Loch::N,రంధ్రము,тэһэҕэс
302,Loch::N,రంధ్రము,дьөлөҕөс
303,Winkel::N,కోణము,муннук
304,Muster::N,మాదిరి,оһуор
305,Größe::N,పరిమాణము,кээмэй
306,Länge::N,పొడుగు,уста
307,Höhe::N,పొడుగు,үрдүк
308,Gewicht::N,భారము,ыйааһын
309,Menge::N,మొత్తము,ахсаан
310,Haufen::N,రాశి,чөмчөх
311,Reihe::N,వరుస,кэккэ
312,Boot::N,పడవ,оҥочо
313,Ruder::N,అడక,эрдии
314,Schlitten::N,సరవండ్లు,сыарҕа
315,Ski::N,స్కీ,хайыһар
316,Lagerfeuer::N,నెగడు,кутаа
317,Last::N,బరువు,ыарахан
318,Gang::N,నడక,хаамыы
319,Schritt::N,అడుగు,хардыы
320,Norden::N,ఉత్తరదిక్కు,хоту
321,Süden::N,దక్షిణము,соҕуруу
322,Westen::N,పడమర,арҕаа
323,Osten::N,తూర్పు,илин
324,Holz::N,కొయ్య,мас
325,Brett::N,పలక,дуоска
326,Brett::N,పలక,хаптаһын
327,Platte::N,పలక,билиитэ
328,Stütze::N,వాల్సేడ్లు,тулааһын
329,Stange::N,స్తంభము,ураҕас
330,Stock::N,కఱ్ఱ,мас
331,Stock::N,కఱ్ఱ,баалкы
332,Stab::N,కఱ్ఱ,ураҕас
333,Rohr::N,గొట్టము,турба
334,Haus::N,ఇల్లు,дьиэ
335,Heim::N,స్వగృహము,дьиэ
336,Ofen::N,పొయ్యి,оһох
337,Fußboden::N,నేల,муоста
338,Tisch::N,మేజా,остуол
339,Stuhl::N,కుర్చీ,устуул
340,Wiege::N,ఉయ్యాల,биһик
341,Bett::N,పడక,кырабаат
342,Bett::N,మంచం,кырабаат
343,Regal::N,అటక,долбуур
344,Kiste::N,వెట్టె,дьааһык
345,Fenster::N,కిటికి,түннүк
346,Tür::N,ద్వారము,аан
347,Tor::N,ద్వారము,аан
348,Zaun::N,కంచె,соппулуот
349,Dach::N,ఇంటివైకప్పు,кырыыса
350,Leiter::N,నిచ్చెన,кирилиэс
351,Besen::N,చీపురుకట్ట,миинньик
352,Spaten::N,పాఱ,күрдьэх
353,Schaufel::N,పాఱ,күрдьэх
354,Gabel::N,ముండ్లగరిటె,биилкэ
355,Löffel::N,గరిటె,луоска
356,Messer::N,కత్తి,быһах
357,Nagel::N,మేకు,тоһоҕо
358,Netz::N,వల,илим
359,Haken::N,కొక్కెము,көхө
360,Griff::N,పిడి,ук
361,Griff::N,పిడి,тутаах
362,Schloss::N,తాళము,күлүүс
363,Bild::N,చిత్రము,хартыына
364,Figur::N,రూపము,фигура
