,Concept_ID,zh,pt
0,Auge::N,眼睛,olho
1,Ohr::N,耳朵,orelha
2,Nase::N,鼻子,nariz
3,Mund::N,嘴,boca
4,Zahn::N,牙齿,dente
5,Zunge::N,舌头,língua
6,Lippe::N,嘴唇,lábio
7,Wange::N,面颊,face
8,Gesicht::N,脸,cara
9,Gesicht::N,脸,rosto
10,Stirn::N,额,testa
11,Haar::N,头发,cabelo
12,Schnurrbart::N,髭须,bigode
13,Bart::N,胡子,barba
14,Kinn::N,下巴,queixo
15,Kiefer[Anatomie]::N,颌,maxila
16,Kiefer[Anatomie]::N,颌,mandíbula
17,Kehle::N,嗓子,garganta
18,Hals::N,颈,colo
19,Hals::N,颈,pescoço
20,Genick::N,后颈,nuca
21,Kopf::N,头,cabeça
22,Rücken::N,背,dorso
23,Rücken::N,背,costas
24,Bauch::N,肚子,ventre
25,Bauch::N,肚子,barriga
26,Nabel::N,肚脐,umbigo
27,Busen::N,胸脯,seio
28,Brust::N,胸,peito
29,Schulter::N,肩膀,ombro
30,Arm::N,臂膀,braço
31,Ellenbogen::N,肘,cotovelo
32,Hand::N,手,mão
33,Handfläche::N,手掌,palma
34,Handfläche::N,手掌,palma da mão
35,Finger::N,手指,dedo
36,Fingernagel::N,指甲,unha
37,Nagel[Anatomie]::N,指甲,unha
38,Zeh::N,脚趾,dedo do pé
39,Fuß::N,脚,pé
40,Ferse::N,后跟,calcanhar
41,Knie::N,膝,joelho
42,Oberschenkel::N,大腿,coxa
43,Bein::N,腿,perna
44,Körper::N,身体,corpo
45,Haut::N,皮肤,pele
46,Blut::N,血,sangue
47,Ader::N,血管,veia
48,Sehne::N,腱,tendão
49,Knochen::N,骨,osso
50,Gehirn::N,脑,cérebro
51,Herz::N,心,coração
52,Magen::N,胃,estômago
53,Leber::N,肝,fígado
54,Atem::N,呼吸,fôlego
55,Hunger::N,饿,fome
56,Träne::N,眼泪,lágrima
57,Geschmack::N,味道,gosto
58,Geruch::N,气味,odor
59,Geruch::N,气味,cheiro
60,Schlaf::N,睡眠,sono
61,Traum::N,梦,sonho
62,Himmel::N,天空,céu
63,Sonne::N,太阳,sol
64,Mond::N,月亮,lua
65,Stern::N,星,estrela
66,Luft::N,空气,ar
67,Wind::N,风,vento
68,Welle::N,波,onda
69,Wasser::N,水,água
70,Stein::N,石头,pedra
71,Boden::N,地面,solo
72,Erde::N,地,terra
73,Staub::N,灰尘,pó
74,Rauch::N,烟,fumo
75,Funke::N,火花,faísca
76,Funke::N,火花,centelha
77,Feuer::N,火,fogo
78,Licht::N,光,luz
79,Schatten::N,影子,sombra
80,Wetter::N,天气,tempo
81,Nebel::N,雾,nevoeiro
82,Wolke::N,云,nuvem
83,Regen::N,雨,chuva
84,Schnee::N,雪,neve
85,Eis::N,冰,gelo
