,Concept_ID,et,ca
0,Auge::N,silm,ull
1,Ohr::N,kõrv,orella
2,Nase::N,nina,nas
3,Mund::N,suu,boca
4,Zahn::N,hammas,dent
5,Zunge::N,keel,llēngua
6,Lippe::N,huul,llavi
7,Wange::N,põsk,galta
8,Gesicht::N,nägu,cara
9,Stirn::N,otsmik,front
10,Haar::N,juus,cabēll
11,Schnurrbart::N,vurrud,bigoti
12,Schnurrbart::N,vuntsid,bigoti
13,Bart::N,habe,barba
14,Kinn::N,lõug,mentó
15,Kinn::N,lõug,barbeta
16,Kiefer[Anatomie]::N,lõualuu,queix
17,Kiefer[Anatomie]::N,lõualuu,mandíbula
18,Kehle::N,kõri,gola
19,Kehle::N,kõri,gorja
20,Hals::N,kael,coll
21,Genick::N,kukal,nuca
22,Kopf::N,pea,cap
23,Rücken::N,selg,esquena
24,Bauch::N,kõht,panxa
25,Nabel::N,naba,llombrígol
26,Busen::N,rind,pit
27,Busen::N,rind,mama
28,Brust::N,rind,pit
29,Schulter::N,õlg,espatlla
30,Arm::N,käsivars,braç
31,Ellenbogen::N,küünarnukk,colze
32,Hand::N,käsi,mà
33,Handfläche::N,pihk,palma
34,Finger::N,sõrm,dit
35,Fingernagel::N,küüs,ungla
36,Nagel[Anatomie]::N,küüs,ungla
37,Zeh::N,varvas,dit del peu
38,Fuß::N,jalg,peu
39,Ferse::N,kand,taló
40,Knie::N,põlv,genoll
41,Oberschenkel::N,reis,cuixa
42,Bein::N,jalg,cama
43,Körper::N,ihu,cos
44,Körper::N,keha,cos
45,Haut::N,nahk,pell
46,Blut::N,veri,sang
47,Ader::N,veen,vena
48,Sehne::N,kõõlus,tendó
49,Knochen::N,luu,os
50,Gehirn::N,aju,cervell
51,Herz::N,süda,cor
52,Magen::N,magu,estómac
53,Leber::N,maks,fetge
54,Atem::N,hingeõhk,alè
55,Atem::N,hingeõhk,hàlit
56,Atem::N,hingamine,alè
57,Atem::N,hingamine,hàlit
58,Hunger::N,nälg,fam
59,Hunger::N,nälg,gana
60,Träne::N,pisar,llàgrima
61,Geschmack::N,maitse,gust
62,Geschmack::N,maitse,sabor
63,Geruch::N,lõhn,olor
64,Schlaf::N,uni,son
65,Traum::N,unenägu,somni
66,Himmel::N,taevas,celm
67,Sonne::N,päike,sol
68,Mond::N,kuu,lluna
69,Stern::N,täht,estel
70,Stern::N,täht,estrella
71,Luft::N,õhk,aire
72,Wind::N,tuul,vent
73,Welle::N,laine,ona
74,Wasser::N,vesi,āigua
75,Stein::N,kivi,pedra
76,Boden::N,maa,sòl
77,Boden::N,pinnas,sòl
78,Erde::N,maa,terra
79,Staub::N,põrm,pols
80,Rauch::N,suits,fum
81,Funke::N,säde,guspira
82,Funke::N,säde,centella
83,Feuer::N,tuli,foc
84,Licht::N,valgus,llum
85,Schatten::N,vari,ombra
86,Wetter::N,ilm,temps
87,Nebel::N,udu,boira
88,Wolke::N,pilv,núvol
89,Regen::N,sadu,pluja
90,Schnee::N,lumi,neu
91,Eis::N,jää,gel
92,Eis::N,jää,glaç
93,Frost::N,pakane,glaçada
94,Kälte::N,külm,fred
95,Kälte::N,külmus,fred
96,Hitze::N,kuumus,calor
97,Hitze::N,palavus,calor
98,Raureif::N,härmatis,gebre
99,Regenbogen::N,vikerkaar,arc iris
100,Donner::N,kõu,tro
101,Donner::N,müristamine,tro
102,Strömung::N,voolus,corrent
103,Strömung::N,jõevool,corrent
104,Tropfen::N,tilk,gota
105,Schaum::N,vaht,escuma
106,Schmutz::N,pori,brutícia
107,Schmutz::N,mustus,brutícia
108,See::N,järv,llac
109,Sumpf::N,soo,pantà
110,Moor::N,raba,pantà
111,Wiese::N,aas,prat
112,Wiese::N,aas,prada
113,Wiese::N,nurm,prat
114,Wiese::N,nurm,prada
115,Wald::N,mets,bosc
116,Hügel::N,küngas,puig
117,Hügel::N,küngas,pujol
118,Anhöhe::N,küngas,turó
119,Berg::N,mägi,muntanya
120,Gipfel::N,mäetipp,cim
121,Höhle::N,koobas,cova
122,Abhang::N,nõlvak,coster
123,Quelle::N,allikas,font
124,Bach::N,oja,riera
125,Fluss::N,jõgi,riu
126,Ufer::N,kallas,riba
127,Küste::N,rannik,costa
128,Festland::N,mander,terra ferma
129,Festland::N,maismaa,terra ferma
130,Meer::N,meri,mar
131,Bucht::N,laht,cala
132,Bucht::N,laht,badia
133,Insel::N,saar,illa
134,Blume::N,lill,flor
135,Gras::N,rohi,herba
136,Wurzel::N,juur,rel
137,Wurzel::N,juur,arrel
138,Baum::N,puu,arbre
139,Stamm::N,tüvi,tronc
140,Rinde::N,koor,escorça
141,Ast::N,oks,branca
142,Zweig::N,oks,ram
143,Blatt::N,leht,fulla
144,Birke::N,kask,bedoll
145,Kiefer[Baum]::N,mänd,pi
146,Weide[Baum]::N,paju,salze
147,Tanne::N,nulg,avet
148,Horn::N,sarv,corn
149,Horn::N,sarv,banya
150,Feder::N,sulg,ploma
151,Fell::N,karvkate,pell
152,Fell::N,karusnahk,pell
153,Flügel::N,tiib,ala
154,Flügel::N,tiivik,ala
155,Klaue::N,küüs,urpa
156,Kralle::N,küünis,grapa
157,Schwanz::N,saba,cua
158,Ei::N,muna,ou
159,Nest::N,pesa,niu
160,Bau::N,urg,cau
161,Tier::N,loom,animāl
162,Herde::N,kari,ramat
163,Kuh::N,lehm,vaca
164,Bulle::N,pull,toro
165,Pferd::N,hobune,cavāll
166,Schaf::N,lammas,be
167,Schaf::N,lammas,ovella
168,Schwein::N,siga,bacó
169,Hund::N,koer,ca
170,Hund::N,koer,gos
171,Katze::N,kass,gat
172,Bär::N,karu,ós
173,Eichhörnchen::N,orav,esquirol
174,Elch::N,põder,ant
175,Fuchs::N,rebane,guilla
176,Hase::N,jänes,llebre
177,Maus::N,hiir,ratolí
178,Wolf::N,hunt,llop
179,Vogel::N,lind,au
180,Vogel::N,lind,ocēll
181,Schwarm::N,parv,bandada
182,Huhn::N,kana,gallina
183,Hahn::N,kukk,gall
184,Gans::N,hani,oca
185,Adler::N,kotkas,àguila
186,Ente::N,part,ànec
187,Eule::N,kakk,òliba
188,Eule::N,kakk,mussol
189,Eule::N,öökull,òliba
190,Eule::N,öökull,mussol
191,Kranich::N,kurg,grua
192,Krähe::N,vares,cornella
193,Kuckuck::N,kägu,cucut
194,Schwan::N,luik,cigne
195,Fisch::N,kala,peix
196,Barsch::N,ahven,perca
197,Hecht::N,haug,lluç
198,Schlange[Tier]::N,uss,serp
199,Wurm::N,uss,cuc
200,Wurm::N,vagel,cuc
201,Spinne::N,ämblik,aranya
202,Ameise::N,sipelgas,formiga
203,Laus::N,täi,poll
204,Mücke::N,sääsk,mosquit
205,Fliege::N,kärbes,mosca
206,Schmetterling::N,liblikas,papallona
207,Beere::N,mari,baia
208,Apfel::N,õun,poma
209,Pilz::N,seen,bolet
210,Zwiebel::N,sibul,ceba
211,Saat::N,seeme,sembra
212,Korn::N,iva,gra
213,Korn::N,tera,gra
214,Heu::N,hein,fenc
215,Schale::N,koor,closca
216,Grube::N,kaevand,sot
217,Grube::N,kaevand,clot
218,Falle::N,lõks,trampa
219,Falle::N,püünis,trampa
220,Schlinge::N,aas,baga
221,Spur::N,jälg,traça
222,Asche::N,tuhk,cendra
223,Dreck::N,saast,llot
224,Dreck::N,mustus,llot
225,Eisen::N,raud,ferro
226,Gold::N,kuld,or
227,Silber::N,hõbe,plata
228,Kohle::N,süsi,carbó
229,Glas::N,klaas,vidre
230,Lehm::N,savi,fang
231,Lehm::N,savi,argila
232,Sand::N,liiv,arena
233,Mensch::N,inimene,humà
234,Mensch::N,inimene,persona
235,Mann::N,mees,home
236,Frau::N,naine,dona
237,Kind::N,laps,nen
238,Junge::N,poiss,noi
239,Mädchen::N,tüdruk,noia
240,Familie::N,perekond,família
241,Großvater::N,vanaisa,avi
242,Großmutter::N,vanaema,àvia
243,Eltern::N,vanemad,pares
244,Vater::N,isa,pare
245,Mutter::N,ema,mare
246,Sohn::N,poeg,fill
247,Tochter::N,tütar,filla
248,Bruder::N,vend,germà
249,Schwester::N,õde,germana
250,Onkel::N,onu,oncle
251,Tante::N,tädi,tia
252,Ehemann::N,mees,espòs
253,Ehemann::N,abikaasa,espòs
254,Ehefrau::N,naine,muller
255,Ehefrau::N,abikaasa,muller
256,Freude::N,rõõm,goig
257,Freude::N,rõõm,alegria
258,Gelächter::N,naer,riallada
259,Glück::N,õnn,felicitat
260,Kummer::N,mure,pena
261,Kummer::N,kurbus,pena
262,Wunsch::N,soov,desig
263,Lust::N,himu,ganes
264,Geist::N,vaim,ment
265,Geist::N,vaim,esperit
266,Gedanke::N,mõte,pensament
267,Gedächtnis::N,mälu,memòria
268,Verstand::N,aru,raó
269,Verstand::N,aru,seny
270,Verstand::N,mõistus,raó
271,Verstand::N,mõistus,seny
272,Sinn::N,tähendus,solta
273,Sinn::N,tähendus,sentit
274,Grund::N,põhjus,raó
275,Grund::N,põhjus,causa
276,Wahrheit::N,tõde,veritāt
277,Gespräch::N,kõne,conversa
278,Gespräch::N,vestlus,conversa
279,Märchen::N,muinasjutt,conte
280,Erzählung::N,jutustus,narració
281,Nachricht::N,teade,missatge
282,Neuigkeit::N,uudis,novetat
283,Name::N,nimi,nom
284,Rätsel::N,mõistatus,endevinalla
285,Rede::N,kõne,discurs
286,Sprache::N,keel,llēngua
287,Stimme::N,hääl,veu
