,Concept_ID,udm,it
0,Auge::N,син,occhio
1,Ohr::N,пель,orecchio
2,Nase::N,ныр,naso
3,Mund::N,ым,bocca
4,Zahn::N,пинь,dente
5,Zunge::N,кыл,lingua
6,Lippe::N,ымдур,labbro
7,Wange::N,бам,guancia
8,Gesicht::N,ымныр,viso
9,Gesicht::N,ымныр,faccia
10,Stirn::N,кымес,fronte
11,Haar::N,йырси,capello
12,Schnurrbart::N,мыйык,baffi
13,Schnurrbart::N,мыйык,mustacchi
14,Bart::N,туш,barba
15,Kinn::N,ангес,mento
16,Kiefer[Anatomie]::N,ан,mascella
17,Kiefer[Anatomie]::N,анлы,mascella
18,Kehle::N,гульым,gola
19,Hals::N,чырты,collo
20,Genick::N,йырбер,nuca
21,Kopf::N,йыр,capo
22,Kopf::N,йыр,testa
23,Rücken::N,мыш,dorso
24,Rücken::N,мыш,schiena
25,Bauch::N,кӧт,ventre
26,Nabel::N,гогы,ombelico
27,Busen::N,ноны,seno
28,Brust::N,мӧля,petto
29,Schulter::N,пельпум,spalla
30,Arm::N,суй,braccio
31,Ellenbogen::N,гырпум,gomito
32,Hand::N,ки,mano
33,Handfläche::N,ки пыдэс,palma
34,Handfläche::N,кырым пыдэс,palma
35,Finger::N,чиньы,dito
36,Fingernagel::N,гижы,unghia
37,Fingernagel::N,гиждӥнь,unghia
38,Nagel[Anatomie]::N,гижы,unghia
39,Zeh::N,пыдчиньы,dito del piede
40,Fuß::N,пыд,piede
41,Ferse::N,пыдбер,tallone
42,Ferse::N,пыдбер,calcagno
43,Knie::N,пыдес,ginocchio
44,Oberschenkel::N,макес,fèmore
45,Bein::N,пыд,gamba
46,Körper::N,мугор,corpo
47,Körper::N,вылтыр,corpo
48,Haut::N,ку,pelle
49,Blut::N,вир,sangue
50,Ader::N,вирсэр,vena
51,Sehne::N,вуж,tèndine
52,Knochen::N,лы,osso
53,Gehirn::N,вим,cervello
54,Herz::N,сюлэм,cuore
55,Magen::N,ӝуш,stòmaco
56,Leber::N,мус,fegato
57,Atem::N,лул,fiato
58,Atem::N,лул,respiro
59,Atem::N,шокан,fiato
60,Atem::N,шокан,respiro
61,Hunger::N,кӧтсюман,fame
62,Träne::N,синкыли,làcrima
63,Geschmack::N,шӧм,gusto
64,Geschmack::N,шӧм,sapore
65,Geruch::N,зын,odore
66,Schlaf::N,вӧт,sonno
67,Traum::N,уйвӧт,sogno
68,Himmel::N,ин,cielo
69,Sonne::N,шунды,sole
70,Mond::N,толэзь,luna
71,Stern::N,кизили,stella
72,Luft::N,омыр,aria
73,Wind::N,тӧл,vento
74,Welle::N,тулкым,onda
75,Wasser::N,ву,acqua
76,Stein::N,из,sasso
77,Stein::N,из,pietra
78,Boden::N,музъем,suolo
79,Boden::N,музъем,terreno
80,Erde::N,му,terra
81,Staub::N,пыль,polvere
82,Rauch::N,ӵын,fumo
83,Funke::N,гизьы,scintilla
84,Feuer::N,тыл,fuoco
85,Licht::N,тыл,luce
86,Schatten::N,вужер,ombra
87,Wetter::N,куазь,tempo
88,Nebel::N,бус,nebbia
89,Wolke::N,пилем,nube
90,Wolke::N,пилем,nùvola
91,Regen::N,зор,pioggia
92,Schnee::N,лымы,neve
93,Eis::N,йӧ,ghiaccio
94,Frost::N,кезьыт,gelo
95,Kälte::N,кезьыт,freddo
96,Hitze::N,пӧсь,caldo
97,Hitze::N,пӧсь,calura
98,Raureif::N,гӧр,brina
99,Regenbogen::N,вуюись,arcobaleno
100,Donner::N,гудыри,tuono
101,Strömung::N,бызён,corrente
102,Tropfen::N,шапык,goccia
103,Schaum::N,шукы,spuma
104,Schaum::N,шукы,schiuma
105,Schmutz::N,нӧд,sudiciume
106,Schmutz::N,дэри,sudiciume
107,See::N,ты,lago
108,Sumpf::N,нюр,palude
109,Moor::N,нюр,torbiera
110,Wiese::N,возь,prato
111,Wiese::N,возьвыл,prato
112,Wald::N,сик,bosco
113,Wald::N,сик,foresta
114,Wald::N,нюлэс,bosco
115,Wald::N,нюлэс,foresta
116,Hügel::N,выр,colle
117,Hügel::N,выр,collina
118,Hügel::N,вырйыл,colle
119,Hügel::N,вырйыл,collina
120,Anhöhe::N,выр,altura
121,Anhöhe::N,вырйыл,altura
122,Berg::N,гурезь,monte
123,Berg::N,гурезь,montagna
124,Gipfel::N,йыл,cima
125,Höhle::N,гу,grotta
126,Höhle::N,гу,caverna
127,Abhang::N,бам,pendìo
128,Quelle::N,ошмес,sorgente
129,Bach::N,пичи шур,ruscello
130,Fluss::N,шур,fiume
131,Ufer::N,ярдур,riva
132,Küste::N,вудур,costa
133,Festland::N,мувыр,terraferma
134,Meer::N,зарезь,mare
135,Bucht::N,вукож,cala
136,Insel::N,вумуӵ,ìsola
137,Insel::N,шормуӵ,ìsola
138,Blume::N,сяська,fiore
139,Gras::N,турын,erba
140,Wurzel::N,выжы,radice
141,Baum::N,пу,àlbero
142,Stamm::N,модос,tronco
143,Rinde::N,сул,corteccia
144,Ast::N,ул,ramo
145,Zweig::N,вай,ramo
146,Blatt::N,куар,foglia
147,Birke::N,кызьпу,betulla
148,Kiefer[Baum]::N,пужым,pino
149,Weide[Baum]::N,бадьпу,sàlice
150,Tanne::N,кыз,abete
151,Horn::N,сюр,corno
152,Feder::N,тылы,penna
153,Fell::N,ку,manto
154,Fell::N,ку,pelame
155,Flügel::N,бурд,ala
156,Klaue::N,гижы,grinfia
157,Kralle::N,пыд,unghia
158,Kralle::N,пыд,artiglio
159,Schwanz::N,быж,coda
160,Ei::N,пуз,uovo
161,Ei::N,кукей,uovo
162,Nest::N,кар,nido
163,Nest::N,пузкар,nido
164,Bau::N,кар,covo
165,Bau::N,гу,covo
166,Tier::N,пӧйшур,bestia
167,Tier::N,пӧйшур,animale
168,Herde::N,уллё,gregge
169,Kuh::N,скал,vacca
170,Bulle::N,ош,toro
171,Bulle::N,пороз,toro
172,Pferd::N,вал,cavallo
173,Schaf::N,ыж,pècora
174,Schwein::N,парсь,porco
175,Schwein::N,парсь,maiale
176,Hund::N,пуны,cane
177,Katze::N,коӵыш,gatta
178,Bär::N,гондыр,orso
179,Eichhörnchen::N,коньы,scoiàttolo
180,Elch::N,койык,alce
181,Fuchs::N,ӟичы,volpe
182,Hase::N,кеч,lepre
183,Maus::N,шыр,topo
