,Concept_ID,la,ta
0,Auge::N,oculus,கண்
1,Ohr::N,auris,காது
2,Nase::N,nasus,மூக்கு
3,Mund::N,os,வாய்
4,Zahn::N,dens,பல்
5,Zunge::N,lingua,நாக்கு
6,Lippe::N,labrum,உதடு
7,Wange::N,gena,கன்னம்
8,Gesicht::N,vultus,முகம்
9,Stirn::N,frons,முன்னெற்றி
10,Haar::N,capillus,முடி
11,Schnurrbart::N,barba labri superioris,மீசை
12,Bart::N,barba,தாடி
13,Kinn::N,mentum,கீழதாடை
14,Kiefer[Anatomie]::N,mala,தாடை
15,Kehle::N,iugulums,தொண்டை
16,Hals::N,collum,கழுத்து
17,Genick::N,cervices,கழுத்து
18,Kopf::N,caput,தலை
19,Rücken::N,tergum,முதுகு
20,Bauch::N,venter,வயிறு
21,Nabel::N,umbilicus,தொப்புள்
22,Busen::N,sinus,மார்பகம்
23,Brust::N,pectus, மார்பு
24,Schulter::N,umerus,தோள்பட்டை
25,Arm::N,bracchium,கரம்
26,Ellenbogen::N,cubitum,முழங்கை
27,Hand::N,manus,கை
28,Handfläche::N,palma,உள்ளங்கை
29,Finger::N,digitus,விரல்
30,Fingernagel::N,unguiculus,விரல் நகம்
31,Nagel[Anatomie]::N,unguis,நகம்
32,Zeh::N,digitus,கால்விரல்
33,Fuß::N,pes,கால்
34,Ferse::N,calx,குதிகால்
35,Knie::N,genu,முழங்கால்
36,Oberschenkel::N,femur,தொடை
37,Bein::N,crus,கால்
38,Körper::N,corpus,உடல்
39,Haut::N,cutis,சருமம்
40,Haut::N,pellis,சருமம்
41,Blut::N,sanguis,இரத்தம்
42,Ader::N,vena,நாளம்
43,Sehne::N,nervus,தசைநார்
44,Knochen::N,os,எலுமபு
45,Gehirn::N,cerebrum,மூனை
46,Herz::N,cor,இதயம
47,Herz::N,animus,இதயம
48,Magen::N,stomachus,வயிறு
49,Leber::N,iecur,கல்லீரல்
50,Atem::N,spiritus,மூச்சு
51,Hunger::N,fames,பசி
52,Träne::N,lacrima,கண்ணீர்
53,Geschmack::N,sapor,நறுமணம்
54,Geschmack::N,gustus,நறுமணம்
55,Geruch::N,odor,துர்நாற்றம்
56,Schlaf::N,somnus,தூக்கம்
57,Traum::N,somnium,கனவு
58,Himmel::N,caelum,வானம்
59,Sonne::N,sol,சூரியன்
60,Mond::N,luna,சந்திரன்
61,Stern::N,sidus,நட்சத்திரம்
62,Stern::N,stella,நட்சத்திரம்
63,Luft::N,aer,காறறு
64,Wind::N,ventus,காற்று
65,Welle::N,unda,அலை
66,Wasser::N,aqua,நீர்
67,Stein::N,lapis,கல்
68,Boden::N,solum,தரை
69,Erde::N,terra,மண்
70,Staub::N,pulvis,தூசி
71,Rauch::N,fumus,புகை
72,Funke::N,scintilla,தீப்பொறி
73,Feuer::N,ignis,தீ
74,Licht::N,lux,வெளிச்சம்
75,Licht::N,lumen,வெளிச்சம்
76,Schatten::N,umbra,நிழல்
77,Wetter::N,caelum,வானிலை
78,Wetter::N,tempestas,வானிலை
79,Nebel::N,nebula,பனிமூட்டம்
80,Wolke::N,nubes,மேகம்
81,Regen::N,imber,மழை
82,Regen::N,pluvia,மழை
83,Schnee::N,nix,உறைபனி
84,Eis::N,glacies,பனிக்கட்டி
85,Frost::N,gelu,உறைபனி
86,Kälte::N,frigus,குளிர்ந்த
87,Hitze::N,calor,சூடு
88,Hitze::N,aestus,சூடு
89,Raureif::N,pruina,உறைபனி வெண்திரை
90,Regenbogen::N,arcus,வானவில்
91,Donner::N,tonitrus,இடி
92,Strömung::N,fluctus,நீரோட்டம்
93,Tropfen::N,gutta,துளி
94,Schaum::N,spuma,நுரை
95,Schmutz::N,sordes,அழுக்கு
96,Schmutz::N,squalor,அழுக்கு
97,See::N,lacus,ஏரி
98,Sumpf::N,palus,சதுப்பு நிலம்
99,Moor::N,palus,முட்புதற்காடு
100,Wiese::N,pratum,பசும் புல்தரை
101,Wald::N,silva,காடு
102,Hügel::N,collis,குன்று
103,Anhöhe::N,specula,பதுக்கை
104,Berg::N,mons,மலை
105,Gipfel::N,vertex,உச்சி மாநாடு
106,Höhle::N,caverna,குகை
107,Höhle::N,spelunca,குகை
108,Abhang::N,declivum,சரிவு
109,Quelle::N,fons,மூலம்
110,Bach::N,rivus,ஓடை
111,Fluss::N,flumen,ஆறு
112,Ufer::N,ripa,நீர்க்கரை
113,Küste::N,litus,கடற்கரை
114,Festland::N,continens,நிலம்
115,Meer::N,mare,கடல்
116,Bucht::N,sinus,சிறுகுடா
