,Concept_ID,hr,ps
0,Auge::N,oko,سترګه
1,Ohr::N,uho,غوږ
2,Nase::N,nos,پوزه
3,Mund::N,usta,خوله
4,Zahn::N,zub,غاښ
5,Zunge::N,jezik,جبه
6,Lippe::N,usna,شونډه
7,Wange::N,obraz,باړخو
8,Gesicht::N,lice,مخ
9,Stirn::N,čelo,تندی
10,Stirn::N,čelo,وچولی
11,Haar::N,kosa,وېښته
12,Schnurrbart::N,brkovi,برېت
13,Bart::N,brada,ږیره
14,Kinn::N,brada,زنه
15,Kinn::N,podbradak,زنه
16,Kiefer[Anatomie]::N,čeljust,جامه
17,Kehle::N,grlo,غاړه
18,Hals::N,vrat,غاړه
19,Genick::N,zatiljak,ورمېږ
20,Kopf::N,glava,سر
21,Rücken::N,leđa,شا
22,Rücken::N,hrbat,شا
23,Bauch::N,trbuh,نس
24,Bauch::N,trbuh,ګېډه
25,Nabel::N,pupak,نوم
26,Busen::N,sisa,تی
27,Busen::N,njedra,تی
28,Brust::N,prsa,سینه
29,Schulter::N,rame,اوږه
30,Schulter::N,pleći,اوږه
31,Arm::N,ruka,لاس
32,Ellenbogen::N,lakat,څنګل
33,Hand::N,ruka,لاس
34,Handfläche::N,dlan,ورغوی
35,Finger::N,prst,ګوته
36,Fingernagel::N,nokat,نوک
37,Nagel[Anatomie]::N,nokat,نوک
38,Zeh::N,nozni prst,ګوته
39,Fuß::N,noga,پښه
40,Fuß::N,stopalo,پښه
41,Ferse::N,peta,پونده
42,Knie::N,koljeno,زنګون
43,Oberschenkel::N,bedro,پتون
44,Bein::N,noga,پښه
45,Körper::N,tijelo,ځان
46,Haut::N,put,پوټکی
47,Haut::N,koža,پوټکی
48,Blut::N,krv,وینه
49,Ader::N,žila,رګ
50,Sehne::N,tetiva,پله
51,Knochen::N,kost,هډوکی
52,Herz::N,srce,زړه
53,Magen::N,stomak,معده
54,Magen::N,želudac,معده
55,Leber::N,jetra,ينه
56,Leber::N,jetra,ځیګر
57,Atem::N,dah,نفس
58,Hunger::N,glad,ولږه
59,Träne::N,suza,اوښکه
60,Geschmack::N,ukus,مزه
61,Geschmack::N,ukus,خوند
62,Geruch::N,njuh,بوی
63,Geruch::N,miris,بوی
64,Schlaf::N,san,خوب
65,Traum::N,san,خوب
66,Himmel::N,nebo,اسمان
67,Sonne::N,sunce,لمر
68,Mond::N,mjesec,سپوږمۍ
69,Stern::N,zvijezda,ستوری
70,Luft::N,zrak,هوا
71,Wind::N,vjetar,ورښ
72,Welle::N,val,موج
73,Welle::N,talas,موج
74,Wasser::N,voda,اوبه
75,Stein::N,kamen,ډبره
76,Boden::N,tlo,مځکه
77,Boden::N,zemlja,مځکه
78,Erde::N,zemlja,خاوره
79,Staub::N,prah,ګرد
80,Staub::N,prah,خاوره
81,Staub::N,prašina,ګرد
82,Staub::N,prašina,خاوره
83,Rauch::N,dim,دود
84,Rauch::N,dim,لوګی
85,Funke::N,iskra,سپرغۍ
86,Funke::N,varnica,سپرغۍ
87,Feuer::N,vatra,اور
88,Licht::N,svjetlo,رڼا
89,Schatten::N,hlad,سیوری
90,Schatten::N,sjena,سیوری
91,Wetter::N,vrijeme,هوا
92,Nebel::N,magla,لړه
93,Wolke::N,oblak,ورېځ
94,Regen::N,kiša,وریا
95,Regen::N,kiša,باران
96,Schnee::N,snijeg,واوره
97,Eis::N,led,یخ
98,Eis::N,led,کنګل
99,Frost::N,mraz,یخ
100,Kälte::N,studen,ساړه
101,Kälte::N,hladnoća,ساړه
102,Hitze::N,vrućina,تودوخي
103,Raureif::N,inje,سپینه پرخه
104,Regenbogen::N,duga,بوډۍ ټال
105,Regenbogen::N,duga,سره زرغونه
106,Donner::N,grom,تالنده
107,Donner::N,grmljavina,تالنده
108,Strömung::N,struja,بهېدنه
109,Strömung::N,strujanje,بهېدنه
110,Tropfen::N,kap,قطره
111,Tropfen::N,kap,څاڅکی
112,Tropfen::N,kaplja,قطره
113,Tropfen::N,kaplja,څاڅکی
114,Schaum::N,pjena,ځګ
115,Schmutz::N,nečistoća,ناپاکي
116,Schmutz::N,prljavština,ناپاکي
117,See::N,jezero,جهیل
118,Sumpf::N,bara,جبه
119,Moor::N,močvara,جبه
120,Wiese::N,livada,چمن
121,Wiese::N,livada,شنېلی
122,Wald::N,šuma,ځنګل
123,Hügel::N,brijeg,تپه
124,Hügel::N,brežuljak,تپه
