,Concept_ID,vep,is
0,Auge::N,sil'm,auga
1,Ohr::N,korv,eyra
2,Nase::N,nena,nef
3,Mund::N,su,munnur
4,Zahn::N,pi,tönn
5,Zahn::N,hambaz,tönn
6,Zunge::N,kel',tunga
7,Lippe::N,hul',vör
8,Wange::N,modpolišk,kinn
9,Wange::N,modpolišk,vangi
10,Gesicht::N,mod,andlit
11,Stirn::N,oc,enni
12,Haar::N,tuk,hár
13,Haar::N,hibuz,hár
14,Schnurrbart::N,habinod,yfirskegg
15,Bart::N,bard,skegg
16,Kinn::N,löug,haka
17,Kiefer[Anatomie]::N,hambazlu,kjálki
18,Kiefer[Anatomie]::N,hambazlu,skoltur
19,Kehle::N,kurk,kverk
20,Hals::N,kagl,háls
21,Genick::N,tagarai,hnakki
22,Kopf::N,pä,höfuð
23,Rücken::N,sel'g,hryggur
24,Bauch::N,vac,kviður
25,Bauch::N,koht,kviður
26,Nabel::N,naba,nafli
27,Busen::N,niža,barmur
28,Brust::N,rind,brjóst
29,Schulter::N,oug,öxl
30,Arm::N,käzi,armur
31,Ellenbogen::N,künambruz,olnbogi
32,Hand::N,käzi,hönd
33,Hand::N,käzitera,hönd
34,Handfläche::N,kämen,lófi
35,Finger::N,sor'm,fingur
36,Fingernagel::N,künz',fingurnögl
37,Nagel[Anatomie]::N,künz',nögl
38,Zeh::N,barbaz,tá
39,Fuß::N,jaug,fótur
40,Ferse::N,kand,hæll
41,Knie::N,komb,kné
42,Knie::N,pol'v,kné
43,Oberschenkel::N,riiže,læri
44,Bein::N,jaug,fótleggur
45,Körper::N,hibj,búkur
46,Körper::N,hibj,líkami
47,Haut::N,nahk,húð
48,Haut::N,nahk,skinn
49,Blut::N,čak,blóð
50,Blut::N,veri,blóð
51,Ader::N,son',æð
52,Sehne::N,jände,sin
53,Knochen::N,lu,bein
54,Gehirn::N,aivod,heili
55,Herz::N,südäin,hjarta
56,Magen::N,südäikoht,magi
57,Leber::N,maks,lifur
58,Atem::N,hengaiduz,andi
59,Atem::N,hengaiduz,andardráttur
60,Hunger::N,näl'g,hungur
61,Träne::N,kündal',tár
62,Geschmack::N,magu,smekkur
63,Geruch::N,haju,lykt
64,Schlaf::N,uni,svefn
65,Traum::N,unikuva,draumur
66,Himmel::N,taivaz,himinn
67,Sonne::N,päiväine,sól
68,Mond::N,kudmaine,tungl
69,Stern::N,tähtaz,stjarna
70,Luft::N,il'm,loft
71,Wind::N,döl,vindur
72,Wind::N,tullei,vindur
73,Welle::N,ald,alda
74,Welle::N,ald,bylgja
75,Welle::N,laineh,alda
76,Welle::N,laineh,bylgja
77,Wasser::N,vezi,vatn
78,Stein::N,kivi,steinn
79,Boden::N,ma,botn
80,Boden::N,pohj,botn
81,Erde::N,ma,jörð
82,Staub::N,pölü,ryk
83,Staub::N,pölü,duft
84,Rauch::N,savu,reykur
85,Funke::N,kibin,neisti
86,Feuer::N,lämoi,eldur
87,Licht::N,vauktuz,ljós
88,Schatten::N,pil'vez,skuggi
89,Schatten::N,kuvahaine,skuggi
90,Wetter::N,sä,veður
91,Nebel::N,sumeg,þoka
92,Wolke::N,pil'v,ský
93,Regen::N,vihm,regn
94,Schnee::N,lumi,snjór
95,Eis::N,jä,ís
96,Frost::N,hala,frost
97,Frost::N,pakaine,frost
98,Kälte::N,vilu,kuldi
99,Hitze::N,räk,hiti
100,Raureif::N,hüde,hrím
101,Regenbogen::N,jumalanbembel',regnbogi
102,Donner::N,juru,þruma
103,Donner::N,jumalanjuru,þruma
104,Strömung::N,joksmuz,straumur
105,Tropfen::N,tilkuine,dropi
106,Schaum::N,vaht,froða
107,Schmutz::N,redu,óhreinindi
108,Schmutz::N,pačak,óhreinindi
109,See::N,järv,stöðuvatn
110,Sumpf::N,so,fen
111,Moor::N,so,mýri
112,Wiese::N,nit,engi
113,Wald::N,mec,skógur
114,Hügel::N,kukaz,hæð
115,Hügel::N,kukaz,hóll
116,Anhöhe::N,kukaz,hæð
117,Anhöhe::N,kukaz,hóll
118,Berg::N,mägi,fell
119,Berg::N,mägi,fjall
120,Gipfel::N,ladv,tindur
121,Höhle::N,mägionduz,hellir
122,Abhang::N,paute,hlíð
123,Abhang::N,paute,brekka
124,Quelle::N,lähte,lind
125,Quelle::N,lähte,uppspretta
126,Bach::N,oja,lækur
127,Fluss::N,jogi,á
128,Fluss::N,jogi,fljót
129,Ufer::N,rand,árbakki
130,Ufer::N,rand,sjávarbakki
131,Küste::N,randišt,strönd
132,Festland::N,kuivma,meginland
133,Meer::N,meri,haf
134,Meer::N,meri,sjór
135,Bucht::N,laht,vík
136,Insel::N,sar',eyja
137,Blume::N,änik,blóm
138,Gras::N,hein,gras
139,Wurzel::N,jur',rót
140,Baum::N,pu,tré
141,Stamm::N,tüvi,stofn
142,Rinde::N,kor',börkur
