,Concept_ID,ga,la
0,Auge::N,súil,oculus
1,Ohr::N,cluas,auris
2,Nase::N,soc,nasus
3,Mund::N,béal,os
4,Zahn::N,fiacail,dens
5,Zunge::N,teanga,lingua
6,Lippe::N,liopa,labrum
7,Wange::N,grua,gena
8,Wange::N,leiceann,gena
9,Gesicht::N,éadan,vultus
10,Gesicht::N,aghaidh,vultus
11,Stirn::N,baithis,frons
12,Stirn::N,clár éadain,frons
13,Haar::N,gruaig,capillus
14,Schnurrbart::N,croiméal,barba labri superioris
15,Bart::N,féasóg,barba
16,Kinn::N,smig,mentum
17,Kiefer[Anatomie]::N,giall,mala
18,Kehle::N,scornach,iugulums
19,Hals::N,muinéal,collum
20,Genick::N,baic,cervices
21,Kopf::N,ceann,caput
22,Rücken::N,droim,tergum
23,Bauch::N,bolg,venter
24,Nabel::N,imleacán,umbilicus
25,Busen::N,cíoch,sinus
26,Brust::N,brollach,pectus
27,Schulter::N,gualainn,umerus
28,Arm::N,lámh,bracchium
29,Ellenbogen::N,uillinn,cubitum
30,Hand::N,lámh,manus
31,Handfläche::N,bos,palma
32,Finger::N,méar,digitus
33,Fingernagel::N,ionga,unguiculus
34,Nagel[Anatomie]::N,ionga,unguis
35,Zeh::N,ladhar,digitus
36,Fuß::N,cos,pes
37,Fuß::N,troigh,pes
38,Ferse::N,sáil,calx
39,Knie::N,glúin,genu
40,Oberschenkel::N,ceathrú,femur
41,Bein::N,cos,crus
42,Körper::N,corp,corpus
43,Körper::N,colainn,corpus
44,Haut::N,cneas,cutis
45,Haut::N,cneas,pellis
46,Haut::N,craiceann,cutis
47,Haut::N,craiceann,pellis
48,Blut::N,fuil,sanguis
49,Sehne::N,teannán,nervus
50,Sehne::N,féitheog,nervus
51,Knochen::N,cnámh,os
52,Gehirn::N,inchinn,cerebrum
53,Herz::N,croí,cor
54,Herz::N,croí,animus
55,Magen::N,bolg,stomachus
56,Magen::N,goile,stomachus
57,Leber::N,ae,iecur
58,Atem::N,anáil,spiritus
59,Hunger::N,ocras,fames
60,Träne::N,deoir,lacrima
61,Geschmack::N,blas,sapor
62,Geschmack::N,blas,gustus
63,Geruch::N,boladh,odor
64,Schlaf::N,suan,somnus
65,Schlaf::N,codladh,somnus
66,Traum::N,taibhreamh,somnium
67,Himmel::N,spéir,caelum
68,Sonne::N,grian,sol
69,Mond::N,ré,luna
70,Mond::N,gealach,luna
71,Stern::N,rinn,sidus
72,Stern::N,rinn,stella
73,Stern::N,réalta,sidus
74,Stern::N,réalta,stella
75,Luft::N,aer,aer
76,Wind::N,gaoth,ventus
77,Welle::N,tonn,unda
78,Wasser::N,uisce,aqua
79,Stein::N,cloch,lapis
80,Boden::N,talamh,solum
81,Erde::N,cré,terra
82,Erde::N,ithir,terra
83,Staub::N,dusta,pulvis
84,Staub::N,deannach,pulvis
85,Rauch::N,toit,fumus
86,Rauch::N,deatach,fumus
87,Funke::N,drithle,scintilla
88,Feuer::N,tine,ignis
89,Licht::N,solas,lux
90,Licht::N,solas,lumen
91,Schatten::N,scáth,umbra
92,Wetter::N,aimsir,caelum
93,Wetter::N,aimsir,tempestas
94,Nebel::N,ceo,nebula
95,Wolke::N,néal,nubes
96,Wolke::N,scamall,nubes
97,Regen::N,báisteach,imber
98,Regen::N,báisteach,pluvia
99,Regen::N,fearthainn,imber
100,Regen::N,fearthainn,pluvia
101,Schnee::N,sneachta,nix
102,Eis::N,oighear,glacies
103,Frost::N,sioc,gelu
104,Kälte::N,fuacht,frigus
105,Hitze::N,teas,calor
106,Hitze::N,teas,aestus
107,Hitze::N,teocht,calor
108,Hitze::N,teocht,aestus
109,Raureif::N,sioc bán,pruina
110,Regenbogen::N,stua ceatha,arcus
111,Regenbogen::N,bogha báistí,arcus
112,Donner::N,toirneach,tonitrus
113,Strömung::N,sruth,fluctus
114,Tropfen::N,deoir,gutta
115,Schaum::N,cúr,spuma
116,Schmutz::N,salachar,sordes
117,Schmutz::N,salachar,squalor
118,See::N,loch,lacus
119,Sumpf::N,portach,palus
120,Moor::N,caorán,palus
121,Moor::N,móinteán,palus
122,Wiese::N,cluain,pratum
123,Wiese::N,móinéar,pratum
124,Wald::N,coill,silva
125,Wald::N,foraois,silva
126,Hügel::N,ard,collis
127,Anhöhe::N,ard,specula
128,Anhöhe::N,ardán,specula
129,Berg::N,sliabh,mons
130,Gipfel::N,barr,vertex
131,Gipfel::N,mullach,vertex
132,Höhle::N,uaimh,caverna
133,Höhle::N,uaimh,spelunca
134,Höhle::N,pluais,caverna
135,Höhle::N,pluais,spelunca
136,Abhang::N,fána,declivum
137,Quelle::N,foinse,fons
138,Bach::N,sruthán,rivus
139,Fluss::N,abhainn,flumen
140,Ufer::N,bruach,ripa
141,Küste::N,cósta,litus
142,Küste::N,cladach,litus
143,Festland::N,míntír,continens
144,Meer::N,muir,mare
145,Meer::N,farraige,mare
146,Bucht::N,bá,sinus
147,Bucht::N,cuan,sinus
148,Insel::N,inis,insula
149,Insel::N,oileán,insula
150,Blume::N,bláth,flos
151,Gras::N,féar,herba
152,Gras::N,féar,gramen
153,Wurzel::N,rúta,radix
