,Concept_ID,pt,bn
0,Auge::N,olho,চক্ষু
1,Ohr::N,orelha,কর্ণ
2,Nase::N,nariz,নাক
3,Mund::N,boca,মুখ
4,Zahn::N,dente,দাঁত
5,Zunge::N,língua,জিহবা
6,Lippe::N,lábio,অধর
7,Wange::N,face,গণ্ড
8,Gesicht::N,cara,মুখমণ্ডল
9,Gesicht::N,rosto,মুখমণ্ডল
10,Stirn::N,testa,কপাল
11,Haar::N,cabelo,চুল
12,Schnurrbart::N,bigode,গোঁফ
13,Bart::N,barba,শ্মশ্রু
14,Kinn::N,queixo,চিবুক
15,Kiefer[Anatomie]::N,maxila,চোয়াল
16,Kiefer[Anatomie]::N,mandíbula,চোয়াল
17,Kehle::N,garganta,কণ্ঠ
18,Hals::N,colo,গল
19,Hals::N,pescoço,গল
20,Genick::N,nuca,ঘাড়
21,Kopf::N,cabeça,মাথা
22,Rücken::N,dorso,পৃষ্ঠ
23,Rücken::N,costas,পৃষ্ঠ
24,Bauch::N,ventre,উদর
25,Bauch::N,barriga,উদর
26,Nabel::N,umbigo,নাভি
27,Busen::N,seio,স্তন
28,Brust::N,peito,বুক
29,Schulter::N,ombro,স্কন্ধ
30,Arm::N,braço,বাহু
31,Ellenbogen::N,cotovelo,কনুই
32,Hand::N,mão,হাত
33,Handfläche::N,palma,করতল
34,Handfläche::N,palma da mão,করতল
35,Finger::N,dedo,আঙ্গুল
36,Fingernagel::N,unha,হাতের নখ
37,Nagel[Anatomie]::N,unha,নখ
38,Zeh::N,dedo do pé,আঙ্গুল
39,Fuß::N,pé,পা
40,Ferse::N,calcanhar,গোড়ালি
41,Knie::N,joelho,হাঁটু
42,Oberschenkel::N,coxa,ঊরু
43,Bein::N,perna,পা
44,Körper::N,corpo,দেহ
45,Haut::N,pele,ত্বক
46,Blut::N,sangue,রক্ত
47,Ader::N,veia,শিরা
48,Sehne::N,tendão,কণ্ডরা
49,Knochen::N,osso,অস্থি
50,Gehirn::N,cérebro,মস্তিষ্ক
51,Herz::N,coração,হৃৎপিণ্ড
52,Magen::N,estômago,পাকস্থলী
53,Leber::N,fígado,যকৃৎ
54,Atem::N,fôlego,শ্বাস
55,Hunger::N,fome,ক্ষুধা
56,Träne::N,lágrima,অশ্রু
57,Geschmack::N,gosto,স্বাদ
58,Geruch::N,odor,গন্ধ
59,Geruch::N,cheiro,গন্ধ
60,Schlaf::N,sono,ঘুম
61,Traum::N,sonho,স্বপ্ন
62,Himmel::N,céu,আকাশ
63,Sonne::N,sol,সূর্য
64,Mond::N,lua,চন্দ্র
65,Stern::N,estrela,নক্ষত্র
66,Luft::N,ar,বায়ু
67,Wind::N,vento,বাতাস
68,Welle::N,onda,ঢেউ
69,Welle::N,onda,তরঙ্গ
70,Wasser::N,água,জল
71,Stein::N,pedra,ঢিল
72,Stein::N,pedra,প্রস্তর
73,Boden::N,solo,ভূতল
74,Erde::N,terra,ভূমি
75,Staub::N,pó,ধুলা
76,Rauch::N,fumo,ধোঁয়া
77,Funke::N,faísca,স্ফুলিঙ্গ
78,Funke::N,centelha,স্ফুলিঙ্গ
79,Feuer::N,fogo,অগ্নি
80,Licht::N,luz,আলো
81,Schatten::N,sombra,ছায়া
82,Wetter::N,tempo,আবহাওয়া
83,Nebel::N,nevoeiro,কুহেলিকা
84,Wolke::N,nuvem,মেঘ
85,Regen::N,chuva,বৃষ্টি
86,Schnee::N,neve,তুষার
87,Eis::N,gelo,বরফ
88,Frost::N,gelo,তুষার
89,Frost::N,geada,তুষার
90,Kälte::N,frio,শৈত্য
91,Hitze::N,ardor,তাপ
92,Raureif::N,geada,তুহিন
93,Regenbogen::N,arco-iris,রামধনু
94,Donner::N,trovão,বজ্রধ্বনি
95,Strömung::N,corrente,স্রোত
96,Tropfen::N,gota,ফোঁটা
97,Schaum::N,espuma,ফেনা
98,Schmutz::N,sujidade,ধুলা
99,Schmutz::N,imundície,ধুলা
100,See::N,lago,হ্রদ
101,Sumpf::N,charco,জলা
102,Sumpf::N,pântano,জলা
103,Moor::N,pântano,মাঠ
104,Wiese::N,prado,তৃণভূমি
105,Wald::N,bosque,বন
106,Wald::N,floresta,বন
107,Hügel::N,colina,পাহাড়
108,Anhöhe::N,alto,টিলা
109,Anhöhe::N,outeiro,টিলা
110,Berg::N,monte,পর্বত
111,Berg::N,montanha,পর্বত
112,Gipfel::N,pico,শীর্ষ
113,Höhle::N,caverna,গুহা
114,Abhang::N,encosta,ঢাল
115,Quelle::N,fonte,উৎস
116,Bach::N,regato,ক্ষুদ্র নদী
117,Bach::N,ribeiro,ক্ষুদ্র নদী
118,Fluss::N,rio,নদী
119,Ufer::N,beira,উপকূল
120,Küste::N,costa,তীর
121,Festland::N,terra firme,ভূমি
122,Meer::N,mar,সমুদ্র
123,Bucht::N,baía,উপসাগর
124,Insel::N,ilha,দ্বীপ
125,Blume::N,flor,ফুল
126,Gras::N,erva,ঘাস
127,Wurzel::N,raiz,শিকড়
128,Baum::N,árvore,গাছ
129,Stamm::N,tronco,স্কন্ধ
130,Rinde::N,casca,বল্কল
131,Ast::N,ramo,শাখা
132,Zweig::N,galho,ডাল
133,Blatt::N,folha,পর্ণ
134,Birke::N,bétula,ভুর্জ
135,Kiefer[Baum]::N,pinheiro,পাইন গাছ
136,Weide[Baum]::N,salgueiro,উইলো
137,Tanne::N,abeto,দেবদারূ গাছ
138,Horn::N,corno,শিং
139,Horn::N,chifre,শিং
140,Feder::N,pena,পালক
141,Fell::N,pele,রোম
142,Flügel::N,asa,ডানা
143,Klaue::N,pata,নখর
144,Kralle::N,unha,নখর
145,Kralle::N,garra,নখর
146,Schwanz::N,rabo,লেজ
147,Schwanz::N,cauda,লেজ
148,Ei::N,ovo,ডিম
149,Nest::N,ninho,কুলায়
150,Bau::N,toca,ডেরা
151,Bau::N,covil,ডেরা
152,Tier::N,animal,জন্তু
153,Herde::N,rebanho,ঝাঁক
154,Kuh::N,vaca,গোরু
155,Bulle::N,touro,বৃষ
156,Pferd::N,cavalo,ঘোড়া
157,Schaf::N,ovelha,ভেড়া
158,Schwein::N,porco,শূকর
159,Hund::N,cão,কুকুর
160,Katze::N,gata,বেড়াল
161,Bär::N,urso,ভল্লুক
162,Eichhörnchen::N,esquilo,কাঠবিড়াল
163,Elch::N,alce,হরিণবিশেষ
164,Fuchs::N,raposa,পাঁতিশিয়াল
165,Hase::N,lebre,শশক
166,Maus::N,rato,নেংটি ইঁদুর
167,Wolf::N,lobo,নেকড়ে
168,Vogel::N,ave,পক্ষী
169,Vogel::N,pássaro,পক্ষী
170,Schwarm::N,bando,ঝাঁক
171,Schwarm::N,enxame,ঝাঁক
172,Huhn::N,galinha,মোরগ
173,Hahn::N,galo,কুক্কুট
174,Gans::N,ganso,হংসী
175,Adler::N,águia,ইগল
176,Ente::N,pata,হংসী
177,Eule::N,mocho,পেচক
178,Eule::N,coruja,পেচক
179,Kranich::N,grou,সারস
180,Krähe::N,gralha,কাক
181,Kuckuck::N,cuco,কোকিল
182,Schwan::N,cisne,মরাল
183,Fisch::N,peixe,মাছ
184,Barsch::N,perca,মৎন্যবিশেষ
185,Hecht::N,lúcio,বানমাছ
186,Schlange[Tier]::N,serpente,সর্প
187,Wurm::N,verme,কীট
188,Spinne::N,aranha,মাকড়সা
189,Ameise::N,formiga,পিপীলিকা
190,Laus::N,piolho,উকুন
191,Mücke::N,mosquito,মশা
192,Fliege::N,mosca,মাছি
193,Schmetterling::N,borboleta,প্রজাপতি
194,Beere::N,bago,বেরি
195,Apfel::N,maçã,আপেল
196,Pilz::N,fungo,ছত্রক
197,Pilz::N,cogumelo,ছত্রক
198,Zwiebel::N,cebola,পিয়াজ
199,Saat::N,sementeira,বীজ
200,Korn::N,grão,শস্য
201,Heu::N,feno,খড়
202,Schale::N,casca,খোসা
203,Grube::N,cova,গর্ত
204,Grube::N,fossa,গর্ত
205,Falle::N,armadilha,ফাঁদ
206,Schlinge::N,laço,পাশ
207,Spur::N,pista,চিহ্ন
208,Spur::N,vestígio,চিহ্ন
209,Asche::N,cinza,ভস্ম
210,Dreck::N,sujidade,ময়লা
211,Eisen::N,ferro,লোহা
212,Gold::N,ouro,স্বর্ণ
213,Silber::N,prata,রৌপ্য
214,Kohle::N,carvão,অঙ্গার
215,Glas::N,vidro,কাচ
216,Lehm::N,barro,মৃত্তিকা
217,Lehm::N,argila,মৃত্তিকা
218,Sand::N,areia,বালি
219,Mensch::N,homem,নর
220,Mensch::N,homem,মানুষ
221,Mensch::N,pessoa,নর
222,Mensch::N,pessoa,মানুষ
