,Concept_ID,ps,fa
0,Auge::N,سترګه,چشم
1,Ohr::N,غوږ,گوش
2,Nase::N,پوزه,بینی
3,Mund::N,خوله,دهان
4,Zahn::N,غاښ,دندان
5,Zunge::N,جبه,زبان
6,Lippe::N,شونډه,لب
7,Wange::N,باړخو,لپ
8,Gesicht::N,مخ,رو
9,Gesicht::N,مخ,چهره
10,Stirn::N,تندی,پیشانی
11,Stirn::N,وچولی,پیشانی
12,Haar::N,وېښته,مو
13,Schnurrbart::N,برېت,سبیل
14,Bart::N,ږیره,ریش
15,Kinn::N,زنه,چانه
16,Kiefer[Anatomie]::N,جامه,فک
17,Kiefer[Anatomie]::N,جامه,آرواره
18,Kehle::N,غاړه,حلق
19,Hals::N,غاړه,گردن
20,Genick::N,ورمېږ,پشت گردن
21,Kopf::N,سر,سر
22,Kopf::N,سر,کله
23,Rücken::N,شا,پشت
24,Bauch::N,نس,شکم
25,Bauch::N,ګېډه,شکم
26,Nabel::N,نوم,ناف
27,Busen::N,تی,پستان
28,Brust::N,سینه,سینه
29,Schulter::N,اوږه,دوش
30,Schulter::N,اوږه,شانه
31,Arm::N,لاس,بازو
32,Ellenbogen::N,څنګل,آرنج
33,Hand::N,لاس,دست
34,Handfläche::N,ورغوی,کف دست
35,Finger::N,ګوته,انگشت
36,Fingernagel::N,نوک,ناخن دست
37,Nagel[Anatomie]::N,نوک,ناخن
38,Zeh::N,ګوته,انگشت پا
39,Fuß::N,پښه,پا
40,Ferse::N,پونده,پاشنه
41,Knie::N,زنګون,زانو
42,Oberschenkel::N,پتون,ران
43,Bein::N,پښه,پا
44,Bein::N,پښه,لنگ
45,Körper::N,ځان,تن
46,Körper::N,ځان,بدن
47,Haut::N,پوټکی,پوست
48,Blut::N,وینه,خون
49,Ader::N,رګ,رگ
50,Sehne::N,پله,زردپی
51,Knochen::N,هډوکی,استخوان
52,Gehirn::N,ماغزه,مخ
53,Gehirn::N,ماغزه,مغز
54,Herz::N,زړه,دل
55,Herz::N,زړه,قلب
56,Magen::N,معده,معده
57,Leber::N,ينه,کبد
58,Leber::N,ځیګر,کبد
59,Atem::N,نفس,نفس
60,Hunger::N,ولږه,گرسنگی
61,Träne::N,اوښکه,اشک
62,Geschmack::N,مزه,مزه
63,Geschmack::N,خوند,مزه
64,Geruch::N,بوی,بو
65,Schlaf::N,خوب,خواب
66,Traum::N,خوب,رؤیا
67,Himmel::N,اسمان,فلک
68,Himmel::N,اسمان,آسمان
69,Sonne::N,لمر,آفتاب
70,Sonne::N,لمر,خورشید
71,Mond::N,سپوږمۍ,ماه
72,Stern::N,ستوری,ستاره
73,Luft::N,هوا,هوا
74,Wind::N,ورښ,باد
75,Welle::N,موج,موج
76,Wasser::N,اوبه,آب
77,Stein::N,ډبره,سنگ
78,Boden::N,مځکه,زمین
79,Erde::N,خاوره,خاک
80,Erde::N,خاوره,زمین
81,Staub::N,ګرد,گرد
82,Staub::N,ګرد,غبار
83,Staub::N,خاوره,گرد
84,Staub::N,خاوره,غبار
85,Rauch::N,دود,دود
86,Rauch::N,لوګی,دود
87,Funke::N,سپرغۍ,جرقه
88,Feuer::N,اور,آتش
89,Licht::N,رڼا,نور
90,Licht::N,رڼا,روشنی
91,Schatten::N,سیوری,سایه
92,Wetter::N,هوا,هوا
93,Nebel::N,لړه,مه
94,Wolke::N,ورېځ,ابر
95,Regen::N,وریا,باران
96,Regen::N,باران,باران
97,Schnee::N,واوره,برف
98,Eis::N,یخ,یخ
99,Eis::N,کنګل,یخ
100,Frost::N,یخ,یخبندان
101,Kälte::N,ساړه,سرما
102,Hitze::N,تودوخي,گرما
103,Hitze::N,تودوخي,حرارت
104,Raureif::N,سپینه پرخه,برف ریزه
105,Regenbogen::N,بوډۍ ټال,رنگین‌کمان
106,Regenbogen::N,سره زرغونه,رنگین‌کمان
107,Donner::N,تالنده,رعد
108,Strömung::N,بهېدنه,جریان
109,Tropfen::N,قطره,قطره
110,Tropfen::N,څاڅکی,قطره
111,Schaum::N,ځګ,کف
112,Schmutz::N,ناپاکي,گل
113,Schmutz::N,ناپاکي,کثافت
114,See::N,جهیل,دریاچه
115,Sumpf::N,جبه,مرداب
116,Sumpf::N,جبه,باتلاق
117,Moor::N,جبه,باتلاق
118,Wiese::N,چمن,چمن
119,Wiese::N,شنېلی,چمن
120,Wald::N,ځنګل,جنگل
121,Hügel::N,تپه,تل
122,Hügel::N,تپه,تپه
123,Anhöhe::N,غونډۍ,بلندی
124,Berg::N,غ‍‍‍‍‍ر,کوه
125,Gipfel::N,څوکه,قله
126,Höhle::N,کاز,غار
127,Abhang::N,لمن,سرازیری
128,Quelle::N,چینه,چشمه
129,Bach::N,واله,نهر
130,Fluss::N,سیند,رود
131,Ufer::N,غاړه,ساحل
132,Ufer::N,غاړه,کرانه
133,Küste::N,ساحل,ساحل
134,Festland::N,وچه,خشکی
135,Meer::N,بحر,دریا
136,Meer::N,سمندر,دریا
137,Bucht::N,کارۍ,خلیج
138,Insel::N,ټاپو,جزیره
139,Insel::N,جزيره,جزیره
140,Blume::N,ګل,گل
141,Gras::N,واښه,علف
142,Wurzel::N,ریښه,ریشه
143,Baum::N,ونه,درخت
144,Stamm::N,ډډ,تنه
145,Rinde::N,پوستکی,توژ
146,Rinde::N,پوستکی,پوست
147,Ast::N,ښاخ,شاخه
148,Zweig::N,څانګه,شاخه
149,Blatt::N,پاڼه,برگ
150,Birke::N,توس,غان
151,Kiefer[Baum]::N,نښتر,کاج
152,Weide[Baum]::N,وله,بید
153,Tanne::N,ناجو,صنوبر
154,Horn::N,ښکر,شاخ
155,Feder::N,بڼکه,پر
156,Fell::N,پوستکی,خز
157,Flügel::N,وزر,پر
158,Flügel::N,وزر,بال
159,Klaue::N,پنجه,چنگ
160,Klaue::N,پنجه,پنجه
161,Klaue::N,منګول,چنگ
162,Klaue::N,منګول,پنجه
163,Kralle::N,پنجه,پنجه
164,Kralle::N,منګول,پنجه
165,Schwanz::N,لکۍ,دم
166,Ei::N,وۍ,تخم
167,Ei::N,هګۍ,تخم
168,Nest::N,جاله,لانه
169,Bau::N,کاز,بنا
170,Bau::N,کاز,ساختمان
171,Tier::N,ژوی,هیوان
172,Tier::N,حیوان,هیوان
173,Herde::N,رمه,رمه
174,Herde::N,غېله,رمه
175,Kuh::N,غوا,گاو
176,Bulle::N,غوئی,گاو نر
177,Pferd::N,آس,اسب
178,Schaf::N,پسه,گوسفند
179,Schwein::N,سرکوزی,خوک
180,Hund::N,سپی,سگ
181,Katze::N,پشه,گربه
182,Bär::N,خرس,خرس
183,Eichhörnchen::N,خړ لمی,سنجاب
184,Elch::N,ګوزن,گوزن شمالی
185,Fuchs::N,سپلم,روباه
186,Hase::N,سوی,خرگوش
187,Maus::N,مږک,موش
188,Wolf::N,لېوه,گرگ
189,Vogel::N,مرغه,پرنده
190,Schwarm::N,سېل,دسته
191,Huhn::N,چرګه,مرغ
192,Hahn::N,چرګ,خروس
193,Gans::N,بته,غاز
194,Adler::N,عقاب,عقاب
195,Ente::N,ایلۍ,اردک
196,Ente::N,ایلۍ,مرغابی
197,Eule::N,ګونګی,جغد
198,Kranich::N,کلنګ,درنا
199,Krähe::N,کارغه,زاغ
200,Krähe::N,کارغه,کلاغ
201,Kuckuck::N,فاخته,فاخته
202,Schwan::N,قو,قو
203,Fisch::N,کب,ماهی
204,Fisch::N,ماهی,ماهی
205,Schlange[Tier]::N,مار,مار
206,Wurm::N,چینجی,کرم
207,Spinne::N,غڼه,عنکبوت
208,Spinne::N,تارکښ,عنکبوت
209,Ameise::N,مېږی,مورچه
210,Laus::N,سپږه,شپش
211,Mücke::N,ماشی,پشه
212,Fliege::N,مچ,مگس
213,Schmetterling::N,پتنګ,پروانه
214,Beere::N,مېوۍ,گیله
215,Apfel::N,مڼه,سیب
216,Pilz::N,خرېړی,قارچ
217,Zwiebel::N,پیاز,پیاز
218,Saat::N,تخم,بذر
219,Korn::N,تخم,تخم
220,Korn::N,تخم,دانه
221,Korn::N,دانه,تخم
222,Korn::N,دانه,دانه
223,Heu::N,بوس,علف خشک
224,Heu::N,پروړه,علف خشک
225,Schale::N,پوستکی,پوست
226,Grube::N,کنده,گودال
227,Falle::N,دام,دام
228,Falle::N,لومه,دام
229,Schlinge::N,کړۍ,حلقه
230,Spur::N,نښه,رد
231,Asche::N,آس,خاکستر
232,Asche::N,ایره,خاکستر
233,Dreck::N,ناپاکي,کثافت
234,Eisen::N,اوسپنه,آهن
235,Gold::N,سره زر,زر
236,Gold::N,سره زر,طلا
237,Silber::N,نقره,نقره
238,Silber::N,سپین زر,نقره
239,Kohle::N,سکور,زغال
240,Kohle::N,سکاره,زغال
241,Glas::N,ښيښه,شیشه
242,Lehm::N,خټه,گل
243,Sand::N,شګه,شن
244,Sand::N,شګه,ماسه
245,Mensch::N,انسان,آدم
246,Mensch::N,انسان,انسان
247,Mann::N,سړی,مرد
248,Mann::N,نارینه,مرد
249,Frau::N,ښځه,زن
250,Kind::N,بچی,بچه
251,Kind::N,بچی,کودک
252,Kind::N,ماشوم,بچه
253,Kind::N,ماشوم,کودک
254,Junge::N,هلک,پسر
255,Mädchen::N,نجلۍ,دختر
256,Familie::N,کورنۍ,فامیل
257,Familie::N,کورنۍ,خانواده
258,Großvater::N,بابا,پدربزرگ
259,Großmutter::N,انا,مادر‌بزرگ
260,Eltern::N,مور او پلار,والدین
261,Eltern::N,مور او پلار,پدر‌و‌مادر
262,Vater::N,پلار,پدر
263,Mutter::N,مور,مادر
264,Sohn::N,زوی,پسر
265,Tochter::N,لور,دختر
266,Bruder::N,ورور,برادر
267,Schwester::N,خور,خواهر
268,Onkel::N,تره,عمو
269,Onkel::N,تره,دایی
270,Onkel::N,ماما,عمو
271,Onkel::N,ماما,دایی
272,Tante::N,خاله,عمه
273,Tante::N,خاله,خاله
274,Ehemann::N,مېړه,همسر
275,Ehefrau::N,مېرمن,همسر
276,Freude::N,خوشحالي,شادی
277,Gelächter::N,خندا,خنده
278,Gelächter::N,خندا,قاه‌قاه
279,Glück::N,بخت,اقبال
280,Kummer::N,غم,غم
281,Kummer::N,غم,غصه
282,Wunsch::N,هيله,آرزو
283,Wunsch::N,غوښتنه,آرزو
284,Lust::N,شوق,هوس
285,Lust::N,مینه,هوس
286,Geist::N,روح,روح
287,Gedanke::N,فکر,فکر
288,Gedächtnis::N,یاد,حافظه
289,Gedächtnis::N,حافظه,حافظه
290,Verstand::N,عقل,هوش
291,Verstand::N,شعور,هوش
292,Sinn::N,معنی,معنا
293,Sinn::N,معنی,مفهوم
294,Grund::N,علت,سبب
295,Grund::N,علت,دلیل
296,Grund::N,اساس,سبب
297,Grund::N,اساس,دلیل
298,Wahrheit::N,حقیقت,حقیقت
299,Gespräch::N,مرکه,صحبت
300,Gespräch::N,مرکه,گفتگو
301,Gespräch::N,خبرې اترې,صحبت
302,Gespräch::N,خبرې اترې,گفتگو
303,Märchen::N,افسانه,قصه
304,Märchen::N,افسانه,افسانه
305,Erzählung::N,قصه,داستان
306,Erzählung::N,کیسه,داستان
307,Nachricht::N,خبر,خبر
308,Neuigkeit::N,نوی خبر,خبر تازه
309,Name::N,نوم,اسم
310,Rätsel::N,کیسۍ,معما
311,Rätsel::N,چیستان,معما
312,Rede::N,وینا,سخن
313,Sprache::N,ژبه,زبان
314,Stimme::N,غږ,صدا
315,Stimme::N,اواز,صدا
316,Wort::N,لغت,کلمه
317,Wort::N,کلمه,کلمه
318,Zeichen::N,نښه,نشان
319,Zeichen::N,نښه,علامت
320,Zeichen::N,اشاره,نشان
321,Zeichen::N,اشاره,علامت
322,Ruf::N,ږغ,صدا
323,Ruf::N,بلنه,صدا
324,Lärm::N,غالمغال,هیاهو
325,Laut::N,ږغ,صدا
326,Ton::N,اواز,آهنگ
327,Lied::N,غزله,آواز
328,Lied::N,غزله,ترانه
329,Lied::N,سندره,آواز
330,Lied::N,سندره,ترانه
331,Ruhe::N,ارامي,آرامش
332,Leute::N,خلک,مردم
333,Volk::N,ولس,خلق
334,Arbeit::N,کار,کار
335,Gast::N,مېلمه,مهمان
336,Geschenk::N,تحفه,هدیه
337,Geschenk::N,سوغات,هدیه
338,Spiel::N,لوبه,بازی
339,Gesellschaft::N,ډله,جمعیت
340,Hilfe::N,کومک,کمک
341,Hilfe::N,مرسته,کمک
342,Freund::N,ملګری,دوست
343,Kamerad::N,انډيوال,رفیق
344,Angelegenheit::N,موضوع,امر
345,Angelegenheit::N,موضوع,قضیه
346,Anzahl::N,شمېر,عده
347,Anzahl::N,شمېر,شمار
348,Anzahl::N,تعداد,عده
349,Anzahl::N,تعداد,شمار
350,Art::N,ډول,نوع
351,Stück::N,ټوټه,تکه
352,Stück::N,ټوټه,قطعه
353,Teil::N,برخه,بخش
354,Teil::N,برخه,قسمت
355,Hälfte::N,نیم,نیم
356,Kreis::N,دایره,حلقه
357,Kreis::N,دایره,دایره
358,Kreuz::N,صلیب,صلیب
359,Linie::N,خط,خط
360,Linie::N,خط,سطر
361,Linie::N,لیکه,خط
362,Linie::N,لیکه,سطر
363,Strich::N,کرښه,خط
364,Abstand::N,فاصله,فاصله
365,Entfernung::N,واټن,مسافت
366,Gegend::N,سیمه,منطقه
367,Gegend::N,منطقه,منطقه
368,Platz::N,ځای,گنجایش
369,Ort::N,ځای,جا
370,Ort::N,ځای,محل
371,Ort::N,ځای,مکان
372,Seite::N,مخ,طرف
373,Seite::N,اړخ,طرف
374,Mitte::N,وسط,وسط
