,Concept_ID,ta,ml
0,Auge::N,கண்,കണ്ണ്
1,Ohr::N,காது,ചെവി
2,Nase::N,மூக்கு,മൂക്ക്
3,Mund::N,வாய்,വായ
4,Zahn::N,பல்,പല്ല്
5,Zunge::N,நாக்கு,നാക്ക്
6,Lippe::N,உதடு,ചുണ്ട്
7,Wange::N,கன்னம்,കവിൾത്തടം
8,Gesicht::N,முகம்,മുഖം
9,Stirn::N,முன்னெற்றி,നെറ്റി
10,Haar::N,முடி,തലമുടി
11,Schnurrbart::N,மீசை,മീശ
12,Bart::N,தாடி,താടിരോമം
13,Kinn::N,கீழதாடை,താടി
14,Kiefer[Anatomie]::N,தாடை,താടിയെല്ല്
15,Kehle::N,தொண்டை,കണ്ഠനാളം
16,Hals::N,கழுத்து,കഴുത്ത്
17,Genick::N,கழுத்து,പിടലി
18,Kopf::N,தலை,തല
19,Rücken::N,முதுகு,മുതുക്
20,Bauch::N,வயிறு,നയറ്
21,Nabel::N,தொப்புள்,നാഭി
22,Busen::N,மார்பகம்,സ്തനം
23,Brust::N, மார்பு,സ്തനം
24,Schulter::N,தோள்பட்டை,തോൾ
25,Arm::N,கரம்,കൈ
26,Ellenbogen::N,முழங்கை,കൈമുട്ട്
27,Hand::N,கை,കൈ
28,Handfläche::N,உள்ளங்கை,ഉള്ളം കൈ
29,Finger::N,விரல்,വിരൽ
30,Fingernagel::N,விரல் நகம்,നഖം
31,Nagel[Anatomie]::N,நகம்,നഖം
32,Zeh::N,கால்விரல்,കാൽവിരൽ
33,Fuß::N,கால்,കാൽപ്പാദം
34,Ferse::N,குதிகால்,ഉപ്പൂറ്റി
35,Knie::N,முழங்கால்,കാൽമുട്ട്
36,Oberschenkel::N,தொடை,തുട
37,Bein::N,கால்,കാൽ
38,Körper::N,உடல்,ശരീരം
39,Haut::N,சருமம்,ചർമ്മം
40,Blut::N,இரத்தம்,രക്തം
41,Ader::N,நாளம்,ഞരമ്പ്
42,Sehne::N,தசைநார்,സ്നായു
43,Knochen::N,எலுமபு,അസ്ഥി
44,Gehirn::N,மூனை,തലച്ചോറ്
45,Herz::N,இதயம,ഹൃദയം
46,Magen::N,வயிறு,വയർ
47,Leber::N,கல்லீரல்,കരൾ
48,Atem::N,மூச்சு,ശ്വാസം
49,Hunger::N,பசி,വിശപ്പ്
50,Träne::N,கண்ணீர்,കണ്ണീർ
51,Geschmack::N,நறுமணம்,രുചി
52,Geruch::N,துர்நாற்றம்,ഗന്ധം
53,Schlaf::N,தூக்கம்,ഉറകും
54,Traum::N,கனவு,സ്വപ്നം
55,Himmel::N,வானம்,ആകാശം
56,Sonne::N,சூரியன்,സൂര്യൻ
57,Mond::N,சந்திரன்,ചന്ദ്രൻ
58,Stern::N,நட்சத்திரம்,നക്ഷത്രം
59,Luft::N,காறறு,കാറ്റ്
60,Wind::N,காற்று,കാറ്റ്
61,Welle::N,அலை,തിരമാല
62,Wasser::N,நீர்,വെള്ളം
63,Stein::N,கல்,ശില
64,Stein::N,கல்,കല്ല്
65,Boden::N,தரை,തറ
66,Boden::N,தரை,നിലം
67,Erde::N,மண்,മണ്ണ്
68,Staub::N,தூசி,പൊടി
69,Rauch::N,புகை,പുക
70,Funke::N,தீப்பொறி,തീപ്പൊരി
71,Feuer::N,தீ,തീ
72,Licht::N,வெளிச்சம்,വിളക്ക്
73,Licht::N,வெளிச்சம்,സൂര്യപ്രകാശം
74,Schatten::N,நிழல்,തണൽ
75,Wetter::N,வானிலை,കാലാവസ്ഥ
76,Nebel::N,பனிமூட்டம்,മൂടൽമഞ്ഞ്
77,Wolke::N,மேகம்,മേഘം
78,Regen::N,மழை,മഴ
79,Schnee::N,உறைபனி,മഞ്ഞ്
80,Eis::N,பனிக்கட்டி,ഐസ്
81,Frost::N,உறைபனி,മൂടൽമഞ്ഞ്
82,Kälte::N,குளிர்ந்த,തണുപ്പ്
83,Hitze::N,சூடு,ചൂട്
84,Raureif::N,உறைபனி வெண்திரை,കോടമഞ്ഞ്
85,Regenbogen::N,வானவில்,മഴവില്ല്
86,Donner::N,இடி,ഇടി
87,Strömung::N,நீரோட்டம்,പ്രവാഹം
88,Tropfen::N,துளி,തുള്ളി
89,Schaum::N,நுரை,നുര
90,Schmutz::N,அழுக்கு,അഴുക്ക്
91,See::N,ஏரி,തടാകം
92,Sumpf::N,சதுப்பு நிலம்,ചതുപ്പുനിലം
93,Moor::N,முட்புதற்காடு,പാഴ്നിലം
94,Wiese::N,பசும் புல்தரை,പുൽത്തകിടി
95,Wald::N,காடு,വനം
96,Wald::N,காடு,കാട്
97,Hügel::N,குன்று,കുന്ന്
98,Anhöhe::N,பதுக்கை,ഉയർന്ന ഭൂമി
99,Berg::N,மலை,പർവ്വതം
100,Gipfel::N,உச்சி மாநாடு,ഉച്ചകോടി
101,Höhle::N,குகை,ഗുഹ
102,Abhang::N,சரிவு,ചരിവ്
103,Quelle::N,மூலம்,ഉറവിടം
104,Bach::N,ஓடை,അരുവി
105,Fluss::N,ஆறு,നദി
106,Ufer::N,நீர்க்கரை,തീരം
107,Küste::N,கடற்கரை,കടൽത്തീരം
108,Festland::N,நிலம்,കര
109,Meer::N,கடல்,കടൽ
110,Bucht::N,சிறுகுடா,ഉൾക്കടല്
111,Insel::N,தீவு,ദ്വീപ്
112,Blume::N,பூ,പൂവ്
113,Gras::N,புல்தரை,പുല്ല്
114,Wurzel::N,வேர்,വേര്
115,Baum::N,மரம்,മരം
116,Stamm::N,அடிமரம்,തായ്ത്തടി
117,Rinde::N,பட்டை,പട്ട
118,Rinde::N,மரப்பட்டை,പട്ട
119,Ast::N,கினை,ശാഖ
120,Zweig::N,குச்சி,ശാഖ
121,Blatt::N,இலை,ഇല
122,Birke::N,பிர்ச் மரம்,പൂവരശ്
123,Kiefer[Baum]::N,தேவதாரு மரம்,പൈൻമരം
124,Weide[Baum]::N,மர வகைகளுள் ஒன்று,വില്ലോ
125,Tanne::N,சாதிக்கய்,ദേവദാരു
126,Horn::N,கொம்பு,മൃഗത്തിൻറെ കൊമ്പ്
127,Feder::N,இறகு,തൂവൽ
128,Fell::N,மென்முடி,മൃദുരോമം
129,Flügel::N,இறக்கை,ചിറക്
130,Klaue::N,நகம்,നഖം
131,Kralle::N,நகம்,നഖം
132,Schwanz::N,வால்,വാൽ
133,Ei::N,முட்டை,മുട്ട
134,Nest::N,கூடு,കൂട്
