,Concept_ID,lbe,mn
0,Auge::N,я,нүд
1,Ohr::N,вичӏи,чих
2,Nase::N,май,хамар
3,Mund::N,кьацӏ,ам
4,Zahn::N,ккарччи,шүд
5,Zunge::N,маз,хэл
6,Lippe::N,мурччи,уруул
7,Wange::N,чӏав,хацар
8,Gesicht::N,лажин,царай
9,Gesicht::N,лажин,нүүр
10,Stirn::N,ненттабакӏ,дух
11,Haar::N,чӏара,үс
12,Schnurrbart::N,ссирссилтту,дээд сахал
13,Schnurrbart::N,ссирссилтту,живэр сахал
14,Bart::N,чӏири,сахал
15,Kinn::N,лунттубакӏ,эрүү
16,Kiefer[Anatomie]::N,ххинчулул,эрүү
17,Kehle::N,кьакьари,хоолой
18,Hals::N,ссурссу,хүзүү
19,Genick::N,махъабакӏ,шил
20,Genick::N,махъабакӏ,хүзүү
21,Kopf::N,бакӏ,толгой
22,Rücken::N,ттиликӏ,ар
23,Rücken::N,ттиликӏ,нуруу
24,Bauch::N,лякьа,хэвлий
25,Bauch::N,лякьа,гэдэс
26,Nabel::N,цӏумуккутӏ,хүйс
27,Busen::N,ккукку,хөх
28,Brust::N,хъазам,цээж
29,Schulter::N,хъачӏ,мөр
30,Schulter::N,хъачӏ,бугалга
31,Arm::N,ка,гар
32,Ellenbogen::N,ссюрхъ,тохой
33,Hand::N,бартка,гар
34,Hand::N,бартка,алга
35,Handfläche::N,хъат,алга
36,Handfläche::N,битӏянхъ,алга
37,Finger::N,кӏисса,хуруу
38,Fingernagel::N,михь,хурууны хумс
39,Nagel[Anatomie]::N,михь,хумс
40,Zeh::N,кӏисса,хуруу
41,Fuß::N,чӏанччан,хөл
42,Ferse::N,никъа,өсгий
43,Knie::N,ник,өвдөг
44,Oberschenkel::N,жира,гуя
45,Bein::N,ччан,хөл
46,Körper::N,чурх,бие
47,Haut::N,бурчу,арьс
48,Blut::N,оь,цус
49,Ader::N,тунну,судас
50,Sehne::N,хьхьа,бүлх
51,Sehne::N,хьхьа,шандас
52,Knochen::N,ттаркӏ,яс
53,Gehirn::N,ня,тархи
54,Herz::N,дакӏ,зүрх
55,Herz::N,къюкӏ,зүрх
56,Magen::N,лякьа,ходоод
57,Atem::N,ссихӏ ласаву,амьсгаа
58,Atem::N,ссихӏ бигьаву,амьсгаа
59,Hunger::N,ккаши,өлсгөлөн
60,Träne::N,макь,нулимс
61,Geschmack::N,тӏин,амт
62,Geschmack::N,тӏааьн,амт
63,Geruch::N,кьанкь,үнэр
64,Schlaf::N,шану,нойр
65,Traum::N,макӏру,зүүд
66,Himmel::N,ссав,тэнгэр
67,Himmel::N,ссав,огторгуй
68,Sonne::N,баргъ,нар
69,Mond::N,барз,сар
70,Stern::N,цӏуку,од
71,Luft::N,гьава,агаар
72,Wind::N,марч,салхи
73,Welle::N,щатӏи,долгио
74,Welle::N,щатӏи,давалгаа
75,Wasser::N,щин,ус
76,Stein::N,чару,чулуу
77,Boden::N,аьрщи,хөрс
78,Erde::N,аьрщи,газар
79,Erde::N,аьрщи,шороо
80,Staub::N,ххит,тоос
81,Rauch::N,пуркӏу,утаа
82,Funke::N,пиягь,оч
83,Feuer::N,цӏу,гал
84,Licht::N,чани,гэрэл
85,Licht::N,чани,гэгээ
86,Schatten::N,ххют,сүүдэр
87,Wetter::N,гьава,тэнгэр
88,Wetter::N,гьава,цаг уур
89,Nebel::N,шархь ттурлу,будан
90,Wolke::N,ттурлу,үүл
91,Regen::N,гъарал,бороо
92,Schnee::N,марххала,цас
93,Eis::N,микӏ,мөс
94,Frost::N,дяркъу,хүйт
95,Frost::N,замгьар,хүйт
96,Kälte::N,дяркъу,хүйт
97,Hitze::N,кӏиришиву,халуун
98,Raureif::N,сил,цан
99,Raureif::N,сил,хяруу
100,Raureif::N,бурса,цан
101,Raureif::N,бурса,хяруу
102,Regenbogen::N,ссурул ккуртта,солонго
103,Donner::N,къув,тэнгэрийн дуу
104,Strömung::N,экьинанаву,урсгал
105,Tropfen::N,кӏунтӏ,дусал
106,Schaum::N,хьама,хөөс
107,Schmutz::N,кьяркьи,хир
108,Schmutz::N,кьяркьи,шавхай
109,See::N,бяр,нуур
110,Sumpf::N,кунцӏа,намаг
111,Sumpf::N,кунцӏа,балчиг
112,Wiese::N,кьан,нуга
113,Wald::N,вацӏа,ой
114,Hügel::N,бакӏу,болдог
115,Berg::N,зунтту,уул
116,Gipfel::N,мицӏ,орой
117,Gipfel::N,мицӏ,оргил
118,Höhle::N,нух,агуй
119,Abhang::N,сун,хүр
120,Quelle::N,дайдихьу,булаг
121,Quelle::N,бакӏ,булаг
122,Bach::N,чӏрир нех,горхи
123,Fluss::N,нех,гол
124,Fluss::N,нех,мөрөн
125,Ufer::N,зума,эрэг
126,Küste::N,зумаинхалу,эрэг
127,Küste::N,зуманицӏалу,эрэг
128,Festland::N,кьири,хуурай газар
129,Meer::N,хьхьири,далай
130,Meer::N,хьхьири,тэнгис
131,Insel::N,жазира,арал
132,Blume::N,тӏутӏи,цэцэг
133,Gras::N,уртту,өвс
134,Gras::N,уртту,ногоо
135,Wurzel::N,мархха,үндэс
136,Baum::N,мурхь,мод
137,Stamm::N,ттарцӏ,иш
138,Stamm::N,ттарцӏ,гуалин
139,Rinde::N,ккамара,холтос
140,Ast::N,матӏи,гишүү
141,Zweig::N,къяртта,салаа
142,Blatt::N,чӏапӏи,навч
143,Birke::N,кӏялахӏи,хус
144,Birke::N,кӏялахӏилул мурхь,хус
145,Kiefer[Baum]::N,ттар,нарс
146,Kiefer[Baum]::N,ттарлил мурхь,нарс
147,Weide[Baum]::N,щавщи,уд
148,Weide[Baum]::N,щавщи,бургас
149,Tanne::N,ттарлил мурхь,гачуур
150,Horn::N,хъи,эвэр
151,Feder::N,лелуххул тӏиму,өд
152,Fell::N,бурчу,арьс
153,Flügel::N,хъа,жигүүр
154,Flügel::N,хъа,далавч
155,Flügel::N,ххурупӏайрал тӏиму,жигүүр
156,Flügel::N,ххурупӏайрал тӏиму,далавч
157,Klaue::N,михь,савар
158,Klaue::N,михь,хумс
159,Kralle::N,ххяппа,савар
160,Schwanz::N,магъ,сүүл
161,Ei::N,ккунук,өндөг
162,Nest::N,кюру,үүр
163,Bau::N,цукъуккутӏ,нүх
164,Bau::N,цукъуккутӏ,элүү
165,Tier::N,хӏайван,амьтан
166,Tier::N,хӏайван,адгуус
167,Herde::N,газу,сүрэг
168,Kuh::N,оьл,үнээ
169,Bulle::N,ниц,бух
170,Pferd::N,чу,морь
171,Pferd::N,чу,адуу
172,Schaf::N,тта,хонь
173,Schwein::N,дунгъуз,гахай
174,Hund::N,ккаччи,нохой
175,Katze::N,ччиту,муур
176,Katze::N,ччиту,мигуй
177,Bär::N,цуша,баавгай
178,Eichhörnchen::N,бюрхттукку,хэрэм
179,Elch::N,ниц-бюрин,хандгай
180,Fuchs::N,цулчӏа,үнэг
181,Fuchs::N,куча цулчӏа,үнэг
182,Hase::N,бюрх,туулай
183,Maus::N,кӏулу,хулгана
184,Wolf::N,барцӏ,чоно
185,Vogel::N,лелуххи,шувуу
186,Schwarm::N,гьухъала,сүрэг
187,Huhn::N,аьнакӏи,тахиа
188,Hahn::N,ажари,эр тахиа
189,Gans::N,къаз,галуу
190,Adler::N,барзу,бүргэд
191,Ente::N,урдак,нугас
192,Eule::N,ису,ууль
193,Eule::N,ччиккумяв,ууль
194,Kranich::N,кьурукь,тогоруу
195,Krähe::N,хъатӏу,хэрээ
196,Kuckuck::N,ччикку,хөхөө
197,Schwan::N,урттил къаз,хун
198,Fisch::N,чавахъ,загас
199,Schlange[Tier]::N,шатта,могой
200,Wurm::N,кьюнукьай шатта,өт
201,Wurm::N,кьюнукьай шатта,хорхой
202,Spinne::N,ххялцу,аалз
203,Ameise::N,митӏикьукьу,шоргоолж
204,Mücke::N,мичӏак,шумуул
205,Fliege::N,зимиз,ялаа
206,Schmetterling::N,чӏимучӏали,эрвээхэй
207,Beere::N,хӏаллил ахъулсса,жимсгэнэ
208,Apfel::N,гьивч,алим
209,Pilz::N,ттуккул иис,мөөг
210,Zwiebel::N,лаччул чсмусул бакӏ,сонгино
211,Saat::N,гьанна,тариа
212,Korn::N,къама,үр
213,Korn::N,къама,мөхлөг
214,Heu::N,ххулув,өвс
215,Schale::N,ккиртту,хальс
216,Grube::N,кӏаланг,алам
217,Grube::N,кӏаланг,нүх
218,Falle::N,къатӏа,хавх
219,Falle::N,къатӏа,занга
220,Schlinge::N,хӏатӏ,урхи
221,Spur::N,ша,мөр
222,Asche::N,лах,үнс
223,Dreck::N,кьяркьи,хир
224,Dreck::N,венп,хир
225,Eisen::N,мах,төмөр
226,Gold::N,муси,алт
227,Silber::N,арцу,мөнгө
228,Kohle::N,кӏалаш,нүүрс
229,Kohle::N,хъуручӏ,нүүрс
230,Glas::N,пюрун,шил
231,Lehm::N,сина аьрщи,шавар
232,Sand::N,къун,элс
233,Mensch::N,инсан,хүн
234,Mann::N,чув,эр
235,Mann::N,чув,эрэгтэй
236,Mann::N,адимина,эр
237,Mann::N,адимина,эрэгтэй
238,Frau::N,щарсса,эмэгтэй
239,Frau::N,щарсса,хатагтай
240,Frau::N,хъамитайпа,эмэгтэй
241,Frau::N,хъамитайпа,хатагтай
242,Kind::N,чӏиви оьрчӏ,хүүхэд
243,Junge::N,оьрчӏ,хүү
244,Junge::N,бурхьин оьрчӏ,хүү
245,Mädchen::N,душ,охин
246,Mädchen::N,душ,бүсгүй
247,Familie::N,кулпат,айл
248,Großvater::N,ттатта,өвгөн аав
249,Großvater::N,ниттил ппу,өвгөн аав
250,Großmutter::N,буттал нину,эмэг эх
251,Großmutter::N,буттал нину,эмгээ
252,Eltern::N,нину-ппу,эцэг эх
253,Vater::N,ппу,аав
254,Vater::N,ппу,эцэг
255,Mutter::N,нину,эх
256,Mutter::N,нину,ээж
257,Sohn::N,арс,хүү
258,Tochter::N,душ,охин
259,Bruder::N,уссу,ах
260,Bruder::N,уссу,дүү
261,Schwester::N,ссу,эгч
262,Schwester::N,ссу,охин дүү
263,Onkel::N,буттауссу,авга ах
264,Onkel::N,буттауссу,нагац ах
265,Tante::N,буттал ссу,авга эгч
266,Tante::N,буттал ссу,нагац эгч
267,Ehemann::N,лас,нөхөр
268,Ehefrau::N,щар,эхнэр
269,Ehefrau::N,щар,гэргий
270,Ehefrau::N,щарсса,эхнэр
271,Ehefrau::N,щарсса,гэргий
272,Freude::N,шадшиву,баяр
273,Freude::N,шадшиву,баясгалан
274,Freude::N,ххаришиву,баяр
275,Freude::N,ххаришиву,баясгалан
276,Gelächter::N,хъяхъаву,инээдэм
277,Glück::N,талихӏ,жаргалан
278,Kummer::N,дард,гаслан
279,Wunsch::N,мурад,ерөөл
