,Concept_ID,se,mrj
0,Auge::N,tjelmie,сӹнзӓ
1,Auge::N,tjalmme,сӹнзӓ
2,Auge::N,čalbmi,сӹнзӓ
3,Auge::N,čalme,сӹнзӓ
4,Auge::N,čâ´lmm,сӹнзӓ
5,Auge::N,ча̄лльм,сӹнзӓ
6,Ohr::N,bieljie,пӹлӹш
7,Ohr::N,biellje,пӹлӹш
8,Ohr::N,beallji,пӹлӹш
9,Ohr::N,pelji,пӹлӹш
10,Ohr::N,pe´llj,пӹлӹш
11,Ohr::N,пе̄лльй,пӹлӹш
12,Nase::N,njuenie,нер
13,Nase::N,njunnje,нер
14,Nase::N,njunni,нер
15,Nase::N,njuṇe,нер
16,Nase::N,njuu´nn,нер
17,Nase::N,нюннҍ,нер
18,Mund::N,njaelmie,ышма
19,Mund::N,njálmme,ышма
20,Mund::N,njálbmi,ышма
21,Mund::N,njälmi,ышма
22,Mund::N,njä´lmm,ышма
23,Mund::N,ня̄лльм,ышма
24,Zahn::N,baenie,пӱ
25,Zahn::N,bádne,пӱ
26,Zahn::N,bátni,пӱ
27,Zahn::N,pääṇi,пӱ
28,Zahn::N,pää´nn,пӱ
29,Zahn::N,па̄ннҍ,пӱ
30,Zunge::N,njoektjeme,йӹлмӹ
31,Zunge::N,njuovtjav,йӹлмӹ
32,Zunge::N,njuovčča,йӹлмӹ
33,Zunge::N,njuovčâ,йӹлмӹ
34,Zunge::N,njuhččâm,йӹлмӹ
35,Zunge::N,нюхчем,йӹлмӹ
36,Lippe::N,bangseme,тӹрвӹ
37,Lippe::N,njálmmerabdda,тӹрвӹ
38,Lippe::N,bavssa,тӹрвӹ
39,Lippe::N,poovsâ,тӹрвӹ
40,Lippe::N,põõus,тӹрвӹ
41,Lippe::N,пэ̄кс,тӹрвӹ
42,Wange::N,skiehrie,шӹргӹ
43,Wange::N,nierra,шӹргӹ
44,Wange::N,muohtu,шӹргӹ
45,Wange::N,nieṛâ,шӹргӹ
46,Wange::N,njiõrr,шӹргӹ
47,Wange::N,нӣрр,шӹргӹ
48,Gesicht::N,ååredæjja,лицӓ
49,Gesicht::N,muohto,лицӓ
50,Gesicht::N,muođut,лицӓ
51,Gesicht::N,ámadadju,лицӓ
52,Gesicht::N,muáđuh,лицӓ
53,Gesicht::N,muâđ,лицӓ
54,Gesicht::N,ка̄ссв,лицӓ
55,Stirn::N,gaalloe,лепкӓ
56,Stirn::N,gállo,лепкӓ
57,Stirn::N,gállu,лепкӓ
58,Stirn::N,kállu,лепкӓ
59,Stirn::N,käll,лепкӓ
60,Stirn::N,вуэххьц,лепкӓ
61,Haar::N,voepte,ӱп
62,Haar::N,vuoppta,ӱп
63,Haar::N,vuokta,ӱп
64,Haar::N,vuop'tâ,ӱп
65,Haar::N,vuõpt,ӱп
66,Haar::N,вӯппт,ӱп
67,Schnurrbart::N,bijjie-skaavtjoe,öрш
68,Schnurrbart::N,njunjevuolskávttjá,öрш
69,Schnurrbart::N,seamu,öрш
70,Schnurrbart::N,siämu,öрш
71,Schnurrbart::N,ää´bben,öрш
72,Schnurrbart::N,о̄а̄бпан,öрш
73,Bart::N,skaavtja,пандаш
74,Bart::N,skaavtjoe,пандаш
75,Bart::N,skávttjá,пандаш
76,Bart::N,seamu,пандаш
77,Bart::N,siämu,пандаш
78,Bart::N,seäm,пандаш
79,Bart::N,ся̄м,пандаш
80,Kinn::N,gaejpie,онгылаш
81,Kinn::N,gájbbe,онгылаш
82,Kinn::N,gáibi,онгылаш
83,Kinn::N,käibi,онгылаш
84,Kinn::N,käi´bb,онгылаш
85,Kinn::N,ка̄ййп,онгылаш
86,Kiefer[Anatomie]::N,gaejpie,пӱ арата
87,Kiefer[Anatomie]::N,oalol,пӱ арата
88,Kiefer[Anatomie]::N,oaloldákte,пӱ арата
89,Kiefer[Anatomie]::N,gáibi,пӱ арата
90,Kiefer[Anatomie]::N,uá'lultähti,пӱ арата
91,Kiefer[Anatomie]::N,vuâl'lõš,пӱ арата
92,Kiefer[Anatomie]::N,вуаллнешш,пӱ арата
93,Kehle::N,gealoe,логер
94,Kehle::N,tjåttå,логер
95,Kehle::N,njiello,логер
96,Kehle::N,čotta,логер
97,Kehle::N,čuudâ,логер
98,Kehle::N,čoodd,логер
99,Kehle::N,чонт,логер
100,Kehle::N,кэ̄ҏс,логер
101,Hals::N,tjeapohke,шӱ
102,Hals::N,tjiebet,шӱ
103,Hals::N,čeabet,шӱ
104,Hals::N,čiäppát,шӱ
105,Hals::N,čeäppat,шӱ
106,Hals::N,ча̄пэх,шӱ
107,Genick::N,tjovrese,ланга
108,Genick::N,nisske,ланга
109,Genick::N,niehkki,ланга
110,Genick::N,niski,ланга
111,Genick::N,niek'ki,ланга
112,Genick::N,nji´šǩǩmaadd,ланга
113,Genick::N,нышшькмоант,ланга
114,Kopf::N,åejjie,вуй
115,Kopf::N,oajvve,вуй
116,Kopf::N,oaivi,вуй
117,Kopf::N,uái'vi,вуй
118,Kopf::N,vuei´vv,вуй
119,Kopf::N,вуэййв,вуй
120,Rücken::N,rudtje,туп
121,Rücken::N,hárddo,туп
122,Rücken::N,tjavelk,туп
123,Rücken::N,sealgi,туп
124,Rücken::N,selgi,туп
125,Rücken::N,čielgi,туп
126,Rücken::N,seä´lǧǧ,туп
127,Rücken::N,се̄лльк,туп
128,Bauch::N,tjåejjie,мӹшкӹр
129,Bauch::N,tjoajvve,мӹшкӹр
130,Bauch::N,čoavji,мӹшкӹр
131,Bauch::N,čuáv'ji,мӹшкӹр
132,Bauch::N,čåu´jj,мӹшкӹр
133,Bauch::N,чо̄ввьй,мӹшкӹр
134,Nabel::N,naepie,кӹлӹмдӹ
135,Nabel::N,náhpe,кӹлӹмдӹ
136,Nabel::N,náhpi,кӹлӹмдӹ
137,Nabel::N,nääpi,кӹлӹмдӹ
138,Nabel::N,nää´pp,кӹлӹмдӹ
139,Nabel::N,на̄бпь,кӹлӹмдӹ
140,Busen::N,boenge,цӹзӹ
141,Busen::N,bållå,цӹзӹ
142,Busen::N,čižži,цӹзӹ
143,Busen::N,njamma,цӹзӹ
144,Busen::N,njižže,цӹзӹ
145,Busen::N,nje´ǯǯ,цӹзӹ
146,Busen::N,раннҍт,цӹзӹ
147,Brust::N,mïelke,мел
148,Brust::N,radde,мел
149,Brust::N,mielgga,мел
150,Brust::N,raddi,мел
151,Brust::N,radde,мел
152,Brust::N,râ´dd,мел
153,Brust::N,раннҍт,мел
154,Schulter::N,åelkie,ӹнгӹжӓ
155,Schulter::N,oalgge,ӹнгӹжӓ
156,Schulter::N,hárdu,ӹнгӹжӓ
157,Schulter::N,ärdee,ӹнгӹжӓ
158,Schulter::N,uál'gi,ӹнгӹжӓ
159,Schulter::N,a´rddi,ӹнгӹжӓ
160,Schulter::N,vuä´lǧǧ,ӹнгӹжӓ
161,Schulter::N,вуэллык,ӹнгӹжӓ
162,Arm::N,gïete,кид
163,Arm::N,giehta,кид
164,Arm::N,giehta,кид
165,Arm::N,kietâ,кид
166,Arm::N,kie'tâkaaṿâ,кид
167,Arm::N,ǩiõtt,кид
168,Arm::N,кӣдт,кид
169,Ellenbogen::N,gernjere,кӹнервуй
170,Ellenbogen::N,garŋŋel,кӹнервуй
171,Ellenbogen::N,gargŋil,кӹнервуй
172,Ellenbogen::N,käŋŋir,кӹнервуй
173,Ellenbogen::N,kõõnjâr,кӹнервуй
174,Ellenbogen::N,карьнэль,кӹнервуй
175,Hand::N,gïete,лапа
176,Hand::N,giehta,лапа
177,Hand::N,giehta,лапа
178,Hand::N,kietâ,лапа
179,Hand::N,ǩiõtt,лапа
180,Hand::N,кӣдт,лапа
181,Handfläche::N,gïeten-låapoe,кид лапа
182,Handfläche::N,giehtavuodo,кид лапа
183,Handfläche::N,tjårmmåvuodo,кид лапа
184,Handfläche::N,giehtaloahpu,кид лапа
185,Handfläche::N,kiämád,кид лапа
186,Handfläche::N,kuámmir,кид лапа
187,Handfläche::N,kuä´m'mer,кид лапа
188,Handfläche::N,ǩiõttǩeä´m'men,кид лапа
189,Handfläche::N,ко̄а̄ллдэгк,кид лапа
190,Handfläche::N,кӣдткоалдэгк,кид лапа
191,Finger::N,soerme,парня
192,Finger::N,tjuvdde,парня
193,Finger::N,suorbma,парня
194,Finger::N,čuvde,парня
195,Finger::N,suor'mâ,парня
196,Finger::N,suõrmm,парня
197,Finger::N,це̄ххп,парня
198,Fingernagel::N,gadtse,кӹч
199,Fingernagel::N,guehpere,кӹч
200,Fingernagel::N,gadtsa,кӹч
201,Fingernagel::N,gazza,кӹч
202,Fingernagel::N,kozzâ,кӹч
203,Fingernagel::N,kõʒʒ,кӹч
204,Fingernagel::N,кэ̄ннц,кӹч
205,Nagel[Anatomie]::N,gadtse,кӹч
206,Nagel[Anatomie]::N,guehpere,кӹч
207,Nagel[Anatomie]::N,gadtsa,кӹч
208,Nagel[Anatomie]::N,gazza,кӹч
209,Nagel[Anatomie]::N,kozzâ,кӹч
210,Nagel[Anatomie]::N,kõʒʒ,кӹч
211,Nagel[Anatomie]::N,кэ̄ннц,кӹч
212,Zeh::N,tjiehtjere,парня
213,Zeh::N,juolggetjuvdde,парня
214,Zeh::N,juolgesuorbma,парня
215,Zeh::N,jyel'gisuor'mâ,парня
216,Zeh::N,jue´lǧǧsuõrmm,парня
217,Zeh::N,ю̄лльк-це̄һп,парня
218,Fuß::N,juelkie,ял лапа
219,Fuß::N,juolgge,ял лапа
220,Fuß::N,juolgi,ял лапа
221,Fuß::N,jyel'gi,ял лапа
222,Fuß::N,jue´lǧǧ,ял лапа
223,Fuß::N,ла̄бпь,ял лапа
224,Ferse::N,båetskie,ялгавал
225,Ferse::N,båetskie,ял кавал
226,Ferse::N,boasske,ялгавал
227,Ferse::N,boasske,ял кавал
228,Ferse::N,šušmi,ялгавал
229,Ferse::N,šušmi,ял кавал
230,Ferse::N,šušme,ялгавал
231,Ferse::N,šušme,ял кавал
232,Ferse::N,jue´lǧǧkädd,ялгавал
233,Ferse::N,jue´lǧǧkädd,ял кавал
234,Ferse::N,ка̄ннт,ялгавал
235,Ferse::N,ка̄ннт,ял кавал
236,Knie::N,boelve,пылвуй
237,Knie::N,buolvva,пылвуй
238,Knie::N,čibbi,пылвуй
239,Knie::N,veaŋki,пылвуй
240,Knie::N,iidâ,пылвуй
241,Knie::N,puõlvv,пылвуй
242,Knie::N,пуллв,пылвуй
243,Oberschenkel::N,ruaksja,ӓрдӹ
244,Oberschenkel::N,tjibbe,ӓрдӹ
245,Oberschenkel::N,gassaváhkká,ӓрдӹ
246,Oberschenkel::N,badjeváhkáa,ӓрдӹ
247,Oberschenkel::N,čuár'bpeeḷi,ӓрдӹ
248,Oberschenkel::N,če´bb,ӓрдӹ
249,Oberschenkel::N,чуаррбе̄лль,ӓрдӹ
250,Bein::N,juelkie,ял
251,Bein::N,juolgge,ял
252,Bein::N,juolgi,ял
253,Bein::N,jyel'gi,ял
254,Bein::N,jue´lǧǧ,ял
255,Bein::N,ю̄лльк,ял
256,Körper::N,kråahpe,монгыр
257,Körper::N,rumáj,монгыр
258,Körper::N,rumaš,монгыр
259,Körper::N,ruumâš,монгыр
260,Körper::N,rå´pp,монгыр
261,Körper::N,лышшьк,монгыр
262,Körper::N,роаӈӈьк,монгыр
263,Haut::N,njaltja,кавашты
264,Haut::N,lijkke,кавашты
265,Haut::N,tjuobma,кавашты
266,Haut::N,liiki,кавашты
267,Haut::N,liške,кавашты
268,Haut::N,le´šǩǩ,кавашты
269,Haut::N,лышшьк,кавашты
270,Blut::N,vïrre,вӹр
271,Blut::N,maelie,вӹр
272,Blut::N,varra,вӹр
273,Blut::N,varra,вӹр
274,Blut::N,vorrâ,вӹр
275,Blut::N,võrr,вӹр
276,Blut::N,вэ̄рр,вӹр
277,Ader::N,åerie,вӹршӓр
278,Ader::N,aajroe,вӹршӓр
279,Ader::N,suodna,вӹршӓр
280,Ader::N,varrasuotna,вӹршӓр
281,Ader::N,suoṇâ,вӹршӓр
282,Ader::N,suõnn,вӹршӓр
283,Ader::N,сӯнн,вӹршӓр
284,Sehne::N,soene,кукшышӱн
285,Sehne::N,gåårtenje,кукшышӱн
286,Sehne::N,suodna,кукшышӱн
287,Sehne::N,suotna,кукшышӱн
288,Sehne::N,suoṇâ,кукшышӱн
289,Sehne::N,suõnn,кукшышӱн
290,Sehne::N,сӯнн,кукшышӱн
291,Knochen::N,måara,лу
292,Knochen::N,måaroe,лу
293,Knochen::N,dákte,лу
294,Knochen::N,dákti,лу
295,Knochen::N,tähti,лу
296,Knochen::N,tä´htt,лу
297,Knochen::N,та̄ххт,лу
298,Knochen::N,та̄ффьт,лу
299,Gehirn::N,aajla,вим
300,Gehirn::N,vuojŋam,вим
301,Gehirn::N,vuoigŋašat,вим
302,Gehirn::N,vuoi'ŋâšeh,вим
303,Gehirn::N,vuo'ivâšneh,вим
304,Gehirn::N,vuõivâšn,вим
305,Gehirn::N,вуэййвэшна,вим
306,Herz::N,vaajmoe,шӱм
307,Herz::N,tsåhke,шӱм
308,Herz::N,váibmu,шӱм
309,Herz::N,váimu,шӱм
310,Herz::N,čââ´đ,шӱм
311,Herz::N,кӯттҌк,шӱм
312,Magen::N,tjåejjie,шӱм
313,Magen::N,tjoajvve,шӱм
314,Magen::N,čoavji,шӱм
315,Magen::N,čuáv'ji,шӱм
316,Magen::N,čåu´jj,шӱм
317,Magen::N,чо̄ввьй,шӱм
318,Leber::N,mueksie,мокш
319,Leber::N,librre,мокш
320,Leber::N,vuoivvas,мокш
321,Leber::N,vuoivâs,мокш
322,Leber::N,vuõivâs,мокш
323,Leber::N,вуйвас,мокш
324,Atem::N,voejngehtasse,шӱлӹш
325,Atem::N,båssånis,шӱлӹш
326,Atem::N,vuojŋadahka,шӱлӹш
327,Atem::N,vuoiŋŋahat,шӱлӹш
