,Concept_ID,kk,vep
0,Auge::N,көз,sil'm
1,Ohr::N,құлақ,korv
2,Nase::N,мұрын,nena
3,Mund::N,ауыз,su
4,Zahn::N,тіс,pi
5,Zahn::N,тіс,hambaz
6,Zunge::N,тіл,kel'
7,Lippe::N,ерін,hul'
8,Wange::N,ұрт,modpolišk
9,Gesicht::N,бет-аузы,mod
10,Stirn::N,маңдай,oc
11,Haar::N,қыл,tuk
12,Haar::N,қыл,hibuz
13,Schnurrbart::N,мұрт,habinod
14,Bart::N,сақал,bard
15,Kinn::N,иек,löug
16,Kiefer[Anatomie]::N,жақ,hambazlu
17,Kehle::N,алқым,kurk
18,Hals::N,мойын,kagl
19,Genick::N,желке,tagarai
20,Kopf::N,кәллә,pä
21,Rücken::N,арқа,sel'g
22,Bauch::N,қарын,vac
23,Bauch::N,қарын,koht
24,Nabel::N,кіндік,naba
25,Busen::N,омырау,niža
26,Brust::N,кеуде,rind
27,Schulter::N,иық,oug
28,Arm::N,қол,käzi
29,Ellenbogen::N,шынтақ,künambruz
30,Hand::N,қол,käzi
31,Hand::N,қол,käzitera
32,Handfläche::N,алақан,kämen
33,Finger::N,саусақ,sor'm
34,Fingernagel::N,тырнақ,künz'
35,Nagel[Anatomie]::N,тырнақ,künz'
36,Zeh::N,тырнақ,barbaz
37,Zeh::N,тұяқ,barbaz
38,Fuß::N,аяқ-басы,jaug
39,Ferse::N,өкше,kand
40,Ferse::N,өкшелік,kand
41,Knie::N,тізе,komb
42,Knie::N,тізе,pol'v
43,Oberschenkel::N,жамбас,riiže
44,Bein::N,аяқ,jaug
45,Körper::N,дене,hibj
46,Haut::N,тері,nahk
47,Blut::N,қан,čak
48,Blut::N,қан,veri
49,Ader::N,көктамыр,son'
50,Ader::N,күретамыр,son'
51,Sehne::N,сіңір,jände
52,Knochen::N,жілік,lu
53,Gehirn::N,ми,aivod
54,Herz::N,жүрек,südäin
55,Magen::N,асқазан,südäikoht
56,Leber::N,бауыр,maks
