,Concept_ID,nl,mhr
0,Auge::N,oog,шинча́
1,Ohr::N,oor,пы́лыш
2,Nase::N,neus,нер
3,Mund::N,mond,умша́
4,Zahn::N,tand,пӱй
5,Zunge::N,tong,йы́лме
6,Lippe::N,lip,тӱ́рвӧ
7,Wange::N,wang,шӱ́ргӧ
8,Gesicht::N,gelaat,чури́й
9,Gesicht::N,gezicht,чури́й
10,Stirn::N,voorhoofd,саҥга́
11,Haar::N,haar,ӱп
12,Schnurrbart::N,snor,ӧ́рыш
13,Bart::N,baard,понда́ш
14,Kinn::N,kin,оҥыла́ш
15,Kiefer[Anatomie]::N,kaak,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,kaak,пӱйората́
17,Kehle::N,keel,лога́р
18,Kehle::N,strot,лога́р
19,Hals::N,hals,шӱй
20,Genick::N,nek,шӱйло́дыш
21,Kopf::N,hoofd,вуй
22,Rücken::N,rug,туп
23,Bauch::N,buik,мӱ́шкыр
24,Nabel::N,navel,кы́лымде
25,Busen::N,boezem,чы́зе
26,Brust::N,borst,оҥ
27,Schulter::N,schouder,ва́че
28,Arm::N,arm,кид
29,Ellenbogen::N,elleboog,кынерву́й
30,Hand::N,hand,кид
31,Hand::N,hand,копа́
32,Handfläche::N,handpalm,со́во
33,Finger::N,vinger,парня́
34,Fingernagel::N,nagel,кидкӱ́ч
35,Fingernagel::N,nagel,парнягӱ́ч
36,Nagel[Anatomie]::N,nagel,кӱч
37,Zeh::N,teen,йолварня́
38,Fuß::N,voet,йол
39,Fuß::N,voet,йолкопа́
40,Ferse::N,hak,тага́н
41,Ferse::N,hiel,тага́н
42,Knie::N,knie,пулву́й
43,Oberschenkel::N,dij,э́рде
44,Bein::N,been,йол
45,Körper::N,lichaam,кап
46,Haut::N,huid,кова́ште
47,Blut::N,bloed,вӱр
48,Ader::N,ader,шӧн
49,Sehne::N,pees,шӧн
50,Sehne::N,pees,кӱсе́н
51,Knochen::N,bot,лу
52,Knochen::N,been,лу
53,Knochen::N,knook,лу
54,Gehirn::N,hersenen,вем
55,Gehirn::N,hersenen,вуйве́м
56,Herz::N,hart,шӱм
57,Magen::N,maag,пага́р
58,Leber::N,lever,мокш
59,Atem::N,adem,шӱ́лыш
60,Hunger::N,honger,шужыма́ш
61,Träne::N,traan,шинчавӱ́д
62,Geschmack::N,smaak,там
63,Geruch::N,geur,пуш
64,Schlaf::N,slaap,о́мо
65,Traum::N,droom,йӱдо́мо
66,Himmel::N,hemel,кава́
67,Sonne::N,zon,ке́че
68,Mond::N,maan,ты́лзе
69,Stern::N,ster,шӱ́дыр
70,Luft::N,lucht,юж
71,Wind::N,wind,марде́ж
72,Welle::N,golf,то́лкын
73,Wasser::N,water,вӱд
74,Stein::N,steen,кӱ
75,Boden::N,grond,рок
76,Erde::N,aarde,мла́нде
77,Staub::N,stof,пура́к
78,Rauch::N,rook,шикш
79,Funke::N,vonk,сеске́м
80,Funke::N,vonk,тулйы́п
81,Feuer::N,vuur,тул
82,Licht::N,licht,со́то
83,Schatten::N,schaduw,ӱ́мыл
