,Concept_ID,en,ps
0,Auge::N,eye,سترګه
1,Ohr::N,ear,غوږ
2,Nase::N,nose,پوزه
3,Mund::N,mouth,خوله
4,Zahn::N,tooth,غاښ
5,Zunge::N,tongue,جبه
6,Lippe::N,lip,شونډه
7,Wange::N,cheek,باړخو
8,Gesicht::N,face,مخ
9,Stirn::N,forehead,تندی
10,Stirn::N,forehead,وچولی
11,Haar::N,hair,وېښته
12,Schnurrbart::N,moustache,برېت
13,Bart::N,beard,ږیره
14,Kinn::N,chin,زنه
15,Kiefer[Anatomie]::N,jaw,جامه
16,Kehle::N,throat,غاړه
17,Hals::N,neck,غاړه
18,Genick::N,nape,ورمېږ
19,Kopf::N,head,سر
20,Rücken::N,back,شا
21,Rücken::N,spine,شا
22,Bauch::N,belly,نس
23,Bauch::N,belly,ګېډه
24,Nabel::N,navel,نوم
25,Busen::N,bosom,تی
26,Brust::N,chest,سینه
27,Brust::N,breast,سینه
28,Schulter::N,shoulder,اوږه
29,Arm::N,arm,لاس
30,Ellenbogen::N,elbow,څنګل
31,Hand::N,hand,لاس
32,Handfläche::N,palm,ورغوی
33,Finger::N,finger,ګوته
34,Fingernagel::N,fingernail,نوک
35,Nagel[Anatomie]::N,nail,نوک
36,Zeh::N,toe,ګوته
37,Fuß::N,foot,پښه
38,Ferse::N,heel,پونده
39,Knie::N,knee,زنګون
40,Oberschenkel::N,thigh,پتون
41,Bein::N,leg,پښه
42,Körper::N,body,ځان
43,Haut::N,skin,پوټکی
44,Blut::N,blood,وینه
45,Ader::N,vein,رګ
46,Sehne::N,sinew,پله
47,Knochen::N,bone,هډوکی
48,Gehirn::N,brain,ماغزه
49,Herz::N,heart,زړه
50,Magen::N,stomach,معده
51,Leber::N,liver,ينه
52,Leber::N,liver,ځیګر
53,Atem::N,breath,نفس
54,Hunger::N,hunger,ولږه
55,Träne::N,tear,اوښکه
56,Geschmack::N,flavour,مزه
57,Geschmack::N,flavour,خوند
58,Geschmack::N,flavor,مزه
59,Geschmack::N,flavor,خوند
60,Geruch::N,odour,بوی
61,Geruch::N,odor,بوی
62,Schlaf::N,sleep,خوب
63,Traum::N,dream,خوب
64,Himmel::N,sky,اسمان
65,Sonne::N,sun,لمر
66,Mond::N,moon,سپوږمۍ
67,Stern::N,star,ستوری
68,Luft::N,air,هوا
69,Wind::N,wind,ورښ
70,Welle::N,wave,موج
71,Wasser::N,water,اوبه
72,Stein::N,stone,ډبره
73,Boden::N,soil,مځکه
74,Boden::N,ground,مځکه
75,Erde::N,earth,خاوره
76,Staub::N,dust,ګرد
77,Staub::N,dust,خاوره
78,Rauch::N,smoke,دود
79,Rauch::N,smoke,لوګی
80,Funke::N,spark,سپرغۍ
81,Feuer::N,fire,اور
82,Licht::N,light,رڼا
83,Schatten::N,shadow,سیوری
84,Wetter::N,weather,هوا
85,Nebel::N,fog,لړه
86,Wolke::N,cloud,ورېځ
87,Regen::N,rain,وریا
88,Regen::N,rain,باران
89,Schnee::N,snow,واوره
90,Eis::N,ice,یخ
91,Eis::N,ice,کنګل
92,Frost::N,frost,یخ
93,Kälte::N,chill,ساړه
94,Hitze::N,heat,تودوخي
95,Raureif::N,hoarfrost,سپینه پرخه
96,Regenbogen::N,rainbow,بوډۍ ټال
97,Regenbogen::N,rainbow,سره زرغونه
