,Concept_ID,he,os
0,Auge::N,עין,цӕст
1,Ohr::N,אזן,хъус
2,Nase::N,אף,фындз
3,Nase::N,חטם,фындз
4,Mund::N,פה,дзых
5,Zahn::N,שן,дӕндаг
6,Zunge::N,לשון,ӕвзаг
7,Lippe::N,שפה,был
8,Wange::N,לחי,рус
9,Wange::N,לחי,уадул
10,Wange::N,לחי,ӕхсӕрфарс
11,Gesicht::N,פנים,цӕсгом
12,Stirn::N,מצח,ных
13,Haar::N,שערה,хил
14,Schnurrbart::N,שפם,рихи
15,Bart::N,זקן,зачъе
16,Kinn::N,סנטר,роцъо
17,Kiefer[Anatomie]::N,לסת,ӕфсӕр
18,Kehle::N,גרון,хъуыр
19,Hals::N,צואר,къубал
20,Genick::N,ערף,къӕбут
21,Kopf::N,ראש,сӕр
22,Rücken::N,גב,фӕсонтӕ
23,Bauch::N,בטן,гуыбын
24,Nabel::N,טבור,бикъ
25,Busen::N,שד,дзидзи
26,Brust::N,חזה,риу
27,Schulter::N,כתף,уӕхск
28,Arm::N,זרוע,цонг
29,Ellenbogen::N,מרפק,рæмбын
30,Hand::N,יד,къух
31,Handfläche::N,כף יד,армытъӕпӕн
32,Finger::N,אצבע,ӕнруылдз
33,Fingernagel::N,צפרן,ных
34,Nagel[Anatomie]::N,צפרן,ных
35,Zeh::N,אצבע,къух
36,Fuß::N,רגל,фад
37,Ferse::N,עקב,зӕвӕт
38,Knie::N,ברך,уӕраг
39,Oberschenkel::N,ירך,агъд
40,Bein::N,רגל,зӕнг
41,Körper::N,גוף,буар
42,Haut::N,עור,царм
43,Blut::N,דם,туг
44,Ader::N,וריד,дадзин
45,Ader::N,וריד,тугдадзин
46,Sehne::N,גיד,хъиутæ
47,Sehne::N,גיד,нуар
48,Knochen::N,עצם,стӕг
49,Gehirn::N,מוח,магъз
50,Herz::N,לב,зӕрдӕ
51,Magen::N,קבה,ахсӕн
52,Leber::N,כבד,игæр
53,Atem::N,נשימה,улӕфт
54,Hunger::N,רעב,стонг
55,Träne::N,דמעה,цæссыг
56,Geschmack::N,טעם,ад
57,Geruch::N,ריח,смаг
58,Schlaf::N,שנה,хуыссӕг
59,Traum::N,חלום,фын
60,Himmel::N,שמים,арв
61,Himmel::N,שמים,уӕларв
62,Sonne::N,שמש,хур
63,Mond::N,ירח,мӕй
64,Stern::N,כוכב,стъалы
65,Luft::N,אויר,уӕлдӕф
66,Wind::N,רוח,дымгӕ
67,Welle::N,גל,уылӕн
68,Wasser::N,מים,дон
69,Stein::N,אבן,дур
70,Boden::N,קרקע,зӕхх
71,Erde::N,אדמה,сыджыт
72,Staub::N,אבק,рыг
73,Rauch::N,עשן,фӕздӕг
74,Funke::N,ניצוץ,цӕхӕр
75,Feuer::N,אש,зынг
76,Licht::N,אור,рухс
77,Schatten::N,צל,аууон
78,Wetter::N,מזג אויר,боныхъӕд
79,Nebel::N,ערפל,мигъ
80,Wolke::N,ענן,ӕврагъ
81,Regen::N,גשם,уарын
82,Schnee::N,שלג,мит
83,Eis::N,קרח,их
84,Frost::N,צנה,ихæн
85,Kälte::N,קר,уазал
86,Hitze::N,חם,ӕнтӕф
87,Raureif::N,כפור,халас
88,Regenbogen::N,קשת,арвырон
89,Regenbogen::N,קשת,арвырдын
90,Donner::N,רעם,æрвнæрын
91,Strömung::N,זרימה,цыд
92,Tropfen::N,טפה,æртах
93,Schaum::N,קצף,фынк
94,Schmutz::N,לכלוך,цъыф
95,See::N,אגם,цад
96,Sumpf::N,בצה,цъыфдзаст
97,Moor::N,בצה,цъыфдзаст
98,Wiese::N,מרעה,уыгӕрдӕн
99,Wald::N,יער,хъӕд
100,Hügel::N,תל,обау
101,Hügel::N,תל,къуыбыр
102,Anhöhe::N,מעלה,уæлвæз
103,Anhöhe::N,מעלה,уæлхох
104,Berg::N,הר,хох
105,Gipfel::N,פסגה,цъупп
106,Höhle::N,מערה,лӕгӕт
107,Abhang::N,מדרון,къул
108,Abhang::N,שפוע,къул
109,Quelle::N,מעין,суадон
110,Bach::N,נחל,мӕсчъыдон
111,Fluss::N,נהר,дон
112,Fluss::N,נהר,цӕугӕдон
113,Ufer::N,גדה,был
114,Küste::N,חוף,донбыл
115,Festland::N,יבשה,сурзæхх
116,Meer::N,ים,денджыз
117,Bucht::N,מפרץ,донбакæлæн
118,Insel::N,אי,сакъадах
119,Blume::N,פרח,дидинӕг
120,Gras::N,דשא,кӕрдӕг
121,Wurzel::N,שרש,уидаг
122,Baum::N,עץ,бӕлас
123,Stamm::N,גזע,хӕтӕл
124,Rinde::N,קלפת עץ,цъар
125,Ast::N,ענף,арх
126,Zweig::N,ענף,къалиу
127,Blatt::N,עלה,сыф
128,Birke::N,שדר,бæрз
129,Kiefer[Baum]::N,ארן,нӕзы
130,Weide[Baum]::N,ערבה,хӕрис
131,Tanne::N,אשוח,наз
132,Horn::N,קרן,сыкъа
133,Feder::N,נוצה,сис
134,Fell::N,פרוה,царм
135,Flügel::N,כנף,базыр
136,Klaue::N,טלף,ных
137,Kralle::N,טפר,дзӕмбы
138,Schwanz::N,זנב,къӕдзил
139,Ei::N,ביצה,айк
140,Nest::N,קן,ахстон
141,Bau::N,מחלה,хуынкъ
142,Tier::N,חיה,сырд
143,Tier::N,חיה,цӕрӕгой
144,Herde::N,עדר,дзуг
145,Herde::N,עדר,рӕгъау
146,Kuh::N,פרה,хъуг
147,Bulle::N,פר,гал
148,Pferd::N,סוס,бӕх
149,Schaf::N,כבשה,фыс
150,Schwein::N,חזיר,хуы
151,Hund::N,כלב,куыдз
152,Katze::N,חתול,гӕды
153,Bär::N,דב,арс
154,Eichhörnchen::N,סנאי,æхсæрæг
155,Elch::N,דישון,цæгатаг саг
156,Fuchs::N,שועל,рувас
157,Hase::N,ארנב,тæрхъус
158,Maus::N,עכבר,мыст
159,Wolf::N,זאב,бирӕгъ
160,Vogel::N,צפור,цъиу
161,Vogel::N,צפור,маргъ
162,Schwarm::N,נחיל,бал
163,Schwarm::N,להקה,бал
164,Huhn::N,תרנגלת,карк
165,Hahn::N,תרנגול,уасӕг
166,Gans::N,אוז,хъаз
167,Adler::N,עיט,цӕргӕс
168,Ente::N,ברוז,ацц
169,Eule::N,ינשוף, уыг
170,Eule::N,ינשוף,сидахъ
171,Kranich::N,עגור,зырнæг
172,Kranich::N,עגור,хърихъупп
173,Kranich::N,כרוכיה,зырнæг
174,Kranich::N,כרוכיה,хърихъупп
175,Krähe::N,עורב,халон
176,Kuckuck::N,קוקיה,гаккук
177,Schwan::N,ברבור,доныхъаз
178,Fisch::N,דג,кӕсаг
179,Barsch::N,אוקונוס,окунь
180,Hecht::N,זאב הים,хихор кӕсаг
181,Schlange[Tier]::N,נחש,калм
182,Wurm::N,תולעת,зулкъ
183,Wurm::N,תולעת,къуыдыргалм
184,Spinne::N,עכביש,хӕлуарӕг
185,Ameise::N,נמלה,мæлдзыг
186,Laus::N,כנה,сыст
187,Mücke::N,יתוש,къогъо
188,Fliege::N,זבוב,бындз
189,Schmetterling::N,פרפר,гæлæбу
190,Beere::N,ענבה,гагадыргъ
191,Apfel::N,תפוח,фӕткъуы
192,Pilz::N,פטריה,зокъо
193,Pilz::N,פטריה,къозо
194,Zwiebel::N,בצל,хъӕдындз
195,Saat::N,זרעים,тауинаг
196,Saat::N,זרעים,мыггаг
197,Korn::N,גרעין,мыггаг
198,Korn::N,גרעין,тауинаг
199,Heu::N,חציר,хос
200,Schale::N,קלפה,цъар
201,Grube::N,בור,урм
202,Grube::N,בור,къахт
203,Grube::N,בור,дзыхъхъ
204,Grube::N,שוחה,урм
205,Grube::N,שוחה,къахт
206,Grube::N,שוחה,дзыхъхъ
207,Falle::N,מלכדת,цъысым
208,Falle::N,מלכדת,къӕппӕг
209,Schlinge::N,לולאה,цасм
210,Spur::N,עקבה,фæд
211,Asche::N,אפר,фӕнык
212,Asche::N,אפר,ӕртхутӕг
213,Dreck::N,זהמה,цъыф
214,Eisen::N,ברזל,ӕфсӕйнаг
215,Gold::N,זהב,сыгъзӕрин
216,Silber::N,כסף,ӕвзист
217,Kohle::N,פחם,ӕвзалы
218,Glas::N,זכוכית,авг
219,Lehm::N,חרסית,ӕлыг
220,Sand::N,חול,змис
221,Mensch::N,אדם,лӕг
222,Mensch::N,אדם,адӕймаг
223,Mensch::N,אדם,удгоймаг
224,Mann::N,איש,лӕг
225,Mann::N,איש,нӕлгоймаг
226,Mann::N,גבר,лӕг
227,Mann::N,גבר,нӕлгоймаг
228,Frau::N,אשה,сылгоймаг
229,Frau::N,גברת,сылгоймаг
230,Kind::N,ילד,сывӕллон
231,Junge::N,ילד,лӕппу
232,Mädchen::N,נערה,чызг
233,Familie::N,משפחה,бинонтæ
234,Großvater::N,סבא,фыдыфыд
235,Großvater::N,סבא,мадыфыд
236,Großmutter::N,סבתא,фыды мад
237,Großmutter::N,סבתא,мады мад
238,Eltern::N,הורים,ныййарджытæ
239,Vater::N,אב,фыд
240,Mutter::N,אם,мад
241,Sohn::N,בן,фырт
242,Tochter::N,בת,чызг
243,Bruder::N,אח,ӕфсымӕр
244,Schwester::N,אחות,хо
245,Onkel::N,דוד,фыдыфсымӕр
246,Tante::N,דודה,мадыхо
247,Ehemann::N,איש,мой
248,Ehemann::N,בעל,мой
249,Ehefrau::N,אשה,ус
250,Freude::N,שמחה,цин
251,Freude::N,שמחה,циндзинад
252,Gelächter::N,צחוק,худын
253,Gelächter::N,צחוק,худт
254,Gelächter::N,צחוק,худæг
255,Glück::N,אשר,амонд
256,Kummer::N,יגון,хъыг
257,Kummer::N,עגמה,хъыг
258,Wunsch::N,אחול,бӕллиц
259,Wunsch::N,משאלה,бӕллиц
260,Lust::N,חשק,монц
261,Lust::N,תשוקה,монц
262,Geist::N,רוח,уд
263,Gedanke::N,מחשבה,хъуыды
264,Gedächtnis::N,זכרון,мысæн
265,Gedächtnis::N,זכרון,мысын
266,Gedächtnis::N,זכרון,зæрдылдарын
267,Verstand::N,שכל,зонд
268,Sinn::N,מובן,нысаниуæг
269,Sinn::N,משמעות,нысаниуæг
270,Grund::N,סבה,ӕфсон
271,Wahrheit::N,אמת,æцæг
272,Gespräch::N,דיון,ныхас
273,Märchen::N,אגדה,аргъау
274,Erzählung::N,ספור,радзырд
275,Nachricht::N,ידיעה,уац
276,Neuigkeit::N,חדשה,хабар
277,Name::N,שם,ном
278,Rätsel::N,תעלומה,уыци-уыци
279,Rätsel::N,תעלומה,базон-базон
280,Rede::N,נאום,раныхас
281,Sprache::N,לשון,ӕвзаг
282,Stimme::N,קול,хъӕлӕс
283,Wort::N,מלה,дзырд
284,Zeichen::N,סימן,нысан
285,Ruf::N,קריאה,сидт
286,Lärm::N,רעש,уынæр
287,Laut::N,הגה,зӕл
288,Laut::N,הגה,мыр
289,Ton::N,צליל,мыр
290,Lied::N,שיר,зарӕг
291,Ruhe::N,שלוה,æнцой
292,Leute::N,אנשים,адӕм
293,Volk::N,עם,адӕм
294,Arbeit::N,עבודה,фӕллой
295,Gast::N,אורח,уазӕг
296,Geschenk::N,מתנה,хуын
297,Spiel::N,משחק,хъазт
298,Gesellschaft::N,חברה,дзыллæ
299,Gesellschaft::N,חברה,æхсæнад
300,Hilfe::N,עזרה,æххуыс
301,Hilfe::N,עזרה,ахъаз
302,Freund::N,חבר,лымӕн
303,Freund::N,ידיד,лымӕн
304,Kamerad::N,רע,ӕмбал
305,Angelegenheit::N,ענין,хъуыддаг
306,Anzahl::N,מספר,бӕрц
307,Art::N,סוג,хуыз
308,Art::N,סוג,хуызад
309,Stück::N,חתיכה,кæрдих
310,Stück::N,חתיכה,комдзаг
311,Teil::N,פרק,хай
312,Hälfte::N,חצי,æрдæг
313,Hälfte::N,חצי,æмбис
314,Kreis::N,מעגל,зиллакк
315,Kreuz::N,צלב,дзуар
316,Linie::N,קו,хахх
317,Strich::N,קו קצר,хахх
318,Abstand::N,מרחק,æхсæнуат
319,Entfernung::N,מרחק,дæрддзæг
320,Entfernung::N,מרחק,дардцæг
321,Gegend::N,נוף,ран
322,Platz::N,שטח,бууат
323,Ort::N,אתר,ран
324,Ort::N,אתר,бынат
325,Ort::N,מקום,ран
326,Ort::N,מקום,бынат
327,Seite::N,צד,фахс
328,Mitte::N,אמצע,астӕу
329,Gegenstand::N,אוביקט,дзаума
330,Sache::N,דבר,дзаума
331,Rand::N,פרור,кӕрон
332,Kante::N,קצה,фӕрск
333,Ecke::N,פנה,тигъ
334,Ecke::N,פנה,фисын
335,Spitze::N,קצה,бырынкъ
336,Ende::N,סוף,кӕрон
337,Loch::N,חר,хуынкъ
338,Winkel::N,פנה,къуым
339,Muster::N,תבנית,нывæфтыд
340,Muster::N,תבנית,кæдзист
341,Größe::N,גדל,ас
342,Länge::N,ארך,дӕргъ
343,Höhe::N,קומה,бæрзонд
344,Höhe::N,קומה,бæрзæнд
345,Höhe::N,קומה,бæрзонддзинад
346,Höhe::N,גבה,бæрзонд
347,Höhe::N,גבה,бæрзæнд
348,Höhe::N,גבה,бæрзонддзинад
349,Gewicht::N,משקל,уӕз
350,Menge::N,כמות,бӕрц
351,Haufen::N,ערמה,кӕри
352,Reihe::N,רצף,рӕнхъ
353,Boot::N,סירה,чема
354,Ruder::N,משוט,къохар
355,Schlitten::N,מזחלת,дзоныгъ
356,Ski::N,מגלשים,къахдзоныгътæ
357,Ski::N,מגלשים,лыжæтæ
358,Lagerfeuer::N,מדורה,арт
359,Last::N,משא,уаргъ
360,Gang::N,הליכה,цыд
361,Schritt::N,צעד,санчъех
362,Schritt::N,צעד,къахдзӕф
363,Norden::N,צפון,цæгат
364,Süden::N,דרום,хуссар
365,Westen::N,מערב,ныгуылæн
