,Concept_ID,kn,eu
0,Auge::N,ಕಣ್ಣು,begi
1,Ohr::N,ಕಿವಿ,belarri
2,Nase::N,ಮೂಗು,sudur
3,Mund::N,ಬಾಯಿ,aho
4,Zahn::N,ಹಲ್ಲು,hortz
5,Zunge::N,ನಾಲಿಗೆ,mihi
6,Lippe::N,ತುಟಿ,ezpain
7,Wange::N,ಗಲ್ಲ,masail
8,Gesicht::N,ಮುಖ,aurpegi
9,Stirn::N,ಹಣೆ,bekoki
10,Haar::N,ಕೂದಲು,ile
11,Haar::N,ಕೂದಲು,bilo
12,Schnurrbart::N,ಮೀಸೆ,bibote
13,Schnurrbart::N,ಮೀಸೆ,sudurpeko
14,Bart::N,ಗಡ್ಡ,bizar
15,Kinn::N,ಗದ್ದ,kokots
16,Kiefer[Anatomie]::N,ದವಡೆ,masailezur
17,Kehle::N,ಗಂಟಲು,eztarri
18,Hals::N,ಕೊರಳು,sama
19,Genick::N,ಹಿಂಗತ್ತು,garondo
20,Kopf::N,ತಲೆ,buru
21,Rücken::N,ಬೆನ್ನು,bizkar
22,Bauch::N,ಹೊಟ್ಟೆ,sabel
23,Nabel::N,ಹೊಕ್ಕುಳು,zilbor
24,Busen::N,ಸ್ತನ,titi
25,Busen::N,ಸ್ತನ,ugatz
26,Brust::N,ಎದೆ,bular
27,Schulter::N,ಭುಜ,besaburu
28,Arm::N,ತೋಳು,beso
29,Ellenbogen::N,ಮೊಣಕೈ,ukondo
30,Hand::N,ಕೈ,esku
31,Handfläche::N,ಅಂಗೈ,ahur
32,Finger::N,ಕೈಬೆರಳು,hatz
33,Fingernagel::N,ಉಗುರು,azazkal
34,Nagel[Anatomie]::N,ಉಗುರು,azazkal
35,Zeh::N,ಕಾಲ್ಬೆರಳು,behatz
36,Fuß::N,ಪಾದ,oin
37,Ferse::N,ಹಿಮ್ಮಡಿ,orpo
38,Ferse::N,ಹಿಮ್ಮಡಿ,oinburu
39,Knie::N,ಮಂಡಿ,belaun
40,Oberschenkel::N,ತೊಡೆ,izter
41,Bein::N,ಕಾಲು,zango
42,Körper::N,ದೇಹ,soin
43,Haut::N,ಚರ್ಮ,azal
44,Blut::N,ರಕ್ತ,odol
45,Ader::N,ನರ,zain
46,Sehne::N,ನರ,gihar-zain
47,Knochen::N,ಮೂಳೆ,hezur
48,Gehirn::N,ಮಿದುಳು,garun
49,Gehirn::N,ಮಿದುಳು,burmuin
50,Herz::N,ಹೃದಯ,bihotz
51,Magen::N,ಉದರ,urdail
52,Leber::N,ಯಕೃತ್ತು,gibel
53,Atem::N,ಉಸಿರು,hats
54,Atem::N,ಉಸಿರು,arnasa
55,Hunger::N,ಹಸಿವು,gose
56,Träne::N,ಕಣ್ಣೀರು,malko
57,Geschmack::N,ರುಚಿ,dasta
58,Geruch::N,ವಾಸನೆ,usain
59,Schlaf::N,ನಿದ್ರೆ,lo
60,Traum::N,ಕನಸು,amets
61,Himmel::N,ಬಾನು,zeru
62,Sonne::N,ಸೂರ್ಯ,eguzki
63,Mond::N,ಚಂದ್ರ,ilargi
64,Stern::N,ಚುಕ್ಕಿ,izar
65,Luft::N,ವಾಯು,aire
66,Wind::N,ಗಾಳಿ,haize
67,Welle::N,ಅಲೆ,uhin
68,Welle::N,ಅಲೆ,olatu
69,Wasser::N,ನೀರು,ur
70,Stein::N,ಕಲ್ಲು,harri
71,Boden::N,ನೆಲ,lur
72,Boden::N,ನೆಲ,zoru
73,Erde::N,ಭೂಮಿ,lur
74,Staub::N,ದೂಳು,hauts
75,Rauch::N,ಹೊಗೆ,ke
76,Funke::N,ಕಿಡಿ,zirta
77,Funke::N,ಕಿಡಿ,txinparta
78,Feuer::N,ಬೆಂಕಿ,su
79,Licht::N,ಬೆಳಕು,argi
80,Schatten::N,ನೆರಳು,itzal
81,Schatten::N,ನೆರಳು,geriza
82,Wetter::N,ಹವ,eguraldi
83,Nebel::N,ಮಂಜು,laino
84,Wolke::N,ಮೋಡ,hodei
85,Regen::N,ಮಳೆ,euri
86,Schnee::N,ಹಿಮ,elur
87,Eis::N,ಮಂಜುಗಡ್ಡೆ,horma
88,Frost::N,ಮಂಜು,izotzaldi
89,Kälte::N,ಹಿಮ,hotz
90,Hitze::N,ಉಷ್ಣ,bero
91,Raureif::N,ಇಬ್ಬನಿ,antzigar
92,Regenbogen::N,ಇಂದ್ರಚಾಪ,ostadar
93,Regenbogen::N,ಇಂದ್ರಚಾಪ,ortzadar
94,Donner::N,ಗುಡುಗು,ostots
95,Donner::N,ಗುಡುಗು,ihurtzuri
96,Strömung::N,ಪ್ರವಾಹ,laster
97,Tropfen::N,ತೊಟ್ಟು,xorta
98,Schaum::N,ನೊರೆ,bits
99,Schmutz::N,ಕಸ,lohi
100,Schmutz::N,ಕಸ,zikin
101,See::N,ಸರೋವರ,laku
102,See::N,ಸರೋವರ,aintzira
103,Sumpf::N,ಜೌಗುಸ್ಥಳ,zingira
104,Moor::N,ಬಂಜರು ಭೂಮಿ,zohikaztegi
105,Wiese::N,ಹುಲ್ಲುಗಾವಲು,larre
106,Wiese::N,ಹುಲ್ಲುಗಾವಲು,belardi
107,Wald::N,ಕಾಡು,baso
108,Wald::N,ಕಾಡು,oihan
109,Hügel::N,ಗುಡ್ಡೆ,muino
110,Hügel::N,ಗುಡ್ಡೆ,pentoka
111,Anhöhe::N,ದಿಬ್ಬ,garai
112,Anhöhe::N,ದಿಬ್ಬ,goragune
113,Berg::N,ಮಲೆ,mendi
114,Berg::N,ಪರ್ವತ,mendi
115,Gipfel::N,ಶೃಂಗ,gain
116,Gipfel::N,ಶೃಂಗ,tontor
117,Höhle::N,ಗುಹೆ,kobazulo
118,Abhang::N,ಇಳಿಜಾರು,aldapa
