,Concept_ID,sv,et
0,Auge::N,öga,silm
1,Ohr::N,öra,kõrv
2,Nase::N,näsa,nina
3,Mund::N,mun,suu
4,Zahn::N,tand,hammas
5,Zunge::N,tunga,keel
6,Lippe::N,läpp,huul
7,Wange::N,kind,põsk
8,Gesicht::N,syn,nägu
9,Gesicht::N,ansikte,nägu
10,Stirn::N,panna,otsmik
11,Haar::N,hår,juus
12,Schnurrbart::N,mustasch,vurrud
13,Schnurrbart::N,mustasch,vuntsid
14,Bart::N,skägg,habe
15,Kinn::N,haka,lõug
16,Kiefer[Anatomie]::N,käke,lõualuu
17,Kehle::N,strupe,kõri
18,Hals::N,hals,kael
19,Genick::N,nacke,kukal
20,Kopf::N,huvud,pea
21,Rücken::N,rygg,selg
22,Bauch::N,buk,kõht
23,Bauch::N,mage,kõht
24,Nabel::N,navel,naba
25,Busen::N,barm,rind
26,Brust::N,bröst,rind
27,Schulter::N,skuldra,õlg
28,Arm::N,arm,käsivars
29,Ellenbogen::N,armbåge,küünarnukk
30,Hand::N,hand,käsi
31,Handfläche::N,handflata,pihk
32,Finger::N,finger,sõrm
33,Fingernagel::N,fingernagel,küüs
34,Nagel[Anatomie]::N,nagel,küüs
35,Zeh::N,tå,varvas
36,Fuß::N,fot,jalg
37,Ferse::N,häl,kand
38,Knie::N,knä,põlv
39,Oberschenkel::N,lår,reis
40,Bein::N,ben,jalg
41,Körper::N,kropp,ihu
42,Körper::N,kropp,keha
43,Haut::N,hud,nahk
44,Haut::N,skinn,nahk
45,Blut::N,blod,veri
46,Ader::N,åder,veen
47,Sehne::N,sena,kõõlus
48,Knochen::N,ben,luu
49,Gehirn::N,hjärna,aju
50,Herz::N,hjärta,süda
51,Magen::N,mage,magu
52,Leber::N,lever,maks
53,Atem::N,anda,hingeõhk
54,Atem::N,anda,hingamine
55,Atem::N,andedräkt,hingeõhk
56,Atem::N,andedräkt,hingamine
57,Hunger::N,svält,nälg
58,Hunger::N,hunger,nälg
59,Träne::N,tår,pisar
60,Geschmack::N,smak,maitse
61,Geruch::N,lukt,lõhn
62,Schlaf::N,sömn,uni
63,Traum::N,dröm,unenägu
64,Himmel::N,himmel,taevas
65,Sonne::N,sol,päike
66,Mond::N,måne,kuu
67,Stern::N,stjärna,täht
68,Luft::N,luft,õhk
69,Wind::N,vind,tuul
70,Welle::N,våg,laine
71,Welle::N,bölja,laine
72,Wasser::N,vatten,vesi
73,Stein::N,sten,kivi
74,Boden::N,mark,maa
75,Boden::N,mark,pinnas
76,Erde::N,jord,maa
77,Staub::N,damm,põrm
78,Rauch::N,rök,suits
79,Funke::N,gnista,säde
80,Feuer::N,eld,tuli
81,Licht::N,ljus,valgus
82,Schatten::N,skugga,vari
83,Wetter::N,väder,ilm
84,Nebel::N,dimma,udu
85,Nebel::N,töcken,udu
86,Wolke::N,sky,pilv
87,Wolke::N,moln,pilv
88,Regen::N,regn,sadu
89,Schnee::N,snö,lumi
90,Eis::N,is,jää
91,Frost::N,frost,pakane
92,Kälte::N,köld,külm
93,Kälte::N,köld,külmus
94,Hitze::N,hetta,kuumus
95,Hitze::N,hetta,palavus
96,Raureif::N,rimfrost,härmatis
97,Regenbogen::N,regnbåge,vikerkaar
98,Donner::N,åska,kõu
99,Donner::N,åska,müristamine
100,Donner::N,dunder,kõu
101,Donner::N,dunder,müristamine
102,Strömung::N,strömning,voolus
103,Strömung::N,strömning,jõevool
104,Tropfen::N,dropper,tilk
105,Schaum::N,skum,vaht
106,Schmutz::N,lort,pori
107,Schmutz::N,lort,mustus
108,Schmutz::N,smuts,pori
109,Schmutz::N,smuts,mustus
110,See::N,sjö,järv
111,Sumpf::N,träsk,soo
112,Moor::N,myr,raba
113,Moor::N,mosse,raba
114,Wiese::N,äng,aas
115,Wiese::N,äng,nurm
116,Wald::N,skog,mets
117,Hügel::N,höjd,küngas
118,Hügel::N,kulle,küngas
119,Anhöhe::N,höjd,küngas
120,Anhöhe::N,backe,küngas
121,Berg::N,berg,mägi
122,Berg::N,fjäll,mägi
123,Gipfel::N,topp,mäetipp
124,Höhle::N,håla,koobas
125,Höhle::N,grotta,koobas
126,Abhang::N,slänt,nõlvak
127,Abhang::N,sluttning,nõlvak
128,Quelle::N,källa,allikas
129,Bach::N,bäck,oja
130,Fluss::N,älv,jõgi
131,Fluss::N,flod,jõgi
132,Ufer::N,strand,kallas
133,Küste::N,kust,rannik
134,Festland::N,fastland,mander
135,Festland::N,fastland,maismaa
136,Meer::N,hav,meri
137,Bucht::N,vik,laht
138,Bucht::N,bukt,laht
139,Insel::N,ö,saar
140,Blume::N,blomma,lill
141,Blume::N,blomster,lill
142,Gras::N,gräs,rohi
143,Wurzel::N,rot,juur
144,Baum::N,träd,puu
145,Stamm::N,stam,tüvi
146,Rinde::N,bark,koor
147,Ast::N,gren,oks
148,Zweig::N,kvist,oks
149,Blatt::N,löv,leht
150,Blatt::N,blad,leht
151,Birke::N,björk,kask
152,Kiefer[Baum]::N,tall,mänd
153,Weide[Baum]::N,pil,paju
154,Weide[Baum]::N,vide,paju
155,Tanne::N,gran,nulg
156,Horn::N,horn,sarv
157,Feder::N,fjäder,sulg
158,Fell::N,fäll,karvkate
159,Fell::N,fäll,karusnahk
160,Fell::N,skinn,karvkate
161,Fell::N,skinn,karusnahk
162,Flügel::N,vinge,tiib
163,Flügel::N,vinge,tiivik
164,Klaue::N,klöv,küüs
165,Kralle::N,klo,küünis
166,Schwanz::N,svans,saba
167,Schwanz::N,stjärt,saba
168,Ei::N,ägg,muna
169,Nest::N,rede,pesa
170,Nest::N,näste,pesa
171,Bau::N,bo,urg
172,Tier::N,djur,loom
173,Herde::N,flock,kari
174,Kuh::N,ko,lehm
175,Bulle::N,tjur,pull
176,Pferd::N,häst,hobune
177,Schaf::N,får,lammas
178,Schwein::N,svin,siga
179,Hund::N,hund,koer
180,Katze::N,katt,kass
181,Bär::N,björn,karu
182,Eichhörnchen::N,ekorre,orav
183,Elch::N,älg,põder
184,Fuchs::N,räv,rebane
185,Hase::N,hare,jänes
186,Maus::N,mus,hiir
187,Wolf::N,varg,hunt
188,Vogel::N,fågel,lind
189,Schwarm::N,svärm,parv
190,Huhn::N,höns,kana
191,Hahn::N,tupp,kukk
192,Gans::N,gås,hani
193,Adler::N,örn,kotkas
194,Ente::N,anka,part
195,Eule::N,uggla,kakk
196,Eule::N,uggla,öökull
197,Kranich::N,trana,kurg
198,Krähe::N,kråka,vares
199,Kuckuck::N,gök,kägu
200,Schwan::N,svan,luik
201,Fisch::N,fisk,kala
202,Barsch::N,abborre,ahven
203,Hecht::N,gädda,haug
204,Schlange[Tier]::N,orm,uss
205,Wurm::N,mask,uss
206,Wurm::N,mask,vagel
207,Spinne::N,spindel,ämblik
208,Ameise::N,myra,sipelgas
209,Laus::N,lus,täi
210,Mücke::N,mygga,sääsk
211,Fliege::N,fluga,kärbes
212,Schmetterling::N,fjäril,liblikas
213,Beere::N,bär,mari
214,Apfel::N,äpple,õun
215,Pilz::N,svamp,seen
216,Zwiebel::N,lök,sibul
217,Saat::N,sådd,seeme
218,Korn::N,korn,iva
219,Korn::N,korn,tera
220,Heu::N,hö,hein
221,Schale::N,skal,koor
222,Grube::N,grop,kaevand
223,Falle::N,fälla,lõks
224,Falle::N,fälla,püünis
225,Schlinge::N,snara,aas
226,Spur::N,spår,jälg
227,Asche::N,aska,tuhk
228,Dreck::N,lort,saast
229,Dreck::N,lort,mustus
230,Eisen::N,järn,raud
231,Gold::N,guld,kuld
232,Silber::N,silver,hõbe
233,Kohle::N,kol,süsi
234,Glas::N,glas,klaas
235,Lehm::N,lera,savi
236,Sand::N,sand,liiv
237,Mensch::N,människa,inimene
238,Mann::N,man,mees
239,Frau::N,kvinna,naine
240,Kind::N,barn,laps
241,Junge::N,pojke,poiss
242,Mädchen::N,flicka,tüdruk
243,Familie::N,familj,perekond
244,Großvater::N,morfar,vanaisa
245,Großmutter::N,farmor,vanaema
246,Eltern::N,föräldrar,vanemad
247,Vater::N,far,isa
248,Mutter::N,mor,ema
249,Sohn::N,son,poeg
250,Tochter::N,dotter,tütar
251,Bruder::N,bror,vend
252,Schwester::N,syster,õde
253,Onkel::N,morbror,onu
254,Tante::N,tant,tädi
255,Ehemann::N,äkta man,mees
256,Ehemann::N,äkta man,abikaasa
257,Ehefrau::N,hustru,naine
258,Ehefrau::N,hustru,abikaasa
259,Freude::N,fröjd,rõõm
260,Freude::N,glädje,rõõm
261,Gelächter::N,åtlöje,naer
262,Glück::N,lycka,õnn
263,Kummer::N,sorg,mure
264,Kummer::N,sorg,kurbus
265,Wunsch::N,önskan,soov
266,Lust::N,lust,himu
267,Geist::N,ande,vaim
268,Gedanke::N,tanke,mõte
269,Gedächtnis::N,minne,mälu
270,Verstand::N,förstånd,aru
271,Verstand::N,förstånd,mõistus
272,Sinn::N,mening,tähendus
273,Sinn::N,betydelse,tähendus
274,Grund::N,skäl,põhjus
275,Grund::N,grund,põhjus
276,Wahrheit::N,sanning,tõde
277,Gespräch::N,samtal,kõne
278,Gespräch::N,samtal,vestlus
279,Märchen::N,saga,muinasjutt
280,Erzählung::N,berättelse,jutustus
281,Nachricht::N,meddelande,teade
282,Neuigkeit::N,nyhet,uudis
283,Name::N,namn,nimi
284,Rätsel::N,gåta,mõistatus
285,Rede::N,tal,kõne
286,Sprache::N,språk,keel
287,Stimme::N,stämma,hääl
288,Wort::N,ord,sõna
289,Zeichen::N,tecken,märk
290,Ruf::N,rop,hüüe
291,Lärm::N,bråk,müra
292,Lärm::N,oväsen,müra
293,Laut::N,ljud,hääl
294,Ton::N,ton,toon
295,Lied::N,sång,laul
296,Ruhe::N,ro,rahu
297,Ruhe::N,ro,vaikus
298,Ruhe::N,lugn,rahu
299,Ruhe::N,lugn,vaikus
300,Leute::N,folk,inimesed
301,Volk::N,folk,rahvas
302,Arbeit::N,arbete,töö
303,Gast::N,gäst,külaline
304,Geschenk::N,gåva,kingitus
305,Geschenk::N,present,kingitus
306,Spiel::N,lek,mäng
307,Spiel::N,spel,mäng
308,Gesellschaft::N,sällskap,selts
309,Hilfe::N,hjälp,abi
310,Freund::N,vän,sõber
