,Concept_ID,sah,bn
128,Blatt::N,сэбирдэх,পর্ণ
129,Birke::N,хатыҥ,ভুর্জ
130,Kiefer[Baum]::N,бэс,পাইন গাছ
131,Weide[Baum]::N,үөт,উইলো
132,Weide[Baum]::N,талах,উইলো
133,Tanne::N,харыйа,দেবদারূ গাছ
134,Horn::N,муос,শিং
135,Feder::N,куорсун,পালক
136,Fell::N,тирии,রোম
137,Flügel::N,кынат,ডানা
138,Klaue::N,тыҥырах,নখর
139,Kralle::N,баппаҕай,নখর
140,Schwanz::N,кутурук,লেজ
141,Ei::N,сымыыт,ডিম
142,Nest::N,уйа,কুলায়
143,Bau::N,хороон,ডেরা
144,Tier::N,кыыл,জন্তু
145,Tier::N,харамай,জন্তু
146,Herde::N,үөр,ঝাঁক
147,Kuh::N,ынах,গোরু
148,Bulle::N,оҕус,বৃষ
149,Pferd::N,сылгы,ঘোড়া
150,Schaf::N,овца,ভেড়া
151,Schwein::N,сибиинньэ,শূকর
152,Hund::N,ыт,কুকুর
153,Katze::N,куоска,বেড়াল
154,Bär::N,эһэ,ভল্লুক
155,Eichhörnchen::N,тииҥ,কাঠবিড়াল
156,Elch::N,тайах,হরিণবিশেষ
157,Fuchs::N,саһыл,পাঁতিশিয়াল
158,Hase::N,куобах,শশক
159,Maus::N,кутуйах,নেংটি ইঁদুর
160,Wolf::N,бөрө,নেকড়ে
161,Vogel::N,көтөр,পক্ষী
162,Schwarm::N,бөлөх,ঝাঁক
163,Huhn::N,куурусса,মোরগ
164,Hahn::N,бөтүүк,কুক্কুট
165,Gans::N,хаас,হংসী
166,Adler::N,хотой,ইগল
167,Ente::N,кус,হংসী
168,Eule::N,мэкчиргэ,পেচক
169,Kranich::N,туруйа,সারস
170,Krähe::N,тураах,কাক
171,Kuckuck::N,кэҕэ,কোকিল
172,Schwan::N,куба,মরাল
173,Fisch::N,балык,মাছ
174,Barsch::N,алыһар,মৎন্যবিশেষ
175,Hecht::N,сордон,বানমাছ
176,Schlange[Tier]::N,моҕой,সর্প
177,Schlange[Tier]::N,эриэн үөн,সর্প
178,Wurm::N,үөн,কীট
179,Spinne::N,ооҕуй,মাকড়সা
180,Ameise::N,кымырдаҕас,পিপীলিকা
181,Laus::N,быт,উকুন
182,Mücke::N,кумаар,মশা
183,Fliege::N,сахсырҕа,মাছি
184,Schmetterling::N,лыах,প্রজাপতি
185,Schmetterling::N,үрүмэччи,প্রজাপতি
186,Beere::N,отон,বেরি
187,Apfel::N,яблоко,আপেল
188,Pilz::N,тэллэй,ছত্রক
189,Zwiebel::N,луук,পিয়াজ
190,Saat::N,сиэмэ,বীজ
191,Korn::N,сиэмэ,শস্য
192,Heu::N,от,খড়
193,Schale::N,хах,খোসা
194,Grube::N,дьаама,গর্ত
195,Falle::N,сохсо,ফাঁদ
196,Schlinge::N,уктаа,পাশ
197,Spur::N,суол,চিহ্ন
198,Asche::N,күл,ভস্ম
199,Dreck::N,бадараан,ময়লা
200,Eisen::N,тимир,লোহা
201,Gold::N,көмүс,স্বর্ণ
202,Gold::N,кыһыл көмүс,স্বর্ণ
203,Silber::N,көмүс,রৌপ্য
204,Silber::N,үрүҥ көмүс,রৌপ্য
205,Kohle::N,чох,অঙ্গার
206,Glas::N,өстүөкүлэ,কাচ
207,Lehm::N,туой,মৃত্তিকা
208,Sand::N,кумах,বালি
209,Mensch::N,киһи,নর
210,Mensch::N,киһи,মানুষ
211,Mann::N,эр,মানুষ
212,Frau::N,дьахтар,নারী
213,Kind::N,оҕо,বাচ্চা
214,Junge::N,уол,ছেলে
215,Mädchen::N,кыыс оҕо,মেয়ে
216,Familie::N,кэргэн,পরিবার
217,Großvater::N,эһэ,মাতামহ
218,Großmutter::N,эбэ,মাতামহী
219,Eltern::N,аҕа-ийэ,মাতাপিতা
220,Vater::N,аҕа,পিতা
221,Mutter::N,ийэ,মাতা
222,Sohn::N,уол,ছেলে
223,Tochter::N,кыыс,মেয়ে
224,Bruder::N,убай,দাদা
225,Bruder::N,быраат,দাদা
226,Schwester::N,аҕас,বোন
227,Schwester::N,аҕас,দিদি
228,Schwester::N,балыс,বোন
229,Schwester::N,балыс,দিদি
230,Onkel::N,таай,মামা
231,Onkel::N,абаҕа,মামা
232,Tante::N,эдьиий,মাসী
233,Ehemann::N,эр,স্বামী
234,Ehefrau::N,ойох,পত্নী
235,Freude::N,үөрүү,উল্লাস
236,Gelächter::N,күлүү,হাসি
237,Glück::N,дьол,সুখ
238,Glück::N,соргу,সুখ
239,Kummer::N,кутурҕан,দুঃখ
240,Wunsch::N,баҕарыы,আকাঙ্ক্ষা
241,Lust::N,баҕа,বাসনা
242,Geist::N,тыын,আত্না
243,Gedanke::N,санаа,চিন্তা
244,Gedächtnis::N,өй,স্মরণশক্তি
245,Verstand::N,өй,মন
246,Sinn::N,суолта,পদার্থ
247,Grund::N,төрүөт,কারণ
248,Wahrheit::N,кырдьык,সত্য
249,Gespräch::N,бэсиэдэ,কথাবার্তা
250,Gespräch::N,кэпсэтии,কথাবার্তা
251,Märchen::N,остуоруйа,রূপকথা
252,Erzählung::N,кэпсээн,গল্প
253,Nachricht::N,биллэриллии,তথ্য
254,Neuigkeit::N,сонун,খবরাখবর
255,Name::N,аат,নাম
256,Rätsel::N,таабырын,ধাঁধা
257,Rede::N,этии,বক্তৃতা
258,Sprache::N,тыл,ভাষা
259,Stimme::N,куолас,স্বর
260,Wort::N,тыл,শব্দ
261,Zeichen::N,бэлиэ,প্রতীক
262,Ruf::N,ыҥырыы,ডাক
263,Lärm::N,айдаан,হৈচৈ
264,Laut::N,тыас,ধ্বনি
265,Ton::N,дорҕоон,স্বর
266,Lied::N,ырыа,গান
267,Ruhe::N,уу чуумпу,শান্তি
268,Leute::N,дьон,প্রজাপুঞ্জ
269,Volk::N,дьон,জাতি
270,Volk::N,норуот,জাতি
271,Arbeit::N,үлэ,চাকরি
272,Gast::N,ыалдьыт,অতিথি
273,Geschenk::N,бэлэх,উপহার
274,Spiel::N,оонньуу,খেলা
275,Gesellschaft::N,общество,সঙ্গিগণ
276,Hilfe::N,көмө,সাহায্য
277,Freund::N,доҕор,বন্ধু
278,Kamerad::N,атас,সঙ্গী
279,Angelegenheit::N,дьыала,বিষয়
280,Anzahl::N,ахсаан,পরিমাণ
281,Art::N,биис,রকম
282,Stück::N,кырбас,টুকরো
283,Teil::N,ирээт,অংশ
284,Hälfte::N,аҥар,অর্ধেক
285,Kreis::N,төгүрүк,বৃত্ত
286,Kreis::N,төгүрүмтэ,বৃত্ত
287,Kreuz::N,кириэс,ক্রুশ
288,Linie::N,сурааһын,রেখা
289,Strich::N,сурааһын,কষি
290,Abstand::N,арыт,ফাঁক
291,Entfernung::N,ыраах,ব্যবধান
292,Gegend::N,сир,ক্ষেত্র
293,Platz::N,арыт,জায়গা
294,Ort::N,сир,স্থান
295,Seite::N,өрүт,পার্শ্ব
296,Seite::N,сирэй,পার্শ্ব
297,Mitte::N,орто,মধ্য
298,Gegenstand::N,предмет,জিনিস
299,Sache::N,мал,বস্তু
300,Rand::N,кытыы,কানা
301,Rand::N,ойоҕос,কানা
302,Kante::N,кырыы,ধার
303,Ecke::N,муннук,কোণ
304,Spitze::N,чыпчаал,ডগা
305,Ende::N,төбө,প্রান্ত
306,Loch::N,тэһэҕэс,গর্ত
307,Loch::N,дьөлөҕөс,গর্ত
308,Winkel::N,муннук,কোণ
309,Muster::N,оһуор,নমুন্
310,Größe::N,кээмэй,আয়তন
311,Länge::N,уста,দৈর্ঘ্য
312,Höhe::N,үрдүк,উচ্চতা
313,Gewicht::N,ыйааһын,ওজন
314,Menge::N,ахсаан,পরিমাণ
315,Haufen::N,чөмчөх,পুঞ্জ
316,Reihe::N,кэккэ,শ্রেণী
317,Boot::N,оҥочо,নৌকা
318,Ruder::N,эрдии,দাঁড়
319,Schlitten::N,сыарҕа,স্নেজ্-গাড়ি
320,Ski::N,хайыһар,শী
321,Lagerfeuer::N,кутаа,অগ্নি
322,Last::N,ыарахан,বোঝা
323,Gang::N,хаамыы,হণ্টন
324,Schritt::N,хардыы,পদ
325,Norden::N,хоту,উত্তরদিক্
326,Süden::N,соҕуруу,দক্ষিণদিক
327,Westen::N,арҕаа,পশ্চিমদিক্
328,Osten::N,илин,পূর্বদিক
329,Holz::N,мас,কাঠ
330,Brett::N,дуоска,তক্তা
331,Brett::N,хаптаһын,তক্তা
332,Platte::N,билиитэ,ফলক
333,Stütze::N,тулааһын,নাগদণ্ড
334,Stange::N,ураҕас,দণ্ড
335,Stock::N,мас,ছড়ি
336,Stock::N,баалкы,ছড়ি
337,Stab::N,ураҕас,যষ্টি
338,Rohr::N,турба,নল
339,Haus::N,дьиэ,ঘর
340,Heim::N,дьиэ,বাসা
341,Ofen::N,оһох,স্টোভ্
342,Fußboden::N,муоста,গহতল
343,Tisch::N,остуол,মেজ
344,Tisch::N,остуол,টেবিল
345,Stuhl::N,устуул,চেয়ার
346,Stuhl::N,устуул,কেদারা
347,Wiege::N,биһик,দোলনা
348,Bett::N,кырабаат,শয্যা
349,Regal::N,долбуур,তাক
350,Kiste::N,дьааһык,বাক্স
351,Fenster::N,түннүк,জানালা
352,Tür::N,аан,দ্বার
353,Tor::N,аан,দ্বার
354,Zaun::N,соппулуот,বেড়া
355,Dach::N,кырыыса,ছাদ
356,Leiter::N,кирилиэс,মই
357,Besen::N,миинньик,গুল্মবিশেষ
358,Spaten::N,күрдьэх,কোদাল
359,Schaufel::N,күрдьэх,বেলচা
360,Gabel::N,биилкэ,কাঁটা
361,Löffel::N,луоска,চামচ
362,Messer::N,быһах,ছুরি
363,Nagel::N,тоһоҕо,পেরেক
364,Netz::N,илим,জাল
365,Haken::N,көхө,কাচি
366,Griff::N,ук,হাতল
367,Griff::N,тутаах,হাতল
368,Schloss::N,күлүүс,তালা
369,Bild::N,хартыына,ছবি
370,Bild::N,хартыына,চিত্র
371,Figur::N,фигура,আকার
372,Puppe::N,куукула,পুতুল
373,Beutel::N,мөһөөччук,বটুয়া
374,Bündel::N,баайыы,আঁটি
375,Tasche::N,суумка,থলি
376,Eimer::N,биэдэрэ,বাল্তি
377,Deckel::N,хаппах,আবরণ
378,Geschirr::N,иһит,থালা-বাসন
379,Sack::N,куул,বস্তা
380,Tasse::N,сэлиэнэй,কাপ
381,Topf::N,көстүрүүҥкэ,পাত্র
382,Kessel::N,хочуол,কেটলি
383,Essen::N,аһылык,আহার
384,Nahrung::N,ас,খাদ্য
385,Speise::N,аһылык,খাদ্য
386,Fleisch::N,эт,মাংস
387,Getreide::N,злактар,শস্য
388,Brei::N,хааһы,মণ্ড
389,Brot::N,килиэп,রুটি
390,Scheibe::N,куһуок,ফালি
391,Fett::N,сыа,মেদ
392,Butter::N,арыы,মাখন
393,Öl::N,арыы,তৈল
394,Salz::N,туус,নুন
395,Suppe::N,мин,শুরুয়া
396,Honig::N,мүөт,মধু
397,Milch::N,үүт,দুধ
398,Tee::N,чэй,চা
399,Leder::N,тирии,পাকা চামড়া
400,Wolle::N,түү,পশম
401,Stoff::N,таҥас,বস্ত্র
402,Nadel::N,иннэ,সুচ
403,Faden::N,сап,সূত্র
404,Knopf::N,тимэх,বোতাম
