,Concept_ID,bg,el
173,Klaue::N,нокът,κουλό
174,Kralle::N,нокът,νύχι
175,Schwanz::N,опашка,ουρά
176,Ei::N,яйце,αβγό
177,Nest::N,гнездо,φωλιά
178,Bau::N,дупка,φωλιά
179,Tier::N,животно,ζώο
180,Herde::N,стадо,κοπάδι
181,Kuh::N,крава,αγελάδα
182,Bulle::N,бик,ταύρος
183,Pferd::N,кон,άλογο
184,Schaf::N,овца,πρόβατο
185,Schwein::N,свиня,γουρούνι
186,Hund::N,куче,σκυλί
187,Hund::N,куче,σκύλος
188,Katze::N,котка,γάτα
189,Bär::N,мечка,άρκτος
190,Bär::N,мечка,αρκούδα
191,Eichhörnchen::N,катерица,βερβερίτσα
192,Elch::N,лос,άλκη
193,Fuchs::N,лисица,αλεπού
194,Hase::N,заек,λαγός
195,Maus::N,мишка,ποντικός
196,Wolf::N,вълк,λύκος
197,Vogel::N,птица,πουλί
198,Schwarm::N,рой,σμήνος
199,Schwarm::N,рояк,σμήνος
200,Huhn::N,кокошка,κότα
201,Huhn::N,кокошка,όρνιθα
202,Hahn::N,петел,πετεινός
203,Gans::N,гъска,χήνα
204,Adler::N,орел,αετός
205,Ente::N,патица,πάπια
206,Eule::N,сова,κουκουβάγια
207,Kranich::N,жерав,γερανός
208,Krähe::N,врана,καρακάξα
209,Kuckuck::N,кукувица,κούκος
210,Schwan::N,лебед,κύκνος
211,Fisch::N,риба,ψάρι
212,Barsch::N,костур,πέρκα
213,Hecht::N,щука,λούτσος
214,Schlange[Tier]::N,змия,φίδι
215,Wurm::N,червей,σκουλήκι
216,Spinne::N,паяк,αράχνη
217,Ameise::N,мравка,μυρμήγκι
218,Laus::N,въшка,ψείρα
219,Mücke::N,комар,κουνούπι
220,Fliege::N,муха,μύγα
221,Schmetterling::N,пеперуда,πεταλούδα
222,Beere::N,плод,ρόγα
223,Apfel::N,ябълка,μήλο
224,Pilz::N,гъба,μανιτάρι
225,Zwiebel::N,лук,κρεμμύδι
226,Zwiebel::N,кромид,κρεμμύδι
227,Saat::N,семе,σπόρος
228,Korn::N,зърно,σπυρί
229,Heu::N,сено,σανός
230,Schale::N,кора,τσόφλι
231,Grube::N,яма,λάκκος
232,Grube::N,дупка,λάκκος
233,Falle::N,примка,παγίδα
234,Schlinge::N,клуп,θηλειά
235,Spur::N,диря,ίχνος
236,Spur::N,следа,ίχνος
237,Asche::N,пепел,στάχτη
238,Dreck::N,кал,βρωμιά
239,Eisen::N,желязо,σίδερο
240,Gold::N,злато,μάλαμα
241,Gold::N,злато,χρυσάφι
242,Silber::N,сребро,ασήμι
243,Silber::N,сребро,άργυρος
244,Kohle::N,въглища,κάρβουνο
245,Glas::N,стъкло,γυαλί
246,Lehm::N,глина,πηλός
247,Sand::N,пясък,άμμος
248,Mensch::N,човек,άνθρωπος
249,Mann::N,мъж,άνδρας
250,Frau::N,жена,γυναίκα
251,Kind::N,дете,παιδί
252,Junge::N,момче,αγόρι
253,Mädchen::N,момиче,κοπέλα
254,Mädchen::N,момиче,κορίτσι
255,Familie::N,фамилия,οικογένεια
256,Familie::N,семейство,οικογένεια
257,Großvater::N,дядо,παππούς
258,Großmutter::N,баба,γιαγιά
259,Eltern::N,родители,γονείς
260,Vater::N,баща,πατέρας
261,Mutter::N,майка,μητέρα
262,Sohn::N,син,γιος
263,Tochter::N,дъщеря,κόρη
264,Bruder::N,брат,αδελφός
265,Schwester::N,сестра,αδελφή
266,Onkel::N,чичо,θείος
267,Onkel::N,вуйчо,θείος
268,Tante::N,леля,θεία
269,Ehemann::N,съпруг,σύζυγος
270,Ehefrau::N,съпруга,σύζυγος
271,Freude::N,радост,χαρά
272,Gelächter::N,смях,γέλια
273,Glück::N,щастие,ευτυχία
274,Kummer::N,тъга,έγνοια
275,Wunsch::N,желание,επιθυμία
276,Lust::N,желание,όρεξη
277,Geist::N,дух,πνέυμα
278,Gedanke::N,мисъл,σκέψη
279,Gedächtnis::N,памет,μνήμη
280,Verstand::N,ум,νους
281,Verstand::N,разум,νους
282,Sinn::N,смисъл,νόημα
283,Grund::N,причина,λόγος
284,Wahrheit::N,правда,αλήθεια
285,Gespräch::N,разговор,συνομιλία
286,Märchen::N,приказка,παραμύθι
287,Erzählung::N,разказ,διήγημα
288,Nachricht::N,вест,είδηση
289,Nachricht::N,известие,είδηση
290,Neuigkeit::N,новина,νέο
291,Name::N,име,όνομα
