,Concept_ID,el,az
0,Auge::N,μάτι,göz
1,Auge::N,οφθαλμός,göz
2,Ohr::N,αυτί,qulaq
3,Nase::N,μύτη,burun
4,Mund::N,στόμα,ağız
5,Zahn::N,δόντι,diş
6,Zunge::N,γλώσσα,dil
7,Lippe::N,χείλος,dodaq
8,Wange::N,παρειά,yanaq
9,Wange::N,μάγουλο,yanaq
10,Gesicht::N,πρόσωπο,üz
11,Stirn::N,μέτωπο,alın
12,Haar::N,μαλλιά,saç
13,Schnurrbart::N,μουστάκι,bığ
14,Bart::N,γένια,saqqal
15,Kinn::N,πιγούνι,çənə
16,Kiefer[Anatomie]::N,σαγόνι,çənə
17,Kehle::N,λαρύγγι,boğaz
18,Hals::N,λαιμός,boyun
19,Genick::N,σβέρκος,ənsə
20,Kopf::N,κεφάλι,baş
21,Rücken::N,ράχη,bel
22,Bauch::N,κοιλιά,qarın
23,Nabel::N,αφαλός,göbək
24,Busen::N,στήθος,məmə
25,Brust::N,στήθος,döş
26,Schulter::N,ώμος,çiyin
27,Arm::N,χέρι,qol
28,Arm::N,μπράτςο,qol
29,Ellenbogen::N,αγκώνας,dirsək
30,Hand::N,χέρι,əl
31,Handfläche::N,παλάμη,ovuc
32,Finger::N,δάχτυλο,barmaq
33,Fingernagel::N,νύχι,barmaq dırnağı
34,Nagel[Anatomie]::N,νύχι,dırnak
35,Zeh::N,δάχτυλο του ποδιού,ayaq barmağı
36,Fuß::N,πόδι,ayaq
37,Ferse::N,φτέρνα,daban
38,Knie::N,γόνατο,diz
39,Oberschenkel::N,μηρός,bud
40,Bein::N,πόδι,qıç
41,Körper::N,σώμα,əndam
42,Körper::N,κορμί,əndam
43,Haut::N,πετσί,dəri
44,Blut::N,αίμα,qan
45,Ader::N,φλέβα,damar
46,Sehne::N,νεύρο,vətər
47,Sehne::N,τένοντας,vətər
48,Knochen::N,οστό,sümük
49,Knochen::N,κόκκαλο,sümük
50,Gehirn::N,μυαλό,beyin
51,Gehirn::N,εγκέφαλος,beyin
52,Herz::N,καρδιά,ürək
53,Magen::N,στομάχι,mədə
54,Leber::N,ήπαρ,qara ciyər
