,Concept_ID,la,uk
0,Auge::N,oculus,око
1,Ohr::N,auris,вухо
2,Nase::N,nasus,ніс
3,Mund::N,os,рот
4,Zahn::N,dens,зуб
5,Zunge::N,lingua,язик
6,Lippe::N,labrum,губа
7,Wange::N,gena,щока
8,Gesicht::N,vultus,обличчя
9,Stirn::N,frons,лоб
10,Haar::N,capillus,волосся
11,Schnurrbart::N,barba labri superioris,вуса
12,Bart::N,barba,борода
13,Kinn::N,mentum,підборіддя
14,Kiefer[Anatomie]::N,mala,щелепа
15,Kehle::N,iugulums,горло
16,Hals::N,collum,шия
17,Genick::N,cervices,потилиця
18,Kopf::N,caput,голова
19,Rücken::N,tergum,спина
20,Bauch::N,venter,живіт
21,Nabel::N,umbilicus,пупок
22,Busen::N,sinus,груди
23,Brust::N,pectus,груди
24,Schulter::N,umerus,плече
25,Arm::N,bracchium,рука
26,Ellenbogen::N,cubitum,лікоть
27,Hand::N,manus,рука
28,Handfläche::N,palma,долоня
29,Finger::N,digitus,палець
30,Fingernagel::N,unguiculus,ніготь
31,Nagel[Anatomie]::N,unguis,ніготь
32,Zeh::N,digitus,палець на нозі
33,Fuß::N,pes,нога
34,Ferse::N,calx,п’ятка
35,Knie::N,genu,коліно
36,Oberschenkel::N,femur,стегно
37,Bein::N,crus,нога
38,Körper::N,corpus,тіло
39,Haut::N,cutis,шкіра
40,Haut::N,pellis,шкіра
41,Blut::N,sanguis,кров
42,Ader::N,vena,вена
43,Sehne::N,nervus,сухожилля
44,Knochen::N,os,кістка
45,Gehirn::N,cerebrum,мозок
46,Herz::N,cor,серце
47,Herz::N,animus,серце
48,Magen::N,stomachus,шлунок
49,Leber::N,iecur,печінка
50,Atem::N,spiritus,дихання
51,Hunger::N,fames,голод
52,Träne::N,lacrima,сльоза
53,Geschmack::N,sapor,смак
54,Geschmack::N,gustus,смак
55,Geruch::N,odor,запах
56,Schlaf::N,somnus,сон
57,Schlaf::N,somnus,сплячка
58,Traum::N,somnium,сон
59,Himmel::N,caelum,небо
60,Sonne::N,sol,сонце
61,Mond::N,luna,місяць
62,Stern::N,sidus,зірка
63,Stern::N,stella,зірка
64,Luft::N,aer,повітря
65,Wind::N,ventus,вітер
66,Welle::N,unda,хвиля
67,Wasser::N,aqua,вода
68,Stein::N,lapis,камінь
69,Boden::N,solum,ґрунт
70,Erde::N,terra,земля
71,Staub::N,pulvis,пил
72,Rauch::N,fumus,дим
73,Funke::N,scintilla,іскра
74,Feuer::N,ignis,вогонь
75,Licht::N,lux,світло
76,Licht::N,lumen,світло
77,Schatten::N,umbra,тінь
78,Wetter::N,caelum,погода
79,Wetter::N,tempestas,погода
80,Nebel::N,nebula,туман
81,Wolke::N,nubes,хмара
82,Regen::N,imber,дощ
83,Regen::N,pluvia,дощ
84,Schnee::N,nix,сніг
85,Eis::N,glacies,лід
86,Frost::N,gelu,мороз
87,Kälte::N,frigus,холод
88,Hitze::N,calor,жар
89,Hitze::N,aestus,жар
90,Raureif::N,pruina,іній
91,Regenbogen::N,arcus,райдуга
92,Donner::N,tonitrus,грім
93,Strömung::N,fluctus,струмина
94,Tropfen::N,gutta,крапля
95,Schaum::N,spuma,піна
96,Schmutz::N,sordes,бруд
97,Schmutz::N,squalor,бруд
98,See::N,lacus,озеро
99,Sumpf::N,palus,драговина
100,Moor::N,palus,болото
101,Wiese::N,pratum,луг
102,Wiese::N,pratum,лука
103,Wald::N,silva,ліс
104,Hügel::N,collis,горб
105,Anhöhe::N,specula,височина
106,Berg::N,mons,гора
107,Gipfel::N,vertex,вершина
108,Höhle::N,caverna,печера
109,Höhle::N,spelunca,печера
110,Abhang::N,declivum,схил
111,Quelle::N,fons,джерело
112,Bach::N,rivus,струмок
113,Fluss::N,flumen,річка
114,Ufer::N,ripa,берег
115,Küste::N,litus,узбережжя
116,Festland::N,continens,суша
117,Meer::N,mare,море
118,Bucht::N,sinus,бухта
119,Bucht::N,sinus,затока
120,Insel::N,insula,острів
121,Blume::N,flos,квітка
122,Gras::N,herba,трава
123,Gras::N,gramen,трава
124,Wurzel::N,radix,корінь
125,Baum::N,arbor,дерево
126,Stamm::N,truncus,стовбур
127,Rinde::N,cortex,кора
128,Ast::N,ramus,гілка
129,Zweig::N,ramus,галузь
130,Blatt::N,folium,лист
131,Birke::N,betulla,береза
132,Kiefer[Baum]::N,pinus,сосна
133,Weide[Baum]::N,salix,верба
134,Tanne::N,abies,ялиця
135,Horn::N,cornu,ріг
136,Feder::N,penna,перо
137,Fell::N,pellis,хутро
138,Flügel::N,ala,крило
139,Klaue::N,unguis,кіготь
140,Kralle::N,unguis,лапа
141,Schwanz::N,cauda,хвіст
142,Ei::N,ovum,яйце
143,Nest::N,nidus,гніздо
144,Bau::N,cavum,лігво
145,Bau::N,latibulum,лігво
146,Tier::N,bestia,тварина
147,Herde::N,grex,стадо
148,Kuh::N,vacca,корова
149,Bulle::N,taurus,бик
150,Bulle::N,taurus,бугай
151,Pferd::N,equus,кінь
152,Schaf::N,ovis,вівця
153,Schwein::N,sus,свиня
154,Schwein::N,porcus,свиня
155,Hund::N,canis,собака
156,Katze::N,felis,кішка
157,Bär::N,ursus,ведмідь
158,Eichhörnchen::N,sciurus,білка
159,Elch::N,alces,лось
160,Fuchs::N,vulpes,лисиця
161,Hase::N,lepus,заєць
162,Maus::N,mus,миша
163,Wolf::N,lupus,вовк
164,Vogel::N,avis,птах
165,Schwarm::N,examen,зграя
166,Huhn::N,gallina,курка
167,Hahn::N,gallus,півень
168,Gans::N,anser,гуска
169,Adler::N,aquila,орел
170,Ente::N,anas,качка
171,Eule::N,ulula,сова
172,Eule::N,noctua,сова
173,Kranich::N,grus,журавель
174,Krähe::N,cornix,ворона
175,Kuckuck::N,cuculus,зозуля
176,Schwan::N,olor,лебідь
177,Schwan::N,cycnus,лебідь
178,Fisch::N,piscis,риба
179,Barsch::N,perca,окунь
180,Hecht::N,esox,щука
181,Schlange[Tier]::N,serpens,змія
182,Wurm::N,vermis,черв’як
183,Spinne::N,aranea,павук
184,Ameise::N,formica,мурашка
185,Laus::N,pediculus,воша
186,Mücke::N,culex,комар
187,Fliege::N,musca,муха
188,Schmetterling::N,papilio,метелик
189,Beere::N,baca,ягода
190,Apfel::N,malum,яблуко
191,Pilz::N,fungus,гриб
192,Zwiebel::N,cepa,цибуля
193,Saat::N,seges,сім’я
194,Korn::N,granum,зерно
195,Heu::N,faenum,сіно
196,Schale::N,putamen,шкірка
197,Grube::N,fovea,яма
198,Falle::N,pedica,пастка
199,Schlinge::N,laqueus,петля
200,Spur::N,vestigium,слід
201,Asche::N,cinis,зола
202,Asche::N,cinis,попіл
203,Dreck::N,lutum,бруд
204,Eisen::N,ferrum,залізо
205,Gold::N,aurum,золото
206,Silber::N,argentum,срібло
207,Kohle::N,carbo,вугілля
208,Glas::N,vitrum,скло
209,Lehm::N,lutum,глина
210,Sand::N,arena,пісок
211,Mensch::N,homo,людина
212,Mann::N,vir,чоловік
213,Frau::N,mulier,жінка
214,Kind::N,puer,дитина
215,Kind::N,infans,дитина
216,Junge::N,puer,хлопець
217,Mädchen::N,puella,дівчина
218,Familie::N,familia,сім’я
219,Familie::N,familia,родина
220,Großvater::N,avus,дідусь
221,Großmutter::N,avia,бабуся
222,Eltern::N,parentes,батьки
223,Vater::N,pater,батько
224,Mutter::N,mater,мати
225,Sohn::N,filius,син
226,Tochter::N,filia,дочка
227,Bruder::N,frater,брат
228,Schwester::N,soror,сестра
229,Onkel::N,patruus,дядько
230,Onkel::N,avunculus,дядько
231,Tante::N,amita,тітка
232,Ehemann::N,maritus,чоловік
233,Ehefrau::N,uxor,жінка
234,Ehefrau::N,uxor,дружина
235,Freude::N,gaudium,радощі
236,Freude::N,laetitia,радощі
237,Gelächter::N,risus,сміх
238,Glück::N,felicitas,щастя
239,Kummer::N,aegritudo,горе
240,Wunsch::N,voluntas,бажання
241,Wunsch::N,desiderium,бажання
242,Lust::N,libido,бажання
243,Lust::N,voluptas,бажання
244,Geist::N,mens,дух
245,Geist::N,animus,дух
246,Gedanke::N,sententia,думка
247,Gedächtnis::N,memoria,пам’ять
248,Verstand::N,ratio,розум
249,Verstand::N,ingenium,розум
250,Sinn::N,sensus,зміст
251,Sinn::N,sensus,значення
252,Grund::N,causa,причина
253,Wahrheit::N,veritas,правда
254,Gespräch::N,sermo,розмова
255,Märchen::N,fabula,байка
256,Erzählung::N,fabula,повість
257,Erzählung::N,fabula,оповідання
258,Erzählung::N,narratio,повість
259,Erzählung::N,narratio,оповідання
260,Nachricht::N,nuntius,повідомлення
261,Neuigkeit::N,novitas,новина
262,Name::N,nomen,ім’я
263,Rätsel::N,aenigma,загадка
264,Rede::N,oratio,промова
265,Sprache::N,lingua,мова
266,Stimme::N,vox,голос
267,Wort::N,verbum,слово
268,Wort::N,vocabulum,слово
269,Zeichen::N,signum,знак
270,Ruf::N,clamor,оклик
271,Lärm::N,strepitus,шум
272,Laut::N,sonus,звук
273,Ton::N,sonus,тон
274,Lied::N,carmen,пісня
275,Ruhe::N,quies,спокій
276,Leute::N,homines,люди
277,Volk::N,populus,народ
278,Arbeit::N,labor,робота
279,Gast::N,hospes,гість
280,Gast::N,conviva,гість
281,Geschenk::N,munus,подарунок
282,Spiel::N,ludus,гра
283,Gesellschaft::N,societas,товариство
284,Hilfe::N,auxilium,допомога
285,Hilfe::N,subsidium,допомога
286,Freund::N,amicus,друг
287,Freund::N,amicus,приятель
288,Kamerad::N,socius,товариш
289,Angelegenheit::N,res,справа
290,Anzahl::N,numerus,число
291,Art::N,genus,рід
292,Stück::N,frustum,кусок
293,Stück::N,fragmentum,кусок
294,Teil::N,pars,частина
295,Hälfte::N,dimidium,половина
296,Kreis::N,orbis,круг
297,Kreis::N,orbis,коло
298,Kreis::N,circus,круг
299,Kreis::N,circus,коло
300,Kreuz::N,crux,хрест
301,Linie::N,linea,лінія
302,Strich::N,lineamentum,штрих
303,Abstand::N,intervallum,проміжок
304,Entfernung::N,spatium,відстань
305,Gegend::N,loca,місцевість
306,Gegend::N,regio,місцевість
307,Platz::N,locus,площа
308,Ort::N,locus,місце
309,Seite::N,latus,сторона
310,Mitte::N,medium,середина
311,Gegenstand::N,res,предмет
312,Sache::N,res,річ
313,Rand::N,margo,край
314,Kante::N,angulus,ребро
315,Ecke::N,angulus,ріг
316,Spitze::N,cacumen,кінчик
317,Ende::N,caput,кінець
318,Loch::N,foramen,діра
319,Winkel::N,angulus,куток
320,Muster::N,exemplum,узор
321,Größe::N,magnitudo,розмір
322,Länge::N,longitudo,довжина
323,Höhe::N,altitudo,висота
324,Gewicht::N,pondus,вага
325,Menge::N,copia,кількість
326,Haufen::N,acervus,купа
327,Reihe::N,ordo,ряд
328,Boot::N,navicula,човен
329,Ruder::N,remus,весло
330,Schlitten::N,sclodia,сани
331,Ski::N,narta,лижа
332,Lagerfeuer::N,ignis,вогнище
333,Last::N,onus,тягар
334,Last::N,onus,вантаж
335,Gang::N,cursus,хід
336,Schritt::N,gradus,крок
337,Norden::N,septentriones,північ
338,Süden::N,meridies,південь
339,Westen::N,occidens,захід
340,Osten::N,oriens,схід
341,Holz::N,lignum,дрова
342,Brett::N,tabula,дошка
343,Platte::N,lamina,плита
344,Stütze::N,adminiculum,підпірка
345,Stange::N,pertica,жердина
346,Stock::N,baculum,палиця
347,Stab::N,scipio,палиця
348,Rohr::N,tubus,труба
349,Haus::N,aedes,дім
350,Haus::N,aedes,хата
351,Heim::N,domicilium,житло
352,Ofen::N,fornax,піч
353,Fußboden::N,solum,підлога
354,Tisch::N,mensa,стіл
