,Concept_ID,ce,mn
0,Auge::N,бӏаьрг,нүд
1,Ohr::N,лерг,чих
2,Nase::N,мара,хамар
3,Mund::N,бага,ам
4,Zahn::N,церг,шүд
5,Zunge::N,мотт,хэл
6,Lippe::N,балда,уруул
7,Wange::N,бесни,хацар
8,Gesicht::N,юьхь,царай
9,Gesicht::N,юьхь,нүүр
10,Stirn::N,хьаж,дух
11,Haar::N,мас,үс
12,Schnurrbart::N,мекх,дээд сахал
13,Schnurrbart::N,мекх,живэр сахал
14,Bart::N,маж,сахал
15,Kinn::N,чӏениг,эрүү
16,Kiefer[Anatomie]::N,мочхал,эрүү
17,Kehle::N,къамкъарг,хоолой
18,Hals::N,ворта,хүзүү
19,Genick::N,кӏесаркӏаг,шил
20,Genick::N,кӏесаркӏаг,хүзүү
21,Kopf::N,корта,толгой
22,Rücken::N,букъ,ар
23,Rücken::N,букъ,нуруу
24,Bauch::N,кийра,хэвлий
25,Bauch::N,кийра,гэдэс
26,Nabel::N,цӏонга,хүйс
27,Busen::N,зударийн накха,хөх
28,Brust::N,накха,цээж
29,Schulter::N,белш,мөр
30,Schulter::N,белш,бугалга
31,Arm::N,пхьарс,гар
32,Ellenbogen::N,пхьаьрсан гола,тохой
33,Hand::N,куьг,гар
34,Hand::N,куьг,алга
35,Handfläche::N,кераюкъ,алга
36,Finger::N,пӏелг,хуруу
37,Fingernagel::N,мӏара,хурууны хумс
38,Nagel[Anatomie]::N,мӏара,хумс
39,Zeh::N,кога пӏелг,хуруу
40,Fuß::N,ког,хөл
41,Ferse::N,кӏажа,өсгий
42,Knie::N,гола,өвдөг
43,Oberschenkel::N,варе,гуя
44,Bein::N,ког,хөл
45,Körper::N,хӏума,бие
46,Haut::N,чкъор,арьс
47,Blut::N,цӏий,цус
48,Ader::N,пха,судас
49,Sehne::N,хьорзам,бүлх
50,Sehne::N,хьорзам,шандас
51,Knochen::N,даьӏахк,яс
52,Gehirn::N,хье,тархи
53,Herz::N,дог,зүрх
54,Magen::N,зорх,ходоод
55,Leber::N,доӏах,элэг
56,Atem::N,садеӏар,амьсгаа
57,Hunger::N,мацалла,өлсгөлөн
58,Träne::N,бӏаьрхи,нулимс
59,Geschmack::N,чам,амт
60,Geruch::N,хьожа,үнэр
61,Schlaf::N,наб,нойр
62,Traum::N,гӏан,зүүд
63,Himmel::N,стигал,тэнгэр
64,Himmel::N,стигал,огторгуй
65,Sonne::N,малх,нар
66,Mond::N,бутт,сар
67,Stern::N,седа,од
68,Luft::N,xӏаваъ,агаар
69,Wind::N,мох,салхи
70,Welle::N,тулгӏе,долгио
71,Welle::N,тулгӏе,давалгаа
72,Wasser::N,хи,ус
73,Stein::N,тӏулг,чулуу
74,Boden::N,цӏенкъа,хөрс
75,Erde::N,латта,газар
76,Erde::N,латта,шороо
77,Staub::N,чан,тоос
78,Rauch::N,кӏур,утаа
79,Funke::N,суй,оч
80,Feuer::N,цӏе,гал
81,Licht::N,серло,гэрэл
82,Licht::N,серло,гэгээ
83,Schatten::N,ӏиндагӏ,сүүдэр
84,Wetter::N,хенан хӏоттам,тэнгэр
85,Wetter::N,хенан хӏоттам,цаг уур
86,Nebel::N,дохк,будан
87,Wolke::N,марха,үүл
88,Regen::N,догӏа,бороо
89,Schnee::N,ло,цас
90,Eis::N,ша,мөс
91,Frost::N,шело,хүйт
92,Kälte::N,шело,хүйт
93,Hitze::N,йовхо,халуун
94,Raureif::N,йис,цан
95,Raureif::N,йис,хяруу
96,Regenbogen::N,стелаӏад,солонго
97,Donner::N,ткъес,тэнгэрийн дуу
98,Strömung::N,дӏаэхар,урсгал
99,Strömung::N,дӏасалелар,урсгал
100,Tropfen::N,тӏадам,дусал
101,Schaum::N,чопа,хөөс
102,Schmutz::N,хатт,хир
103,Schmutz::N,хатт,шавхай
104,See::N,ӏам,нуур
105,Sumpf::N,уьшал,намаг
106,Sumpf::N,уьшал,балчиг
107,Moor::N,уьшал,хүлрийн намаг
108,Wiese::N,бай,нуга
109,Wald::N,хьун,ой
110,Hügel::N,гу,болдог
111,Hügel::N,шу,болдог
112,Hügel::N,барз,болдог
113,Anhöhe::N,акъари,гүвээ
