,Concept_ID,be,lt
0,Auge::N,вока,akis
1,Ohr::N,вуха,ausis
2,Nase::N,нос,nosis
3,Mund::N,рот,burna
4,Zahn::N,зуб,dantis
5,Zunge::N,язык,liežuvis
6,Lippe::N,губа,lūpa
7,Wange::N,шчака,žandas
8,Wange::N,шчака,skruostas
9,Gesicht::N,твар,veidas
10,Stirn::N,лоб,kakta
11,Haar::N,волас,plaukai
12,Haar::N,валасы,plaukai
13,Schnurrbart::N,вус,ūsai
14,Schnurrbart::N,вусы,ūsai
15,Bart::N,барада,barzda
16,Kinn::N,падбародак,smakras
17,Kiefer[Anatomie]::N,сківіца,žandikaulis
18,Kehle::N,горла,gerklė
19,Hals::N,шыя,kaklas
20,Genick::N,патыліца,sprandas
21,Kopf::N,галава,galva
22,Rücken::N,спіна,nugara
23,Bauch::N,жывот,pilvas
24,Nabel::N,пупок,bamba
25,Busen::N,грудзі,krūtinė
26,Brust::N,грудзі,krūtis
27,Schulter::N,плячо,petys
28,Arm::N,рука,ranka
29,Ellenbogen::N,локаць,alkūnė
30,Hand::N,кісць,ranka
31,Hand::N,кісць,plaštaka
32,Handfläche::N,далонь,delnas
33,Handfläche::N,далонь,plaštaka
34,Finger::N,палец,pirštas
35,Fingernagel::N,ногаць,nagas
36,Nagel[Anatomie]::N,ногаць,nagas
37,Zeh::N,палец,pirštas
38,Fuß::N,нага,pėda
39,Ferse::N,пята,kulnas
40,Ferse::N,пятка,kulnas
41,Knie::N,калена,kelis
42,Oberschenkel::N,бядро,kulšis
43,Oberschenkel::N,бядро,šlaunis
44,Oberschenkel::N,сцягно,kulšis
45,Oberschenkel::N,сцягно,šlaunis
46,Bein::N,нага,koja
47,Körper::N,цела,kūnas
48,Haut::N,скура,oda
49,Blut::N,кроў,kraujas
50,Ader::N,вена,kraujagyslė
51,Ader::N,сасуд,kraujagyslė
52,Sehne::N,жыла,sausgyslė
53,Sehne::N,цеціва,sausgyslė
54,Sehne::N,сухажылле,sausgyslė
55,Knochen::N,косць,kaulas
56,Gehirn::N,мозг,smegenys
57,Herz::N,сэрца,širdis
58,Magen::N,страўнік,skrandis
59,Leber::N,печань,kepenys
60,Atem::N,дыханне,kvapas
61,Hunger::N,голад,badas
62,Hunger::N,голад,alkis
63,Träne::N,сляза,ašara
64,Geschmack::N,смак,skonis
65,Geruch::N,пах,kvapas
66,Schlaf::N,сон,miegas
67,Traum::N,сон,sapnas
68,Himmel::N,неба,dangus
69,Sonne::N,сонца,saulė
70,Mond::N,месяц,mėnulis
71,Stern::N,зорка,žvaigždė
72,Luft::N,паветра,oras
73,Wind::N,вецер,vėjas
74,Welle::N,хваля,banga
75,Welle::N,хваля,vilnis
76,Wasser::N,вада,vanduo
77,Stein::N,камень,akmuo
78,Boden::N,глеба,žemė
79,Boden::N,глеба,dugnas
80,Erde::N,зямля,žemė
81,Staub::N,пыл,dulkės
82,Rauch::N,дым,dūmai
83,Funke::N,іскра,kibirkštis
84,Feuer::N,агонь,ugnis
85,Licht::N,святло,šviesa
86,Schatten::N,цень,paūksmė
87,Wetter::N,пагода,oras
88,Wetter::N,надворʼе,oras
89,Nebel::N,туман,migla
90,Nebel::N,туман,rūkas
91,Wolke::N,воблака,debesis
92,Regen::N,дождж,lietus
93,Schnee::N,снег,sniegas
94,Eis::N,лёд,ledas
95,Frost::N,мароз,šalna
96,Kälte::N,холад,šaltis
97,Hitze::N,спёка,karštis
98,Raureif::N,іней,šerkšnas
99,Regenbogen::N,вясёлка,vaivorykštė
100,Donner::N,гром,perkūnas
101,Donner::N,гром,griaustinis
102,Strömung::N,цячэнне,tėkmė
103,Tropfen::N,кропля,lašas
104,Schaum::N,пена,putos
105,Schmutz::N,гразь,purvas
106,See::N,возера,ežeras
107,Sumpf::N,багна,klampynė
108,Sumpf::N,багна,liūnas
109,Moor::N,балота,pelkė
110,Wiese::N,луг,pieva
111,Wald::N,лес,miškas
112,Hügel::N,узгорак,kalva
113,Anhöhe::N,узвышша,kauburys
114,Berg::N,гара,kalnas
115,Gipfel::N,вяршыня,viršūnė
116,Höhle::N,пячора,ola
117,Abhang::N,схіл,šlaitas
118,Abhang::N,схіл,nuokalnė
119,Quelle::N,крыніца,versmė
120,Quelle::N,крыніца,šaltinis
121,Bach::N,ручай,upelis
122,Fluss::N,рака,upė
123,Ufer::N,бераг,krantas
124,Küste::N,узбярэжжа,pajūris
125,Festland::N,суша,sausuma
126,Meer::N,мора,jūra
127,Bucht::N,бухта,įlanka
128,Bucht::N,бухта,užutekis
129,Insel::N,востраў,sala
130,Blume::N,кветка,gėlė
131,Gras::N,трава,žolė
132,Wurzel::N,корань,šaknis
133,Baum::N,дрэва,medis
134,Stamm::N,ствол,kamienas
135,Rinde::N,кара,žievė
136,Ast::N,сук,šaka
137,Zweig::N,галіна,šakelė
138,Blatt::N,ліст,lapas
139,Birke::N,бяроза,beržas
140,Kiefer[Baum]::N,хвоя,pušis
141,Kiefer[Baum]::N,сасна,pušis
142,Weide[Baum]::N,вярба,karklas
143,Tanne::N,яліна,eglė
144,Tanne::N,яліна,kėnis
145,Horn::N,рог,ragas
146,Feder::N,пяро,plunksna
147,Fell::N,шкура,kailis
148,Flügel::N,крыло,sparnas
149,Klaue::N,кіпцюр,kanopa
150,Kralle::N,лапа,nagas
151,Schwanz::N,хвост,uodega
152,Ei::N,яйка,kiaušinis
153,Nest::N,гняздо,gūžta
154,Nest::N,гняздо,lizdas
155,Bau::N,нара,ola
156,Tier::N,жывёла,gyvūnas
157,Herde::N,статак,banda
158,Herde::N,статак,kaimenė
159,Kuh::N,карова,karvė
160,Bulle::N,бык,bulius
161,Pferd::N,конь,arklys
162,Schaf::N,авечка,avis
163,Schwein::N,свіння,kiaulė
164,Hund::N,сабака,šuo
165,Katze::N,кошка,katė
166,Bär::N,мядзведзь,lokys
167,Eichhörnchen::N,вавёрка,voveraitė
168,Elch::N,лось,briedis
169,Fuchs::N,ліса,lapė
170,Hase::N,заяц,kiškas
171,Maus::N,мыш,pelė
172,Wolf::N,воўк,vilkas
173,Vogel::N,птах,paukštis
174,Vogel::N,птушка,paukštis
175,Schwarm::N,чарада,spiečius
176,Huhn::N,курыца,višta
177,Hahn::N,певень,gaidys
178,Gans::N,гусь,žąsis
179,Adler::N,арол,erelis
180,Ente::N,качка,antis
181,Eule::N,сава,pelėda
182,Kranich::N,жораў,gervė
183,Kranich::N,журавель,gervė
184,Krähe::N,варона,varna
185,Kuckuck::N,зязюля,gegužė
186,Schwan::N,лебедзь,gulbė
187,Fisch::N,рыба,žuvis
188,Barsch::N,акунь,ešerys
189,Hecht::N,шчупак,lydeka
190,Schlange[Tier]::N,змяя,gyvatė
191,Wurm::N,чарвяк,kirmėlė
192,Spinne::N,павук,voras
193,Ameise::N,мурашка,skruzdė
194,Laus::N,вош,utėlė
195,Mücke::N,камар,uodas
196,Fliege::N,муха,musė
197,Schmetterling::N,матыль,drugys
198,Schmetterling::N,матыль,peteliškė
199,Beere::N,ягада,uoga
200,Apfel::N,яблык,obuolys
201,Pilz::N,грыб,grybas
202,Zwiebel::N,цыбуля,svogūnas
203,Saat::N,семя,sėkla
204,Korn::N,зерне,grūdai
205,Heu::N,сена,šienas
206,Schale::N,шалупінне,žievelė
207,Grube::N,яма,duobė
208,Falle::N,пастка,pinklės
209,Falle::N,пастка,žabangai
210,Schlinge::N,сіло,kilpa
211,Spur::N,след,vėžė
212,Spur::N,след,pėdos
213,Spur::N,след,pėdsakas
214,Asche::N,попел,pelenai
215,Dreck::N,бруд,purvas
216,Eisen::N,жалеза,geležis
217,Gold::N,золата,auksas
218,Silber::N,сребра,sidabras
219,Kohle::N,вугаль,anglis
220,Glas::N,шкло,stiklas
221,Lehm::N,гліна,molis
222,Sand::N,пясок,smėlis
223,Mensch::N,чалавек,žmogus
224,Mann::N,мужчына,vyras
225,Mann::N,мужчына,vyriškis
226,Frau::N,жанчына,moteris
227,Kind::N,дзіця,vaikas
228,Junge::N,хлопчык,vaikinas
229,Junge::N,хлопчык,berniukas
230,Mädchen::N,дзяўчынка,mergytė
231,Mädchen::N,дзяўчынка,mergaitė
232,Familie::N,сямʼя,šeima
233,Großvater::N,дзядуля,senelis
234,Großmutter::N,бабуля,senelė
235,Eltern::N,бацькі,tėvai
236,Vater::N,бацька,tėvas
237,Mutter::N,маці,motina
238,Sohn::N,сын,sūnus
239,Tochter::N,дачка,duktė
240,Bruder::N,брат,brolis
241,Schwester::N,сястра,sesuo
242,Onkel::N,дзядзька,dėdė
243,Tante::N,цётка,teta
244,Ehemann::N,муж,vyras
245,Ehefrau::N,жонка,žmona
246,Freude::N,радасць,džiaugsmas
247,Gelächter::N,смех,juokas
248,Glück::N,шчасце,laimė
249,Kummer::N,гора,vargas
250,Kummer::N,гора,rūpestis
251,Wunsch::N,жаданне,troškimas
252,Wunsch::N,жаданне,pageidavimas
253,Lust::N,цяга,noras
254,Lust::N,цяга,geidulys
255,Geist::N,дух,dvasia
256,Gedanke::N,думка,mintis
257,Gedächtnis::N,памяць,atmintis
258,Verstand::N,розум,protas
259,Sinn::N,сэнс,prasmė
260,Grund::N,зачэпка,priežastis
261,Wahrheit::N,праўда,tiesa
262,Wahrheit::N,праўда,teisybė
263,Gespräch::N,размова,pokalbis
264,Märchen::N,казка,pasaka
265,Erzählung::N,расказ,apsakymas
266,Erzählung::N,расказ,pasakojimas
267,Erzählung::N,апавяданне,apsakymas
268,Erzählung::N,апавяданне,pasakojimas
269,Nachricht::N,вестка,žinia
270,Nachricht::N,паведамленне,žinia
271,Neuigkeit::N,навіна,naujiena
272,Name::N,імя,vardas
273,Rätsel::N,загадка,mįslė
274,Rede::N,прамова,kalba
275,Sprache::N,мова,kalba
276,Stimme::N,голас,balsas
277,Wort::N,слова,žodis
278,Zeichen::N,знак,žymė
279,Zeichen::N,знак,ženklas
280,Ruf::N,кліч,šauksmas
281,Lärm::N,шум,triukšmas
282,Laut::N,гук,garsas
283,Ton::N,гучанне,tonas
284,Ton::N,гучанне,garsas
285,Lied::N,песня,daina
286,Lied::N,песня,giesmė
287,Ruhe::N,спакой,ramybė
288,Ruhe::N,спакой,ramumas
289,Leute::N,людзі,žmonės
290,Volk::N,народ,tauta
291,Arbeit::N,праца,darbas
292,Arbeit::N,праца,triūsas
293,Arbeit::N,работа,darbas
294,Arbeit::N,работа,triūsas
295,Gast::N,госць,svečias
296,Geschenk::N,падарунак,dovana
297,Spiel::N,гульня,žaismas
298,Spiel::N,гульня,žaidimas
299,Gesellschaft::N,таварыства,draugija
300,Gesellschaft::N,таварыства,kompanija
301,Hilfe::N,дапамога,pagalba
302,Freund::N,друг,draugas
303,Freund::N,друг,bičiulis
304,Freund::N,сябар,draugas
305,Freund::N,сябар,bičiulis
306,Kamerad::N,прыяцель,draugas
307,Angelegenheit::N,справа,dalykas
308,Angelegenheit::N,справа,reikalas
309,Anzahl::N,колькасць,kiekis
310,Anzahl::N,колькасць,skaičius
311,Art::N,від,rūšis
312,Stück::N,кусок,gabalas
313,Stück::N,кавалак,gabalas
314,Teil::N,частка,dalis
315,Hälfte::N,палова,pusė
316,Hälfte::N,палавіна,pusė
317,Kreis::N,круг,ratas
318,Kreis::N,круг,apskritis
319,Kreis::N,круг,apskritimas
320,Kreuz::N,крыж,kryžius
321,Linie::N,лінія,linija
322,Strich::N,рыса,brėžis
323,Strich::N,рыса,brūkšnys
324,Abstand::N,прамежак,atstumas
325,Entfernung::N,адлегласць,atstumas
326,Gegend::N,мясцовасць,vietovė
327,Platz::N,месца,vieta
328,Ort::N,месца,vieta
329,Ort::N,месца,vietovė
330,Seite::N,бок,pusė
331,Seite::N,бок,šonas
332,Mitte::N,сярэдзіна,vidurys
333,Gegenstand::N,прадмет,dalykas
334,Sache::N,рэч,daiktas
335,Rand::N,край,kraštas
336,Rand::N,край,pakraštys
337,Kante::N,руб,kraštas
338,Kante::N,кант,kraštas
339,Ecke::N,вугал,kertė
340,Ecke::N,вугал,kampas
341,Spitze::N,кончык,priekis
342,Spitze::N,кончык,priešakys
343,Ende::N,канец,galas
344,Loch::N,дзірка,skylė
345,Winkel::N,вугал,kampas
346,Winkel::N,вугал,kampelis
347,Muster::N,узор,raštas
348,Größe::N,памер,dydis
349,Größe::N,памер,didumas
350,Länge::N,даўжыня,ilgis
351,Länge::N,даўжыня,ilgumas
352,Höhe::N,вышыня,aukštis
353,Höhe::N,вышыня,aukštuma
354,Gewicht::N,вага,svoris
355,Gewicht::N,вага,svarstis
356,Menge::N,колькасць,kiekis
