,Concept_ID,nl,eu
0,Auge::N,oog,begi
1,Ohr::N,oor,belarri
2,Nase::N,neus,sudur
3,Mund::N,mond,aho
4,Zahn::N,tand,hortz
5,Zunge::N,tong,mihi
6,Lippe::N,lip,ezpain
7,Wange::N,wang,masail
8,Gesicht::N,gelaat,aurpegi
9,Gesicht::N,gezicht,aurpegi
10,Stirn::N,voorhoofd,bekoki
11,Haar::N,haar,ile
12,Haar::N,haar,bilo
13,Schnurrbart::N,snor,bibote
14,Schnurrbart::N,snor,sudurpeko
15,Bart::N,baard,bizar
16,Kinn::N,kin,kokots
17,Kiefer[Anatomie]::N,kaak,masailezur
18,Kehle::N,keel,eztarri
19,Kehle::N,strot,eztarri
20,Hals::N,hals,sama
21,Genick::N,nek,garondo
22,Kopf::N,hoofd,buru
23,Rücken::N,rug,bizkar
24,Bauch::N,buik,sabel
25,Nabel::N,navel,zilbor
26,Busen::N,boezem,titi
27,Busen::N,boezem,ugatz
28,Brust::N,borst,bular
29,Schulter::N,schouder,besaburu
30,Arm::N,arm,beso
31,Ellenbogen::N,elleboog,ukondo
32,Hand::N,hand,esku
33,Handfläche::N,handpalm,ahur
34,Finger::N,vinger,hatz
35,Fingernagel::N,nagel,azazkal
36,Nagel[Anatomie]::N,nagel,azazkal
37,Zeh::N,teen,behatz
38,Fuß::N,voet,oin
39,Ferse::N,hak,orpo
40,Ferse::N,hak,oinburu
41,Ferse::N,hiel,orpo
42,Ferse::N,hiel,oinburu
43,Knie::N,knie,belaun
44,Oberschenkel::N,dij,izter
45,Bein::N,been,zango
46,Körper::N,lichaam,soin
47,Haut::N,huid,azal
48,Blut::N,bloed,odol
49,Ader::N,ader,zain
50,Sehne::N,pees,gihar-zain
51,Knochen::N,bot,hezur
52,Knochen::N,been,hezur
53,Knochen::N,knook,hezur
54,Gehirn::N,hersenen,garun
55,Gehirn::N,hersenen,burmuin
56,Herz::N,hart,bihotz
57,Magen::N,maag,urdail
58,Leber::N,lever,gibel
59,Atem::N,adem,hats
60,Atem::N,adem,arnasa
61,Hunger::N,honger,gose
62,Träne::N,traan,malko
63,Geschmack::N,smaak,dasta
64,Geruch::N,geur,usain
65,Schlaf::N,slaap,lo
66,Traum::N,droom,amets
67,Himmel::N,hemel,zeru
68,Sonne::N,zon,eguzki
69,Mond::N,maan,ilargi
70,Stern::N,ster,izar
71,Luft::N,lucht,aire
72,Wind::N,wind,haize
73,Welle::N,golf,uhin
74,Welle::N,golf,olatu
75,Wasser::N,water,ur
76,Stein::N,steen,harri
77,Boden::N,grond,lur
78,Boden::N,grond,zoru
79,Erde::N,aarde,lur
80,Staub::N,stof,hauts
81,Rauch::N,rook,ke
82,Funke::N,vonk,zirta
83,Funke::N,vonk,txinparta
84,Feuer::N,vuur,su
85,Licht::N,licht,argi
86,Schatten::N,schaduw,itzal
87,Schatten::N,schaduw,geriza
88,Wetter::N,weer,eguraldi
89,Nebel::N,mist,laino
90,Nebel::N,nevel,laino
91,Wolke::N,wolk,hodei
92,Regen::N,regen,euri
93,Schnee::N,sneeuw,elur
94,Eis::N,ijs,horma
95,Frost::N,vorst,izotzaldi
96,Kälte::N,kou,hotz
97,Kälte::N,koude,hotz
98,Hitze::N,hitte,bero
99,Raureif::N,rijp,antzigar
100,Regenbogen::N,regenboog,ostadar
