,Concept_ID,ga,zh
0,Auge::N,súil,眼睛
1,Ohr::N,cluas,耳朵
2,Nase::N,soc,鼻子
3,Mund::N,béal,嘴
4,Zahn::N,fiacail,牙齿
5,Zunge::N,teanga,舌头
6,Lippe::N,liopa,嘴唇
7,Wange::N,grua,面颊
8,Wange::N,leiceann,面颊
9,Gesicht::N,éadan,脸
10,Gesicht::N,aghaidh,脸
11,Stirn::N,baithis,额
12,Stirn::N,clár éadain,额
13,Haar::N,gruaig,头发
14,Schnurrbart::N,croiméal,髭须
15,Bart::N,féasóg,胡子
16,Kinn::N,smig,下巴
17,Kiefer[Anatomie]::N,giall,颌
18,Kehle::N,scornach,嗓子
19,Hals::N,muinéal,颈
20,Genick::N,baic,后颈
21,Kopf::N,ceann,头
22,Rücken::N,droim,背
23,Bauch::N,bolg,肚子
24,Nabel::N,imleacán,肚脐
25,Busen::N,cíoch,胸脯
26,Brust::N,brollach,胸
27,Schulter::N,gualainn,肩膀
28,Arm::N,lámh,臂膀
29,Ellenbogen::N,uillinn,肘
30,Hand::N,lámh,手
31,Handfläche::N,bos,手掌
32,Finger::N,méar,手指
33,Fingernagel::N,ionga,指甲
34,Nagel[Anatomie]::N,ionga,指甲
35,Zeh::N,ladhar,脚趾
36,Fuß::N,cos,脚
37,Fuß::N,troigh,脚
38,Ferse::N,sáil,后跟
39,Knie::N,glúin,膝
40,Oberschenkel::N,ceathrú,大腿
41,Bein::N,cos,腿
42,Körper::N,corp,身体
43,Körper::N,colainn,身体
44,Haut::N,cneas,皮肤
45,Haut::N,craiceann,皮肤
46,Blut::N,fuil,血
47,Sehne::N,teannán,腱
48,Sehne::N,féitheog,腱
49,Knochen::N,cnámh,骨
50,Gehirn::N,inchinn,脑
51,Herz::N,croí,心
52,Magen::N,bolg,胃
53,Magen::N,goile,胃
54,Leber::N,ae,肝
55,Atem::N,anáil,呼吸
56,Hunger::N,ocras,饿
57,Träne::N,deoir,眼泪
58,Geschmack::N,blas,味道
59,Geruch::N,boladh,气味
60,Schlaf::N,suan,睡眠
61,Schlaf::N,codladh,睡眠
62,Traum::N,taibhreamh,梦
63,Himmel::N,spéir,天空
64,Sonne::N,grian,太阳
65,Mond::N,ré,月亮
66,Mond::N,gealach,月亮
67,Stern::N,rinn,星
68,Stern::N,réalta,星
69,Luft::N,aer,空气
70,Wind::N,gaoth,风
71,Welle::N,tonn,波
72,Wasser::N,uisce,水
73,Stein::N,cloch,石头
74,Boden::N,talamh,地面
75,Erde::N,cré,地
76,Erde::N,ithir,地
77,Staub::N,dusta,灰尘
78,Staub::N,deannach,灰尘
79,Rauch::N,toit,烟
