,Concept_ID,de,hy
851,sich beeilen::V,sich beeilen,շտապել 
852,sausen::V,sausen,սլանալ
853,rennen::V,rennen,վազել
854,springen::V,springen,ցատկել
855,klettern::V,klettern,մագլցել
856,schaukeln::V,schaukeln,ճոճվել
857,schaukeln::V,schaukeln,օրորվել
858,kriechen::V,kriechen,սողալ
859,schwimmen::V,schwimmen,լողալ
860,tauchen::V,tauchen,սուզվել
861,rudern::V,rudern,թիավարել
862,fahren::V,fahren,ընթանալ
863,fliegen::V,fliegen,թռչել
864,gehen::V,gehen,գնալ
865,weggehen::V,weggehen,հեռանալ
866,abfahren::V,abfahren,ճանապարհվել
867,anhalten::V,anhalten,կանգնել
868,hineingehen::V,hineingehen,մտնել
869,eintreten::V,eintreten,մտնել
870,kommen::V,kommen,գալ
871,ankommen::V,ankommen,ժամանել
872,zurückkommen::V,zurückkommen,վերադառնալ
873,bleiben::V,bleiben,մնալ
874,warten::V,warten,սպասել
875,erwarten::V,erwarten,սպասել
876,suchen::V,suchen,որոնել
877,finden::V,finden,գտնել
878,versuchen::V,versuchen,փորձել
879,vorbereiten::V,vorbereiten,պատրաստել
880,lieben::V,lieben,սիրել
881,mögen::V,mögen,հավանել
882,mögen::V,mögen,սիրել
883,lachen::V,lachen,ծիծաղել
884,rühren::V,rühren,հուզել
885,weinen::V,weinen,լալ
886,schimpfen::V,schimpfen,տրտնջալ
887,schimpfen::V,schimpfen,քրթմնջել
888,sich ärgern::V,sich ärgern,զայրանալ
889,sich fürchten::V,sich fürchten,վախնալ
890,fürchten::V,fürchten,վախենալ
891,fliehen::V,fliehen,փախչել
892,flüchten::V,flüchten,փախչել
893,sehen::V,sehen,տեսնել
894,anschauen::V,anschauen,դիտել
895,ansehen::V,ansehen,նայել
896,hören::V,hören,լսել
897,zuhören::V,zuhören,ունկնդրել
898,probieren::V,probieren,համը տեսել
899,riechen::V,riechen,հոտ առնել
900,fühlen::V,fühlen,զգալ
901,scheinen::V,scheinen,երեւալ
902,zu sehen sein::V,zu sehen sein,երեւալ
903,vernehmen::V,vernehmen,իմանալ 
904,frieren::V,frieren,մրսել
905,tun::V,tun,անել
906,können::V,können,կարողանալ
907,wollen::V,wollen,ուզել
908,wollen::V,wollen,ցանկանալ
909,anfangen::V,anfangen,սկսել
