,Concept_ID,ce,lt
150,Tier::N,дийнат,gyvūnas
151,Herde::N,жа,banda
152,Herde::N,жа,kaimenė
153,Kuh::N,етт,karvė
154,Bulle::N,сту,bulius
155,Pferd::N,говр,arklys
156,Schaf::N,жий,avis
157,Schaf::N,уьстагӏ,avis
158,Schwein::N,хьакха,kiaulė
159,Hund::N,жӏаьла,šuo
160,Katze::N,цициг,katė
161,Bär::N,ча,lokys
162,Eichhörnchen::N,тарсал,voveraitė
163,Elch::N,сай,briedis
164,Fuchs::N,цхьогал,lapė
165,Hase::N,пхьагал,kiškas
166,Maus::N,дахка,pelė
167,Wolf::N,борз,vilkas
168,Vogel::N,олхазар,paukštis
169,Huhn::N,котам,višta
170,Hahn::N,нӏаьна,gaidys
171,Hahn::N,боргӏал,gaidys
172,Gans::N,гӏаз,žąsis
173,Adler::N,aьрзу,erelis
174,Ente::N,бад,antis
175,Eule::N,бухӏа,pelėda
176,Kranich::N,гӏаргӏули,gervė
177,Krähe::N,къиг,varna
178,Kuckuck::N,aттйокх,gegužė
179,Schwan::N,гӏургӏаз,gulbė
180,Fisch::N,чӏара,žuvis
181,Barsch::N,окунь,ešerys
182,Hecht::N,гӏазкхийн чӏара,lydeka
183,Schlange[Tier]::N,лаьхьа,gyvatė
184,Wurm::N,нӏаьна,kirmėlė
185,Spinne::N,гезг,voras
186,Ameise::N,зингат,skruzdė
187,Laus::N,меза,utėlė
188,Laus::N,гӏениг,utėlė
189,Mücke::N,чуьрк,uodas
190,Fliege::N,моза,musė
191,Schmetterling::N,полла,drugys
192,Schmetterling::N,полла,peteliškė
193,Beere::N,цӏазам,uoga
194,Apfel::N,ӏаж,obuolys
195,Pilz::N,жӏаьлин нускал,grybas
196,Zwiebel::N,xох,svogūnas
197,Saat::N,чlу,sėkla
198,Korn::N,буьртиг,grūdai
199,Heu::N,йол,šienas
200,Schale::N,пардо,žievelė
201,Grube::N,ор,duobė
202,Falle::N,кӏело,pinklės
203,Falle::N,кӏело,žabangai
204,Spur::N,лар,vėžė
205,Spur::N,лар,pėdos
206,Spur::N,лар,pėdsakas
207,Asche::N,чим,pelenai
208,Dreck::N,мода,purvas
209,Eisen::N,эчиг,geležis
210,Gold::N,деши,auksas
211,Silber::N,дети,sidabras
212,Kohle::N,кӏора,anglis
213,Glas::N,aнгали,stiklas
214,Lehm::N,поппар,molis
215,Sand::N,гӏум,smėlis
216,Mensch::N,адам,žmogus
217,Mann::N,майра,vyras
218,Mann::N,майра,vyriškis
219,Frau::N,зуда,moteris
220,Kind::N,бер,vaikas
221,Junge::N,жимха,vaikinas
222,Junge::N,жимха,berniukas
223,Mädchen::N,жима йоӏ,mergytė
224,Mädchen::N,жима йоӏ,mergaitė
225,Familie::N,доьзал,šeima
226,Großvater::N,ненада,senelis
227,Großmutter::N,денана,senelė
228,Eltern::N,да-нана,tėvai
229,Vater::N,да,tėvas
230,Mutter::N,нана,motina
231,Sohn::N,кӏант,sūnus
232,Tochter::N,йоӏ,duktė
233,Bruder::N,ваша,brolis
234,Schwester::N,йиша,sesuo
235,Onkel::N,деваша,dėdė
