,Concept_ID,ru,la
0,Auge::N,глаз,oculus
1,Ohr::N,ухо,auris
2,Nase::N,нос,nasus
3,Mund::N,рот,os
4,Zahn::N,зуб,dens
5,Zunge::N,язык,lingua
6,Lippe::N,губа,labrum
7,Wange::N,щека,gena
8,Gesicht::N,лицо,vultus
9,Stirn::N,лоб,frons
10,Haar::N,волос,capillus
11,Haar::N,волосы,capillus
12,Schnurrbart::N,ус,barba labri superioris
13,Schnurrbart::N,усы,barba labri superioris
14,Bart::N,борода,barba
15,Kinn::N,подбородок,mentum
16,Kiefer[Anatomie]::N,челюсть,mala
17,Kehle::N,горло,iugulums
18,Hals::N,шея,collum
19,Genick::N,затылок,cervices
20,Kopf::N,голова,caput
21,Rücken::N,спина,tergum
22,Bauch::N,живот,venter
23,Nabel::N,пупок,umbilicus
24,Busen::N,женская грудь,sinus
25,Brust::N,грудь,pectus
26,Schulter::N,плечо,umerus
27,Arm::N,рука,bracchium
28,Ellenbogen::N,локоть,cubitum
29,Hand::N,кисть,manus
30,Handfläche::N,ладонь,palma
31,Finger::N,палец,digitus
32,Fingernagel::N,ноготь,unguiculus
33,Nagel[Anatomie]::N,ноготь,unguis
34,Zeh::N,палец,digitus
35,Fuß::N,ступня,pes
36,Ferse::N,пята,calx
37,Ferse::N,пятка,calx
38,Knie::N,колено,genu
39,Oberschenkel::N,бедро,femur
40,Bein::N,нога,crus
41,Körper::N,тело,corpus
42,Haut::N,кожа,cutis
43,Haut::N,кожа,pellis
44,Blut::N,кровь,sanguis
45,Ader::N,вена,vena
46,Ader::N,сосуд,vena
47,Sehne::N,жила,nervus
48,Sehne::N,тетива,nervus
49,Sehne::N,сухожилие,nervus
50,Knochen::N,кость,os
51,Gehirn::N,мозг,cerebrum
52,Herz::N,сердце,cor
53,Herz::N,сердце,animus
54,Magen::N,желудок,stomachus
55,Leber::N,печень,iecur
56,Atem::N,дух,spiritus
57,Atem::N,дыхание,spiritus
58,Hunger::N,голод,fames
59,Träne::N,слеза,lacrima
60,Geschmack::N,вкус,sapor
61,Geschmack::N,вкус,gustus
62,Geruch::N,запах,odor
63,Schlaf::N,сон,somnus
64,Traum::N,сновидение,somnium
65,Himmel::N,небо,caelum
66,Sonne::N,солнце,sol
67,Mond::N,луна,luna
68,Stern::N,звезда,sidus
