,Concept_ID,hi,ar
0,Auge::N,आँख,عين
1,Auge::N,चक्षु,عين
2,Ohr::N,कान,أذن
3,Ohr::N,कर्ण,أذن
4,Nase::N,नाक,أنف
5,Nase::N,नासा,أنف
6,Mund::N,मुख,فم
7,Mund::N,मुँह,فم
8,Zahn::N,दंत,سن
9,Zahn::N,दाँत,سن
10,Zunge::N,जीभ,لسان
11,Zunge::N,ज़बान,لسان
12,Zunge::N,जिह्वा,لسان
13,Lippe::N,ओंठ,شفة
14,Lippe::N,होंठ,شفة
15,Wange::N,गाल,خد
16,Wange::N,गाल,وجنة
17,Wange::N,कपोल,خد
18,Wange::N,कपोल,وجنة
19,Gesicht::N,मुँह,وجه
20,Gesicht::N,चेहरा,وجه
21,Stirn::N,माथा,جبين
22,Stirn::N,मस्तक,جبين
23,Haar::N,बाल,شعر
24,Schnurrbart::N,मूँछें,شارب
25,Bart::N,दाढ़ी,لحية
26,Kinn::N,चिबुक,ذقن
27,Kiefer[Anatomie]::N,जबड़ा,فك
28,Kehle::N,गला,حلق
29,Hals::N,गला,عنق
30,Hals::N,गला,رقبة
31,Hals::N,गरदन,عنق
32,Hals::N,गरदन,رقبة
33,Genick::N,गरदन,قفا
34,Genick::N,ग्रीवा,قفا
35,Kopf::N,सिर,رأس
36,Kopf::N,शीर्ष,رأس
37,Rücken::N,पीठ,ظهر
38,Bauch::N,उदर,بطن
39,Nabel::N,नाभि,سرة
40,Nabel::N,ढोंढी,سرة
41,Busen::N,कुच,ثدي
42,Busen::N,स्तन,ثدي
43,Brust::N,वक्ष,صدر
44,Schulter::N,कंधा,كتف
45,Schulter::N,स्कंध,كتف
46,Arm::N,बाँह,ذراع
47,Arm::N,बाज़ू,ذراع
48,Ellenbogen::N,कुहनी,كوع
49,Hand::N,हाथ,يد
50,Hand::N,हस्त,يد
51,Handfläche::N,हथेली,كف
52,Finger::N,उँगली,إصبع
53,Finger::N,अँगुली,إصبع
54,Fingernagel::N,नख,ظفر
55,Fingernagel::N,नाख़ून,ظفر
56,Nagel[Anatomie]::N,नख,ظفر
57,Nagel[Anatomie]::N,नाख़ून,ظفر
58,Zeh::N,उँगली,إصبع القدم
59,Zeh::N,पाँव की उँगली,إصبع القدم
60,Fuß::N,चरण,قدم
61,Fuß::N,पाँव,قدم
62,Ferse::N,एड़ी,كعب
63,Knie::N,जानु,ركبة
64,Knie::N,घुटना,ركبة
65,Oberschenkel::N,उरु,فخذ
66,Bein::N,टाँग,ساق
67,Körper::N,तन,جسم
68,Körper::N,देह,جسم
69,Körper::N,शरीर,جسم
70,Haut::N,चर्म,بشرة
71,Haut::N,त्वचा,بشرة
72,Blut::N,लहू,دم
73,Blut::N,ख़ून,دم
74,Ader::N,रग,عرق
75,Ader::N,शिरा,عرق
76,Sehne::N,कंडरा,طنب
77,Sehne::N,स्नायु,طنب
78,Knochen::N,अस्थि,عظم
79,Gehirn::N,दिमाग़,دماغ
80,Gehirn::N,मस्तिष्क,دماغ
81,Herz::N,दिल,قلب
82,Herz::N,हृदय,قلب
83,Magen::N,मेदा,معدة
84,Magen::N,अमाशय,معدة
85,Leber::N,जिगर,كبد
86,Leber::N,यकृत्,كبد
87,Atem::N,दम,نفس
88,Atem::N,साँस,نفس
89,Atem::N,श्वास,نفس
90,Hunger::N,भूख,جوع
91,Hunger::N,क्षुधा,جوع
92,Träne::N,आँसू,دمعة
93,Träne::N,अश्रु,دمعة
94,Geschmack::N,स्वाद,طعم
95,Geschmack::N,स्वाद,مذاق
96,Geschmack::N,ज़ायक़ा,طعم
97,Geschmack::N,ज़ायक़ा,مذاق
98,Geruch::N,बू,رائحة
99,Geruch::N,गंध,رائحة
100,Schlaf::N,नींद,نوم
101,Schlaf::N,नींद,منام
102,Schlaf::N,निद्रा,نوم
103,Schlaf::N,निद्रा,منام
104,Traum::N,सपना,حلم
105,Traum::N,स्वप्न,حلم
106,Himmel::N,आकाश,سماء
107,Himmel::N,आसमान,سماء
108,Sonne::N,रवि,شمس
109,Sonne::N,सूरज,شمس
110,Sonne::N,सूर्य,شمس
111,Mond::N,चाँद,قمر
112,Mond::N,चंद्र,قمر
113,Stern::N,तारा,نجم
114,Stern::N,तारा,كوكب
115,Stern::N,सितारा,نجم
116,Stern::N,सितारा,كوكب
117,Luft::N,हवा,هواء
118,Luft::N,वायु,هواء
119,Wind::N,पाद,ريح
120,Welle::N,लहर,موجة
121,Welle::N,तरंग,موجة
122,Wasser::N,जल,ماء
123,Wasser::N,पानी,ماء
124,Stein::N,पत्थर,حجر
125,Boden::N,मिट्टी,تراب
126,Erde::N,भूमि,أرض
127,Erde::N,ज़मीन,أرض
128,Staub::N,धूल,غبار
129,Rauch::N,धूआँ,دخان
130,Rauch::N,धुम्र,دخان
131,Funke::N,चिनगारी,شرارة
132,Funke::N,स्फुलिंग,شرارة
133,Feuer::N,आग,نار
134,Feuer::N,आतिश,نار
135,Feuer::N,अग्नि,نار
136,Licht::N,रोशनी,نور
137,Licht::N,रोशनी,ضوء
138,Licht::N,प्रकाश,نور
139,Licht::N,प्रकाश,ضوء
140,Schatten::N,छाया,ظل
141,Schatten::N,छाया,فيء
142,Schatten::N,परछाई,ظل
143,Schatten::N,परछाई,فيء
144,Wetter::N,ऋतु,جو
145,Wetter::N,ऋतु,طقس
146,Wetter::N,मौसम,جو
147,Wetter::N,मौसम,طقس
148,Nebel::N,धुँध,ضباب
