,Concept_ID,ba,bg
0,Auge::N,күҙ,око
1,Ohr::N,ҡолаҡ,ухо
2,Nase::N,танау,нос
3,Mund::N,ауыҙ,уста
4,Zahn::N,теш,зъб
5,Zunge::N,тел,език
6,Lippe::N,ирен,устна
7,Wange::N,яцаҡтар,буза
8,Gesicht::N,бит,лице
9,Gesicht::N,бит,образ
10,Stirn::N,маңлай,чело
11,Haar::N,сәс,коса
12,Haar::N,сәс,косъм
13,Schnurrbart::N,мылтыҡ,мустаци
14,Bart::N,һаҡал,брада
15,Kinn::N,эйэк,брада
16,Kinn::N,эйэк,брадичка
17,Kiefer[Anatomie]::N,яңаҡ һөйәге,челюст
18,Kehle::N,тамаҡ,гърло
19,Hals::N,муйын,врат
20,Genick::N,соңҡа,тил
21,Kopf::N,баш,глава
22,Rücken::N,арҡа,гръб
23,Bauch::N,ҡорһаҡ,корем
24,Nabel::N,кендек,пъп
25,Busen::N,күкрәк,бозка
26,Brust::N,түш,гръд
27,Schulter::N,яурын,рамо
28,Schulter::N,яурын,плещи
29,Arm::N,ҡул,ръка
30,Ellenbogen::N,терһәк,лакът
31,Hand::N,ҡул,ръка
32,Hand::N,ҡул,китка
33,Hand::N,ҡул суғы,ръка
34,Hand::N,ҡул суғы,китка
35,Handfläche::N,ус төбө,длан
36,Finger::N,бармаҡ,пръст
37,Fingernagel::N,тырнаҡ,нокът
38,Nagel[Anatomie]::N,тырнаҡ,нокът
39,Zeh::N,бармаҡ,пръст на крак
40,Fuß::N,табан,крак
41,Fuß::N,табан,нога
42,Ferse::N,үксә,пета
43,Knie::N,тубыҡ,коляно
44,Oberschenkel::N,сандыр,бедро
45,Bein::N,аяҡ,крак
46,Bein::N,аяҡ,нога
47,Körper::N,тән,тяло
48,Haut::N,тире,кожа
49,Blut::N,ҡан,кръв
50,Ader::N,тамыр,вена
51,Ader::N,тамыр,артерия
52,Sehne::N,һеңер,жила
53,Sehne::N,һеңер,сухожилие
54,Sehne::N,тарамыш,жила
55,Sehne::N,тарамыш,сухожилие
56,Knochen::N,һойәк,кост
57,Gehirn::N,мейе,мозък
58,Herz::N,йорәк,сърце
59,Magen::N,ашҡаҙан,стомах
60,Leber::N,бауыр,черен дроб
61,Atem::N,һулыш,дишане
62,Hunger::N,аслыҡ,глад
63,Träne::N,күҙ иәше,сълза
64,Geschmack::N,тәм,вкус
65,Geruch::N,еҫ,миризма
66,Schlaf::N,йоҡлау,сън
67,Traum::N,төш,сън
68,Himmel::N,күк,небе
69,Sonne::N,ҡояш,слънце
70,Mond::N,ай,луна
71,Mond::N,ай,месец
72,Stern::N,йондоҙ,звезда
73,Luft::N,һауа,въздух
74,Wind::N,ел,вятър
75,Welle::N,тулҡын,вълна
76,Wasser::N,һыу,вода
77,Stein::N,таш,камък
78,Boden::N,тупраҡ,земя
79,Boden::N,тупраҡ,почва
80,Erde::N,балсҡ,земя
81,Erde::N,балсҡ,почва
82,Staub::N,туҙан,прах
83,Rauch::N,төтөн,дим
84,Rauch::N,төтөн,пушек
85,Funke::N,осҡон,искра
86,Feuer::N,ут,огън
87,Licht::N,яҡтылыҡ,светлина
88,Schatten::N,күләгә,сянка
89,Wetter::N,һауа торошо,време
90,Nebel::N,төман,мъгла
91,Wolke::N,болот,облак
92,Regen::N,ямғыр,дъжд
93,Schnee::N,ҡар,сняг
94,Eis::N,боҙ,лед
95,Frost::N,һалҡын,мраз
96,Kälte::N,һыуыҡ,студ
97,Hitze::N,томра,жега
98,Hitze::N,томра,горещина
99,Hitze::N,эҫелек,жега
100,Hitze::N,эҫелек,горещина
101,Raureif::N,ҡырау,скреж
102,Raureif::N,ҡырау,слана
103,Regenbogen::N,йәйғор,дъга
104,Donner::N,күк күкрәү,гръм
105,Strömung::N,ағым,течение
106,Tropfen::N,тамсы,капка
107,Schaum::N,күбек,пяна
108,Schmutz::N,батҡаҡ,кал
109,Schmutz::N,батҡаҡ,мръсотия
110,See::N,күл,езеро
111,Sumpf::N,һаҙлык,блато
112,Moor::N,һаҙ,мочурище
113,Wiese::N,болон,ливада
114,Wald::N,урман,гора
115,Hügel::N,түбә,рид
116,Hügel::N,түбә,хълм
117,Anhöhe::N,түбә,могила
118,Anhöhe::N,түбә,възвишение
119,Anhöhe::N,ҡалҡыулыҡ,могила
120,Anhöhe::N,ҡалҡыулыҡ,възвишение
121,Berg::N,тау,планина
122,Gipfel::N,түбә,връх
123,Höhle::N,мәмерйә,пещера
124,Abhang::N,ипкен,склон
125,Abhang::N,ипкен,стръмнина
126,Quelle::N,шишмә,извор
127,Bach::N,шишмә,поток
128,Fluss::N,йылға,река
129,Ufer::N,яр,бряг
130,Küste::N,яр буйы,бряг
131,Küste::N,яр буйы,крайбрежие
132,Festland::N,ҡоро ер,суша
133,Meer::N,диңгез,море
134,Bucht::N,бухта,залив
135,Insel::N,үтрау,остров
136,Blume::N,сәскә,цвете
137,Gras::N,үлән,трева
138,Wurzel::N,тамыр,корен
139,Baum::N,ағас,дърво
140,Stamm::N,олон,стъбло
141,Stamm::N,көбәк,стъбло
142,Rinde::N,ҡабыҡ,кора
143,Ast::N,ботаҡ,клон
144,Zweig::N,ботаҡ,клон
145,Zweig::N,тармаҡ,клон
146,Blatt::N,япраҡ,лист
147,Birke::N,ҡайын,бреза
148,Kiefer[Baum]::N,ҡарғай,бор
149,Weide[Baum]::N,тал,върба
150,Tanne::N,шыршы,ела
151,Horn::N,мөғөҙ,рог
152,Feder::N,ҡауырһын,перо
153,Fell::N,тире,кожа
154,Flügel::N,ҡанат,крило
155,Klaue::N,тырнаҡ,нокът
156,Kralle::N,аяҡ,нокът
157,Schwanz::N,ҡойроҡ,опашка
158,Ei::N,йомортҡа,яйце
159,Nest::N,оя,гнездо
160,Bau::N,оң,дупка
161,Tier::N,жайуан,животно
162,Tier::N,йыртҡыс,животно
163,Herde::N,көтөү,стадо
164,Kuh::N,һыйыр,крава
165,Bulle::N,үгеҙ,бик
166,Pferd::N,ат,кон
167,Schaf::N,һарыҡ,овца
168,Schwein::N,сусҡа,свиня
169,Hund::N,эт,куче
170,Katze::N,бесәй,котка
171,Bär::N,айыу,мечка
172,Eichhörnchen::N,тейен,катерица
173,Elch::N,мышы,лос
174,Fuchs::N,төлкө,лисица
175,Hase::N,ҡуян,заек
176,Maus::N,сысҡан,мишка
177,Wolf::N,бүре,вълк
178,Vogel::N,ҡош,птица
179,Schwarm::N,көтөү,рой
180,Schwarm::N,көтөү,рояк
181,Huhn::N,тауыҡ,кокошка
182,Hahn::N,әтәс,петел
183,Gans::N,ҡаҙ,гъска
184,Adler::N,бөркөт,орел
185,Ente::N,өйрәк,патица
186,Eule::N,өкө,сова
187,Eule::N,ябалаҡ,сова
188,Kranich::N,торна,жерав
189,Krähe::N,ҡарға,врана
190,Kuckuck::N,кәкүк,кукувица
191,Schwan::N,аҡҡош,лебед
192,Fisch::N,балыҡ,риба
193,Barsch::N,алабуға,костур
194,Hecht::N,суртан,щука
195,Schlange[Tier]::N,йылан,змия
196,Wurm::N,селяүсен,червей
197,Spinne::N,үрмәксе,паяк
198,Ameise::N,ҡырмыҫҡа,мравка
199,Laus::N,бет,въшка
200,Mücke::N,серәкәй,комар
201,Fliege::N,себен,муха
202,Schmetterling::N,күбәләк,пеперуда
203,Beere::N,еләк,плод
204,Apfel::N,алма,ябълка
205,Pilz::N,бәшмәк,гъба
206,Zwiebel::N,һуган,лук
207,Zwiebel::N,һуган,кромид
208,Saat::N,орлоҡ,семе
209,Korn::N,иген,зърно
210,Heu::N,бесән,сено
211,Schale::N,ҡабыҡ,кора
212,Grube::N,соҡор,яма
213,Grube::N,соҡор,дупка
214,Falle::N,тоҙак,примка
215,Falle::N,ҡапҡан,примка
216,Schlinge::N,тоҙак,клуп
217,Spur::N,әҫер,диря
218,Spur::N,әҫер,следа
219,Asche::N,көл,пепел
220,Dreck::N,батҡаҡ,кал
221,Eisen::N,тимер,желязо
222,Gold::N,алтын,злато
223,Silber::N,көмөш,сребро
224,Kohle::N,күмер,въглища
225,Glas::N,быяла,стъкло
226,Lehm::N,балсыҡ,глина
227,Sand::N,ҡом,пясък
228,Mensch::N,кеше,човек
229,Mann::N,ир,мъж
230,Frau::N,ҡатын,жена
231,Kind::N,бала,дете
232,Junge::N,малай,момче
233,Mädchen::N,ҡыҙ,момиче
234,Mädchen::N,ҡыҙыҡай,момиче
235,Familie::N,ғаилә,фамилия
236,Familie::N,ғаилә,семейство
237,Großvater::N,олатай,дядо
238,Großmutter::N,әбәй,баба
239,Eltern::N,ата-әсә,родители
240,Vater::N,атай,баща
241,Mutter::N,әсә,майка
242,Sohn::N,ул,син
243,Tochter::N,ҡыҙ,дъщеря
244,Bruder::N,агай,брат
245,Schwester::N,алай,сестра
246,Schwester::N,һеңле,сестра
247,Onkel::N,ағай,чичо
248,Onkel::N,ағай,вуйчо
249,Tante::N,апай,леля
250,Ehemann::N,ир,съпруг
251,Ehefrau::N,ҡатын,съпруга
252,Freude::N,шатлыҡ,радост
253,Freude::N,ҡыуаныс,радост
254,Gelächter::N,көлөү,смях
255,Glück::N,бәхет,щастие
256,Kummer::N,ҡайғы,тъга
257,Wunsch::N,теләк,желание
258,Lust::N,әүәҫлек,желание
259,Geist::N,аң,дух
260,Geist::N,рух,дух
261,Gedanke::N,уй,мисъл
262,Gedanke::N,фекер,мисъл
263,Gedächtnis::N,хәтер,памет
264,Verstand::N,аҡыл,ум
265,Verstand::N,аҡыл,разум
266,Sinn::N,мәғәня,смисъл
267,Grund::N,сәбәп,причина
268,Wahrheit::N,дөрөҫлөк,правда
269,Gespräch::N,әңгәмә,разговор
270,Märchen::N,әкиәт,приказка
271,Erzählung::N,хикәйә,разказ
272,Nachricht::N,хәбәр,вест
273,Nachricht::N,хәбәр,известие
274,Neuigkeit::N,яңылыҡ,новина
275,Name::N,исем,име
276,Rätsel::N,йомаҡ,гатанка
277,Rede::N,телмәр,реч
278,Rede::N,телмәр,слово
279,Sprache::N,тел,език
280,Sprache::N,телмәр,език
281,Stimme::N,тауыш,глас
282,Wort::N,һүҙ,дума
283,Zeichen::N,билдә,знак
284,Ruf::N,саҡырыу,зов
285,Lärm::N,шаулау,шум
286,Lärm::N,шаулау,глъчка
287,Laut::N,тауыш,звук
288,Ton::N,яңғырау,тон
289,Lied::N,йыр,песен
290,Ruhe::N,ял,тишина
291,Ruhe::N,ял,спокойствие
292,Ruhe::N,тыныслыҡ,тишина
293,Ruhe::N,тыныслыҡ,спокойствие
294,Leute::N,кешеләр,хора
295,Volk::N,халҡ,народ
296,Arbeit::N,эш,труд
297,Arbeit::N,эш,работа
298,Gast::N,ҡунаҡ,гост
299,Geschenk::N,бүләк,дар
300,Geschenk::N,бүләк,подарък
301,Spiel::N,уйын,игра
302,Gesellschaft::N,йәмғиәт,общество
303,Hilfe::N,ярҙам,помощ
304,Freund::N,дуҫ,приятел
305,Kamerad::N,иптәш,другар
306,Angelegenheit::N,әш,работа
307,Anzahl::N,һан,брой
308,Anzahl::N,һан,количество
309,Art::N,төр,вид
310,Stück::N,киҫәк,къс
311,Stück::N,киҫәк,парче
312,Teil::N,өлөш,дял
313,Teil::N,өлөш,част
314,Hälfte::N,ярты,половина
315,Kreis::N,түңәрәк,кръг
316,Kreuz::N,тәре,кръст
317,Linie::N,һыҙыҡ,черта
318,Strich::N,һыҙат,щрих
319,Strich::N,һыҙат,черта
320,Abstand::N,ара,дистанция
321,Abstand::N,ара,разстояние
322,Entfernung::N,алыҫлыҡ,разстояние
323,Gegend::N,урын,местност
324,Platz::N,арауыҡ,място
325,Ort::N,ерҙәр,място
326,Ort::N,урындар,място
327,Ort::N,эш урыны,място
328,Seite::N,яҡ,страна
329,Mitte::N,урталыҡ,среда
330,Gegenstand::N,нәмә,предмет
331,Sache::N,нәмә,вещ
332,Sache::N,әйбер,вещ
333,Rand::N,сит,ръб
334,Kante::N,ҡабырға,ръб
335,Kante::N,ҡабырға,кант
336,Kante::N,ян,ръб
337,Kante::N,ян,кант
338,Ecke::N,мөйөш,ъгъл
339,Spitze::N,ос,връх
340,Spitze::N,ос,острие
341,Ende::N,аҙаҡ,край
342,Loch::N,тишек,дупка
343,Winkel::N,мөйөш,кът
344,Winkel::N,мөйөш,ъгъл
345,Muster::N,биҙәк,десен
346,Muster::N,биҙәк,образец
347,Größe::N,ҙурлыҡ,големина
348,Länge::N,оҙонлоҡ,дължина
349,Höhe::N,бейеклек,висота
350,Höhe::N,бейеклек,височина
351,Gewicht::N,үлсәү,тегло
352,Gewicht::N,үлсәү,тежест
353,Menge::N,һан,количество
354,Haufen::N,өйөм,куп
355,Haufen::N,өйөм,грамада
356,Reihe::N,рәт,ред
357,Reihe::N,рәт,редица
358,Boot::N,кәмә,лодка
359,Ruder::N,ишкәк,весло
360,Ruder::N,ишкәк,гребло
361,Schlitten::N,сана,шейна
362,Ski::N,саңгы,ски
363,Lagerfeuer::N,костер,огнище
364,Last::N,ауырлыҡ,товар
365,Gang::N,барыу,ход
366,Gang::N,барыу,вървеж
367,Schritt::N,аҙым,стъпка
368,Norden::N,төньяҡ,север
369,Süden::N,көньяҡ,юг
370,Westen::N,көнбайыш,запад
371,Osten::N,көнсығыш,изток
372,Holz::N,үағас,дърво
373,Brett::N,таҡта,дъска
374,Platte::N,плита,
375,Stütze::N,терәк,
376,Stange::N,кәртә,прът
377,Stange::N,кәртә,върлина
378,Stock::N,таяҡ,прът
379,Stock::N,таяҡ,тояга
380,Stab::N,ҡолға,прът
381,Rohr::N,торба,цев
382,Rohr::N,торба,тръба
383,Haus::N,өй,къща
384,Haus::N,йорт,къща
385,Heim::N,өй,дом
386,Ofen::N,мейес,печка
387,Fußboden::N,енес,под
388,Tisch::N,өҫтәл,маса
389,Stuhl::N,ултырғыс,стол
390,Wiege::N,бишек,люлка
391,Bett::N,карауат,легло
392,Bett::N,карауат,креват
393,Regal::N,кәштә,рафт
394,Regal::N,кәштә,етажерка
395,Kiste::N,йәшинк,кутия
396,Kiste::N,йәшинк,сандък
397,Fenster::N,тәҙрә,прозорец
398,Tür::N,ишек,врата
399,Tor::N,ҡапҡа,врата
400,Zaun::N,ҡойма,ограда
401,Dach::N,түбә,покрив
402,Dach::N,ҡыйыҡ,покрив
403,Leiter::N,баҫҡыс,стълба
404,Besen::N,һепертке,метла
405,Spaten::N,көрәк,лопата
406,Schaufel::N,көрәк,лопата
407,Gabel::N,сәнске,вилица
408,Löffel::N,ҡалаҡ,лъжица
409,Messer::N,бысаҡ,нож
410,Nagel::N,сөй,гвоздей
411,Netz::N,ау,мрежа
412,Haken::N,ыргаҡ,кука
413,Haken::N,ыргаҡ,закачалка
414,Griff::N,тотҡа,ръчка
415,Griff::N,тотҡа,дръжка
416,Schloss::N,йоҙаҡ,брава
417,Schloss::N,йоҙаҡ,ключалка
418,Bild::N,картина,картина
419,Figur::N,һын,фигура
420,Puppe::N,ҡурсаҡ,кукла
421,Beutel::N,тоҡ,кесия
422,Bündel::N,төргәк,връзка
423,Tasche::N,сумка,чанта
424,Eimer::N,биҙрә,кофа
425,Deckel::N,ҡапҡас,капак
426,Deckel::N,ҡапҡас,похлупак
427,Geschirr::N,һауыт-һаба,съдове
428,Sack::N,тоҡ,чувал
429,Tasse::N,сынаяҡ,чаша
430,Topf::N,кәстрүл,гърне
431,Topf::N,кәстрүл,тенджера
432,Kessel::N,ҡаҙан,котел
433,Essen::N,ашау,ядене
434,Nahrung::N,аҙыҡ,храна
435,Speise::N,аш,ястие
436,Fleisch::N,ит,месо
437,Getreide::N,иген,зърнено храни
438,Getreide::N,ашлыҡ,зърнено храни
439,Brei::N,бутҡа,каша
440,Brot::N,икмәк,хляб
441,Scheibe::N,телем,резен
442,Fett::N,май,мазнина
443,Butter::N,май,масло
444,Öl::N,май буяуы,олио
445,Öl::N,май буяуы,оливия
446,Salz::N,тоҙ,сол
447,Suppe::N,һурпа,супа
448,Honig::N,бал,мед
449,Milch::N,һөт,мляко
450,Tee::N,сәй,чай
451,Leder::N,күн,кожа
452,Wolle::N,йөн,вълна
453,Stoff::N,туҡыма,плат
454,Stoff::N,туҡыма,материал
455,Nadel::N,энә,игла
456,Faden::N,еп,конец
457,Knopf::N,төймә,копче
458,Knoten::N,төйөн,възел
459,Farbe::N,буяу,боя
460,Kleidung::N,кейем,дрехи
461,Kleidung::N,кейем,облекло
462,Hemd::N,күлдәк,риза
463,Kragen::N,яға,яка
464,Ärmel::N,ең,ръкав
465,Hose::N,салбар,панталони
466,Gürtel::N,ҡайыш,пояс
467,Gürtel::N,ҡайыш,колан
468,Mütze::N,бүрк,каскет
469,Mütze::N,бүрк,фуражка
470,Schuh::N,туфли,обувка
471,Stiefel::N,итек,ботуш
472,Ring::N,йөҙөк,пръстен
473,Ring::N,балдаҡ,пръстен
474,Band::N,таҫма,лента
475,Band::N,таҫма,връзка
476,Kamm::N,тараҡ,гребен
477,Spiegel::N,көзгө,огледало
478,Riemen::N,ҡайыш,каиш
479,Riemen::N,ҡайыш,ремък
480,Schnur::N,бау,връв
481,Leine::N,бау,връв
482,Leine::N,бау,въже
483,Decke::N,одеяд,покривка
484,Kissen::N,мендәр,възглавница
485,Tuch::N,яулыҡ,сукно
486,Handtuch::N,таҫтамал,пешкир
487,Handtuch::N,таҫтамал,кърпа за лице
488,Kraft::N,көс,мощ
489,Kraft::N,көс,сила
490,Stärke::N,көс,сила
491,Gesundheit::N,һаулыҡ,здраве
492,Krankheit::N,сир,болест
493,Krankheit::N,ауырыу,болест
494,Schmerz::N,һыҙлау,болка
495,Schmerz::N,әрнеү,болка
496,Wunde::N,йәрәхәт,рана
497,Fieber::N,тапма,треска
498,Fieber::N,тапма,температура
499,Fieber::N,биҙгәк,треска
500,Fieber::N,биҙгәк,температура
501,Arznei::N,дарыу,лек
502,Arznei::N,дарыу,лекарство
503,Brücke::N,күпер,мост
504,Brunnen::N,ҡоҙоҡ,чешма
505,Brunnen::N,ҡоҙоҡ,кладенец
506,Weide::N,көтөүлек,паша
507,Weide::N,көтөүлек,пасище
508,Pfad::N,һуҡмаҡ,пътека
509,Weg::N,юл,път
510,Straße::N,урам,шосе
511,Dorf::N,ауыл,село
512,Stadt::N,ҡала,град
513,Brief::N,хат,писмо
514,Buch::N,китап,книга
515,Buch::N,кенәгә,книга
516,Buchstabe::N,хәреф,буква
517,Zeitung::N,гәзит,вестник
518,Leben::N,йәшәү,живот
519,Tod::N,үлем,смърт
520,Grab::N,ҡәбер,гроб
521,Kirche::N,сиркәү,църква
522,Sünde::N,гөнаһ,грях
523,Gott::N,алла,бог
524,Gott::N,хоҙай,бог
525,Arbeiter::N,эшсе,работник
526,Chef::N,башлыҡ,шеф
527,Chef::N,башлыҡ,началник
528,Meister::N,оҫта,майстор
529,Arzt::N,врач,лекар
530,Lehrer::N,уҡытыусы,учител
531,Geld::N,аҡса,пари
532,Geschäft::N,эш,сделка
533,Laden::N,магазин,дюкян
534,Laden::N,магазин,магазин
535,Preis::N,хаҡ,цена
536,Ware::N,тауар,стока
537,Nutzen::N,файҙа,полза
538,Nutzen::N,файҙа,облага
539,Reichtum::N,байлыҡ,богатство
540,Welt::N,донъя,свят
541,Land::N,ил,страна
542,Staat::N,дәүләт,щат
543,Staat::N,дәүләт,държава
544,König::N,король,крал
545,Macht::N,власть,мощ
546,Macht::N,власть,власт
547,Grenze::N,сик,граница
548,Krieg::N,һуғыш,война
549,Feind::N,йылан,враг
550,Feind::N,йылан,неприятел
551,Gewalt::N,көслөк,сила
552,Gewalt::N,көслөк,насилие
553,Kampf::N,көрәш,борба
554,Kampf::N,көрәш,сражение
555,Bogen[Waffe]::N,йәйә,лък
556,Pfeil::N,уҡ,стрела
557,Gewehr::N,мылтыҡ,пушка
558,Fehler::N,хата,грешка
559,Lüge::N,ялған,лъжа
560,Schaden::N,зыян,повреда
561,Schaden::N,зарар,повреда
562,Unglück::N,ҡаза,нещастие
563,Schuld::N,ғәйеп,вина
564,Alter::N,йәш,възраст
565,Schluss::N,һуң,край
566,Schluss::N,аҙаҡ,край
567,Zeit::N,мәл,време
568,Zeit::N,заман,време
569,Tag::N,көн,ден
570,Morgen::N,иртә,утро
571,Morgen::N,иртә,сутрин
572,Morgen::N,иртәнсәк,утро
573,Morgen::N,иртәнсәк,сутрин
574,Mittag::N,төш,обед
575,Mittag::N,төш,пладне
576,Abend::N,кис,вечер
577,Nacht::N,төн,нощ
578,Woche::N,аҙна,седмица
579,Monat::N,ай,месец
580,Jahr::N,йыл,година
581,Frühling::N,яҙ,пролет
582,Sommer::N,йәй,лято
583,Herbst::N,көз,есен
584,Winter::N,ҡыш,зима
585,Januar::N,ғинуар,януари
586,Februar::N,февраль,февруари
587,März::N,март,март
588,April::N,апрель,април
589,Mai::N,май,май
590,Juni::N,июнь,юни
591,Juli::N,июль,юли
592,August::N,август,август
593,September::N,сентябрь,септември
594,Oktober::N,октябрь,октомври
595,November::N,ноябрь,ноември
596,Dezember::N,декабрь,декември
597,Montag::N,дүшәмбе,понеделник
598,Dienstag::N,шишәмбе,вторник
599,Mittwoch::N,шаршамбы,сряда
600,Donnerstag::N,кесаҙна,четвъртък
601,Freitag::N,йома,петък
602,Samstag::N,шәмбе,събота
603,Sonntag::N,йәкшәмбе,неделя
604,groß::A,ҙур,едър
605,groß::A,ҙур,голям
606,klein::A,бәләкәс,малък
607,klein::A,бәләкәс,дребен
608,lang::A,оҙон,дълъг
609,kurz::A,ҡыҫҡа,къс
610,breit::A,киң,широк
611,schmal::A,тар,тесен
612,dicht::A,йыш,гъст
613,dicht::A,ҡуйы,гъст
614,dick[Gegenstand]::A,ҡалын,дебел
615,dünn::A,йоҡа,тънък
616,dünn::A,нәҙек,тънък
617,fein::A,нескә,фин
618,fein::A,нескә,тънък
619,fest::A,ныҡ,твърд
620,fest::A,ныҡ,плътен
621,flach::A,яҫы,равен
622,flach::A,яҫы,плосък
623,flach::A,ялпаҡ,равен
624,flach::A,ялпаҡ,плосък
625,glatt::A,шыма,гладък
626,hart::A,ҡаты,твърд
627,hart::A,ҡаты,корав
628,weich::A,йомшаҡ,мек
629,rund::A,түңәрәк,кръгъл
630,spitz::A,осло түбәле,островръх
631,scharf::A,үткер,остър
632,stumpf::A,утмәҫ,тъп
633,schwer::A,ауыр,тежък
634,schön::A,матур,хубав
635,schön::A,матур,красив
636,heiß::A,эҫе,жарък
637,warm::A,йылы,топъл
638,kalt::A,һыуыҡ,студен
639,kühl::A,һалҡынса,хладен
640,frisch::A,һалҡынса,свеж
641,feucht::A,еүеш,влажен
642,feucht::A,дымлы,влажен
643,nass::A,еүеш,мокър
644,trocken::A,кипкән,сух
645,voll::A,тулы,пълен
646,leer::A,буш,празен
647,offen::A,асыҡ,откровен
648,geschlossen::A,ябыҡ,закрит
649,geschlossen::A,ябыҡ,затворен
650,sauber::A,таҙа,чист
651,schmutzig::A,бысраҡ,мръсен
652,roh::A,сей,суров
653,reif::A,өлгөрғән,зрял
654,lecker::A,тәмле,вкусен
655,süß::A,тямле,сладък
656,süß::A,тәм-том,сладък
657,bitter::A,әсе,горчив
658,sauer::A,әсе,кисел
659,hell::A,яҡты,ясен
660,hell::A,яҡты,светъл
661,dunkel::A,ҡараңғы,тъмен
662,schwarz::A,ҡара,черен
663,weiß::A,аҡ,бял
664,rot::A,матур,червен
665,rot::A,һылыу,червен
666,rot::A,сибәр,червен
667,gelb::A,һары,жълт
668,blau::A,күк,син
669,grün::A,йәшел,зелен
670,grau::A,буҙ,сив
671,bunt::A,сыбар,шарен
672,bunt::A,сыбар,пъстър
673,bunt::A,ала-ҡола,шарен
674,bunt::A,ала-ҡола,пъстър
675,billig::A,арзан,евтин
676,teuer::A,ҡыйбатлы,скъп
677,wertvoll::A,ҡиммәтле,ценен
678,blind::A,һуҡыр,сляп
679,taub::A,һаңғырау,глух
680,kräftig::A,көслө,силен
681,kräftig::A,ҡеүәтле,силен
682,stark::A,көслө,здрав
683,stark::A,көслө,силен
684,stark::A,ҡеүәтле,здрав
685,stark::A,ҡеүәтле,силен
