,Concept_ID,ca,cy
0,Auge::N,ull,llygad
1,Ohr::N,orella,clust
2,Nase::N,nas,trwyn
3,Mund::N,boca,ceg
4,Zahn::N,dent,dant
5,Zunge::N,llēngua,tafod
6,Lippe::N,llavi,gwefus
7,Wange::N,galta,boch
8,Gesicht::N,cara,wyneb
9,Stirn::N,front,talcen
10,Haar::N,cabēll,blew
11,Schnurrbart::N,bigoti,mwstas
12,Bart::N,barba,barf
13,Kinn::N,mentó,gên
14,Kinn::N,barbeta,gên
15,Kiefer[Anatomie]::N,queix,gên
16,Kiefer[Anatomie]::N,mandíbula,gên
17,Kehle::N,gola,gwddf
18,Kehle::N,gorja,gwddf
19,Hals::N,coll,gwddf
20,Genick::N,nuca,gwar
21,Genick::N,nuca,gwegil
22,Kopf::N,cap,pen
23,Rücken::N,esquena,cefn
24,Bauch::N,panxa,bol
25,Nabel::N,llombrígol,bogail
26,Busen::N,pit,bron
27,Busen::N,mama,bron
28,Brust::N,pit,brest
29,Schulter::N,espatlla,ysgwydd
30,Arm::N,braç,braich
31,Ellenbogen::N,colze,penelin
32,Hand::N,mà,llaw
33,Handfläche::N,palma,palf
34,Finger::N,dit,bys
35,Fingernagel::N,ungla,ewin
36,Nagel[Anatomie]::N,ungla,ewin
37,Zeh::N,dit del peu,bys troed
38,Fuß::N,peu,troed
39,Ferse::N,taló,sawdl
40,Knie::N,genoll,glin
41,Oberschenkel::N,cuixa,clun
42,Bein::N,cama,coes
43,Körper::N,cos,corff
44,Haut::N,pell,croen
45,Blut::N,sang,gwaed
46,Ader::N,vena,gwythïen
47,Sehne::N,tendó,gewyn
48,Knochen::N,os,asgwrn
49,Gehirn::N,cervell,ymennydd
50,Herz::N,cor,calon
51,Magen::N,estómac,cylla
52,Magen::N,estómac,stumog
53,Leber::N,fetge,iau
54,Atem::N,alè,anadl
55,Atem::N,hàlit,anadl
56,Hunger::N,fam,newyn
57,Hunger::N,gana,newyn
58,Träne::N,llàgrima,deigryn
59,Geschmack::N,gust,cyflas
60,Geschmack::N,sabor,cyflas
61,Geruch::N,olor,aroglau
62,Schlaf::N,son,cwsg
63,Traum::N,somni,breuddwyd
64,Himmel::N,celm,awyr
65,Sonne::N,sol,haul
66,Mond::N,lluna,lleuad
67,Stern::N,estel,seren
68,Stern::N,estrella,seren
69,Luft::N,aire,awyr
70,Wind::N,vent,gwynt
71,Welle::N,ona,ton
72,Wasser::N,āigua,dŵr
73,Stein::N,pedra,carreg
74,Boden::N,sòl,llawr
75,Erde::N,terra,pridd
76,Staub::N,pols,llwch
77,Rauch::N,fum,mwg
78,Funke::N,guspira,gwreichioni
79,Funke::N,centella,gwreichioni
80,Feuer::N,foc,tân
81,Licht::N,llum,golau
82,Schatten::N,ombra,cysgod
83,Wetter::N,temps,tywydd
84,Nebel::N,boira,niwl
85,Wolke::N,núvol,cwmwl
86,Regen::N,pluja,glaw
87,Schnee::N,neu,ôd
88,Schnee::N,neu,eira
89,Eis::N,gel,iâ
90,Eis::N,glaç,iâ
91,Frost::N,glaçada,rhew
92,Kälte::N,fred,oerni
93,Kälte::N,fred,annwyd
94,Hitze::N,calor,gwres
95,Raureif::N,gebre,barrug
96,Regenbogen::N,arc iris,enfys
97,Donner::N,tro,tyrfau
98,Strömung::N,corrent,cerrynt
99,Tropfen::N,gota,dafn
100,Tropfen::N,gota,diferyn
101,Schaum::N,escuma,ewyn
102,Schmutz::N,brutícia,baw
103,Schmutz::N,brutícia,budreddi
104,See::N,llac,llyn
105,Sumpf::N,pantà,cors
106,Moor::N,pantà,rhos
107,Wiese::N,prat,dôl
108,Wiese::N,prada,dôl
109,Wald::N,bosc,coedwig
110,Hügel::N,puig,bryn
111,Hügel::N,pujol,bryn
112,Anhöhe::N,turó,bryn
113,Berg::N,muntanya,mynydd
114,Gipfel::N,cim,copa
115,Höhle::N,cova,ogof
116,Abhang::N,coster,llethr
117,Quelle::N,font,tarddiad
118,Quelle::N,font,ffynhonnell
119,Bach::N,riera,nant
120,Bach::N,riera,afonig
