,Concept_ID,myv,it
0,Auge::N,сельме,occhio
1,Ohr::N,пиле,orecchio
2,Nase::N,судо,naso
3,Mund::N,курго,bocca
4,Zahn::N,пей,dente
5,Zunge::N,кель,lingua
6,Lippe::N,турва,labbro
7,Wange::N,чамабока,guancia
8,Wange::N,чамаумарь,guancia
9,Gesicht::N,чама,viso
10,Gesicht::N,чама,faccia
11,Stirn::N,коня,fronte
12,Haar::N,черь,capello
13,Schnurrbart::N,ус,baffi
14,Schnurrbart::N,ус,mustacchi
15,Schnurrbart::N,муюк,baffi
16,Schnurrbart::N,муюк,mustacchi
17,Bart::N,сакал,barba
18,Kinn::N,уло,mento
19,Kiefer[Anatomie]::N,пейпакар,mascella
20,Kiefer[Anatomie]::N,пейловажа,mascella
21,Kehle::N,кирьгапарь,gola
22,Hals::N,кирьга,collo
23,Genick::N,човонь,nuca
24,Kopf::N,пря,capo
25,Kopf::N,пря,testa
26,Rücken::N,копорь,dorso
27,Rücken::N,копорь,schiena
28,Bauch::N,пеке,ventre
29,Nabel::N,почо,ombelico
30,Busen::N,поте,seno
31,Brust::N,меште,petto
32,Schulter::N,лавтов,spalla
33,Arm::N,кедь,braccio
34,Ellenbogen::N,кенерепакарь,gomito
35,Hand::N,кедь,mano
36,Handfläche::N,кедькуншка,palma
37,Handfläche::N,кедьлапушка,palma
38,Finger::N,сур,dito
39,Fingernagel::N,кенже,unghia
40,Nagel[Anatomie]::N,кенже,unghia
41,Zeh::N,пильге сур,dito del piede
42,Fuß::N,пильге,piede
43,Ferse::N,кочкаря,tallone
44,Ferse::N,кочкаря,calcagno
45,Knie::N,эле,ginocchio
46,Knie::N,эзне,ginocchio
47,Knie::N,кумажа,ginocchio
48,Oberschenkel::N,качо,fèmore
49,Bein::N,пильге,gamba
50,Körper::N,рунго,corpo
51,Haut::N,киське,pelle
52,Blut::N,верь,sangue
53,Ader::N,сан,vena
54,Sehne::N,коське сан,tèndine
55,Knochen::N,пакарь,osso
56,Gehirn::N,удем,cervello
57,Herz::N,седей,cuore
58,Magen::N,пеке,stòmaco
59,Leber::N,максо,fegato
60,Atem::N,лексема,fiato
61,Atem::N,лексема,respiro
62,Atem::N,оймень таргсема,fiato
63,Atem::N,оймень таргсема,respiro
64,Hunger::N,вачочи,fame
65,Träne::N,селведь,làcrima
66,Geschmack::N,тансть,gusto
67,Geschmack::N,тансть,sapore
68,Geruch::N,чине,odore
69,Schlaf::N,удома,sonno
70,Traum::N,он,sogno
71,Himmel::N,менель,cielo
72,Sonne::N,чи,sole
73,Mond::N,ков,luna
74,Stern::N,теште,stella
75,Luft::N,кошт,aria
76,Wind::N,варма,vento
77,Welle::N,толкун,onda
78,Wasser::N,ведь,acqua
79,Stein::N,кев,sasso
80,Stein::N,кев,pietra
81,Boden::N,мода,suolo
82,Boden::N,мода,terreno
83,Erde::N,мастор,terra
84,Staub::N,пуль,polvere
85,Rauch::N,качамо,fumo
86,Funke::N,сятко,scintilla
87,Feuer::N,тол,fuoco
88,Licht::N,валдо,luce
89,Schatten::N,сулей,ombra
90,Schatten::N,сулейкс,ombra
91,Wetter::N,ушо,tempo
92,Nebel::N,сув,nebbia
93,Wolke::N,пель,nube
94,Wolke::N,пель,nùvola
95,Regen::N,пиземс,pioggia
96,Schnee::N,лов,neve
97,Eis::N,эй,ghiaccio
98,Frost::N,кельме,gelo
99,Kälte::N,якшамо,freddo
100,Hitze::N,пси,caldo
101,Hitze::N,пси,calura
102,Raureif::N,лекш,brina
103,Regenbogen::N,пурьгинечирьке,arcobaleno
104,Regenbogen::N,пурьгинеёнкс,arcobaleno
105,Donner::N,пурьгине,tuono
106,Strömung::N,чудема,corrente
107,Strömung::N,чудевкс,corrente
108,Tropfen::N,петнявкс,goccia
109,Schaum::N,чов,spuma
110,Schaum::N,чов,schiuma
111,Schmutz::N,рудаз,sudiciume
112,See::N,эрьке,lago
113,Sumpf::N,чей,palude
114,Moor::N,чей,torbiera
115,Wiese::N,луга,prato
116,Wald::N,вирь,bosco
117,Wald::N,вирь,foresta
118,Hügel::N,губорь,colle
119,Hügel::N,губорь,collina
120,Hügel::N,пандыне,colle
121,Hügel::N,пандыне,collina
122,Anhöhe::N,губорь,altura
123,Anhöhe::N,пандыне,altura
124,Berg::N,пандо,monte
125,Berg::N,пандо,montagna
126,Gipfel::N,пря,cima
127,Höhle::N,пещера,grotta
128,Höhle::N,пещера,caverna
129,Abhang::N,пандочама,pendìo
130,Quelle::N,ушодкс,sorgente
131,Bach::N,чудикерькс,ruscello
132,Fluss::N,лей,fiume
133,Ufer::N,чире,riva
134,Küste::N,лейчире,costa
135,Festland::N,мода,terraferma
136,Meer::N,моря,mare
137,Bucht::N,усия,cala
138,Insel::N,усия,ìsola
139,Blume::N,цеця,fiore
140,Gras::N,тикше,erba
141,Wurzel::N,юр,radice
142,Wurzel::N,ундокс,radice
143,Baum::N,чувто,àlbero
144,Stamm::N,рунго,tronco
145,Rinde::N,суд,corteccia
146,Rinde::N,керь,corteccia
147,Ast::N,морго,ramo
148,Zweig::N,тарад,ramo
149,Blatt::N,лопа,foglia
150,Birke::N,килей,betulla
151,Kiefer[Baum]::N,пиче,pino
152,Weide[Baum]::N,каль,sàlice
153,Tanne::N,куз,abete
154,Horn::N,сюро,corno
155,Feder::N,толга,penna
156,Fell::N,пона,manto
157,Fell::N,пона,pelame
158,Flügel::N,сёлмо,ala
159,Klaue::N,кенже,grinfia
160,Kralle::N,кенже,unghia
161,Kralle::N,кенже,artiglio
162,Schwanz::N,пуло,coda
163,Ei::N,ал,uovo
164,Nest::N,пизэ,nido
165,Bau::N,варя,covo
166,Bau::N,пизе,covo
167,Tier::N,ракша,bestia
168,Tier::N,ракша,animale
169,Herde::N,стада,gregge
170,Kuh::N,скал,vacca
171,Bulle::N,бука,toro
172,Pferd::N,лишме,cavallo
173,Schaf::N,реве,pècora
174,Schwein::N,туво,porco
175,Schwein::N,туво,maiale
176,Hund::N,пине,cane
177,Hund::N,киска,cane
178,Katze::N,псака,gatta
179,Bär::N,овто,orso
180,Eichhörnchen::N,ур,scoiàttolo
181,Elch::N,сярдо,alce
182,Fuchs::N,ривезь,volpe
183,Hase::N,нумоло,lepre
184,Maus::N,чеерь,topo
185,Maus::N,чеерь,sorcio
186,Wolf::N,верьгиз,lupo
187,Vogel::N,нармунь,uccello
188,Schwarm::N,полк,stormo
189,Schwarm::N,стада,stormo
190,Huhn::N,сараз,gallina
191,Hahn::N,атякш,gallo
192,Gans::N,гала,oca
193,Gans::N,мацей,oca
194,Adler::N,куцькан,àquila
195,Adler::N,тумоатякш,àquila
196,Ente::N,яксярго,ànatra
197,Eule::N,корж,gufo
198,Eule::N,корж,civetta
199,Kranich::N,карго,gru
200,Krähe::N,варака,cornacchia
201,Kuckuck::N,куко,cuccù
202,Kuckuck::N,куко,cùculo
203,Schwan::N,локсей,cigno
204,Fisch::N,кал,pesce
205,Barsch::N,окунь,pèrsico
206,Hecht::N,щука,luccio
207,Schlange[Tier]::N,гуй,serpente
208,Wurm::N,сукс,baco
209,Wurm::N,сукс,verme
210,Spinne::N,шанжав,ragno
211,Ameise::N,коткудав,formica
212,Laus::N,сий,pidocchio
213,Mücke::N,сеське,zanzara
214,Fliege::N,карво,mosca
215,Schmetterling::N,нимиляв,farfalla
216,Beere::N,умарь,bacca
217,Apfel::N,умарь,mela
218,Pilz::N,панго,fungo
219,Zwiebel::N,чурька,cipolla
220,Saat::N,видьметь,semente
221,Korn::N,сюро,grano
222,Heu::N,тикше,fieno
223,Schale::N,кедь,buccia
224,Schale::N,ваткавкс,buccia
225,Grube::N,латко,cava
226,Grube::N,латко,fossa
227,Falle::N,тувор,tràppola
228,Falle::N,кундамка,tràppola
229,Schlinge::N,килькш,laccio
230,Spur::N,челькс,traccia
231,Spur::N,пильгеки,traccia
232,Asche::N,кулов,cenere
233,Dreck::N,рудаз,fango
234,Eisen::N,кшни,ferro
235,Gold::N,сырне,oro
236,Silber::N,сия,argento
237,Kohle::N,сэдь,carbone
238,Kohle::N,уголия,carbone
239,Glas::N,сулика,vetro
240,Lehm::N,сёвонь,argilla
241,Sand::N,човар,arena
242,Sand::N,човар,sabbia
243,Mensch::N,ломань,uomo
244,Mensch::N,ломань,èssere umano
245,Mann::N,аля,uomo
246,Mann::N,цёраломань,uomo
247,Frau::N,ава,donna
248,Kind::N,эйкакш,bambino
249,Junge::N,цёрыне,ragazzo
250,Mädchen::N,тейтерне,ragazza
251,Familie::N,семия,famiglia
252,Großvater::N,покштя,nonno
253,Großmutter::N,баба,nonna
254,Eltern::N,тетят-ават,genitori
255,Vater::N,тетя,padre
