,Concept_ID,ro,sl
0,Auge::N,ochi,okó
1,Ohr::N,ureche,uhó
2,Nase::N,nas,nós
3,Mund::N,gură,ústa
4,Zahn::N,dinte,zób
5,Zunge::N,limbă,jêzik
6,Lippe::N,buză,ústnica
7,Wange::N,bucă,líce
8,Wange::N,obraz,líce
9,Gesicht::N,față,oblíčje
10,Gesicht::N,figură,oblíčje
11,Stirn::N,frunte,čêlo
12,Haar::N,păr,lás
13,Schnurrbart::N,mustață,bŕki
14,Bart::N,barbă,bráda
15,Kinn::N,bărbie,bráda
16,Kiefer[Anatomie]::N,falcă,čeljúst
17,Kehle::N,beregată,gŕlo
18,Hals::N,gât,vrát
19,Genick::N,ceafă,zatílnik
20,Kopf::N,cap,gláva
21,Rücken::N,dos,hrbèt
22,Rücken::N,spate,hrbèt
23,Rücken::N,spinare,hrbèt
24,Bauch::N,burtă,trébuh
25,Bauch::N,pântece,trébuh
26,Nabel::N,buric,pópek
27,Busen::N,sân,nédrja
28,Brust::N,piept,pŕsi
29,Schulter::N,umăr,ráma
30,Schulter::N,umăr,plêče
31,Schulter::N,spate,ráma
32,Schulter::N,spate,plêče
33,Arm::N,braț,rôka
34,Ellenbogen::N,cot,komólec
35,Hand::N,mână,rôka
36,Handfläche::N,palmă,dlán
37,Finger::N,deget,pŕst
38,Fingernagel::N,unghie,nóht na rôki
39,Nagel[Anatomie]::N,unghie,nóht
40,Zeh::N,deget de la picior,pŕst na nôgi
41,Fuß::N,picior,nôga
42,Ferse::N,călcâi,pêta
43,Knie::N,genunchi,koléno
44,Oberschenkel::N,coapsă,stêgno
45,Bein::N,picior,nôga
46,Körper::N,corp,teló
47,Haut::N,piele,kóža
48,Blut::N,sânge,krí
49,Ader::N,vână,žíla
50,Ader::N,arteră,žíla
51,Sehne::N,tendon,kíta
52,Knochen::N,os,kóst
53,Gehirn::N,creier,možgáni
54,Herz::N,inimă,srcé
55,Magen::N,stomac,želódec
56,Leber::N,ficat,jétra
57,Atem::N,răsuflare,díh
58,Atem::N,respirație,díh
59,Hunger::N,foame,glád
60,Träne::N,lacrimă,sólza
61,Geschmack::N,gust,okús
62,Geruch::N,miros,vónj
63,Schlaf::N,somn,sèn
64,Schlaf::N,somn,spánec
65,Traum::N,vis,sánje
66,Himmel::N,cer,nebó
67,Sonne::N,soare,sónce
68,Mond::N,lună,lúna
69,Mond::N,lună,mésec
70,Stern::N,stea,zvézda
71,Luft::N,aer,zràk
72,Wind::N,vânt,véter
73,Welle::N,val,vál
74,Welle::N,undă,vál
75,Wasser::N,apă,vôda
76,Stein::N,piatră,kámen
77,Boden::N,sol,tlà
78,Boden::N,pământ,tlà
79,Erde::N,pământ,pŕst
80,Erde::N,pământ,zêmlja
81,Staub::N,praf,práh
82,Rauch::N,fum,dìm
83,Funke::N,scânteie,ískra
84,Feuer::N,foc,ôgenj
85,Licht::N,lumină,lúč
86,Schatten::N,umbră,sénca
87,Wetter::N,timp,vrême
88,Wetter::N,vreme,vrême
89,Nebel::N,ceață,meglà
90,Nebel::N,negură,meglà
91,Wolke::N,nor,oblák
92,Regen::N,ploaie,dèž
93,Schnee::N,zăpadă,snég
94,Eis::N,gheață,léd
95,Frost::N,ger,zmrzál
96,Kälte::N,frig,mràz
97,Hitze::N,arșiță,pripéka
98,Hitze::N,căldură,pripéka
99,Raureif::N,chiciură,ívje
100,Raureif::N,chiciură,slána
101,Regenbogen::N,curcubeu,mávrica
102,Donner::N,tunet,gròm
103,Strömung::N,curent,strúja
104,Tropfen::N,picătură,káplja
105,Schaum::N,spumă,péna
106,Schmutz::N,murdărie,nesnága
107,See::N,lac,jézero
108,Sumpf::N,mlaștină,močvírje
109,Moor::N,bărăgan,bárje
110,Wiese::N,fânaț,trávnik
111,Wiese::N,livadă,trávnik
112,Wald::N,codru,lés
113,Wald::N,codru,gòzd
114,Wald::N,pădure,lés
115,Wald::N,pădure,gòzd
116,Hügel::N,deal,brég
117,Hügel::N,deal,goríca
118,Hügel::N,movilă,brég
119,Hügel::N,movilă,goríca
120,Anhöhe::N,deal,gríč
121,Anhöhe::N,deal,višína
122,Anhöhe::N,ridicătură,gríč
123,Anhöhe::N,ridicătură,višína
124,Berg::N,munte,gôra
125,Berg::N,munte,planína
126,Gipfel::N,pisc,vŕh
127,Höhle::N,peșteră,jáma
128,Höhle::N,peșteră,votlína
129,Abhang::N,pantă,pobóčje
130,Abhang::N,versant,pobóčje
131,Quelle::N,izvor,izvír
132,Bach::N,gârlă,pôtok
133,Fluss::N,râu,réka
134,Fluss::N,fluviu,réka
135,Ufer::N,mal,brég
136,Ufer::N,țărm,brég
137,Küste::N,coastă,obála
138,Küste::N,coastă,obréžje
139,Festland::N,uscat,celína
140,Festland::N,uscat,kopnína
141,Meer::N,mare,mórje
142,Bucht::N,golf,zalív
143,Insel::N,insulă,ôtok
144,Blume::N,floare,cvetlíca
145,Gras::N,iarbă,tráva
146,Wurzel::N,rădăcină,korenína
147,Baum::N,copac,drevó
148,Baum::N,arbore,drevó
149,Stamm::N,tulpină,dêblo
150,Rinde::N,scoarță,lúbje
151,Rinde::N,scoarță,skórja
152,Ast::N,cracă,véja
153,Ast::N,creangă,véja
154,Zweig::N,ramură,véja
155,Zweig::N,creangă,véja
156,Blatt::N,frunză,líst
157,Birke::N,mesteacăn,bréza
158,Kiefer[Baum]::N,pin,bòr
159,Weide[Baum]::N,salcie,vŕba
160,Weide[Baum]::N,răchită,vŕba
161,Tanne::N,brad,hója
162,Horn::N,corn,róg
