,Concept_ID,tt,ps
0,Auge::N,күз,سترګه
1,Ohr::N,колак,غوږ
2,Nase::N,борын,پوزه
3,Mund::N,авыз,خوله
4,Mund::N,тамак,خوله
5,Zahn::N,теш,غاښ
6,Zunge::N,тел,جبه
7,Lippe::N,ирен,شونډه
8,Wange::N,яңак,باړخو
9,Gesicht::N,йөз,مخ
10,Stirn::N,маңгай,تندی
11,Stirn::N,маңгай,وچولی
12,Haar::N,чәч,وېښته
13,Schnurrbart::N,мыек,برېت
14,Bart::N,сакал,ږیره
15,Kinn::N,ияк,زنه
16,Kiefer[Anatomie]::N,казналык,جامه
17,Kehle::N,тамак,غاړه
18,Hals::N,бугаз,غاړه
19,Genick::N,җилкә,ورمېږ
20,Kopf::N,баш,سر
21,Rücken::N,сырт,شا
22,Bauch::N,корсак,نس
23,Bauch::N,корсак,ګېډه
24,Nabel::N,кендек,نوم
25,Busen::N,түш,تی
26,Brust::N,имчәк,سینه
27,Brust::N,күкрәк,سینه
28,Schulter::N,иңбаш,اوږه
29,Schulter::N,кулбаш,اوږه
30,Arm::N,кул,لاس
31,Ellenbogen::N,терсәк,څنګل
32,Hand::N,кул,لاس
33,Handfläche::N,уч,ورغوی
34,Finger::N,бармак,ګوته
35,Fingernagel::N,тырнак,نوک
36,Nagel[Anatomie]::N,тырнак,نوک
37,Zeh::N,бармак,ګوته
38,Fuß::N,табан,پښه
39,Ferse::N,үкчә,پونده
40,Knie::N,тез,زنګون
41,Oberschenkel::N,бот,پتون
42,Bein::N,аяк,پښه
43,Körper::N,тән,ځان
44,Körper::N,җисем,ځان
45,Haut::N,тире,پوټکی
46,Blut::N,кан,وینه
47,Ader::N,тамыр,رګ
48,Sehne::N,сеңер,پله
49,Knochen::N,сөяк,هډوکی
50,Gehirn::N,ми,ماغزه
51,Herz::N,йөрәк,زړه
52,Magen::N,ашказаны,معده
53,Leber::N,бавыр,ينه
54,Leber::N,бавыр,ځیګر
55,Atem::N,сулыш,نفس
56,Hunger::N,ачлык,ولږه
57,Träne::N,яшь,اوښکه
58,Geschmack::N,тәм,مزه
59,Geschmack::N,тәм,خوند
60,Geschmack::N,зәвык,مزه
61,Geschmack::N,зәвык,خوند
62,Geruch::N,ис,بوی
63,Schlaf::N,йокы,خوب
64,Traum::N,төш,خوب
65,Himmel::N,күк,اسمان
66,Sonne::N,кояш,لمر
67,Mond::N,ай,سپوږمۍ
68,Stern::N,йолдыз,ستوری
69,Luft::N,һава,هوا
70,Wind::N,җил,ورښ
71,Welle::N,дулкын,موج
72,Wasser::N,су,اوبه
73,Stein::N,таш,ډبره
74,Boden::N,туфрак,مځکه
75,Erde::N,җир,خاوره
76,Staub::N,тузан,ګرد
77,Staub::N,тузан,خاوره
78,Rauch::N,төтен,دود
79,Rauch::N,төтен,لوګی
80,Funke::N,очкын,سپرغۍ
81,Feuer::N,ут,اور
82,Licht::N,якты,رڼا
83,Schatten::N,күләгә,سیوری
84,Wetter::N,һава,هوا
85,Nebel::N,томан,لړه
86,Wolke::N,болыт,ورېځ
87,Regen::N,яңгыр,وریا
88,Regen::N,яңгыр,باران
89,Schnee::N,кар,واوره
90,Eis::N,боз,یخ
91,Eis::N,боз,کنګل
92,Frost::N,суык,یخ
93,Frost::N,салкын,یخ
94,Kälte::N,суык,ساړه
95,Kälte::N,салкын,ساړه
96,Hitze::N,эсселек,تودوخي
97,Raureif::N,бәс,سپینه پرخه
98,Raureif::N,сыкы,سپینه پرخه
99,Regenbogen::N,салават күпере,بوډۍ ټال
100,Regenbogen::N,салават күпере,سره زرغونه
101,Donner::N,күкрәү,تالنده
102,Strömung::N,агыш'агым,بهېدنه
103,Tropfen::N,тамчы,قطره
104,Tropfen::N,тамчы,څاڅکی
105,Schaum::N,күбек,ځګ
106,Schmutz::N,пычрак,ناپاکي
107,See::N,күл,جهیل
108,Sumpf::N,саз,جبه
109,Moor::N,торфлык,جبه
110,Wiese::N,болын,چمن
111,Wiese::N,болын,شنېلی
112,Wald::N,урман,ځنګل
113,Hügel::N,калку,تپه
114,Anhöhe::N,үр,غونډۍ
115,Berg::N,тау,غ‍‍‍‍‍ر
116,Gipfel::N,оч,څوکه
117,Höhle::N,мәгарә,کاز
118,Abhang::N,кабырга,لمن
119,Quelle::N,чишмә,چینه
120,Bach::N,елга,واله
121,Fluss::N,дәрья,سیند
122,Ufer::N,су кырые,غاړه
123,Küste::N,яр буе,ساحل
124,Festland::N,коры җир,وچه
125,Meer::N,диңгез,بحر
126,Meer::N,диңгез,سمندر
127,Bucht::N,бухта,کارۍ
128,Bucht::N,култык,کارۍ
129,Insel::N,атау,ټاپو
130,Insel::N,атау,جزيره
131,Insel::N,утрау,ټاپو
132,Insel::N,утрау,جزيره
133,Blume::N,чәчкә,ګل
134,Gras::N,үлән,واښه
135,Wurzel::N,тамыр,ریښه
136,Baum::N,агач,ونه
137,Stamm::N,кәүсә,ډډ
138,Rinde::N,кабык,پوستکی
139,Ast::N,ботак,ښاخ
140,Zweig::N,ботак,څانګه
141,Zweig::N,тармак,څانګه
142,Blatt::N,яфрак,پاڼه
143,Birke::N,каен,توس
144,Kiefer[Baum]::N,нарат,نښتر
145,Weide[Baum]::N,тал,وله
146,Tanne::N,чыршы,ناجو
147,Horn::N,мөгез,ښکر
148,Feder::N,йон,بڼکه
149,Fell::N,тире,پوستکی
150,Flügel::N,канат,وزر
151,Klaue::N,тырнак,پنجه
152,Klaue::N,тырнак,منګول
153,Kralle::N,тырнак,پنجه
154,Kralle::N,тырнак,منګول
155,Schwanz::N,койрык,لکۍ
156,Ei::N,күкәй,وۍ
157,Ei::N,күкәй,هګۍ
158,Ei::N,йомырка,وۍ
159,Ei::N,йомырка,هګۍ
160,Nest::N,оя,جاله
161,Bau::N,өн,کاز
