,Concept_ID,av,pt
0,Ohr::N,гӏин,orelha
1,Nase::N,мегӏер,nariz
2,Mund::N,кӏал,boca
3,Zahn::N,гӏус,dente
4,Zunge::N,мацӏ,língua
5,Lippe::N,кӏветӏ,lábio
6,Wange::N,гӏоно,face
7,Gesicht::N,гьумер,cara
8,Gesicht::N,гьумер,rosto
9,Stirn::N,нодо,testa
10,Haar::N,рас,cabelo
11,Schnurrbart::N,михъ,bigode
12,Bart::N,мегеж,barba
13,Kinn::N,нилъу,queixo
14,Kiefer[Anatomie]::N,чанагъ,maxila
15,Kiefer[Anatomie]::N,чанагъ,mandíbula
16,Kehle::N,щекъер,garganta
17,Hals::N,габур,colo
18,Hals::N,габур,pescoço
19,Genick::N,гъванща,nuca
20,Kopf::N,бетӏер,cabeça
21,Rücken::N,мугъ,dorso
22,Rücken::N,мугъ,costas
23,Bauch::N,чехь,ventre
24,Bauch::N,чехь,barriga
25,Nabel::N,цӏину,umbigo
26,Busen::N,керен,seio
27,Brust::N,керен,peito
28,Schulter::N,гъажазубетӏер,ombro
29,Arm::N,гъеж,braço
30,Ellenbogen::N,гӏункӏрукь,cotovelo
31,Hand::N,квер,mão
32,Handfläche::N,огъохъат,palma
33,Handfläche::N,огъохъат,palma da mão
34,Handfläche::N,жанисахъат,palma
35,Handfläche::N,жанисахъат,palma da mão
36,Finger::N,килищ,dedo
37,Fingernagel::N,малъ,unha
38,Nagel[Anatomie]::N,малъ,unha
39,Zeh::N,килищ,dedo do pé
40,Fuß::N,хӏетӏ,pé
41,Fuß::N,хӏетӏе,pé
42,Ferse::N,эгъе,calcanhar
43,Knie::N,наку,joelho
44,Oberschenkel::N,мачӏ,coxa
45,Bein::N,бох,perna
46,Körper::N,къаркъала,corpo
47,Haut::N,тӏом,pele
48,Blut::N,би,sangue
49,Ader::N,бидурихь,veia
50,Knochen::N,ракьа,osso
51,Gehirn::N,гӏадалнах,cérebro
52,Herz::N,ракӏ,coração
53,Magen::N,кванирукъ,estômago
54,Leber::N,тӏул,fígado
55,Atem::N,хӏухь,fôlego
56,Hunger::N,ракъи,fome
57,Träne::N,магӏу,lágrima
58,Geschmack::N,тату,gosto
59,Geruch::N,махӏ,odor
60,Geruch::N,махӏ,cheiro
61,Schlaf::N,макьу,sono
62,Traum::N,макьу,sonho
63,Himmel::N,зоб,céu
64,Sonne::N,бакъ,sol
65,Mond::N,моцӏ,lua
66,Stern::N,цӏва,estrela
67,Luft::N,гьава,ar
68,Wind::N,гьури,vento
