,Concept_ID,uz,mdf
0,Auge::N,ko'z,сельме
1,Ohr::N,quloq,пиле
2,Nase::N,burun,шалхка
3,Mund::N,og'iz,курга
4,Zahn::N,tish,пей
5,Zunge::N,til,кяль
6,Lippe::N,dudoq,търва́
7,Wange::N,bet,щёка
8,Gesicht::N,yuz,шама
9,Stirn::N,manglay,коня
10,Haar::N,soch,шя́ярь
11,Schnurrbart::N,mo'ylov,уса́
12,Bart::N,soqol,сакал
13,Kinn::N,ängak,ула
14,Kiefer[Anatomie]::N,iyak,саласка
15,Kehle::N,bo'g'iz,кълдома
16,Kehle::N,bo'g'iz,кърга́парь
17,Hals::N,bo'yin,сялдаз
18,Genick::N,gardan,шовонь
19,Kopf::N,bosh,пря
20,Rücken::N,orqa,копорь
21,Bauch::N,qorin,пеке
22,Nabel::N,kindik,по́кон
23,Busen::N,ämchak,потя
24,Brust::N,ko'krak,мяште
25,Schulter::N,elka,лафту
26,Arm::N,bilak,кядь
27,Ellenbogen::N,tirsak,кенерьба́карь
28,Hand::N,qo'l,кядь
29,Handfläche::N,kaft,кядьлапш
30,Finger::N,barmoq,сур
31,Fingernagel::N,tirnoq,кенже
32,Nagel[Anatomie]::N,tirnoq,кенже
33,Zeh::N,oyoq barmog'i,пильгосу́р
34,Fuß::N,oyoq,пильге
35,Fuß::N,oyoq,пильгелапа
36,Ferse::N,tovon,кочкяря
37,Knie::N,tiz,эль
38,Knie::N,tiz,пълма́нжа
39,Oberschenkel::N,son,пильгепукша
40,Bein::N,oyoq,пильге
41,Körper::N,badna,ро́нга
42,Körper::N,badna,по́нда
43,Haut::N,teri,киське
44,Blut::N,qon,вер
45,Ader::N,qon tomir,сан
46,Ader::N,qon tomir,верза́н
47,Sehne::N,tomir,коське сан
48,Knochen::N,suyak,пакарь
49,Gehirn::N,miya,уй
50,Herz::N,qalb,седи
51,Magen::N,oshqozon,коткърдазь
52,Leber::N,bag'ir,макса
53,Atem::N,dam,лекома
54,Atem::N,dam,ваймонь тарксема
55,Hunger::N,ochlik,вачеши
56,Träne::N,yosh,сельмове́дь
57,Geschmack::N,tam,таньф
58,Geruch::N,jid,шине
59,Schlaf::N,uyqu,удома́
60,Traum::N,tush,он
61,Himmel::N,osmon,менель
62,Sonne::N,quyosh,ши
63,Mond::N,oy,ков
64,Stern::N,yulduz,тяште
65,Luft::N,havo,кожф
66,Wind::N,el,варма
67,Welle::N,to'lqin,тавла
68,Wasser::N,suv,ведь
69,Stein::N,tosh,кев
70,Boden::N,tuproq,мода
71,Boden::N,tuproq,потмакс
72,Erde::N,er,мода
73,Erde::N,er,мастор
74,Staub::N,chang,пуль
75,Rauch::N,tutun,качам
76,Funke::N,yalt,ця́тка
77,Feuer::N,o't,тол
78,Licht::N,yorug',ва́лда
79,Schatten::N,soya,цильф
80,Wetter::N,havo,уша
81,Nebel::N,tuman,тума́н
82,Wolke::N,bulut,ковол
83,Regen::N,yomg'ir,пизем
84,Schnee::N,qor,лов
85,Eis::N,muz,эй
86,Frost::N,ajoz,ке́льме
87,Kälte::N,ajoz,якшама
88,Hitze::N,issiq,пси
89,Raureif::N,qirov,леш
90,Regenbogen::N,kamalak,а́тямъёнга
91,Donner::N,guldur,атям
92,Strömung::N,oqim,шудема́
93,Tropfen::N,tomchi,путькс
94,Tropfen::N,tomchi,пътняфкс
95,Schaum::N,ko'pik,шов
96,Schmutz::N,gard,ърда́з
97,See::N,ko'l,эрьхке
98,Sumpf::N,botqoq,шяй
99,Moor::N,qir-adir,шяй
100,Wiese::N,o'tzor,луга
101,Wald::N,o'rmon,вирь
102,Hügel::N,tepa,губо́р
103,Hügel::N,tepa,пандоня
104,Anhöhe::N,adir,губо́р
105,Berg::N,tog',панда
