,Concept_ID,el,mrj
0,Auge::N,μάτι,сӹнзӓ
1,Auge::N,οφθαλμός,сӹнзӓ
2,Ohr::N,αυτί,пӹлӹш
3,Nase::N,μύτη,нер
4,Mund::N,στόμα,ышма
5,Zahn::N,δόντι,пӱ
6,Zunge::N,γλώσσα,йӹлмӹ
7,Lippe::N,χείλος,тӹрвӹ
8,Wange::N,παρειά,шӹргӹ
9,Wange::N,μάγουλο,шӹргӹ
10,Gesicht::N,πρόσωπο,лицӓ
11,Stirn::N,μέτωπο,лепкӓ
12,Haar::N,μαλλιά,ӱп
13,Schnurrbart::N,μουστάκι,öрш
14,Bart::N,γένια,пандаш
15,Kinn::N,πιγούνι,онгылаш
16,Kiefer[Anatomie]::N,σαγόνι,пӱ арата
17,Kehle::N,λαρύγγι,логер
18,Hals::N,λαιμός,шӱ
19,Genick::N,σβέρκος,ланга
20,Kopf::N,κεφάλι,вуй
21,Rücken::N,ράχη,туп
22,Bauch::N,κοιλιά,мӹшкӹр
23,Nabel::N,αφαλός,кӹлӹмдӹ
24,Busen::N,στήθος,цӹзӹ
25,Brust::N,στήθος,мел
26,Schulter::N,ώμος,ӹнгӹжӓ
27,Arm::N,χέρι,кид
28,Arm::N,μπράτςο,кид
29,Ellenbogen::N,αγκώνας,кӹнервуй
30,Hand::N,χέρι,лапа
31,Handfläche::N,παλάμη,кид лапа
32,Finger::N,δάχτυλο,парня
33,Fingernagel::N,νύχι,кӹч
34,Nagel[Anatomie]::N,νύχι,кӹч
35,Zeh::N,δάχτυλο του ποδιού,парня
36,Fuß::N,πόδι,ял лапа
37,Ferse::N,φτέρνα,ялгавал
38,Ferse::N,φτέρνα,ял кавал
39,Knie::N,γόνατο,пылвуй
40,Oberschenkel::N,μηρός,ӓрдӹ
41,Bein::N,πόδι,ял
42,Körper::N,σώμα,монгыр
43,Körper::N,κορμί,монгыр
44,Haut::N,πετσί,кавашты
45,Blut::N,αίμα,вӹр
46,Ader::N,φλέβα,вӹршӓр
47,Sehne::N,νεύρο,кукшышӱн
48,Sehne::N,τένοντας,кукшышӱн
49,Knochen::N,οστό,лу
50,Knochen::N,κόκκαλο,лу
51,Gehirn::N,μυαλό,вим
52,Gehirn::N,εγκέφαλος,вим
53,Herz::N,καρδιά,шӱм
54,Magen::N,στομάχι,шӱм
55,Leber::N,ήπαρ,мокш
56,Leber::N,συκωτί,мокш
57,Atem::N,αναπνοή,шӱлӹш
58,Hunger::N,πείνα,шужымаш
59,Träne::N,δάκρυ,сӹнзӓвӹд
60,Geschmack::N,γεύση,тот
61,Geruch::N,οσμή,пыш
62,Geruch::N,μυρωδία,пыш
63,Schlaf::N,ύπνος,ом
64,Traum::N,όνειρο,ом
65,Himmel::N,ουρανός,пӹлгом
66,Sonne::N,ήλιος,кечӹ
67,Mond::N,σελήνη,тӹлзӹ
68,Mond::N,φεγγάρι,тӹлзӹ
69,Stern::N,άστρο,шӹдӹр
70,Stern::N,αστέρι,шӹдӹр
71,Luft::N,αέρας,юж
72,Luft::N,αέρας,воздух
73,Wind::N,αέρας,мардеж
74,Wind::N,άνεμος,мардеж
75,Welle::N,κύμα,ко
76,Welle::N,κύμα,коэ
77,Wasser::N,νερό,вӹд
78,Stein::N,πέτρα,кӱ
79,Boden::N,χώμα,рок
80,Erde::N,γη,свет
81,Staub::N,σκόνη,пырак
82,Rauch::N,καπνός,шӹкш
83,Funke::N,σπίθα,ип
84,Funke::N,σπίθα,тылип
85,Funke::N,σπινθήρας,ип
86,Funke::N,σπινθήρας,тылип
87,Feuer::N,φωτιά,тыл
88,Licht::N,φως,соты
89,Licht::N,φως,валгыды
90,Schatten::N,σκιά,ӹмӹл
91,Schatten::N,ίσκιος,ӹмӹл
92,Wetter::N,καιρός,игечӹ
93,Nebel::N,ομίχλη,тӹтӹрӓ
94,Wolke::N,σύννεφο,пӹл
95,Regen::N,βροχή,юр
96,Schnee::N,χιόνι,лым
97,Eis::N,πάγος,и
98,Frost::N,παγωνία,ӱштӹ
99,Kälte::N,κρύο,ӱштӹ
100,Kälte::N,ψύχος,ӱштӹ
101,Hitze::N,ζέστη,шокшы
102,Raureif::N,πάχνη,пöрш
103,Regenbogen::N,ουράνιο τόξο,шанавӹл
104,Donner::N,βροντή,хӹдӹртӹш
105,Strömung::N,ρεύμα,йогы
106,Tropfen::N,στάλα,капльы
107,Tropfen::N,στάλα,капльык
108,Schaum::N,αφρός,шонг
109,Schmutz::N,βρωμιά,лявӹрӓ
110,See::N,λίμνη,йӓр
111,Sumpf::N,βάλτος,лӱкӹ
112,Moor::N,έλος,куп
113,Wiese::N,λιβάδι,алык
114,Wald::N,δάσος,шӹргӹ
115,Hügel::N,λόφος,пӱгӹрикӓ
116,Anhöhe::N,ύψωμα,кӱкшикӓ
117,Berg::N,όρος,кырык
118,Berg::N,βουνό,кырык
119,Gipfel::N,κορυφή,неркӓ
120,Höhle::N,σπηλιά,ы́раж
121,Abhang::N,πλαγιά,полом
122,Quelle::N,πηγή,вӹдсӹнзӓ
123,Quelle::N,βρύση,вӹдсӹнзӓ
124,Bach::N,ρυάκι,ӓнгӹр
125,Fluss::N,ποτάμι,вӹд
126,Fluss::N,ποταμός,вӹд
127,Ufer::N,όχθη,сир
128,Küste::N,ακτή,сир
129,Küste::N,ακρογιαλιά,сир
130,Festland::N,στεριά,мӱлӓндӹ
131,Meer::N,θάλασσα,тангыж
132,Bucht::N,κόλπος,вӹдъял
133,Insel::N,νησί,острок
134,Insel::N,νήσος,острок
135,Blume::N,άνθος,пеледӹш
136,Blume::N,λουλούδι,пеледӹш
137,Gras::N,χόρτο,шуды
138,Gras::N,χορτάρι,шуды
139,Wurzel::N,ρίζα,важ
140,Baum::N,δέντρο,пушӓнгӹ
141,Stamm::N,κορμός,пушӓнгӹ тӹнг
142,Rinde::N,φλούδα,каргыж
143,Ast::N,κλαδί,укш
144,Zweig::N,κλαδί,укш
145,Zweig::N,κλάδος,укш
